PCDS,LAT,LONG
AB1 0AA,57.10146,-2.242858
AB1 0AB,57.10254,-2.246315
AB1 0AD,57.10054,-2.248349
AB1 0AE,57.08443,-2.255714
AB1 0AF,57.09664,-2.258109
AB1 0AG,57.09707,-2.267519
AB1 0AJ,57.099,-2.252861
AB1 0AL,57.10175,-2.254695
AB1 0AN,57.09754,-2.24549
AB1 0AP,57.09823,-2.245775
AB1 0AQ,57.09854,-2.252511
AB1 0AR,57.09134,-2.224839
AB1 0AS,57.08382,-2.234444
AB1 0AT,57.08928,-2.239775
AB1 0AX,57.09566,-2.247887
AB1 0BA,57.09068,-2.255873
AB1 0BB,57.0863,-2.258598
AB1 0BD,57.07911,-2.268858
AB1 0BE,57.0906,-2.25749
AB1 0BJ,57.08141,-2.262325
AB1 0BL,57.08192,-2.246574
AB1 0BN,57.0693,-2.258018
AB1 0BP,57.06724,-2.272219
AB1 0BQ,57.06782,-2.28474
AB1 0BR,57.06215,-2.278348
AB1 0BS,57.05139,-2.265262
AB1 0BT,57.05708,-2.250053
AB1 0BX,57.06929,-2.235589
AB1 0BY,57.08226,-2.236678
AB1 0BZ,57.08271,-2.238595
AB1 0DA,57.06418,-2.228434
AB1 0DB,57.07022,-2.244913
AB1 0DD,57.09779,-2.228014
AB1 0DJ,57.10278,-2.243461
AB1 0DL,57.10146,-2.242858
AB1 0DN,57.10188,-2.23989
AB1 0DP,57.10137,-2.238962
AB1 0DQ,57.10319,-2.23975
AB1 0DR,57.10456,-2.235648
AB1 0DS,57.10541,-2.23496
AB1 0DT,57.1055,-2.23369
AB1 0DU,57.10661,-2.234753
AB1 0DX,57.10638,-2.231962
AB1 0DY,57.10136,-2.241537
AB1 0EA,57.10609,-2.231696
AB1 0EB,57.10715,-2.233007
AB1 0ED,57.10687,-2.232625
AB1 0EE,57.10764,-2.230253
AB1 0EF,57.10907,-2.23921
AB1 0EH,57.10699,-2.237628
AB1 0EJ,57.10824,-2.240624
AB1 0EL,57.11037,-2.244402
AB1 0EN,57.10476,-2.240008
AB1 0EP,57.10452,-2.24689
AB1 0EQ,57.10851,-2.258654
AB1 0ER,57.11594,-2.255899
AB1 0ES,57.12388,-2.274716
AB1 0ET,57.11462,-2.249467
AB1 0EU,57.10393,-2.240233
AB1 0EW,57.10675,-2.236207
AB1 0EX,57.12167,-2.242545
AB1 0HA,57.10267,-2.238492
AB1 0HB,57.10276,-2.235604
AB1 0HD,57.10372,-2.233712
AB1 0HJ,57.10479,-2.233999
AB1 0HL,57.10638,-2.228545
AB1 0HN,57.10753,-2.2253
AB1 0HP,57.10812,-2.229695
AB1 0HQ,57.10998,-2.224968
AB1 0HR,57.10812,-2.225089
AB1 0HS,57.11263,-2.222111
AB1 0HT,57.10696,-2.219221
AB1 0HU,57.10762,-2.233323
AB1 0HX,57.11252,-2.21861
AB1 0JA,57.1087,-2.22813
AB1 0JB,57.10864,-2.232405
AB1 0JD,57.10966,-2.23256
AB1 0JE,57.10886,-2.236897
AB1 0JG,57.11081,-2.237091
AB1 0JH,57.11087,-2.231643
AB1 0JJ,57.11039,-2.231607
AB1 0JL,57.11289,-2.236923
AB1 0JN,57.11068,-2.244008
AB1 0JP,57.10668,-2.222934
AB1 0JQ,57.10563,-2.219494
AB1 0JR,57.10502,-2.219969
AB1 0JS,57.10621,-2.223113
AB1 0JT,57.11075,-2.234994
AB1 0JU,57.11198,-2.234094
AB1 0JW,57.11136,-2.235493
AB1 0JX,57.1111,-2.235723
AB1 0JY,57.11018,-2.23925
AB1 0JZ,57.11062,-2.237453
AB1 0LA,57.10092,-2.27207
AB1 0LB,57.10175,-2.273347
AB1 0LD,57.10234,-2.271948
AB1 0LE,57.09412,-2.273225
AB1 0LJ,57.09424,-2.263357
AB1 0LL,57.09342,-2.268747
AB1 0LN,57.08826,-2.268561
AB1 0LP,57.09374,-2.269806
AB1 0LQ,57.09414,-2.273439
AB1 0LR,57.09507,-2.272571
AB1 0LS,57.09396,-2.275105
AB1 0LT,57.08865,-2.293298
AB1 0LX,57.09699,-2.272503
AB1 0NA,57.09866,-2.27377
AB1 0NB,57.10236,-2.285252
AB1 0ND,57.1029,-2.294517
AB1 0NE,57.10154,-2.258424
AB1 0NJ,57.10344,-2.290609
AB1 0NL,57.10518,-2.279398
AB1 0NN,57.10415,-2.27698
AB1 0NP,57.10476,-2.270645
AB1 0NQ,57.10302,-2.258649
AB1 0NR,57.10302,-2.258649
AB1 0NS,57.1076,-2.26928
AB1 0NT,57.10794,-2.276265
AB1 0NX,57.10682,-2.286409
AB1 0PA,57.11095,-2.285451
AB1 0PB,57.12505,-2.296791
AB1 0PD,57.11914,-2.294745
AB1 0PE,57.12688,-2.280487
AB1 0PG,57.10897,-2.286591
AB1 0PJ,57.10847,-2.291557
AB1 0PL,57.10807,-2.292082
AB1 0PN,57.10625,-2.305637
AB1 0PP,57.11063,-2.323091
AB1 0PQ,57.10942,-2.337312
AB1 0PR,57.12129,-2.330236
AB1 0PS,57.09591,-2.264045
AB1 0PT,57.09491,-2.264583
AB1 0PU,57.09436,-2.264166
AB1 0PX,57.09539,-2.264751
AB1 0QA,57.09528,-2.264866
AB1 0QB,57.09657,-2.261492
AB1 0QD,57.0972,-2.260457
AB1 0QG,57.09695,-2.26298
AB1 0QJ,57.09777,-2.261104
AB1 0QL,57.09675,-2.257516
AB1 0QN,57.09734,-2.257536
AB1 0QP,57.09821,-2.254951
AB1 0QQ,57.09876,-2.253536
AB1 0QR,57.09758,-2.253363
AB1 0QS,57.09787,-2.252407
AB1 0QT,57.09874,-2.255549
AB1 0QX,57.09888,-2.254015
AB1 0RA,57.09922,-2.255404
AB1 0RB,57.09984,-2.257356
AB1 0RD,57.10069,-2.257345
AB1 0RE,57.10201,-2.266664
AB1 0RF,57.10319,-2.267877
AB1 0RH,57.1021,-2.267358
AB1 0RJ,57.10042,-2.255676
AB1 0RL,57.1004,-2.257261
AB1 0RN,57.09944,-2.260637
AB1 0RP,57.09892,-2.258241
AB1 0RQ,57.09851,-2.257297
AB1 0RR,57.09599,-2.263914
AB1 0RS,57.09639,-2.264197
AB1 0RT,57.09721,-2.264187
AB1 0RU,57.10195,-2.268215
AB1 0RW,57.10207,-2.26914
AB1 0RX,57.09828,-2.263187
AB1 0RY,57.10249,-2.268466
AB1 0RZ,57.10269,-2.267131
AB1 0SA,57.09754,-2.265724
AB1 0SB,57.09695,-2.266149
AB1 0SD,57.09795,-2.265958
AB1 0SE,57.10213,-2.268943
AB1 0SF,57.09782,-2.267459
AB1 0SG,57.09675,-2.266939
AB1 0SH,57.09929,-2.264697
AB1 0SJ,57.09856,-2.264394
AB1 0SL,57.09868,-2.264758
AB1 0SN,57.09938,-2.263443
AB1 0SP,57.0997,-2.262174
