PCDS,LAT,LONG
AL1 1AA,51.74909,-0.341314
AL1 1AB,51.74783,-0.301841
AL1 1AD,51.74783,-0.301841
AL1 1AE,51.74783,-0.301841
AL1 1AF,51.74909,-0.341314
AL1 1AG,51.7453,-0.328605
AL1 1AH,51.74489,-0.327533
AL1 1AJ,51.7445,-0.328576
AL1 1AL,51.74783,-0.301841
AL1 1AN,51.74449,-0.329474
AL1 1AP,51.74449,-0.329474
AL1 1AQ,51.74358,-0.325394
AL1 1AR,51.73973,-0.317469
AL1 1AS,51.74908,-0.335448
AL1 1AT,51.74202,-0.319398
AL1 1AU,51.74147,-0.319273
AL1 1AW,51.74179,-0.322216
AL1 1AX,51.74433,-0.327815
AL1 1AZ,51.73502,-0.317645
AL1 1BA,51.74783,-0.301841
AL1 1BB,51.74997,-0.339834
AL1 1BE,51.74817,-0.339899
AL1 1BF,51.74637,-0.339965
AL1 1BH,51.74686,-0.337977
AL1 1BT,51.74977,-0.340623
AL1 1BU,51.74973,-0.340668
AL1 1BX,51.74908,-0.34101
AL1 1BY,51.74987,-0.341547
AL1 1BZ,51.7504,-0.340296
AL1 1DA,51.74999,-0.341281
AL1 1DB,51.74783,-0.301841
AL1 1DD,51.75031,-0.340429
AL1 1DE,51.74995,-0.340501
AL1 1DF,51.74449,-0.329474
AL1 1DG,51.74781,-0.343534
AL1 1DH,51.74757,-0.341921
AL1 1DJ,51.74999,-0.341281
AL1 1DL,51.74909,-0.341314
AL1 1DN,51.74084,-0.330029
AL1 1DQ,51.74741,-0.342317
AL1 1DR,51.74449,-0.329474
AL1 1DS,51.73228,-0.318601
AL1 1DT,51.75005,-0.340077
AL1 1DU,51.73118,-0.315817
AL1 1DW,51.74931,-0.341683
AL1 1DX,51.73172,-0.301852
AL1 1DY,51.74449,-0.329474
AL1 1DZ,51.73147,-0.304628
AL1 1EA,51.73182,-0.306483
AL1 1EB,51.73331,-0.307788
AL1 1ED,51.73244,-0.308617
AL1 1EE,51.73209,-0.308283
AL1 1EF,51.73074,-0.308594
AL1 1EG,51.73062,-0.30841
AL1 1EP,51.74999,-0.341281
AL1 1EQ,51.73122,-0.309387
AL1 1ER,51.7504,-0.339456
AL1 1ES,51.74997,-0.339834
AL1 1ET,51.75038,-0.339674
AL1 1EU,51.75026,-0.339881
AL1 1EX,51.7501,-0.339365
AL1 1EY,51.75007,-0.339207
AL1 1EZ,51.75,-0.340079
AL1 1FH,51.74783,-0.301841
AL1 1FP,51.75048,-0.34038
AL1 1HA,51.74921,-0.340383
AL1 1HB,51.74901,-0.340665
AL1 1HD,51.74886,-0.340787
AL1 1HE,51.74886,-0.340787
AL1 1HF,51.74705,-0.341867
AL1 1HG,51.74959,-0.339992
AL1 1HH,51.74432,-0.336651
AL1 1HJ,51.74624,-0.336175
AL1 1HL,51.74689,-0.335369
AL1 1HN,51.74728,-0.33576
AL1 1HP,51.74771,-0.341423
AL1 1HQ,51.74587,-0.342533
AL1 1HR,51.74606,-0.342251
AL1 1HS,51.74552,-0.342894
AL1 1HT,51.73438,-0.318682
AL1 1HU,51.73732,-0.313359
AL1 1HW,51.74712,-0.336519
AL1 1HY,51.73785,-0.31444
AL1 1JA,51.74446,-0.324608
AL1 1JB,51.74358,-0.325394
AL1 1JD,51.7451,-0.327757
AL1 1JE,51.73826,-0.315337
AL1 1JF,51.74358,-0.325394
AL1 1JG,51.7431,-0.326527
AL1 1JH,51.74351,-0.323123
AL1 1JJ,51.74448,-0.322246
AL1 1JL,51.7446,-0.322894
AL1 1JN,51.74495,-0.324779
AL1 1JP,51.74607,-0.323549
AL1 1JQ,51.74284,-0.323278
AL1 1JR,51.74546,-0.324992
AL1 1JS,51.74571,-0.325301
AL1 1JT,51.74122,-0.317906
AL1 1JU,51.74271,-0.322993
AL1 1JW,51.74522,-0.324262
AL1 1JX,51.74347,-0.325587
AL1 1JZ,51.74255,-0.324172
AL1 1LA,51.75066,-0.337896
AL1 1LB,51.75018,-0.336146
AL1 1LD,51.75051,-0.337438
AL1 1LE,51.75044,-0.337064
AL1 1LF,51.74995,-0.338386
AL1 1LG,51.75052,-0.336481
AL1 1LH,51.74993,-0.336938
AL1 1LJ,51.74954,-0.334431
AL1 1LL,51.74449,-0.329474
AL1 1LN,51.74876,-0.333185
AL1 1LP,51.74844,-0.332429
AL1 1LQ,51.75052,-0.336481
AL1 1LR,51.74846,-0.332558
AL1 1LS,51.75106,-0.338649
AL1 1LT,51.73806,-0.314896
AL1 1LU,51.75087,-0.339801
AL1 1LW,51.74901,-0.335523
AL1 1LX,51.73366,-0.30595
AL1 1LY,51.74783,-0.301841
AL1 1LZ,51.75087,-0.339163
AL1 1NA,51.74905,-0.338419
AL1 1NB,51.74896,-0.337582
AL1 1ND,51.7499,-0.339083
AL1 1NE,51.74919,-0.337327
AL1 1NF,51.7495,-0.336895
AL1 1NG,51.75031,-0.337952
AL1 1NH,51.7497,-0.338279
AL1 1NJ,51.74963,-0.339353
AL1 1NL,51.74931,-0.33951
AL1 1NN,51.74903,-0.338028
AL1 1NP,51.75064,-0.339113
AL1 1NQ,51.75069,-0.339329
AL1 1NR,51.74237,-0.322615
AL1 1NS,51.7499,-0.336316
AL1 1NT,51.74991,-0.33549
AL1 1NU,51.7465,-0.329748
AL1 1NW,51.75005,-0.336832
AL1 1NX,51.74931,-0.33486
AL1 1NY,51.74901,-0.335523
AL1 1NZ,51.74901,-0.335523
AL1 1PA,51.74863,-0.334363
AL1 1PB,51.74868,-0.33568
AL1 1PD,51.74824,-0.335174
AL1 1PE,51.74449,-0.329474
AL1 1PF,51.74822,-0.333741
AL1 1PG,51.74764,-0.332763
AL1 1PH,51.75046,-0.336933
AL1 1PJ,51.74754,-0.331781
AL1 1PL,51.74707,-0.330886
AL1 1PN,51.74429,-0.32786
AL1 1PP,51.74641,-0.330548
AL1 1PQ,51.74847,-0.333442
AL1 1PR,51.74677,-0.330491
AL1 1PS,51.74685,-0.331024
AL1 1PT,51.74699,-0.331816
AL1 1PU,51.74681,-0.332141
AL1 1PW,51.7463,-0.330031
AL1 1PX,51.75053,-0.336626
AL1 1PY,51.74764,-0.335051
AL1 1PZ,51.74783,-0.301841
AL1 1QA,51.74704,-0.332002
AL1 1QB,51.74746,-0.332262
AL1 1QD,51.74754,-0.333664
AL1 1QE,51.74807,-0.335644
AL1 1QF,51.74739,-0.334394
AL1 1QH,51.74855,-0.336495
AL1 1QJ,51.74888,-0.336397
AL1 1QL,51.74962,-0.335602
AL1 1QN,51.74907,-0.341272
AL1 1QP,51.74627,-0.332726
AL1 1QQ,51.74773,-0.335845
AL1 1QR,51.74627,-0.332726
AL1 1QS,51.74627,-0.332726
AL1 1QU,51.74699,-0.3317
AL1 1QW,51.74641,-0.332924
AL1 1QY,51.74627,-0.332726
AL1 1QZ,51.74449,-0.329474
AL1 1RA,51.74783,-0.301841
AL1 1RB,51.74801,-0.340427
AL1 1RD,51.7476,-0.339037
AL1 1RE,51.74449,-0.329474
AL1 1RF,51.74744,-0.337609
AL1 1RG,51.74755,-0.337836
AL1 1RH,51.74819,-0.339421
AL1 1RJ,51.74795,-0.338068
AL1 1RL,51.74788,-0.336694
AL1 1RN,51.74835,-0.337836
AL1 1RP,51.7485,-0.338801
AL1 1RQ,51.74781,-0.33829
AL1 1RR,51.74877,-0.339718
AL1 1RS,51.74903,-0.340042
AL1 1RT,51.7487,-0.337301
AL1 1RU,51.74885,-0.338209
AL1 1RW,51.74812,-0.337873
AL1 1RX,51.74706,-0.334667
AL1 1RY,51.74689,-0.333993
AL1 1RZ,51.74523,-0.331548
AL1 1SA,51.74863,-0.333769
AL1 1SD,51.7463,-0.333724
AL1 1SE,51.7454,-0.333091
AL1 1SF,51.74443,-0.331142
AL1 1SG,51.74513,-0.332247
AL1 1SH,51.74481,-0.33052
AL1 1SJ,51.7452,-0.329289
AL1 1SL,51.74546,-0.328758
AL1 1SN,51.74572,-0.330849
AL1 1SP,51.74582,-0.329005
AL1 1SQ,51.74467,-0.330105
AL1 1SR,51.74599,-0.329492
AL1 1SS,51.74644,-0.331923
AL1 1ST,51.74453,-0.331863
AL1 1SU,51.74594,-0.328957
AL1 1SW,51.74608,-0.330792
AL1 1SX,51.74207,-0.320222
AL1 1SZ,51.74157,-0.322007
AL1 1TA,51.7422,-0.320578
AL1 1TB,51.73886,-0.318298
AL1 1TD,51.73939,-0.319655
AL1 1TE,51.73939,-0.318684
AL1 1TF,51.73806,-0.318488
AL1 1TG,51.73703,-0.31854
AL1 1TH,51.73896,-0.317339
AL1 1TJ,51.74012,-0.318527
AL1 1TL,51.7396,-0.317489
AL1 1TN,51.7413,-0.321423
AL1 1TP,51.74018,-0.31935
AL1 1TQ,51.73769,-0.312157
AL1 1TR,51.7498,-0.335957
AL1 1TS,51.73417,-0.309436
AL1 1TT,51.74723,-0.339253
AL1 1TU,51.74674,-0.339575
AL1 1TW,51.74089,-0.320482
AL1 1TX,51.74722,-0.34063
AL1 1TY,51.73789,-0.319406
AL1 1TZ,51.74728,-0.333805
AL1 1UA,51.73771,-0.315923
AL1 1UB,51.73746,-0.316554
AL1 1UD,51.73536,-0.315068
AL1 1UE,51.73579,-0.315689
AL1 1UF,51.73578,-0.316443
AL1 1UG,51.73672,-0.316625
AL1 1UH,51.73547,-0.31253
AL1 1UJ,51.73547,-0.313442
AL1 1UL,51.73506,-0.31353
AL1 1UN,51.73426,-0.31285
AL1 1UP,51.73466,-0.310692
AL1 1UQ,51.73642,-0.314566
AL1 1UR,51.73521,-0.309904
AL1 1US,51.7343,-0.312892
AL1 1UT,51.73534,-0.311231
AL1 1UU,51.73623,-0.311821
AL1 1UW,51.73384,-0.31204
AL1 1UX,51.73682,-0.313363
AL1 1UY,51.73434,-0.315787
AL1 1UZ,51.73329,-0.312162
AL1 1WA,51.74783,-0.301841
AL1 1WB,51.74783,-0.301841
AL1 1WD,51.73328,-0.312134
AL1 1WE,51.74783,-0.301841
AL1 1WF,51.73328,-0.312134
AL1 1WG,51.73328,-0.312134
AL1 1WH,51.73328,-0.312134
AL1 1WJ,51.73328,-0.312134
AL1 1WN,51.74783,-0.301841
AL1 1WQ,51.74783,-0.301841
AL1 1WW,51.74783,-0.301841
AL1 1WX,51.74783,-0.301841
AL1 1WY,51.74783,-0.301841
AL1 1WZ,51.74765,-0.301949
AL1 1XA,51.73528,-0.318649
AL1 1XB,51.73502,-0.317645
AL1 1XD,51.73344,-0.31582
AL1 1XE,51.73162,-0.31444
AL1 1XF,51.73528,-0.318649
AL1 1XG,51.73438,-0.318682
AL1 1XH,51.73436,-0.317234
AL1 1XJ,51.74765,-0.339238
AL1 1XL,51.7476,-0.339283
AL1 1XN,51.74783,-0.301841
AL1 1XP,51.74727,-0.339932
AL1 1XQ,51.74765,-0.339238
AL1 1XR,51.74727,-0.339932
AL1 1XS,51.74727,-0.339932
AL1 1XT,51.74788,-0.3412
AL1 1XU,51.74597,-0.341414
AL1 1XY,51.74783,-0.301841
AL1 1XZ,51.74783,-0.301841
AL1 1YG,51.74783,-0.301841
AL1 1YL,51.74783,-0.301841
AL1 1YX,51.74783,-0.301841
AL1 1YY,51.74783,-0.301841
AL1 1YZ,51.74783,-0.301841
