PCDS,LAT,LONG
B1 1AA,52.47667,-1.90353
B1 1AD,52.47667,-1.90353
B1 1AG,52.47454,-1.902151
B1 1AH,52.47641,-1.904252
B1 1AQ,52.47454,-1.902151
B1 1AT,52.47641,-1.904252
B1 1AY,52.47594,-1.905387
B1 1AZ,52.47667,-1.90353
B1 1BA,52.47544,-1.900206
B1 1BB,52.48043,-1.903449
B1 1BD,52.47893,-1.902937
B1 1BE,52.47757,-1.901747
B1 1BF,52.4749,-1.902401
B1 1BG,52.47896,-1.903143
B1 1BH,52.47897,-1.903143
B1 1BJ,52.47667,-1.90353
B1 1BL,52.47685,-1.901616
B1 1BN,52.47657,-1.900895
B1 1BQ,52.4773,-1.902778
B1 1BT,52.47544,-1.900206
B1 1BU,52.47543,-1.899926
B1 1BW,52.47667,-1.90353
B1 1BX,52.49597,-1.894209
B1 1BY,52.47544,-1.900206
B1 1BZ,52.4749,-1.902401
B1 1DA,52.4744,-1.899546
B1 1DB,52.47328,-1.900196
B1 1DD,52.47387,-1.899179
B1 1DE,52.47371,-1.899842
B1 1DF,52.4739,-1.898958
B1 1DG,52.47191,-1.904262
B1 1DH,52.47284,-1.901757
B1 1DJ,52.47351,-1.900195
B1 1DL,52.47371,-1.899842
B1 1DN,52.47371,-1.901314
B1 1DR,52.47385,-1.901122
B1 1DS,52.47371,-1.901314
B1 1DW,52.47311,-1.900918
B1 1DX,52.47667,-1.90353
B1 1ED,52.47846,-1.906206
B1 1EE,52.47757,-1.904868
B1 1EF,52.47667,-1.90353
B1 1EG,52.47484,-1.899618
B1 1EH,52.47665,-1.902912
B1 1EJ,52.47846,-1.906206
B1 1EL,52.47478,-1.899633
B1 1EN,52.47846,-1.906206
B1 1EP,52.47461,-1.89984
B1 1EQ,52.47478,-1.899633
B1 1ER,52.47846,-1.906206
B1 1ES,52.47461,-1.89984
B1 1EU,52.47667,-1.90353
B1 1EW,52.47551,-1.90131
B1 1EY,52.47846,-1.906206
B1 1EZ,52.4749,-1.902401
B1 1FD,52.47471,-1.909644
B1 1FE,52.47667,-1.90353
B1 1FF,52.47471,-1.909644
B1 1FJ,52.47814,-1.9055
B1 1FL,52.4749,-1.902401
B1 1FN,52.47814,-1.9055
B1 1FQ,52.47814,-1.9055
B1 1FU,52.47814,-1.9055
B1 1FW,52.4736,-1.901461
B1 1FZ,52.47325,-1.901712
B1 1GA,52.47325,-1.902375
B1 1GB,52.47325,-1.902375
B1 1GD,52.47644,-1.902765
B1 1GS,52.47646,-1.901352
B1 1GT,52.47551,-1.90131
B1 1HB,52.47667,-1.90353
B1 1HG,52.4749,-1.902401
B1 1HH,52.47747,-1.906562
B1 1HJ,52.47371,-1.90573
B1 1HL,52.47571,-1.903488
B1 1HN,52.4751,-1.903092
B1 1HP,52.4742,-1.902903
B1 1HQ,52.47873,-1.906912
B1 1HR,52.4742,-1.902903
B1 1HU,52.47371,-1.904258
B1 1HW,52.4749,-1.902401
B1 1HX,52.4749,-1.902401
B1 1HY,52.47371,-1.904258
B1 1JB,52.47461,-1.904256
B1 1JD,52.47667,-1.90353
B1 1JE,52.47371,-1.904258
B1 1JG,52.47484,-1.904344
