PCDS,LAT,LONG
BB0 1GR,53.75346,-2.464231
BB1 1AA,53.74921,-2.482184
BB1 1AB,53.7491,-2.459937
BB1 1AD,53.74921,-2.482184
BB1 1AE,53.74433,-2.456397
BB1 1AF,53.74757,-2.479071
BB1 1AG,53.74416,-2.461808
BB1 1AQ,53.74525,-2.47862
BB1 1BA,53.74576,-2.471515
BB1 1BB,53.74287,-2.479306
BB1 1BD,53.7453,-2.471783
BB1 1BE,53.74473,-2.4791
BB1 1BG,53.74392,-2.478742
BB1 1BH,53.7423,-2.474266
BB1 1BJ,53.74459,-2.470728
BB1 1BL,53.74617,-2.47487
BB1 1BN,53.74605,-2.475718
BB1 1BP,53.74294,-2.477563
BB1 1BQ,53.74512,-2.470158
BB1 1BS,53.74282,-2.475197
BB1 1BT,53.74293,-2.476062
BB1 1BU,53.7425,-2.475572
BB1 1BW,53.74236,-2.476268
BB1 1BX,53.74221,-2.474856
BB1 1BY,53.74205,-2.474521
BB1 1BZ,53.74304,-2.477049
BB1 1DA,53.74631,-2.476191
BB1 1DB,53.74489,-2.477722
BB1 1DD,53.74421,-2.476592
BB1 1DE,53.74429,-2.476638
BB1 1DF,53.74592,-2.472684
BB1 1DG,53.74415,-2.480473
BB1 1DH,53.74437,-2.473288
BB1 1DJ,53.74367,-2.478011
BB1 1DL,53.747,-2.472696
BB1 1DN,53.74452,-2.472547
BB1 1DP,53.74595,-2.475065
BB1 1DQ,53.74371,-2.472508
BB1 1DR,53.74723,-2.471183
BB1 1DS,53.74677,-2.475362
BB1 1DT,53.74684,-2.471512
BB1 1DU,53.74743,-2.471852
BB1 1DW,53.74693,-2.470512
BB1 1DX,53.74411,-2.478698
BB1 1DY,53.74671,-2.473724
BB1 1DZ,53.7452,-2.470568
BB1 1EA,53.74552,-2.48155
BB1 1EB,53.74304,-2.4767
BB1 1ED,53.74308,-2.47435
BB1 1EE,53.74276,-2.474074
BB1 1EF,53.74138,-2.475999
BB1 1EG,53.74572,-2.475305
BB1 1EH,53.74424,-2.471164
BB1 1EJ,53.74419,-2.469996
BB1 1EL,53.7439,-2.471494
BB1 1EN,53.74481,-2.471337
BB1 1EP,53.74606,-2.481859
BB1 1EQ,53.74306,-2.474123
BB1 1ER,53.742,-2.475627
BB1 1ES,53.7456,-2.473894
BB1 1ET,53.74652,-2.482153
BB1 1EU,53.74742,-2.480647
BB1 1EW,53.74664,-2.474512
BB1 1EX,53.74628,-2.479208
BB1 1EY,53.74628,-2.479208
BB1 1EZ,53.74699,-2.478944
BB1 1FA,53.74743,-2.47913
BB1 1FB,53.7468,-2.480215
BB1 1FG,53.74498,-2.478724
BB1 1GA,53.74851,-2.47379
BB1 1GB,53.74295,-2.484902
BB1 1GD,53.74413,-2.463612
BB1 1GE,53.74413,-2.463612
BB1 1GF,53.74295,-2.484902
BB1 1GG,53.74421,-2.463644
BB1 1GH,53.74743,-2.47913
BB1 1GJ,53.74743,-2.47913
BB1 1GL,53.74429,-2.46369
BB1 1GN,53.74429,-2.46369
BB1 1HA,53.74743,-2.47913
BB1 1HB,53.74743,-2.477614
BB1 1HD,53.74743,-2.477614
BB1 1HE,53.74833,-2.477624
BB1 1HF,53.74348,-2.476751
BB1 1HG,53.74413,-2.463612
BB1 1HH,53.74744,-2.476098
BB1 1HJ,53.74835,-2.473075
BB1 1HL,53.74654,-2.476088
BB1 1HN,53.74553,-2.47227
BB1 1HP,53.74538,-2.469449
BB1 1HQ,53.74852,-2.477172
BB1 1HR,53.74477,-2.470003
BB1 1HS,53.74556,-2.46848
BB1 1HT,53.74769,-2.479224
BB1 1HU,53.74848,-2.476929
BB1 1HW,53.74771,-2.474509
BB1 1HY,53.7459,-2.467604
BB1 1JA,53.74874,-2.471306
BB1 1JB,53.74817,-2.470268
BB1 1JD,53.7485,-2.473259
BB1 1JE,53.74746,-2.470033
BB1 1JF,53.7483,-2.469982
BB1 1JG,53.74835,-2.473075
BB1 1JP,53.74578,-2.466102
BB1 1JS,53.74632,-2.465456
BB1 1JT,53.74619,-2.46641
BB1 1JW,53.7439,-2.478408
BB1 1JY,53.74657,-2.470023
BB1 1LA,53.74604,-2.463709
BB1 1LB,53.74608,-2.464892
BB1 1LD,53.74799,-2.464019
BB1 1LE,53.74752,-2.46368
BB1 1LF,53.74796,-2.463139
BB1 1LP,53.74595,-2.470562
BB1 1LR,53.74488,-2.468624
BB1 1LS,53.74506,-2.467626
BB1 1LT,53.74775,-2.467989
BB1 1LU,53.74658,-2.46699
BB1 1LW,53.74654,-2.476088
BB1 1LX,53.74649,-2.464806
BB1 1LY,53.74658,-2.465474
BB1 1LZ,53.7471,-2.464828
BB1 1NA,53.74828,-2.464613
BB1 1NB,53.74712,-2.465298
BB1 1ND,53.74603,-2.463724
BB1 1NE,53.74733,-2.462935
BB1 1NF,53.74715,-2.466815
BB1 1NG,53.74833,-2.464068
BB1 1NH,53.74669,-2.467083
BB1 1NJ,53.7468,-2.463339
BB1 1NL,53.74685,-2.460216
BB1 1NN,53.7475,-2.460935
BB1 1NP,53.74754,-2.459465
BB1 1NQ,53.74659,-2.462442
BB1 1NR,53.74777,-2.458649
BB1 1NS,53.74884,-2.457842
BB1 1NT,53.7477,-2.458223
BB1 1NU,53.74665,-2.458682
BB1 1NW,53.74677,-2.460442
BB1 1NX,53.74632,-2.45927
BB1 1NY,53.74609,-2.461253
BB1 1NZ,53.74621,-2.461694
BB1 1PA,53.74573,-2.462265
BB1 1PB,53.74646,-2.463229
BB1 1PD,53.74817,-2.459396
