PCDS,LAT,LONG
BD1 1AA,53.79604,-1.750602
BD1 1AE,53.79576,-1.750968
BD1 1AF,53.79501,-1.750305
BD1 1AG,53.7935,-1.753258
BD1 1AH,53.79448,-1.749184
BD1 1AJ,53.80265,-1.755847
BD1 1AN,53.79568,-1.750164
BD1 1AW,53.79576,-1.750998
BD1 1BA,53.79321,-1.752122
BD1 1BG,53.79389,-1.749795
BD1 1BL,53.79418,-1.752496
BD1 1BX,53.79576,-1.750998
BD1 1BZ,53.79667,-1.751175
BD1 1DA,53.79399,-1.751662
BD1 1DB,53.79397,-1.751009
BD1 1DD,53.79461,-1.750368
BD1 1DE,53.79441,-1.75049
BD1 1DF,53.79419,-1.750552
BD1 1DG,53.79419,-1.750552
BD1 1DH,53.79436,-1.749261
BD1 1DJ,53.79444,-1.749579
BD1 1DL,53.79414,-1.753589
BD1 1DN,53.79444,-1.749579
BD1 1DP,53.79388,-1.749264
BD1 1DQ,53.79397,-1.751009
BD1 1DR,53.79417,-1.748351
BD1 1DT,53.79389,-1.749795
BD1 1DU,53.79382,-1.749462
BD1 1DW,53.79436,-1.749261
BD1 1DX,53.79306,-1.749496
BD1 1DY,53.79306,-1.749496
BD1 1DZ,53.79287,-1.751759
BD1 1EA,53.79399,-1.751662
BD1 1EB,53.79307,-1.751014
BD1 1ED,53.79355,-1.750435
BD1 1EE,53.7935,-1.751027
BD1 1EF,53.79307,-1.752532
BD1 1EG,53.79428,-1.751812
BD1 1EH,53.79443,-1.751462
BD1 1EJ,53.79433,-1.751295
BD1 1EL,53.79397,-1.752527
BD1 1EP,53.79397,-1.752527
BD1 1EQ,53.80265,-1.755847
BD1 1ER,53.79399,-1.751662
BD1 1ES,53.79397,-1.752527
BD1 1ET,53.79397,-1.752527
BD1 1EU,53.79397,-1.752527
BD1 1EW,53.79397,-1.752527
BD1 1EX,53.79397,-1.752527
BD1 1EY,53.79384,-1.75104
BD1 1EZ,53.79362,-1.751193
BD1 1FB,53.80222,-1.755865
BD1 1FD,53.79667,-1.751175
BD1 1FF,53.80222,-1.755865
BD1 1FG,53.79414,-1.753589
BD1 1FH,53.79667,-1.751175
BD1 1FN,53.79667,-1.751175
BD1 1FW,53.80222,-1.755865
BD1 1HA,53.79401,-1.751373
BD1 1HB,53.79306,-1.749496
BD1 1HD,53.79406,-1.751798
BD1 1HE,53.79217,-1.752538
BD1 1HH,53.79317,-1.75109
BD1 1HJ,53.79355,-1.752105
BD1 1HL,53.79307,-1.752532
BD1 1HN,53.79362,-1.752317
BD1 1HP,53.79308,-1.75405
BD1 1HQ,53.79307,-1.752532
BD1 1HR,53.79217,-1.752538
BD1 1HS,53.79217,-1.752538
BD1 1HT,53.79217,-1.752538
BD1 1HU,53.79217,-1.752538
BD1 1HW,53.79362,-1.752317
BD1 1HX,53.79287,-1.751759
BD1 1HY,53.79233,-1.753296
BD1 1HZ,53.79273,-1.753081
BD1 1JA,53.79259,-1.749363
BD1 1JB,53.79321,-1.752122
BD1 1JD,53.79316,-1.752213
BD1 1JE,53.79172,-1.751463
BD1 1JF,53.79311,-1.751606
BD1 1JG,53.79307,-1.752532
BD1 1JJ,53.79398,-1.754045
BD1 1JL,53.80223,-1.75588
BD1 1JN,53.79274,-1.751684
BD1 1JP,53.80223,-1.75588
BD1 1JQ,53.79217,-1.752538
BD1 1JR,53.79392,-1.748672
BD1 1JS,53.75243,-1.669362
BD1 1JT,53.79254,-1.751017
BD1 1JU,53.79198,-1.751097
BD1 1JW,53.79217,-1.752538
BD1 1JX,53.79223,-1.750503
BD1 1JY,53.79121,-1.749356
