PCDS,LAT,LONG
BH1 1AA,50.7279,-1.863614
BH1 1AE,50.72789,-1.863572
BH1 1AF,50.72325,-1.871292
BH1 1AG,50.72753,-1.86251
BH1 1AH,50.72272,-1.870104
BH1 1AJ,50.72992,-1.871543
BH1 1AL,50.72184,-1.869837
BH1 1AN,50.72249,-1.867668
BH1 1AQ,50.72391,-1.867593
BH1 1AR,50.72292,-1.872738
BH1 1AS,50.72259,-1.872484
BH1 1AT,50.72431,-1.869773
BH1 1AU,50.72095,-1.877276
BH1 1AW,50.72053,-1.878736
BH1 1AX,50.72094,-1.877914
BH1 1AY,50.72197,-1.869227
BH1 1AZ,50.72789,-1.863572
BH1 1BA,50.72033,-1.878411
BH1 1BB,50.72044,-1.878099
BH1 1BD,50.72125,-1.879528
BH1 1BE,50.72789,-1.863572
BH1 1BG,50.72125,-1.879528
BH1 1BH,50.73059,-1.871258
BH1 1BJ,50.72168,-1.871226
BH1 1BL,50.72065,-1.87892
BH1 1BN,50.72065,-1.87892
BH1 1BP,50.72673,-1.873748
BH1 1BQ,50.72111,-1.877715
BH1 1BS,50.72125,-1.878111
BH1 1BT,50.72052,-1.878737
BH1 1BU,50.72071,-1.877574
BH1 1BW,50.72385,-1.804438
BH1 1BX,50.72052,-1.878737
BH1 1BY,50.72095,-1.877276
BH1 1BZ,50.72112,-1.877715
BH1 1DA,50.72121,-1.877403
BH1 1DB,50.72125,-1.878111
BH1 1DD,50.72149,-1.878252
BH1 1DE,50.72392,-1.869038
BH1 1DF,50.7215,-1.877445
BH1 1DG,50.72125,-1.878111
BH1 1DH,50.72215,-1.878109
BH1 1DJ,50.72133,-1.876907
BH1 1DL,50.72155,-1.877218
BH1 1DN,50.72033,-1.877972
BH1 1DP,50.72158,-1.876637
BH1 1DQ,50.72031,-1.879006
BH1 1DR,50.72026,-1.878681
BH1 1DS,50.72043,-1.877632
BH1 1DT,50.72096,-1.87695
BH1 1DU,50.72031,-1.879006
BH1 1DW,50.72177,-1.876991
BH1 1DX,50.72028,-1.878921
BH1 1DY,50.72026,-1.878681
BH1 1DZ,50.72125,-1.878111
BH1 1EA,50.72125,-1.878111
BH1 1EB,50.72789,-1.863572
BH1 1ED,50.72064,-1.877362
BH1 1EE,50.72215,-1.875276
BH1 1EF,50.72304,-1.87244
BH1 1EG,50.7209,-1.877106
BH1 1EH,50.72105,-1.876979
BH1 1EJ,50.72125,-1.878111
BH1 1EL,50.72397,-1.866898
BH1 1EN,50.72183,-1.875942
BH1 1EP,50.72212,-1.875092
BH1 1EQ,50.72125,-1.876695
BH1 1ER,50.7279,-1.863614
BH1 1ES,50.72177,-1.876141
BH1 1ET,50.7219,-1.875645
BH1 1EU,50.72198,-1.875475
BH1 1EW,50.72155,-1.876382
BH1 1EX,50.72305,-1.875273
BH1 1EY,50.72206,-1.875276
BH1 1EZ,50.72181,-1.875971
BH1 1HA,50.72305,-1.875273
BH1 1HB,50.72226,-1.874794
BH1 1HD,50.72395,-1.875271
BH1 1HE,50.72304,-1.87244
BH1 1HF,50.72249,-1.874581
BH1 1HG,50.72313,-1.874876
BH1 1HH,50.72395,-1.875271
BH1 1HJ,50.72395,-1.875271
BH1 1HL,50.72324,-1.875358
BH1 1HN,50.72395,-1.875271
BH1 1HP,50.72324,-1.875358
BH1 1HQ,50.72395,-1.875271
BH1 1HR,50.72395,-1.876688
BH1 1HS,50.7231,-1.876038
BH1 1HT,50.72581,-1.875025
BH1 1HU,50.72477,-1.875906
BH1 1HW,50.72295,-1.874707
BH1 1HX,50.72605,-1.874004
BH1 1HY,50.72469,-1.872166
BH1 1HZ,50.72662,-1.873025
BH1 1JA,50.72527,-1.872335
BH1 1JB,50.72695,-1.874611
BH1 1JD,50.72321,-1.876789
BH1 1JE,50.7221,-1.877245
BH1 1JF,50.72324,-1.875358
BH1 1JG,50.72394,-1.873854
BH1 1JH,50.72306,-1.868898
BH1 1JJ,50.72266,-1.870472
BH1 1JL,50.72288,-1.869324
BH1 1JN,50.72285,-1.87118
BH1 1JP,50.72312,-1.870216
BH1 1JQ,50.72305,-1.873857
BH1 1JR,50.72241,-1.870303
BH1 1JS,50.72236,-1.871974
BH1 1JT,50.72249,-1.869453
BH1 1JU,50.72239,-1.869864
BH1 1JW,50.72219,-1.871536
BH1 1JX,50.72304,-1.871023
BH1 1JY,50.72304,-1.871023
BH1 1JZ,50.72235,-1.867923
BH1 1LA,50.7279,-1.863614
BH1 1LB,50.72304,-1.871023
BH1 1LD,50.72311,-1.870442
BH1 1LE,50.72309,-1.86836
BH1 1LF,50.72305,-1.873857
BH1 1LG,50.72015,-1.877448
BH1 1LH,50.72076,-1.878977
BH1 1LJ,50.72049,-1.876626
BH1 1LL,50.7211,-1.876256
BH1 1LN,50.72091,-1.876426
BH1 1LP,50.72125,-1.878111
BH1 1LQ,50.72035,-1.878114
BH1 1LR,50.72163,-1.875518
BH1 1LS,50.72305,-1.873857
BH1 1LT,50.72305,-1.873857
BH1 1LU,50.72196,-1.874483
BH1 1LW,50.72125,-1.878111
BH1 1LX,50.72305,-1.873857
BH1 1LY,50.72295,-1.874707
BH1 1LZ,50.72196,-1.874483
BH1 1NA,50.72205,-1.874369
BH1 1NB,50.72305,-1.873857
BH1 1ND,50.72305,-1.873857
BH1 1NE,50.72183,-1.874752
BH1 1NF,50.72214,-1.874185
BH1 1NG,50.72305,-1.873857
BH1 1NJ,50.72215,-1.873859
BH1 1NL,50.72231,-1.87342
BH1 1NN,50.72304,-1.87244
BH1 1NP,50.72124,-1.873862
BH1 1NQ,50.72125,-1.875278
BH1 1NR,50.72215,-1.873859
BH1 1NS,50.72305,-1.873857
BH1 1NT,50.72305,-1.873857
BH1 1NU,50.72203,-1.872117
BH1 1NW,50.72305,-1.873857
BH1 1NX,50.72305,-1.873857
BH1 1NY,50.72304,-1.871023
BH1 1NZ,50.72215,-1.873859
BH1 1PA,50.72351,-1.868274
BH1 1PB,50.72304,-1.871023
BH1 1PD,50.72195,-1.870842
BH1 1PE,50.72216,-1.869595
BH1 1PF,50.72221,-1.868646
BH1 1PG,50.72304,-1.871023
BH1 1PH,50.72197,-1.867726
BH1 1PJ,50.72199,-1.868887
BH1 1PL,50.72304,-1.86819
BH1 1PN,50.72351,-1.86826
BH1 1PP,50.73013,-1.872137
BH1 1PQ,50.72304,-1.871023
BH1 1PS,50.73072,-1.873255
BH1 1PW,50.72145,-1.870886
BH1 1PY,50.72395,-1.876688
BH1 1PZ,50.72125,-1.878111
BH1 1QA,50.72522,-1.869742
BH1 1QB,50.72717,-1.875135
BH1 1QD,50.72483,-1.868185
BH1 1QF,50.72394,-1.869151
BH1 1QG,50.72334,-1.870966
BH1 1QH,50.72484,-1.869602
BH1 1QJ,50.72348,-1.869492
BH1 1QL,50.72427,-1.868654
BH1 1QN,50.72427,-1.86864
BH1 1QP,50.72483,-1.868185
BH1 1QQ,50.72411,-1.867904
BH1 1QR,50.7262,-1.868224
BH1 1QS,50.72324,-1.871972
BH1 1QU,50.72573,-1.868183
BH1 1QW,50.72663,-1.86818
BH1 1QX,50.72567,-1.869925
BH1 1QY,50.72791,-1.86897
BH1 1QZ,50.72883,-1.872906
BH1 1RA,50.72796,-1.873985
BH1 1RB,50.72679,-1.872444
BH1 1RD,50.7266,-1.869625
BH1 1RE,50.72762,-1.869608
BH1 1RF,50.72845,-1.871561
BH1 1RG,50.72724,-1.87274
BH1 1RH,50.72963,-1.870977
BH1 1RJ,50.73051,-1.872604
BH1 1RL,50.73017,-1.873171
BH1 1RN,50.72858,-1.868529
BH1 1RP,50.73124,-1.872658
BH1 1RQ,50.72933,-1.872905
BH1 1RR,50.72815,-1.867722
BH1 1RS,50.72937,-1.870567
BH1 1RT,50.73009,-1.871783
BH1 1RU,50.72232,-1.866931
BH1 1RW,50.73041,-1.870932
BH1 1RX,50.72247,-1.866449
BH1 1RY,50.72244,-1.866279
BH1 1RZ,50.7233,-1.866815
BH1 1SA,50.72232,-1.866931
BH1 1SB,50.72302,-1.866632
BH1 1SD,50.7228,-1.867313
BH1 1SE,50.72271,-1.867653
BH1 1SF,50.72483,-1.868185
BH1 1SG,50.7228,-1.867313
BH1 1SH,50.72304,-1.871023
BH1 1SJ,50.72323,-1.866433
BH1 1SN,50.72395,-1.875271
BH1 1UH,50.72086,-1.877843
BH1 1UU,50.72035,-1.87953
BH1 1UX,50.72789,-1.863572
BH1 1WQ,50.72789,-1.863572
BH1 1WT,50.72789,-1.863572
BH1 1WU,50.72789,-1.863572
BH1 1WW,50.72789,-1.863572
BH1 1WX,50.72789,-1.863572
BH1 1WY,50.72035,-1.87953
BH1 1WZ,50.72789,-1.863572
BH1 1XA,50.72035,-1.87953
BH1 1XB,50.72035,-1.87953
BH1 1XD,50.72789,-1.863572
BH1 1XE,50.72789,-1.863572
BH1 1XF,50.7247,-1.872152
BH1 1XG,50.7247,-1.872152
BH1 1XH,50.72035,-1.87953
BH1 1XJ,50.72035,-1.87953
BH1 1XL,50.72035,-1.87953
BH1 1XN,50.72035,-1.87953
BH1 1XP,50.72035,-1.87953
BH1 1XQ,50.72035,-1.87953
BH1 1XR,50.72035,-1.87953
BH1 1XS,50.72035,-1.87953
BH1 1XT,50.72789,-1.863572
BH1 1XU,50.7247,-1.872152
BH1 1XW,50.72789,-1.863572
BH1 1XX,50.72086,-1.877843
BH1 1XY,50.72527,-1.872335
BH1 1XZ,50.72789,-1.863572
BH1 1YA,50.72035,-1.87953
BH1 1YB,50.72789,-1.863572
BH1 1YD,50.72789,-1.863572
BH1 1YE,50.72789,-1.863572
BH1 1YF,50.7247,-1.872152
BH1 1YG,50.72789,-1.863572
BH1 1YH,50.72789,-1.863572
BH1 1YJ,50.72789,-1.863572
BH1 1YL,50.7279,-1.863614
BH1 1YN,50.72664,-1.869597
BH1 1YP,50.7247,-1.872152
BH1 1YQ,50.72789,-1.863572
BH1 1YR,50.72789,-1.863572
BH1 1YS,50.72789,-1.863572
BH1 1YT,50.72789,-1.863572
BH1 1YU,50.72789,-1.863572
BH1 1YW,50.72214,-1.872443
BH1 1YX,50.72789,-1.863572
BH1 1YY,50.72789,-1.863572
BH1 1YZ,50.72086,-1.877843
BH1 1ZA,50.72304,-1.86819
BH1 1ZB,50.7247,-1.872152
BH1 1ZD,50.72789,-1.863572
BH1 1ZE,50.72789,-1.863572
BH1 1ZF,50.72789,-1.863572
BH1 1ZH,50.72789,-1.863572
BH1 1ZJ,50.72789,-1.863572
BH1 1ZL,50.72789,-1.863572
BH1 1ZN,50.72789,-1.863572
BH1 1ZP,50.72789,-1.863572
BH1 1ZQ,50.7247,-1.872152
BH1 1ZR,50.72789,-1.863572
BH1 1ZS,50.72789,-1.863572
BH1 1ZT,50.72789,-1.863572
BH1 1ZU,50.72789,-1.863572
BH1 1ZW,50.72789,-1.863572
BH1 1ZX,50.72789,-1.863572
BH1 2AA,50.71989,-1.876967
BH1 2AB,50.72125,-1.876695
BH1 2AD,50.72107,-1.875944
BH1 2AE,50.72789,-1.863572
BH1 2AF,50.72019,-1.876811
BH1 2AG,50.7207,-1.87307
BH1 2AH,50.72005,-1.876783
BH1 2AJ,50.7182,-1.872949
BH1 2AL,50.71984,-1.876429
BH1 2AN,50.72026,-1.878666
BH1 2AP,50.71891,-1.873188
BH1 2AQ,50.71966,-1.879249
BH1 2AR,50.71891,-1.873188
BH1 2AS,50.71982,-1.876529
BH1 2AT,50.72404,-1.906536
BH1 2AX,50.71945,-1.8767
BH1 2BA,50.7196,-1.876161
BH1 2BB,50.71945,-1.875283
BH1 2BE,50.71945,-1.8767
BH1 2BH,50.71945,-1.8767
BH1 2BJ,50.71945,-1.8767
BH1 2BL,50.71855,-1.875285
BH1 2BN,50.71884,-1.874605
BH1 2BP,50.71855,-1.875285
BH1 2BR,50.71855,-1.873869
BH1 2BS,50.71821,-1.873147
BH1 2BT,50.71832,-1.872935
BH1 2BU,50.71753,-1.875147
BH1 2BW,50.72411,-1.90655
BH1 2BX,50.71765,-1.875288
BH1 2BY,50.71932,-1.875878
BH1 2BZ,50.71854,-1.874365
BH1 2DA,50.71855,-1.875285
BH1 2DB,50.71941,-1.876062
BH1 2DD,50.71945,-1.875283
BH1 2DE,50.71916,-1.873867
BH1 2DH,50.72035,-1.876697
BH1 2DL,50.72035,-1.876697
BH1 2DN,50.72035,-1.876697
BH1 2DP,50.71855,-1.873869
BH1 2DR,50.71945,-1.873866
BH1 2DS,50.71855,-1.873869
BH1 2DT,50.71855,-1.873869
BH1 2DW,50.72035,-1.876697
BH1 2DX,50.71855,-1.873869
BH1 2DZ,50.71855,-1.873869
BH1 2EB,50.71855,-1.873869
BH1 2ED,50.71945,-1.875283
BH1 2EE,50.71987,-1.875239
BH1 2EF,50.71911,-1.873499
BH1 2EG,50.71891,-1.873188
BH1 2EH,50.71945,-1.875283
BH1 2EJ,50.71855,-1.873869
BH1 2EL,50.71855,-1.873869
BH1 2EN,50.71979,-1.875764
BH1 2EP,50.71901,-1.871134
BH1 2EQ,50.72125,-1.876695
BH1 2ER,50.71944,-1.871033
BH1 2ES,50.71931,-1.870977
BH1 2ET,50.71818,-1.871745
BH1 2EU,50.71994,-1.87133
BH1 2EW,50.71752,-1.872597
BH1 2EX,50.72022,-1.870904
BH1 2EZ,50.71644,-1.874002
BH1 2FF,50.71645,-1.874002
BH1 2HF,50.71945,-1.873866
BH1 2HH,50.72012,-1.87487
BH1 2HJ,50.72034,-1.872447
BH1 2HL,50.72011,-1.871981
BH1 2HN,50.72034,-1.872447
BH1 2HP,50.71919,-1.872153
BH1 2HR,50.71919,-1.872153
BH1 2HS,50.71946,-1.872521
BH1 2HT,50.71946,-1.872521
BH1 2HU,50.71946,-1.872521
BH1 2HW,50.71919,-1.872153
BH1 2HX,50.72125,-1.875278
BH1 2HY,50.72125,-1.876695
BH1 2HZ,50.72134,-1.875632
BH1 2JA,50.72183,-1.873704
BH1 2JB,50.72305,-1.873857
BH1 2JD,50.72305,-1.873857
BH1 2JE,50.72195,-1.874157
BH1 2JF,50.72305,-1.873857
BH1 2JG,50.72157,-1.874682
BH1 2JH,50.72305,-1.873857
BH1 2JJ,50.72181,-1.874313
BH1 2JL,50.72171,-1.874441
BH1 2JN,50.72161,-1.874555
BH1 2JP,50.72115,-1.874967
BH1 2JQ,50.72152,-1.874796
BH1 2JR,50.7212,-1.874655
BH1 2JS,50.72108,-1.875944
BH1 2JT,50.72215,-1.875276
BH1 2JU,50.72118,-1.872629
BH1 2JW,50.72152,-1.874796
BH1 2JX,50.72113,-1.874301
BH1 2JY,50.72034,-1.871031
BH1 2JZ,50.72118,-1.874981
BH1 2LA,50.7208,-1.873367
BH1 2LB,50.72031,-1.87164
BH1 2LD,50.72035,-1.871343
BH1 2LE,50.72138,-1.875462
BH1 2LF,50.72086,-1.871327
BH1 2LG,50.72086,-1.871327
BH1 2LH,50.72029,-1.872802
BH1 2LJ,50.72148,-1.874952
BH1 2LN,50.72142,-1.875292
BH1 2LP,50.72148,-1.874952
BH1 2LQ,50.721,-1.875279
BH1 2LR,50.72011,-1.871981
BH1 2LS,50.72074,-1.872333
BH1 2LT,50.72043,-1.870294
BH1 2LU,50.72183,-1.871693
BH1 2LW,50.72144,-1.875136
BH1 2LX,50.72155,-1.872048
BH1 2LY,50.72148,-1.874966
BH1 2LZ,50.72171,-1.872855
BH1 2NA,50.72184,-1.87369
BH1 2NB,50.72305,-1.873857
BH1 2ND,50.72305,-1.873857
BH1 2NE,50.72305,-1.873857
BH1 2NF,50.72404,-1.906536
BH1 2NG,50.72149,-1.874017
BH1 2NH,50.72171,-1.874427
BH1 2NJ,50.72003,-1.869431
BH1 2NL,50.72005,-1.869105
BH1 2NN,50.72044,-1.868509
BH1 2NP,50.72096,-1.867403
BH1 2NR,50.72099,-1.869783
BH1 2NS,50.7211,-1.869187
BH1 2NT,50.72149,-1.874017
BH1 2NU,50.72145,-1.868563
BH1 2NW,50.72075,-1.867885
BH1 2NX,50.72178,-1.867216
BH1 2PE,50.72164,-1.867585
BH1 2PF,50.72145,-1.868563
BH1 2PG,50.72157,-1.867996
BH1 2PH,50.72145,-1.868563
BH1 2PJ,50.72145,-1.868563
BH1 2PL,50.72145,-1.868563
BH1 2PN,50.72145,-1.868563
BH1 2PP,50.72178,-1.867216
BH1 2PQ,50.72145,-1.868563
BH1 2PR,50.72121,-1.866708
BH1 2PS,50.72124,-1.868195
BH1 2PT,50.72124,-1.868195
BH1 2PU,50.72034,-1.869614
BH1 2PW,50.72145,-1.868563
BH1 2WA,50.72789,-1.863572
BH1 2WB,50.7279,-1.863614
BH1 2WD,50.72789,-1.863572
BH1 2WE,50.72147,-1.868563
BH1 2XF,50.72789,-1.863572
BH1 2XJ,50.72147,-1.868563
BH1 2XN,50.72147,-1.868563
BH1 2XQ,50.72789,-1.863572
BH1 2XR,50.72789,-1.863572
BH1 2XZ,50.72789,-1.863572
BH1 2YA,50.72789,-1.863572
BH1 2YB,50.72789,-1.863572
BH1 2YD,50.7207,-1.873126
BH1 2YE,50.7207,-1.873126
BH1 2YF,50.72789,-1.863572
BH1 2YG,50.72789,-1.863572
BH1 2YH,50.72012,-1.871981
BH1 2YJ,50.72125,-1.875278
BH1 2YL,50.72789,-1.863572
