PCDS,LAT,LONG
BL0 0AA,53.64777,-2.31238
BL0 0AB,53.64801,-2.312472
BL0 0AD,53.64917,-2.313283
BL0 0AE,53.65025,-2.313003
BL0 0AF,53.6592,-2.312964
BL0 0AG,53.64735,-2.309669
BL0 0AH,53.64925,-2.312981
BL0 0AJ,53.6475,-2.303785
BL0 0AL,53.64765,-2.310064
BL0 0AN,53.64466,-2.308076
BL0 0AP,53.64685,-2.309302
BL0 0AQ,53.64709,-2.309425
BL0 0AR,53.64646,-2.309435
BL0 0AS,53.64475,-2.309075
BL0 0AT,53.64661,-2.308393
BL0 0AU,53.64732,-2.307823
BL0 0AW,53.64467,-2.307577
BL0 0AX,53.64745,-2.304723
BL0 0AY,53.64765,-2.305269
BL0 0AZ,53.6476,-2.308112
BL0 0BA,53.64869,-2.309633
BL0 0BB,53.65072,-2.310571
BL0 0BD,53.65004,-2.308508
BL0 0BE,53.65013,-2.307223
BL0 0BF,53.67122,-2.306121
BL0 0BG,53.65005,-2.308993
BL0 0BH,53.64882,-2.307955
BL0 0BJ,53.64795,-2.309204
BL0 0BL,53.64828,-2.304986
BL0 0BN,53.64841,-2.309283
BL0 0BP,53.66735,-2.302687
BL0 0BQ,53.65137,-2.308352
BL0 0BS,53.64527,-2.313768
BL0 0BT,53.64708,-2.310393
BL0 0BU,53.64794,-2.310218
BL0 0BW,53.64771,-2.303393
BL0 0BX,53.65213,-2.305604
BL0 0BY,53.64547,-2.307008
BL0 0BZ,53.64557,-2.305269
BL0 0DA,53.64487,-2.305536
BL0 0DB,53.64466,-2.304763
BL0 0DD,53.64603,-2.3014
BL0 0DE,53.64919,-2.303601
BL0 0DF,53.6499,-2.303848
BL0 0DG,53.65243,-2.304199
BL0 0DH,53.64686,-2.303675
BL0 0DJ,53.64734,-2.302513
BL0 0DL,53.64801,-2.303955
BL0 0DN,53.65318,-2.303629
BL0 0DP,53.65005,-2.304197
BL0 0DQ,53.65399,-2.301078
BL0 0DR,53.65166,-2.304496
BL0 0DS,53.65244,-2.304608
BL0 0DT,53.64549,-2.320652
BL0 0DU,53.65253,-2.308814
BL0 0DW,53.65244,-2.303095
BL0 0DX,53.65303,-2.303553
BL0 0DY,53.66847,-2.305177
BL0 0DZ,53.65333,-2.302753
BL0 0EA,53.65309,-2.302948
BL0 0EB,53.66489,-2.305273
BL0 0ED,53.65482,-2.303853
BL0 0EE,53.65492,-2.302749
BL0 0EF,53.65542,-2.303313
BL0 0EG,53.6602,-2.303317
BL0 0EH,53.65588,-2.30315
BL0 0EJ,53.65596,-2.303846
BL0 0EL,53.65525,-2.302933
BL0 0EN,53.66573,-2.304023
BL0 0EP,53.65708,-2.303007
BL0 0EQ,53.66141,-2.303447
BL0 0ER,53.65804,-2.30374
BL0 0ES,53.66288,-2.303533
BL0 0ET,53.66582,-2.304462
BL0 0EU,53.66573,-2.304673
BL0 0EW,53.66661,-2.303333
BL0 0EX,53.66072,-2.31063
BL0 0EY,53.66697,-2.304122
BL0 0EZ,53.66634,-2.306025
BL0 0FA,53.59264,-2.310205
BL0 0FB,53.66029,-2.310505
BL0 0FD,53.66029,-2.310505
BL0 0FE,53.66029,-2.310505
BL0 0FF,53.66029,-2.310505
BL0 0FG,53.66029,-2.310505
BL0 0FH,53.59264,-2.310205
BL0 0FJ,53.66029,-2.310505
BL0 0FL,53.66029,-2.310505
BL0 0FN,53.59264,-2.310205
