PCDS,LAT,LONG
BN1 1AA,50.82633,-0.140791
BN1 1AB,50.82295,-0.141762
BN1 1AD,50.82158,-0.141973
BN1 1AE,50.82138,-0.141726
BN1 1AF,50.82254,-0.141566
BN1 1AG,50.82291,-0.142843
BN1 1AH,50.82273,-0.142864
BN1 1AJ,50.82145,-0.142532
BN1 1AL,50.82142,-0.142945
BN1 1AN,50.82208,-0.143472
BN1 1AP,50.8208,-0.14368
BN1 1AR,50.82307,-0.143235
BN1 1AS,50.82257,-0.144347
BN1 1AT,50.82763,-0.141051
BN1 1AU,50.82393,-0.13772
BN1 1AW,50.82633,-0.140791
BN1 1AX,50.8281,-0.140649
BN1 1AY,50.82116,-0.141862
BN1 1AZ,50.82095,-0.142282
BN1 1BA,50.82254,-0.141566
BN1 1BB,50.82077,-0.144419
BN1 1BD,50.82277,-0.14062
BN1 1BE,50.821,-0.143033
BN1 1BF,50.82077,-0.144419
BN1 1BG,50.82231,-0.1421
BN1 1BH,50.82753,-0.141467
BN1 1BJ,50.82277,-0.140634
BN1 1BL,50.8234,-0.140055
BN1 1BN,50.82283,-0.139567
BN1 1BP,50.82123,-0.138224
BN1 1BQ,50.82165,-0.142964
BN1 1BR,50.82498,-0.142065
BN1 1BS,50.82298,-0.142613
BN1 1BT,50.82277,-0.140634
BN1 1BU,50.82633,-0.140791
BN1 1BW,50.82255,-0.142929
BN1 1BX,50.82255,-0.142929
BN1 1BY,50.82255,-0.142929
BN1 1BZ,50.82255,-0.142929
BN1 1DA,50.82633,-0.140791
BN1 1DB,50.82779,-0.146043
BN1 1DD,50.82255,-0.142929
BN1 1DE,50.82163,-0.141545
BN1 1DF,50.82277,-0.14062
BN1 1DG,50.82633,-0.140791
BN1 1DH,50.82277,-0.14062
BN1 1DJ,50.82633,-0.140791
BN1 1DL,50.82273,-0.140536
BN1 1DN,50.82272,-0.14092
BN1 1DP,50.82185,-0.138299
BN1 1DQ,50.82704,-0.14275
BN1 1DR,50.82277,-0.140634
BN1 1DS,50.8225,-0.140091
BN1 1DT,50.82068,-0.138743
BN1 1DU,50.82273,-0.140536
BN1 1DW,50.82265,-0.139616
BN1 1DX,50.82151,-0.137731
BN1 1DY,50.82068,-0.138743
BN1 1DZ,50.82143,-0.138486
BN1 1EA,50.82263,-0.139433
BN1 1EB,50.82245,-0.140064
BN1 1ED,50.82272,-0.139245
BN1 1EE,50.82185,-0.138299
BN1 1EF,50.82165,-0.137768
BN1 1EG,50.82136,-0.138134
BN1 1EH,50.82162,-0.137542
BN1 1EJ,50.82151,-0.136211
BN1 1EL,50.8205,-0.136337
BN1 1EN,50.82099,-0.136403
BN1 1EP,50.8227,-0.140836
BN1 1EQ,50.82068,-0.138743
BN1 1ER,50.82633,-0.140791
BN1 1ES,50.82185,-0.138299
BN1 1ET,50.8225,-0.140091
BN1 1EU,50.82633,-0.140791
BN1 1EW,50.82273,-0.140536
BN1 1EX,50.82133,-0.136304
BN1 1EY,50.82363,-0.139691
BN1 1EZ,50.82285,-0.140034
BN1 1FA,50.82633,-0.140791
BN1 1FB,50.82273,-0.140436
BN1 1FD,50.82253,-0.14151
BN1 1FE,50.82633,-0.140791
BN1 1FF,50.8225,-0.140091
BN1 1FG,50.82273,-0.140536
BN1 1FH,50.82277,-0.14062
