PCDS,LAT,LONG
BR1 1AA,51.40155,0.01544
BR1 1AB,51.40633,0.015234
BR1 1AD,51.40006,0.016741
BR1 1AE,51.40454,0.014221
BR1 1AF,51.40139,0.014973
BR1 1AG,51.40139,0.014973
BR1 1AH,51.40044,0.01739
BR1 1AJ,51.40049,0.018859
BR1 1AL,51.40655,0.01313
BR1 1AN,51.40662,0.017591
BR1 1AP,51.4061,0.018286
BR1 1AQ,51.40588,0.015631
BR1 1AR,51.40727,0.01749
BR1 1AS,51.39899,0.016191
BR1 1AX,51.40823,0.017604
BR1 1BA,51.39909,0.015462
BR1 1BB,51.39819,0.015422
BR1 1BP,51.40903,0.010262
BR1 1BQ,51.40806,0.015899
BR1 1BS,51.40728,0.01007
BR1 1BT,51.39914,0.012589
BR1 1BU,51.40907,0.010149
BR1 1BW,51.39899,0.016191
BR1 1BX,51.40728,0.01007
BR1 1BY,51.40812,0.010898
BR1 1BZ,51.40823,0.017604
BR1 1DA,51.40715,0.017254
BR1 1DB,51.40728,0.01007
BR1 1DD,51.40389,0.016607
BR1 1DE,51.40856,0.010616
BR1 1DF,51.4089,0.010386
BR1 1DG,51.40919,0.010068
BR1 1DH,51.40903,0.010262
BR1 1DJ,51.40404,0.017405
BR1 1DL,51.40919,0.010068
BR1 1DN,51.40389,0.016607
BR1 1DP,51.39899,0.016191
BR1 1DQ,51.4089,0.010386
BR1 1DR,51.39909,0.015462
BR1 1DS,51.39977,0.016297
BR1 1DT,51.40903,0.010262
BR1 1DU,51.39899,0.016191
BR1 1DW,51.40409,0.014488
BR1 1DX,51.40823,0.017604
BR1 1EA,51.40046,0.016715
BR1 1EE,51.40089,0.015541
BR1 1EG,51.40168,0.015705
BR1 1EH,51.40823,0.017604
BR1 1EJ,51.40089,0.015541
BR1 1EL,51.40179,0.01558
BR1 1EN,51.40206,0.015362
BR1 1EP,51.40181,0.014144
BR1 1ER,51.39937,0.017904
BR1 1ES,51.40271,0.014183
BR1 1EU,51.40271,0.014183
BR1 1EW,51.40253,0.015196
BR1 1EX,51.40377,0.014474
BR1 1EY,51.403,0.014958
BR1 1EZ,51.40434,0.014787
BR1 1GA,51.40425,0.014697
BR1 1HA,51.40377,0.014474
BR1 1HB,51.40451,0.014262
BR1 1HD,51.40389,0.016607
BR1 1HE,51.40554,0.014351
BR1 1HF,51.4029,0.014997
BR1 1HG,51.40372,0.014875
BR1 1HH,51.40543,0.012865
BR1 1HJ,51.40521,0.014279
BR1 1HL,51.4054,0.014302
BR1 1HN,51.40039,0.015203
BR1 1HP,51.40078,0.014429
BR1 1HQ,51.40451,0.014262
BR1 1HR,51.40165,0.01474
BR1 1HS,51.40156,0.014492
BR1 1HT,51.40152,0.014275
BR1 1HU,51.4021,0.014846
BR1 1HW,51.40095,0.013574
BR1 1HX,51.40114,0.014416
BR1 1HY,51.4021,0.014962
BR1 1HZ,51.40179,0.014042
BR1 1JA,51.4019,0.014349
BR1 1JB,51.40257,0.014421
BR1 1JD,51.40457,0.015343
BR1 1JF,51.40427,0.015359
BR1 1JG,51.40455,0.015486
BR1 1JH,51.40451,0.01534
BR1 1JJ,51.40451,0.014262
BR1 1JL,51.40402,0.01542
BR1 1JN,51.40687,0.015215
BR1 1JP,51.40316,0.015626
BR1 1JQ,51.4036,0.015516
BR1 1JR,51.4019,0.014349
BR1 1JS,51.40271,0.014183
