PCDS,LAT,LONG
BS0 1ZZ,51.34388,-2.957029
BS1 1AA,51.44952,-2.578372
BS1 1AB,51.44952,-2.578372
BS1 1AD,51.45845,-2.574166
BS1 1AE,51.44952,-2.578372
BS1 1AF,51.44952,-2.578372
BS1 1AG,51.44952,-2.578372
BS1 1AH,51.44952,-2.578372
BS1 1AJ,51.44952,-2.578372
BS1 1AL,51.44952,-2.578372
BS1 1AN,51.44952,-2.578372
BS1 1AP,51.44952,-2.578372
BS1 1AQ,51.44952,-2.578372
BS1 1AR,51.44952,-2.578372
BS1 1BA,51.45177,-2.594302
BS1 1BB,51.44952,-2.578372
BS1 1BD,51.44952,-2.578372
BS1 1BE,51.44952,-2.578372
BS1 1BF,51.44952,-2.578372
BS1 1BG,51.44952,-2.578372
BS1 1BH,51.44952,-2.578372
BS1 1BJ,51.44952,-2.578372
BS1 1BL,51.44952,-2.578372
BS1 1BN,51.44952,-2.578372
BS1 1BP,51.44952,-2.578372
BS1 1BT,51.45354,-2.595635
BS1 1BU,51.45366,-2.593938
BS1 1BX,51.44952,-2.578372
BS1 1BZ,51.45447,-2.594337
BS1 1DA,51.45479,-2.595004
BS1 1DB,51.45517,-2.595469
BS1 1DD,51.45975,-2.574946
BS1 1DE,51.45528,-2.595168
BS1 1DF,51.45446,-2.595777
BS1 1DH,51.45446,-2.595777
BS1 1DJ,51.45446,-2.595777
BS1 1DL,51.45364,-2.59414
BS1 1DN,51.45446,-2.595777
BS1 1DP,51.4549,-2.594329
BS1 1DQ,51.45242,-2.593217
BS1 1DR,51.45544,-2.593458
BS1 1DS,51.45447,-2.594337
BS1 1DT,51.45447,-2.594337
BS1 1DU,51.45447,-2.594337
BS1 1DW,51.45493,-2.594387
BS1 1DX,51.45514,-2.593986
BS1 1DY,51.45542,-2.595573
BS1 1DZ,51.45543,-2.595559
BS1 1EA,51.4546,-2.595433
BS1 1EB,51.45515,-2.595728
BS1 1ED,51.45267,-2.594314
BS1 1EE,51.45478,-2.595723
BS1 1EF,51.45446,-2.597216
