PCDS,LAT,LONG
BT1 1AA,53.265,-2.98623
BT1 1AE,53.26488,-2.995163
BT1 1AF,53.26488,-2.995163
BT1 1AG,53.26527,-2.986446
BT1 1AH,100.0,0.0
BT1 1AL,53.26287,-2.997695
BT1 1AN,53.26527,-2.986446
BT1 1AP,100.0,0.0
BT1 1AQ,53.26527,-2.986446
BT1 1AR,53.26527,-2.986446
BT1 1AS,53.26522,-2.986475
BT1 1AT,53.26527,-2.986446
BT1 1AU,53.26527,-2.986446
BT1 1AX,53.26527,-2.986446
BT1 1AY,53.26527,-2.986446
BT1 1BB,53.26213,-2.993569
BT1 1BG,100.0,0.0
BT1 1BH,53.26235,-2.992825
BT1 1BL,53.26165,-2.994248
BT1 1BN,53.26208,-2.992174
BT1 1BP,53.26527,-2.986446
BT1 1BQ,53.26229,-2.992854
BT1 1BT,100.0,0.0
BT1 1BU,53.26527,-2.986446
BT1 1BW,53.26235,-2.992825
BT1 1BX,53.26527,-2.986446
BT1 1DA,53.26215,-2.994514
BT1 1DB,53.26251,-2.996097
BT1 1DD,53.26287,-2.997695
BT1 1DE,53.26235,-2.994474
BT1 1DF,53.26287,-2.997695
BT1 1DG,53.26287,-2.997695
BT1 1DH,53.26389,-2.99514
BT1 1DJ,53.26411,-2.995414
BT1 1DL,53.26484,-2.995191
BT1 1DN,53.26557,-2.994654
BT1 1DP,53.26557,-2.994654
BT1 1DR,53.26588,-2.994481
BT1 1DS,53.26557,-2.994654
BT1 1DT,100.0,0.0
BT1 1DU,53.26488,-2.995163
BT1 1DW,53.26588,-2.994481
BT1 1DX,53.26557,-2.994654
BT1 1DY,53.26215,-2.994514
BT1 1DZ,53.26588,-2.994481
BT1 1EA,53.26526,-2.994916
BT1 1EB,53.26526,-2.994916
BT1 1ED,100.0,0.0
BT1 1EE,53.26399,-2.994692
BT1 1EF,53.26488,-2.995163
BT1 1EH,100.0,0.0
BT1 1EJ,53.26229,-2.998506
BT1 1EL,53.26189,-2.993264
BT1 1EN,53.26557,-2.994654
BT1 1EP,100.0,0.0
BT1 1ER,53.26475,-2.994035
BT1 1ES,53.26588,-2.994481
BT1 1ET,53.26557,-2.994654
BT1 1EU,53.26488,-2.995163
BT1 1EW,53.26488,-2.995163
BT1 1EX,53.26401,-2.994753
BT1 1EY,53.26557,-2.994654
BT1 1EZ,53.26557,-2.994654
BT1 1FA,53.2624,-2.993801
BT1 1FB,53.26213,-2.993809
BT1 1FD,53.26291,-2.994142
BT1 1FE,53.26374,-2.994596
BT1 1FF,53.26471,-2.994619
BT1 1FG,53.26528,-2.994152
BT1 1FH,53.2654,-2.994035
BT1 1FJ,53.2623,-2.996257
BT1 1FL,53.26229,-2.995837
BT1 1FN,53.26357,-2.996886
BT1 1FP,53.26378,-2.994012
BT1 1FQ,53.26488,-2.995163
BT1 1FR,53.26378,-2.994012
BT1 1FS,53.26488,-2.995163
BT1 1FT,53.26334,-2.994347
BT1 1FW,53.26488,-2.995163
BT1 1FX,53.26326,-2.994105
BT1 1FY,53.2619,-2.993369
BT1 1FZ,53.26326,-2.994105
BT1 1GA,53.2625,-2.993128
BT1 1GB,53.26164,-2.992464
BT1 1GD,100.0,0.0
BT1 1GE,53.26154,-2.997484
BT1 1GG,53.26161,-2.99744
BT1 1GH,53.2617,-2.996048
BT1 1GJ,53.26215,-2.998742
BT1 1GL,53.26161,-2.99744
BT1 1GP,53.26154,-2.997484
BT1 1GR,53.26161,-2.99744
BT1 1GT,53.26488,-2.995163
BT1 1GU,53.26165,-2.995237
BT1 1GW,53.26154,-2.997484
BT1 1HB,53.26135,-2.995455
BT1 1HD,53.26141,-2.996941
BT1 1HE,53.26143,-2.997601
BT1 1HF,53.26138,-2.99742
BT1 1HG,53.26138,-2.99742
BT1 1HH,53.26189,-2.996232
BT1 1HJ,53.26184,-2.994492
BT1 1HL,53.26184,-2.995931
BT1 1HP,53.26131,-2.998273
BT1 1HQ,53.262,-2.99646
BT1 1HR,53.26287,-2.997695
BT1 1HS,53.26244,-3.001867
BT1 1HT,100.0,0.0
BT1 1HU,53.26187,-2.997641
BT1 1HX,53.26184,-2.9977
BT1 1HY,53.26184,-2.9977
BT1 1HZ,53.26184,-2.9977
BT1 1JA,53.26402,-2.997406
BT1 1JB,53.26154,-2.997484
BT1 1JE,53.26402,-2.997406
BT1 1JF,53.26402,-2.997406
BT1 1JG,53.26154,-2.997484
BT1 1JH,53.26296,-2.997142
BT1 1JJ,53.26179,-2.99722
BT1 1JL,53.26369,-2.996454
BT1 1JN,53.26375,-2.995976
BT1 1JP,53.26437,-2.997654
BT1 1JQ,53.26397,-2.996925
BT1 1JR,53.26277,-2.999461
BT1 1JS,53.26277,-2.999461
BT1 1JT,53.26277,-2.999461
BT1 1JW,53.26268,-3.000359
BT1 1JX,53.26277,-2.999461
BT1 1JY,53.26277,-2.999461
BT1 1JZ,53.26277,-2.999461
BT1 1LA,53.2632,-2.992515
BT1 1LB,53.26364,-2.99344
BT1 1LD,53.26389,-2.99403
BT1 1LE,53.26442,-2.995841
BT1 1LF,53.26477,-2.997364
BT1 1LG,53.26484,-2.997725
BT1 1LH,53.26471,-2.993959
BT1 1LJ,53.26477,-2.997364
BT1 1LL,53.26477,-2.997364
BT1 1LN,53.26477,-2.997364
BT1 1LS,53.26269,-2.991019
BT1 1LT,53.26242,-2.991552
BT1 1LU,53.26269,-2.991019
BT1 1LW,53.26242,-2.991552
BT1 1LX,53.26311,-2.994132
BT1 1LY,53.26488,-2.995163
BT1 1LZ,53.26488,-2.995163
BT1 1NA,53.26363,-2.99272
BT1 1NB,53.26431,-2.99458
BT1 1ND,53.26481,-2.99621
BT1 1NE,53.26513,-2.996877
BT1 1NF,53.26513,-2.996877
BT1 1NG,53.26513,-2.996877
BT1 1NH,53.26342,-2.992175
BT1 1NL,53.26435,-2.994626
BT1 1NN,53.26513,-2.996877
BT1 1NQ,53.26516,-2.99397
BT1 1NR,53.26513,-2.996877
BT1 1NS,100.0,0.0
BT1 1NT,53.26516,-2.99397
BT1 1NW,53.26516,-2.99397
BT1 1NX,53.26513,-2.996877
BT1 1NY,53.26513,-2.996877
BT1 1PA,53.26461,-2.994032
BT1 1PB,53.26461,-2.994032
BT1 1PD,53.26461,-2.994032
BT1 1PE,53.26461,-2.994032
BT1 1PF,53.26461,-2.994032
BT1 1PG,53.26452,-2.994285
BT1 1PH,53.26453,-2.994105
BT1 1PN,53.26453,-2.994105
BT1 1PP,53.26461,-2.994032
BT1 1PR,53.26507,-2.993848
BT1 1PS,53.26461,-2.994032
BT1 1PT,53.2625,-2.993128
BT1 1PU,53.26461,-2.994032
BT1 1PW,53.26461,-2.994032
BT1 1PX,100.0,0.0
BT1 1QA,53.26288,-2.992447
BT1 1QB,53.26281,-2.99345
BT1 1QD,53.26268,-2.992383
BT1 1QE,53.26249,-2.993593
BT1 1QF,53.26287,-2.992492
BT1 1QG,53.26266,-2.992412
BT1 1QJ,53.26251,-2.992034
BT1 1QL,53.26251,-2.992034
BT1 1QN,53.26251,-2.992034
BT1 1QQ,53.26266,-2.992412
BT1 1QS,53.26484,-2.997725
BT1 1QU,53.26469,-2.998052
BT1 1QX,53.26469,-2.998052
BT1 1RB,53.26235,-2.992345
BT1 1RD,53.26251,-2.992964
BT1 1RE,100.0,0.0
BT1 1RF,53.26239,-2.992556
BT1 1RG,53.26239,-2.992556
BT1 1RH,53.26235,-2.992345
BT1 1RJ,53.26235,-2.992345
BT1 1RL,100.0,0.0
BT1 1RN,100.0,0.0
BT1 1RP,53.26235,-2.992345
BT1 1RR,53.26235,-2.992345
BT1 1RS,53.26235,-2.992345
BT1 1RT,100.0,0.0
BT1 1RU,100.0,0.0
BT1 1RW,53.26235,-2.992345
BT1 1RX,53.26527,-2.986446
BT1 1RY,53.26235,-2.992345
BT1 1SA,53.26135,-2.994076
BT1 1SB,53.26287,-2.997695
BT1 1SD,53.26287,-2.997695
BT1 1SE,53.26287,-2.997695
BT1 1SF,53.26287,-2.997695
BT1 1SG,53.26287,-2.997695
BT1 1SH,53.26475,-2.994035
BT1 1SJ,53.26235,-2.992345
BT1 1SL,53.26287,-2.997695
BT1 1SN,53.26287,-2.997695
BT1 1SP,53.26235,-2.992345
BT1 1SR,53.25886,-2.995322
BT1 1SS,53.25886,-2.995322
BT1 1ST,53.26155,-2.995385
BT1 1SU,53.26287,-2.997695
BT1 1SW,53.26235,-2.992345
BT1 1SX,100.0,0.0
BT1 1SY,53.26135,-2.994076
BT1 1SZ,53.26235,-2.992345
BT1 1TA,53.26327,-2.994076
BT1 1TB,53.26235,-2.992345
BT1 1TE,100.0,0.0
BT1 1TH,53.26235,-2.992345
BT1 1TL,53.26235,-2.992345
BT1 1TN,53.26235,-2.992345
BT1 1TQ,53.26235,-2.992345
BT1 1TS,53.26135,-2.994076
BT1 1TT,53.26235,-2.992345
BT1 1TU,53.26235,-2.992345
BT1 1TW,53.26235,-2.992345
BT1 1TX,53.26326,-2.994105
BT1 1UA,53.26235,-2.992345
BT1 1UD,53.26235,-2.992345
BT1 1UJ,53.26235,-2.992345
BT1 1UP,53.26235,-2.992345
BT1 1UR,53.26213,-2.993809
BT1 1UT,53.26235,-2.992345
BT1 1UU,53.26235,-2.992345
BT1 1UW,53.26235,-2.992345
BT1 1UX,53.26235,-2.992345
BT1 1UY,53.26235,-2.992345
BT1 1WH,53.26211,-2.993749
BT1 1WJ,100.0,0.0
BT1 1WL,53.26211,-2.993749
BT1 1WN,100.0,0.0
BT1 1WX,53.26235,-2.992345
BT1 1XF,53.26235,-2.992345
BT1 1XH,53.26235,-2.992345
BT1 1XJ,53.26235,-2.992345
BT1 1XN,53.26235,-2.992345
BT1 1XP,53.26235,-2.992345
BT1 1XS,53.26235,-2.992345
BT1 1XX,53.26211,-2.993749
BT1 1XY,53.26235,-2.992345
BT1 1ZA,53.26522,-2.986475
BT1 1ZP,53.26527,-2.986446
BT1 1ZZ,53.26527,-2.986446
BT1 2AA,53.26208,-2.99108
BT1 2AB,53.26237,-2.990307
BT1 2AD,53.26237,-2.990307
BT1 2AF,53.26258,-2.988663
BT1 2AG,53.26273,-2.989176
BT1 2AH,53.26608,-2.994051
BT1 2AJ,53.26258,-2.988663
BT1 2AL,100.0,0.0
BT1 2AN,53.26258,-2.988663
BT1 2AP,100.0,0.0
BT1 2AQ,53.26258,-2.988663
BT1 2AR,53.26288,-2.990004
BT1 2AS,53.26232,-2.989406
BT1 2AT,53.26232,-2.989406
BT1 2AU,53.26232,-2.989406
BT1 2AW,53.26288,-2.990004
BT1 2BA,53.2621,-2.991935
BT1 2BB,53.26239,-2.991806
BT1 2BD,53.26237,-2.991776
BT1 2BE,53.26282,-2.990107
BT1 2BF,100.0,0.0
BT1 2BG,53.26321,-2.988992
BT1 2BH,53.26232,-2.989406
BT1 2BJ,53.26321,-2.988992
BT1 2BL,53.26232,-2.989406
BT1 2BN,53.26232,-2.989406
BT1 2BP,53.26321,-2.988992
BT1 2BQ,53.26321,-2.988992
BT1 2BS,53.26234,-2.991865
BT1 2BU,53.26321,-2.988992
BT1 2BW,53.26321,-2.988992
BT1 2BX,53.26232,-2.989406
BT1 2BY,53.26321,-2.988992
BT1 2BZ,53.26321,-2.988992
BT1 2DA,53.26308,-2.990683
BT1 2DD,53.26232,-2.989406
BT1 2DG,53.26308,-2.990683
BT1 2DH,53.26308,-2.990683
BT1 2DJ,53.26308,-2.990683
BT1 2DL,53.26347,-2.988698
BT1 2DN,53.26308,-2.990683
BT1 2DP,53.26232,-2.989406
BT1 2DR,53.26288,-2.990004
BT1 2DS,53.26308,-2.990683
BT1 2DT,53.26232,-2.989406
BT1 2DW,53.26308,-2.990683
BT1 2DX,53.26354,-2.990799
BT1 2DY,53.26382,-2.989141
BT1 2DZ,53.26344,-2.989627
BT1 2EA,53.26329,-2.991677
BT1 2EB,53.26373,-2.990458
BT1 2ED,53.26395,-2.989609
BT1 2EE,53.26395,-2.989609
BT1 2EF,53.26395,-2.989609
BT1 2EG,53.26395,-2.989609
BT1 2EP,53.26395,-2.989609
BT1 2EQ,53.26403,-2.989446
BT1 2ER,53.26403,-2.989446
BT1 2EU,53.26308,-2.990683
BT1 2EW,53.26302,-2.990412
BT1 2EX,53.26395,-2.989609
BT1 2EY,53.26395,-2.989609
BT1 2EZ,53.26395,-2.989609
BT1 2FA,53.26766,-2.995827
BT1 2FB,53.26372,-2.991282
BT1 2FD,53.26372,-2.991282
BT1 2FE,53.26651,-2.994301
BT1 2FF,53.26364,-2.99149
BT1 2FG,53.26406,-2.9918
BT1 2FH,53.26441,-2.992333
BT1 2FJ,53.26687,-2.994624
BT1 2FL,53.26761,-2.995706
BT1 2FN,53.2643,-2.991386
BT1 2FP,100.0,0.0
BT1 2FQ,53.26651,-2.994301
BT1 2FR,53.2655,-2.996826
BT1 2FT,53.26766,-2.995827
BT1 2FW,53.26651,-2.994301
BT1 2FX,53.26438,-2.991718
BT1 2FY,53.26438,-2.991718
BT1 2FZ,53.26651,-2.994301
BT1 2GA,53.2642,-2.991968
BT1 2GB,53.26675,-2.994126
BT1 2GD,53.26447,-2.993009
BT1 2GE,53.26675,-2.994126
BT1 2GF,53.26447,-2.993009
BT1 2GH,53.26651,-2.994301
BT1 2GL,53.2642,-2.991968
BT1 2GP,53.26406,-2.9924
BT1 2GQ,53.26447,-2.993009
BT1 2GR,53.26391,-2.992216
BT1 2GS,53.2653,-2.993838
BT1 2GT,53.2652,-2.993626
BT1 2GU,53.2653,-2.993838
BT1 2GW,53.26633,-2.994791
BT1 2GX,53.26665,-2.995189
BT1 2GY,53.26688,-2.995374
BT1 2HA,53.26387,-2.991211
BT1 2HB,53.26523,-2.992292
BT1 2HD,53.26523,-2.992292
BT1 2HF,53.26523,-2.992292
BT1 2HG,53.26651,-2.994301
BT1 2HQ,53.26449,-2.99238
BT1 2HS,53.26523,-2.992292
BT1 2HU,53.26523,-2.992292
BT1 2HW,53.26651,-2.994301
BT1 2HX,53.26523,-2.992292
BT1 2HZ,53.26523,-2.992292
BT1 2JA,53.26545,-2.996915
BT1 2JB,53.26575,-2.996772
BT1 2JD,53.26646,-2.995574
BT1 2JE,53.26587,-2.99724
BT1 2JF,53.26633,-2.995421
BT1 2JG,53.2651,-2.996127
BT1 2JH,53.26654,-2.99724
BT1 2JJ,53.26553,-2.996362
BT1 2JL,53.2663,-2.998059
BT1 2JN,53.2663,-2.998059
BT1 2JR,53.26551,-2.99882
BT1 2JS,53.2663,-2.998059
BT1 2JU,53.26232,-2.989406
BT1 2JX,53.2663,-2.998059
BT1 2JZ,53.26347,-2.988698
BT1 2LA,53.26389,-2.990687
BT1 2LB,53.26506,-2.991059
BT1 2LD,53.26492,-2.991595
BT1 2LE,53.26527,-2.991723
BT1 2LF,53.25419,-2.994015
BT1 2LG,53.26451,-2.989906
BT1 2LH,53.26477,-2.989688
BT1 2LJ,53.26638,-2.991029
BT1 2LL,53.26586,-2.990792
BT1 2LN,53.26589,-2.991078
BT1 2LP,53.26656,-2.990853
BT1 2LQ,53.26464,-2.98973
BT1 2LR,53.26545,-2.990978
BT1 2LS,53.26662,-2.99108
BT1 2LT,53.2672,-2.990868
BT1 2LU,53.26686,-2.988641
BT1 2LW,53.26823,-2.994341
BT1 2LX,53.26794,-2.995383
BT1 2LY,53.26705,-2.994268
BT1 2LZ,53.26717,-2.994541
BT1 2NA,53.26401,-2.991319
BT1 2NB,53.26415,-2.991427
BT1 2ND,53.26661,-2.992339
BT1 2NE,53.26661,-2.992339
BT1 2NF,53.2654,-2.990932
BT1 2NG,53.26491,-2.989826
BT1 2NH,53.2678,-2.993041
BT1 2NJ,53.26582,-2.991496
BT1 2NL,53.26661,-2.992339
BT1 2NP,53.26661,-2.992339
BT1 2NQ,53.26673,-2.991787
BT1 2NR,53.2678,-2.993041
BT1 2NS,53.2678,-2.993041
BT1 2NT,53.26661,-2.992339
BT1 2NU,53.26661,-2.992339
BT1 2NX,53.26706,-2.989516
BT1 2PA,53.26413,-2.992611
BT1 2PB,53.26453,-2.990552
BT1 2PH,53.26409,-2.992895
BT1 2PJ,53.26422,-2.992988
BT1 2PL,53.26422,-2.992988
BT1 2PP,53.26232,-2.989406
BT1 2PQ,53.26475,-2.989612
BT1 2PS,53.26422,-2.992988
BT1 2PT,53.26232,-2.989406
BT1 2PU,53.26422,-2.992988
BT1 2PZ,53.26422,-2.992988
BT1 2QA,53.26422,-2.992988
BT1 2QB,53.26232,-2.989406
BT1 2QD,53.26232,-2.989406
BT1 2QE,53.26232,-2.989406
BT1 2QH,53.26451,-2.99241
BT1 2QJ,53.26422,-2.992988
BT1 2QL,53.26298,-2.989646
BT1 2QR,53.26422,-2.992988
BT1 2QS,53.26229,-2.990425
BT1 2RE,53.26232,-2.989406
BT1 2RU,53.26288,-2.990004
BT1 2UB,53.26422,-2.992988
BT1 2WB,53.26288,-2.990004
BT1 2WD,53.26422,-2.992988
BT1 2WE,53.26422,-2.992988
BT1 2WF,53.26422,-2.992988
BT1 2WW,53.26422,-2.992988
BT1 2YA,53.26422,-2.992988
BT1 2YB,53.26422,-2.992988
BT1 3AA,53.27046,-2.983326
BT1 3AB,53.27037,-2.983144
BT1 3AD,53.27011,-2.982539
BT1 3AE,100.0,0.0
BT1 3AF,53.27077,-2.984368
BT1 3AG,53.26949,-2.984594
BT1 3AH,53.27029,-2.984567
BT1 3AJ,53.2674,-2.9866
BT1 3AL,53.26805,-2.985625
BT1 3AN,53.27033,-2.983128
BT1 3AP,53.26497,-2.987833
BT1 3AQ,53.26684,-2.986362
BT1 3AR,53.26684,-2.986662
BT1 3AS,53.26514,-2.987192
BT1 3AT,53.26601,-2.987002
BT1 3AU,53.26671,-2.986284
BT1 3AW,53.26612,-2.986645
BT1 3AX,53.26671,-2.986284
BT1 3AY,100.0,0.0
BT1 3AZ,53.26671,-2.986284
BT1 3BA,53.26575,-2.987731
BT1 3BB,53.26575,-2.987731
BT1 3BD,53.26864,-2.986403
BT1 3BE,53.27,-2.985535
BT1 3BF,100.0,0.0
BT1 3BG,53.26926,-2.983539
BT1 3BH,53.26926,-2.983539
BT1 3BJ,53.258,-2.977794
BT1 3BL,53.258,-2.977794
BT1 3BN,53.25925,-2.980401
BT1 3BP,53.26575,-2.987731
BT1 3BQ,53.26926,-2.983539
BT1 3BS,53.25925,-2.980401
BT1 3BT,53.25912,-2.982122
BT1 3BU,53.258,-2.977794
BT1 3BW,53.27033,-2.980864
BT1 3BX,53.26765,-2.98668
BT1 3DA,53.26765,-2.98668
BT1 3DB,53.25875,-2.980419
BT1 3DD,53.26665,-2.988172
BT1 3DE,53.26665,-2.988172
BT1 3DF,53.25875,-2.980419
BT1 3DG,53.26891,-2.986934
BT1 3DH,53.27066,-2.986
BT1 3DJ,100.0,0.0
BT1 3DL,53.26765,-2.98668
BT1 3DP,53.266,-2.988861
BT1 3DQ,53.27066,-2.986
BT1 3DR,53.266,-2.988861
BT1 3DS,53.27023,-2.982766
BT1 3DT,53.26984,-2.986281
BT1 3DU,53.26522,-2.986475
