PCDS,LAT,LONG
CA1 1AA,54.89057,-2.943795
CA1 1AB,54.89241,-2.93177
CA1 1AD,54.89246,-2.932302
CA1 1AE,54.8937,-2.930662
CA1 1AF,54.89392,-2.931384
CA1 1AG,54.89304,-2.928792
CA1 1AJ,54.89219,-2.927946
CA1 1AZ,54.89337,-2.930764
CA1 1BA,54.89354,-2.930097
CA1 1BB,54.8939,-2.929747
CA1 1BD,54.89326,-2.926941
CA1 1BE,54.89482,-2.930438
CA1 1BG,54.8948,-2.931093
CA1 1BH,54.89426,-2.932343
CA1 1BJ,54.89427,-2.931221
CA1 1BN,54.89426,-2.932343
CA1 1BP,54.89489,-2.931157
CA1 1BQ,54.89426,-2.932343
CA1 1BU,54.89386,-2.932973
CA1 1BX,54.89336,-2.932323
CA1 1BZ,54.89389,-2.932725
CA1 1DA,54.89426,-2.932343
CA1 1DB,54.89387,-2.93196
CA1 1DD,54.8938,-2.931974
CA1 1DE,54.89356,-2.928008
CA1 1DF,54.89383,-2.931335
CA1 1DG,54.89371,-2.930647
CA1 1DH,54.89289,-2.932234
CA1 1DJ,54.89349,-2.931671
CA1 1DL,54.89246,-2.932302
CA1 1DN,54.89271,-2.931388
CA1 1DP,54.89315,-2.931866
CA1 1DQ,54.89319,-2.932209
CA1 1DR,54.89306,-2.93018
CA1 1DS,54.89247,-2.930743
CA1 1DT,54.89338,-2.929205
CA1 1DU,54.89334,-2.928892
CA1 1DW,54.89246,-2.932302
CA1 1DX,54.89328,-2.929249
CA1 1DY,54.89249,-2.929184
CA1 1DZ,54.89356,-2.928008
CA1 1EA,54.89415,-2.927149
CA1 1EB,54.8938,-2.928497
CA1 1ED,54.89323,-2.929357
CA1 1EE,54.8933,-2.930388
CA1 1EF,54.89246,-2.932302
CA1 1EG,54.89427,-2.930784
CA1 1EH,54.89499,-2.932641
CA1 1EJ,54.89504,-2.932361
CA1 1EL,54.89365,-2.927636
CA1 1EP,54.8961,-2.926149
CA1 1ER,54.8953,-2.932851
CA1 1ES,54.89535,-2.932493
CA1 1ET,54.89502,-2.931987
CA1 1EU,54.89246,-2.929417
CA1 1EW,54.89507,-2.932113
CA1 1EX,54.89561,-2.930535
CA1 1EY,54.89609,-2.927708
CA1 1EZ,54.89326,-2.926941
CA1 1GA,54.89326,-2.926941
CA1 1GB,54.89318,-2.926939
CA1 1GD,54.89047,-2.944759
CA1 1GE,54.89318,-2.926939
CA1 1GF,54.89047,-2.944759
CA1 1GG,54.89326,-2.926941
CA1 1GH,54.89326,-2.926941
CA1 1GJ,54.89517,-2.930805
CA1 1GL,54.89093,-2.94385
CA1 1HA,54.89428,-2.929225
CA1 1HB,54.89473,-2.929563
CA1 1HD,54.89427,-2.930784
CA1 1HE,54.89488,-2.927773
CA1 1HF,54.89546,-2.927194
CA1 1HG,54.89057,-2.943795
CA1 1HH,54.89452,-2.928218
CA1 1HJ,54.89457,-2.927642
CA1 1HL,54.89485,-2.926728
CA1 1HN,54.89519,-2.927687
CA1 1HP,54.89614,-2.926649
CA1 1HQ,54.89444,-2.929182
CA1 1HR,54.89504,-2.926312
CA1 1HS,54.89593,-2.929139
CA1 1HT,54.89601,-2.930372
CA1 1HU,54.89326,-2.926941
CA1 1HW,54.89519,-2.927687
CA1 1HX,54.8962,-2.930907
CA1 1HY,54.89326,-2.926941
CA1 1HZ,54.89547,-2.932044
CA1 1JA,54.89551,-2.932544
CA1 1JB,54.8967,-2.931417
CA1 1JD,54.89779,-2.932565
CA1 1JE,54.89801,-2.933631
CA1 1JF,54.89093,-2.94385
CA1 1JG,54.89944,-2.932292
CA1 1JH,54.89517,-2.930805
CA1 1JJ,54.89338,-2.929205
CA1 1JL,54.89069,-2.929143
