PCDS,LAT,LONG
CF1 1AA,51.46975,-3.187701
CF1 1AB,51.46975,-3.187701
CF1 1AD,51.47791,-3.180713
CF1 1BU,51.46975,-3.187701
CF1 1DA,51.47969,-3.182199
CF1 1DB,51.47791,-3.180713
CF1 1DD,51.47881,-3.180736
CF1 1DE,51.47969,-3.182199
CF1 1DF,51.47969,-3.182199
CF1 1DG,51.47969,-3.182199
CF1 1DH,51.47968,-3.183638
CF1 1DJ,51.47968,-3.183638
CF1 1DL,51.47968,-3.183638
CF1 1DN,51.47968,-3.183638
CF1 1DP,51.47971,-3.180759
CF1 1DU,51.47972,-3.179319
CF1 1DW,51.47702,-3.17925
CF1 1DX,51.47882,-3.179296
CF1 1DY,51.47971,-3.180759
CF1 1DZ,51.47971,-3.180759
CF1 1EA,51.47969,-3.182199
CF1 1EB,51.47881,-3.180736
CF1 1ED,51.47882,-3.179296
CF1 1EH,51.47792,-3.179273
CF1 1EJ,51.47969,-3.182199
CF1 1EL,51.47609,-3.182106
CF1 1EN,51.47701,-3.180689
CF1 1EP,51.47702,-3.17925
CF1 1EQ,51.47702,-3.17925
CF1 1ER,51.47701,-3.180689
CF1 1ES,51.47701,-3.180689
CF1 1ET,51.47698,-3.183569
CF1 1EU,51.47701,-3.180689
CF1 1EW,51.47702,-3.17925
CF1 1EX,51.47702,-3.17925
CF1 1EY,51.47704,-3.17781
CF1 1EZ,51.47705,-3.176371
CF1 1FA,51.47614,-3.177787
CF1 1FB,51.47704,-3.17781
CF1 1FD,51.47704,-3.17781
CF1 1FE,51.47704,-3.17781
CF1 1FF,51.47795,-3.176394
CF1 1FG,51.47795,-3.176394
CF1 1FH,51.47704,-3.17781
CF1 1FJ,51.47704,-3.17781
CF1 1FL,51.47705,-3.176371
CF1 1FN,51.47795,-3.176394
CF1 1GP,51.48051,-3.183314
CF1 1GR,51.47795,-3.176394
CF1 1HA,51.48051,-3.1833
CF1 1HB,51.48051,-3.1833
CF1 1HD,51.48051,-3.1833
CF1 1HE,51.48051,-3.1833
CF1 1HF,51.48051,-3.1833
CF1 1HG,51.55386,-3.388945
CF1 1HH,51.48051,-3.1833
CF1 1HL,51.48051,-3.1833
CF1 1HN,51.48051,-3.1833
CF1 1JA,51.47789,-3.182152
CF1 1JB,51.47881,-3.180736
CF1 1JD,51.47792,-3.179273
CF1 1JE,51.47792,-3.179273
CF1 1JF,51.47968,-3.183638
CF1 1JG,51.47942,-3.181126
CF1 1JJ,51.47702,-3.17925
CF1 1JL,51.47942,-3.181126
CF1 1JN,51.47792,-3.179273
CF1 1JP,51.47701,-3.180689
CF1 1JR,51.47792,-3.179273
CF1 1JS,51.47881,-3.180736
CF1 1JT,51.47971,-3.180759
CF1 1JU,51.48069,-3.172144
CF1 1JW,51.47795,-3.176394
CF1 1JX,51.47792,-3.179273
CF1 1JY,51.47792,-3.179273
CF1 1JZ,51.47792,-3.179273
CF1 1LB,51.48337,-3.173653
CF1 1LD,51.47792,-3.179273
CF1 1LF,51.47971,-3.180759
CF1 1LG,51.48337,-3.173653
CF1 1LH,51.47972,-3.179319
CF1 1LJ,51.47884,-3.177857
CF1 1LL,51.47792,-3.179273
CF1 1LN,51.47792,-3.179273
CF1 1LP,51.47882,-3.179296
CF1 1LQ,51.47792,-3.179273
CF1 1LS,51.47882,-3.179296
CF1 1LT,51.47792,-3.179273
CF1 1LU,51.46545,-3.167435
CF1 1LW,51.47614,-3.177787
CF1 1LX,51.47614,-3.177787
CF1 1LY,51.47702,-3.17925
CF1 1NA,51.47992,-3.1762
CF1 1NB,51.47792,-3.179273
CF1 1ND,51.47882,-3.179296
CF1 1NF,51.47702,-3.17925
CF1 1NG,51.47701,-3.180689
CF1 1NH,51.47702,-3.17925
CF1 1NJ,51.47701,-3.180689
CF1 1NL,51.47702,-3.17925
CF1 1NN,51.47969,-3.182199
CF1 1NP,51.47882,-3.179296
CF1 1NQ,51.47609,-3.182106
CF1 1NR,51.48051,-3.1833
CF1 1NS,51.47791,-3.180713
CF1 1NT,51.47699,-3.182129
CF1 1NU,51.47992,-3.1762
CF1 1NW,51.47702,-3.17925
CF1 1NX,51.47701,-3.180689
CF1 1NZ,51.48158,-3.173607
CF1 1PA,51.47884,-3.177857
CF1 1PD,51.47762,-3.182015
CF1 1PE,51.47701,-3.180689
CF1 1PF,51.47702,-3.17925
CF1 1PG,51.47701,-3.180689
CF1 1PH,51.48248,-3.17363
CF1 1PJ,51.47701,-3.180689
CF1 1PL,51.47762,-3.182015
CF1 1PN,51.47702,-3.17925
CF1 1PP,51.47609,-3.182106
CF1 1PQ,51.47975,-3.17644
CF1 1PR,51.47611,-3.180666
CF1 1PS,51.47701,-3.180689
CF1 1PT,51.47704,-3.17781
CF1 1PX,51.47702,-3.17925
CF1 1PY,51.47818,-3.180604
CF1 1PZ,51.47882,-3.179296
CF1 1QA,51.48051,-3.183314
CF1 1QD,51.47701,-3.180689
CF1 1QE,51.47702,-3.17925
CF1 1QF,51.47884,-3.177857
CF1 1QL,51.47971,-3.180759
CF1 1QN,51.47971,-3.180759
CF1 1QP,51.47971,-3.180759
CF1 1QQ,51.47972,-3.179319
CF1 1QS,51.47882,-3.179296
CF1 1QT,51.47702,-3.17925
CF1 1QX,51.47882,-3.179296
CF1 1QY,51.48514,-3.176579
CF1 1QZ,51.48514,-3.176579
CF1 1RB,51.46156,-3.196125
CF1 1RD,51.46659,-3.232248
CF1 1RE,51.46659,-3.232248
CF1 1RF,51.46156,-3.196125
CF1 1RG,51.47882,-3.179296
CF1 1RH,51.51255,-3.22196
CF1 1RN,51.48507,-3.183778
CF1 1RR,51.49533,-3.146589
CF1 1RT,51.48335,-3.176532
CF1 1RU,51.48335,-3.176532
CF1 1RW,51.46659,-3.232248
CF1 1RY,51.49807,-3.142337
CF1 1RZ,51.46659,-3.232248
CF1 1SA,51.48343,-3.167894
CF1 1SD,51.48343,-3.167894
CF1 1SE,51.47975,-3.17644
CF1 1SF,51.48343,-3.167894
CF1 1SG,51.48343,-3.167894
CF1 1SH,51.47882,-3.179296
CF1 1SL,51.48159,-3.172167
CF1 1SN,51.48068,-3.173584
CF1 1SP,51.48343,-3.167894
CF1 1SQ,51.47254,-3.177695
CF1 1SR,51.48425,-3.176556
CF1 1SS,51.48343,-3.167894
CF1 1ST,51.48343,-3.167894
CF1 1SU,51.47881,-3.180736
CF1 1SW,51.48343,-3.167894
CF1 1SY,51.47169,-3.173353
CF1 1SZ,51.46457,-3.165973
CF1 1TA,51.47705,-3.176371
CF1 1TB,51.48051,-3.183314
CF1 1TD,51.48051,-3.183314
CF1 1TE,51.48051,-3.183314
CF1 1TF,51.48051,-3.183314
CF1 1TG,51.47254,-3.177695
CF1 1TH,51.48051,-3.1833
CF1 1TL,51.48051,-3.183314
CF1 1TN,51.46918,-3.154573
CF1 1TP,51.47273,-3.158982
CF1 1TQ,51.47273,-3.158982
CF1 1TR,51.47341,-3.180597
CF1 1TS,51.47612,-3.179227
CF1 1TT,51.47882,-3.179296
CF1 1TU,51.4828,-3.229804
CF1 1TW,51.46367,-3.16595
CF1 1TX,51.48051,-3.183314
CF1 1TZ,51.47702,-3.17925
CF1 1UA,51.48051,-3.183314
CF1 1UB,51.48051,-3.183314
CF1 1UE,51.48155,-3.176486
CF1 1UF,51.48158,-3.173607
CF1 1UG,51.47885,-3.176417
CF1 1UH,51.48051,-3.183314
CF1 1UJ,51.47885,-3.176417
CF1 1UL,51.48051,-3.183314
CF1 1UN,51.48051,-3.183314
CF1 1UP,51.48051,-3.183314
CF1 1UQ,51.47076,-3.176209
CF1 1UR,51.48636,-3.232781
CF1 1US,51.467,-3.191949
CF1 1UT,51.48051,-3.183314
CF1 1UU,51.48051,-3.183314
CF1 1UW,51.48051,-3.183314
CF1 1UX,51.48051,-3.183314
CF1 1UY,51.48607,-3.173722
CF1 1WB,51.47702,-3.17925
CF1 1WE,51.48429,-3.172236
CF1 1WF,51.47702,-3.17925
