PCDS,LAT,LONG
CH1 1AA,53.19036,-2.888221
CH1 1AB,53.19079,-2.88359
CH1 1AD,53.18831,-2.893237
CH1 1AE,53.19774,-2.884482
CH1 1AF,53.18835,-2.888658
CH1 1AG,53.18776,-2.887105
CH1 1AH,53.19778,-2.884632
CH1 1AJ,53.19047,-2.890468
CH1 1AL,53.19047,-2.890468
CH1 1AN,53.19047,-2.890468
CH1 1AP,53.19048,-2.888972
CH1 1AQ,53.19047,-2.890468
CH1 1AR,53.19774,-2.884482
CH1 1AS,53.19048,-2.888972
CH1 1AT,53.19015,-2.888202
CH1 1AW,53.19048,-2.888972
CH1 1AX,53.19148,-2.886149
CH1 1AY,53.19774,-2.884482
CH1 1BA,53.19401,-2.898026
CH1 1BD,53.194,-2.899522
CH1 1BE,53.20488,-2.886275
CH1 1BG,53.21576,-2.874519
CH1 1BH,53.21576,-2.874519
CH1 1BJ,53.21576,-2.874519
CH1 1BN,53.18939,-2.888395
CH1 1BP,53.19774,-2.884482
CH1 1BQ,53.21576,-2.874519
CH1 1BT,53.18939,-2.888395
CH1 1BW,53.1858,-2.891299
CH1 1DA,53.18985,-2.888091
CH1 1DB,53.19774,-2.884482
CH1 1DD,53.19016,-2.886675
CH1 1DE,53.18945,-2.888651
CH1 1DF,53.18862,-2.889442
CH1 1DG,53.19047,-2.890468
CH1 1DH,53.18958,-2.888953
CH1 1DJ,53.19003,-2.888139
CH1 1DL,53.18868,-2.888935
CH1 1DP,53.18853,-2.892224
CH1 1DQ,53.18913,-2.888929
CH1 1DR,53.18958,-2.888953
CH1 1DS,53.18958,-2.888953
CH1 1DT,53.18958,-2.888953
CH1 1DU,53.18958,-2.888953
CH1 1DW,53.18891,-2.889538
CH1 1DX,53.18717,-2.889427
CH1 1DY,53.19774,-2.884482
CH1 1EA,53.18891,-2.889673
CH1 1EB,53.18777,-2.890412
CH1 1ED,53.18937,-2.889787
CH1 1EE,53.18966,-2.889254
CH1 1EF,53.1895,-2.890553
CH1 1EG,53.18946,-2.890627
CH1 1EH,53.18957,-2.89045
CH1 1EJ,53.18935,-2.889607
CH1 1EL,53.18957,-2.890914
CH1 1EP,53.18867,-2.890431
CH1 1EQ,53.18957,-2.89045
CH1 1ER,53.19012,-2.889084
CH1 1ES,53.19056,-2.889378
CH1 1ET,53.18957,-2.89045
CH1 1EU,53.1899,-2.889454
CH1 1FA,53.19774,-2.884482
CH1 1FB,53.19773,-2.884616
CH1 1FD,53.1894,-2.887872
CH1 1FE,53.19774,-2.884482
CH1 1FF,53.19778,-2.884632
CH1 1FG,53.19774,-2.884482
CH1 1FH,53.19774,-2.884482
CH1 1FJ,53.19774,-2.884482
CH1 1FL,53.19774,-2.884482
CH1 1FN,53.19774,-2.884482
CH1 1FP,53.19774,-2.884482
CH1 1FQ,53.18939,-2.888395
CH1 1FR,53.19774,-2.884482
CH1 1FS,53.1894,-2.887872
CH1 1FT,53.19774,-2.884482
CH1 1FW,53.18958,-2.888025
CH1 1FX,53.1894,-2.887872
CH1 1GA,53.18781,-2.885923
CH1 1GB,53.18939,-2.888395
CH1 1GD,53.18781,-2.885923
CH1 1GE,53.18939,-2.888395
CH1 1GF,53.18781,-2.885923
CH1 1GG,53.18939,-2.888395
CH1 1GH,53.19778,-2.884632
CH1 1GJ,53.1894,-2.887872
CH1 1GL,53.19774,-2.884482
CH1 1GN,53.19774,-2.884482
CH1 1GP,53.19774,-2.884482
CH1 1GQ,53.19774,-2.884482
CH1 1GR,53.18781,-2.885923
CH1 1GS,53.19774,-2.884482
CH1 1GT,53.19774,-2.884482
CH1 1GU,53.18939,-2.888395
CH1 1GW,53.18939,-2.888395
CH1 1GX,53.1894,-2.887872
CH1 1GY,53.19774,-2.884482
CH1 1GZ,53.18939,-2.888395
CH1 1HA,53.19106,-2.886784
CH1 1HB,53.19159,-2.883397
CH1 1HD,53.19126,-2.887401
CH1 1HE,53.19165,-2.88479
CH1 1HF,53.1924,-2.881318
CH1 1HG,53.19205,-2.883047
CH1 1HH,53.19108,-2.88858
CH1 1HJ,53.19168,-2.880929
CH1 1HL,53.1907,-2.887824
CH1 1HN,53.19244,-2.882531
CH1 1HP,53.19098,-2.887351
CH1 1HQ,53.19048,-2.888972
CH1 1HR,53.19141,-2.884501
CH1 1HS,53.19188,-2.882026
CH1 1HT,53.19123,-2.885455
CH1 1HU,53.19098,-2.88569
CH1 1HW,53.19131,-2.886983
CH1 1HX,53.1898,-2.891292
CH1 1HY,53.19233,-2.883023
CH1 1HZ,53.1914,-2.885998
CH1 1JA,53.19141,-2.884501
CH1 1JB,53.19141,-2.884501
CH1 1JD,53.18864,-2.89492
CH1 1JE,53.1905,-2.885979
CH1 1JF,53.19233,-2.883023
CH1 1JG,53.19174,-2.882517
CH1 1JJ,53.18867,-2.890431
CH1 1JL,53.18957,-2.89045
CH1 1JN,53.19049,-2.887475
CH1 1JP,53.1894,-2.887872
CH1 1JQ,53.19233,-2.883023
CH1 1JS,53.19164,-2.885074
CH1 1JT,53.1906,-2.88851
CH1 1JU,53.18968,-2.888821
CH1 1JX,53.19048,-2.888972
CH1 1JZ,53.19778,-2.884632
CH1 1LA,53.19048,-2.888972
CH1 1LB,53.19241,-2.884132
CH1 1LD,53.19073,-2.888827
CH1 1LE,53.19043,-2.890557
CH1 1LF,53.19036,-2.890646
CH1 1LG,53.19073,-2.89001
CH1 1LH,53.19111,-2.890092
CH1 1LJ,53.19047,-2.890468
CH1 1LL,53.19047,-2.890468
CH1 1LN,53.19098,-2.890419
CH1 1LP,53.19054,-2.891098
CH1 1LQ,53.1907,-2.890503
CH1 1LR,53.19088,-2.88913
CH1 1LT,53.19062,-2.889064
CH1 1LU,53.19073,-2.888842
CH1 1LW,53.19137,-2.890487
CH1 1LX,53.1902,-2.890627
CH1 1LY,53.18939,-2.888395
CH1 1NA,53.19138,-2.886611
CH1 1NB,53.18847,-2.893121
CH1 1NE,53.18748,-2.888027
CH1 1NG,53.18947,-2.891151
CH1 1NH,53.19138,-2.88899
CH1 1NJ,53.18909,-2.890649
CH1 1NL,53.18921,-2.892148
CH1 1NN,53.18931,-2.891507
CH1 1NP,53.19016,-2.891749
CH1 1NQ,53.18954,-2.891541
CH1 1NR,53.18956,-2.891946
CH1 1NT,53.18866,-2.891927
CH1 1NU,53.18938,-2.891478
CH1 1NW,53.18941,-2.89106
CH1 1NX,53.18938,-2.891478
CH1 1NY,53.18866,-2.891927
CH1 1NZ,53.1886,-2.892585
CH1 1PD,53.19828,-2.897875
CH1 1PF,53.18956,-2.891946
CH1 1PG,53.18775,-2.893405
CH1 1PH,53.1896,-2.891034
CH1 1PJ,53.18945,-2.891016
CH1 1PL,53.18968,-2.890467
CH1 1PN,53.18775,-2.893405
CH1 1PP,53.18916,-2.89095
CH1 1PQ,53.18866,-2.891927
CH1 1PR,53.19046,-2.891965
CH1 1PS,53.18864,-2.891927
CH1 1PT,53.18869,-2.892302
CH1 1PU,53.18775,-2.893405
CH1 1PW,53.18877,-2.892932
CH1 1PX,53.1915,-2.872529
CH1 1PY,53.19525,-2.851649
CH1 1PZ,53.19912,-2.935556
CH1 1QA,53.18775,-2.893405
CH1 1QB,53.18831,-2.893237
CH1 1QD,53.18831,-2.893237
CH1 1QE,53.19023,-2.885599
CH1 1QF,53.18837,-2.893134
CH1 1QG,53.19024,-2.883384
CH1 1QH,53.19153,-2.881166
CH1 1QJ,53.19114,-2.88243
CH1 1QL,53.19144,-2.882825
CH1 1QN,53.19053,-2.884498
CH1 1QP,53.19053,-2.883929
CH1 1QQ,53.19144,-2.881823
CH1 1QR,53.19079,-2.88359
CH1 1QS,53.18681,-2.888851
CH1 1QT,53.18961,-2.88596
CH1 1QU,53.18974,-2.885739
CH1 1QW,53.1905,-2.885979
CH1 1QX,53.19003,-2.885296
CH1 1QY,53.19067,-2.88486
CH1 1QZ,53.19043,-2.885693
CH1 1RA,53.18609,-2.889854
CH1 1RB,53.18842,-2.886789
CH1 1RD,53.18766,-2.890754
CH1 1RE,53.18967,-2.887309
CH1 1RF,53.18981,-2.886593
CH1 1RG,53.1883,-2.889031
CH1 1RH,53.18774,-2.88893
CH1 1RJ,53.18747,-2.889718
CH1 1RL,53.187,-2.88878
CH1 1RN,53.18843,-2.888121
CH1 1RP,53.18733,-2.888368
CH1 1RQ,53.1879,-2.888649
CH1 1RR,53.18734,-2.889161
CH1 1RS,53.18787,-2.89034
CH1 1RT,53.18635,-2.890203
CH1 1RU,53.18665,-2.89003
CH1 1RW,53.18782,-2.888243
CH1 1RX,53.18687,-2.890469
CH1 1RY,53.18809,-2.890389
CH1 1RZ,53.18696,-2.890261
CH1 1SA,53.18653,-2.889175
CH1 1SB,53.18686,-2.888254
CH1 1SD,53.1887,-2.883278
CH1 1SE,53.1907,-2.893182
CH1 1SF,53.18824,-2.889554
CH1 1SG,53.19157,-2.893036
CH1 1SH,53.18818,-2.888505
CH1 1SJ,53.18938,-2.880942
CH1 1SL,53.18573,-2.891103
CH1 1SN,53.1886,-2.886987
CH1 1SQ,53.19157,-2.893036
CH1 1SR,53.19264,-2.893821
CH1 1SS,53.18957,-2.89045
CH1 1ST,53.18957,-2.89045
CH1 1SU,53.18957,-2.89045
CH1 1SW,53.19157,-2.893051
CH1 1SX,53.18957,-2.89045
CH1 1SY,53.18598,-2.890375
CH1 1SZ,53.18793,-2.88639
CH1 1TB,53.19157,-2.893036
CH1 1TD,53.1885,-2.890323
CH1 1TF,53.19233,-2.881527
CH1 1TL,53.18957,-2.89045
CH1 1TN,53.1885,-2.890323
CH1 1TP,53.19493,-2.895051
CH1 1TQ,53.20573,-2.893779
CH1 1TR,53.19405,-2.892039
CH1 1TS,53.19774,-2.884482
CH1 1TW,53.19491,-2.898044
CH1 1TY,53.19405,-2.892039
CH1 1TZ,53.15455,-2.885238
CH1 1UA,53.19015,-2.884041
CH1 1UB,53.19048,-2.888972
CH1 1UD,53.18867,-2.890431
CH1 1UF,53.19048,-2.888972
CH1 1UG,53.1894,-2.887872
CH1 1UJ,53.19048,-2.888972
CH1 1UP,53.19048,-2.888972
CH1 1UT,53.18954,-2.894939
CH1 1UU,53.19673,-2.895089
CH1 1UY,53.19673,-2.895089
CH1 1UZ,53.19673,-2.895089
CH1 1WA,53.18939,-2.888395
CH1 1WD,53.1909,-2.884206
CH1 1XA,53.19778,-2.884632
CH1 1XB,53.19136,-2.891983
CH1 1XD,53.19137,-2.890487
CH1 1XE,53.1914,-2.885998
CH1 1XF,53.19047,-2.890468
CH1 1XG,53.18854,-2.891491
CH1 1XH,53.18958,-2.888953
CH1 1XJ,53.19049,-2.887475
CH1 1XL,53.19774,-2.884482
CH1 1XN,53.19045,-2.893461
CH1 1XP,53.19081,-2.888395
CH1 1XQ,53.18867,-2.890431
CH1 1XR,53.19774,-2.884482
CH1 1XS,53.18899,-2.893551
CH1 1XT,53.18866,-2.891927
CH1 1XU,53.18956,-2.891946
CH1 1XW,53.19778,-2.884632
CH1 1XX,53.22594,-2.954115
CH1 1XY,53.19774,-2.884482
CH1 1YA,53.19128,-2.902459
CH1 1YD,53.19128,-2.902459
CH1 1YE,53.19153,-2.886269
CH1 1YF,53.22349,-2.922606
CH1 1YG,53.25562,-2.951777
CH1 1YH,53.18939,-2.888395
CH1 1YJ,53.25562,-2.951777
CH1 1YL,53.25562,-2.951777
CH1 1YN,53.19128,-2.902459
CH1 1YP,53.19774,-2.884482
CH1 1YQ,53.19143,-2.886237
CH1 1YR,53.18866,-2.891927
CH1 1YT,53.19222,-2.896491
CH1 1YU,53.19222,-2.896491
CH1 1YW,53.1922,-2.899484
CH1 1ZG,53.19153,-2.886269
CH1 1ZN,53.19774,-2.884482
CH1 2AA,53.18945,-2.893844
CH1 2AB,53.18938,-2.893813
CH1 2AD,53.19328,-2.894837
CH1 2AE,53.19332,-2.895272
CH1 2AF,53.19327,-2.89557
CH1 2AG,53.19222,-2.896491
CH1 2AH,53.19305,-2.894368
CH1 2AJ,53.19283,-2.895546
CH1 2AL,53.19292,-2.894051
CH1 2AN,53.1859,-2.891795
CH1 2AP,53.19223,-2.894995
CH1 2AQ,53.19238,-2.893232
CH1 2AR,53.19239,-2.893247
CH1 2AS,53.1923,-2.895625
CH1 2AT,53.19223,-2.894995
CH1 2AU,53.18883,-2.894999
CH1 2AW,53.19344,-2.894392
CH1 2AX,53.18954,-2.893427
CH1 2AY,53.19263,-2.895228
CH1 2AZ,53.19164,-2.897288
CH1 2BA,53.19017,-2.894368
CH1 2BB,53.19178,-2.894821
CH1 2BD,53.19033,-2.894551
CH1 2BE,53.19056,-2.893538
CH1 2BF,53.19302,-2.895864
CH1 2BG,53.19042,-2.892742
CH1 2BH,53.19102,-2.892366
CH1 2BJ,53.18946,-2.892513
CH1 2BL,53.19774,-2.884482
CH1 2BN,53.18816,-2.892516
CH1 2BP,53.19045,-2.893461
CH1 2BQ,53.18885,-2.894161
CH1 2BR,53.19135,-2.89348
CH1 2BS,53.19062,-2.894093
CH1 2BT,53.19044,-2.894958
CH1 2BU,53.19061,-2.894093
CH1 2BW,53.1912,-2.893402
CH1 2BX,53.18957,-2.892979
CH1 2BY,53.19138,-2.892298
CH1 2DA,53.19062,-2.894093
CH1 2DB,53.18775,-2.893405
CH1 2DD,53.18762,-2.8921
CH1 2DE,53.18767,-2.891488
CH1 2DF,53.18734,-2.891825
CH1 2DH,53.18906,-2.892789
CH1 2DJ,53.18643,-2.89444
CH1 2DL,53.18913,-2.892461
CH1 2DN,53.1865,-2.892002
CH1 2DP,53.18809,-2.893217
CH1 2DQ,53.18691,-2.890769
CH1 2DR,53.1919,-2.893895
CH1 2DS,53.1872,-2.891149
CH1 2DT,53.18719,-2.891238
CH1 2DU,53.19351,-2.893734
CH1 2DW,53.18665,-2.890958
CH1 2DX,53.18957,-2.89045
CH1 2DY,53.19126,-2.89026
CH1 2DZ,53.19109,-2.890122
CH1 2EA,53.19123,-2.890529
CH1 2ED,53.19137,-2.890487
CH1 2EF,53.19223,-2.892795
CH1 2EG,53.19049,-2.887475
CH1 2EH,53.19137,-2.890487
CH1 2EJ,53.19117,-2.890154
CH1 2EL,53.18955,-2.893442
CH1 2EN,53.19046,-2.891965
CH1 2EP,53.19046,-2.891965
CH1 2EQ,53.19122,-2.890439
CH1 2ER,53.19136,-2.891983
CH1 2ES,53.19143,-2.891266
CH1 2ET,53.19102,-2.890944
CH1 2EU,53.19113,-2.891006
CH1 2EW,53.19047,-2.890468
CH1 2EX,53.19046,-2.891965
CH1 2EY,53.19226,-2.893035
CH1 2EZ,53.19136,-2.891983
CH1 2FZ,53.19115,-2.891021
CH1 2HA,53.19109,-2.891409
CH1 2HB,53.19136,-2.891983
CH1 2HD,53.19046,-2.891965
CH1 2HE,53.19137,-2.890487
CH1 2HF,53.19176,-2.89274
CH1 2HG,53.19046,-2.89183
CH1 2HH,53.19133,-2.893913
CH1 2HJ,53.19174,-2.892725
CH1 2HL,53.18955,-2.893442
CH1 2HN,53.19176,-2.89274
CH1 2HP,53.19609,-2.889941
CH1 2HQ,53.1929,-2.892988
CH1 2HR,53.1924,-2.893157
CH1 2HS,53.19176,-2.89274
CH1 2HT,53.1929,-2.892509
CH1 2HU,53.19244,-2.892096
CH1 2HW,53.19135,-2.89348
CH1 2HX,53.19274,-2.892865
CH1 2HY,53.19778,-2.884632
CH1 2HZ,53.19176,-2.89274
CH1 2JA,53.19329,-2.893505
CH1 2JB,53.19365,-2.892854
CH1 2JD,53.19286,-2.891266
CH1 2JE,53.19226,-2.892002
CH1 2JF,53.19272,-2.89044
CH1 2JG,53.19384,-2.892933
CH1 2JH,53.19357,-2.892418
CH1 2JJ,53.19316,-2.892021
CH1 2JL,53.19226,-2.892002
CH1 2JN,53.1926,-2.89391
CH1 2JP,53.18775,-2.893405
CH1 2JQ,53.19279,-2.892372
CH1 2JR,53.18955,-2.893442
CH1 2JS,53.18954,-2.894939
CH1 2JT,53.18995,-2.894139
CH1 2JU,53.18686,-2.89189
CH1 2JW,53.19366,-2.892615
CH1 2JX,53.19013,-2.892377
CH1 2JY,53.19047,-2.890468
CH1 2JZ,53.19315,-2.893517
CH1 2LA,53.19007,-2.893528
CH1 2LB,53.18988,-2.893629
CH1 2LD,53.19027,-2.892634
CH1 2LE,53.1899,-2.89327
CH1 2LF,53.18945,-2.896134
CH1 2LG,53.18996,-2.893137
CH1 2LH,53.18653,-2.894966
CH1 2LJ,53.18924,-2.896893
CH1 2LL,53.18996,-2.893137
CH1 2LN,53.18971,-2.89587
CH1 2LP,53.18975,-2.895572
CH1 2LQ,53.18974,-2.896859
CH1 2LR,53.18962,-2.896527
CH1 2LS,53.19048,-2.896844
CH1 2LT,53.19043,-2.896454
CH1 2LU,53.19038,-2.897142
CH1 2LW,53.19044,-2.894958
CH1 2LX,53.18954,-2.894939
CH1 2LY,53.18887,-2.897604
CH1 2LZ,53.18877,-2.896853
CH1 2NA,53.19255,-2.8959
CH1 2NB,53.18922,-2.896863
CH1 2ND,53.18922,-2.896863
CH1 2NE,53.1927,-2.896531
CH1 2NF,53.19224,-2.896342
CH1 2NH,53.19228,-2.89754
CH1 2NJ,53.1901,-2.896806
CH1 2NL,53.18951,-2.897932
CH1 2NN,53.19115,-2.897322
CH1 2NP,53.18687,-2.894719
CH1 2NQ,53.18863,-2.896416
CH1 2NR,53.19139,-2.896833
CH1 2NS,53.18848,-2.89562
CH1 2NT,53.18922,-2.896863
CH1 2NU,53.18792,-2.895624
CH1 2NW,53.18831,-2.896395
CH1 2NX,53.18891,-2.89503
CH1 2NY,53.19141,-2.897537
CH1 2NZ,53.18885,-2.894416
CH1 2PA,53.18858,-2.894874
CH1 2PB,53.18864,-2.89492
CH1 2PD,53.18863,-2.896416
CH1 2PE,53.18863,-2.896416
CH1 2PF,53.18862,-2.897913
CH1 2PG,53.18864,-2.89492
CH1 2PH,53.18858,-2.894874
CH1 2PJ,53.18864,-2.89492
CH1 2PL,53.18864,-2.89492
CH1 2PN,53.18864,-2.89492
CH1 2PP,53.18644,-2.894246
CH1 2PQ,53.18874,-2.894967
CH1 2PR,53.18809,-2.893203
CH1 2PS,53.18775,-2.893405
CH1 2PT,53.18686,-2.89189
CH1 2PW,53.19225,-2.893499
CH1 2PX,53.19042,-2.893895
CH1 2PY,53.18761,-2.895707
CH1 2PZ,53.18955,-2.893442
CH1 2QA,53.18785,-2.89631
