PCDS,LAT,LONG
CM0 7AA,51.66239,0.828765
CM0 7AB,51.66365,0.828859
CM0 7AD,51.6648,0.829567
CM0 7AE,51.6642,0.83057
CM0 7AF,51.66571,0.831098
CM0 7AG,51.67154,0.831924
CM0 7AH,51.66425,0.826799
CM0 7AJ,51.66486,0.827864
CM0 7AL,51.66403,0.823314
CM0 7AN,51.6639,0.822033
CM0 7AP,51.66419,0.819622
CM0 7AQ,51.6635,0.826911
CM0 7AS,51.6641,0.820195
CM0 7AT,51.69253,0.881555
CM0 7AU,51.66294,0.826833
CM0 7AW,51.66413,0.820718
CM0 7AX,51.66251,0.829351
CM0 7AY,51.66283,0.826913
CM0 7AZ,51.66208,0.825463
CM0 7BA,51.66302,0.823931
CM0 7BB,51.66334,0.820177
CM0 7BD,51.66596,0.817447
CM0 7BE,51.66298,0.802295
CM0 7BF,51.66375,0.823167
CM0 7BG,51.6636,0.80965
CM0 7BH,51.65157,0.824535
CM0 7BJ,51.65655,0.826407
CM0 7BL,51.65361,0.821611
CM0 7BN,51.65444,0.810111
CM0 7BP,51.65663,0.809769
CM0 7BQ,51.65382,0.824588
CM0 7BS,51.65609,0.805889
CM0 7BT,51.65549,0.811231
CM0 7BU,51.6562,0.809005
CM0 7BW,51.65588,0.805269
CM0 7BX,51.65659,0.806874
CM0 7BY,51.66198,0.828798
CM0 7BZ,51.66232,0.829108
CM0 7DA,51.66036,0.836318
CM0 7DB,51.66197,0.829665
CM0 7DD,51.66197,0.829665
CM0 7DE,51.66245,0.829926
CM0 7DF,51.66307,0.830833
CM0 7DG,51.66421,0.831699
CM0 7DH,51.66274,0.83262
CM0 7DJ,51.66351,0.834389
CM0 7DL,51.66406,0.83584
CM0 7DN,51.66493,0.834
CM0 7DP,51.66681,0.846382
CM0 7DQ,51.66377,0.832438
CM0 7DR,51.66713,0.843755
CM0 7DS,51.66588,0.840914
CM0 7DT,51.67025,0.843936
CM0 7DU,51.6763,0.840366
CM0 7DW,51.66574,0.83648
CM0 7DX,51.67414,0.849127
CM0 7DY,51.67501,0.847851
CM0 7DZ,51.67615,0.850223
CM0 7EA,51.67651,0.852965
CM0 7EB,51.66289,0.833236
CM0 7ED,51.66541,0.833321
CM0 7EE,51.66236,0.833738
CM0 7EF,51.66021,0.834067
CM0 7EG,51.66116,0.834589
CM0 7EH,51.66084,0.837129
CM0 7EJ,51.66126,0.826483
CM0 7EL,51.66226,0.827485
CM0 7EN,51.66059,0.835349
CM0 7EP,51.66185,0.829556
CM0 7EQ,51.6613,0.837186
CM0 7ER,51.66074,0.825554
CM0 7ES,51.65977,0.82801
CM0 7ET,51.66114,0.828789
CM0 7EU,51.66098,0.834043
CM0 7EW,51.66172,0.832946
CM0 7EX,51.6624,0.825686
CM0 7EY,51.66164,0.827591
CM0 7EZ,51.66156,0.828743
CM0 7FA,51.66337,0.827988
CM0 7FB,51.66333,0.828043
CM0 7FD,51.66251,0.829351
CM0 7FE,51.66265,0.821537
CM0 7FF,51.66279,0.829427
CM0 7FG,51.67807,0.883719
CM0 7FH,51.66207,0.815456
CM0 7FJ,51.66273,0.815179
CM0 7FL,51.66249,0.815786
CM0 7FN,51.66182,0.815036
CM0 7FP,51.66162,0.816108
CM0 7FQ,51.66154,0.816536
CM0 7FR,51.66251,0.829351
CM0 7FS,51.66251,0.829351
CM0 7FT,51.66198,0.816795
CM0 7FU,51.6628,0.816297
CM0 7FW,51.66253,0.816655
CM0 7FX,51.64694,0.896054
CM0 7FY,51.69165,0.882035
CM0 7FZ,51.66253,0.829251
CM0 7GA,51.66375,0.823803
CM0 7GB,51.66251,0.829351
CM0 7GD,51.65897,0.826528
CM0 7GE,51.66816,0.81767
CM0 7GF,51.66365,0.821787
CM0 7GG,51.66029,0.83345
CM0 7GH,51.66062,0.833456
CM0 7GJ,51.66848,0.817386
CM0 7GL,51.66857,0.817695
CM0 7GN,51.66251,0.829351
CM0 7GP,51.65986,0.82521
CM0 7GQ,51.73353,0.887539
CM0 7GR,51.71305,0.832867
CM0 7GS,51.66243,0.821017
CM0 7GT,51.66251,0.829351
CM0 7GU,51.66251,0.829351
CM0 7GW,51.6628,0.828878
CM0 7GX,51.6624,0.81993
CM0 7GY,51.69563,0.881347
CM0 7GZ,51.65989,0.829521
CM0 7HA,51.65944,0.826846
CM0 7HB,51.66096,0.827289
CM0 7HD,51.66082,0.829521
CM0 7HE,51.66225,0.834975
CM0 7HF,51.66135,0.829771
CM0 7HG,51.66045,0.827531
CM0 7HH,51.71393,0.883915
CM0 7HJ,51.71399,0.88321
CM0 7HL,51.71449,0.88453
CM0 7HN,51.71522,0.882506
CM0 7HP,51.7422,0.898218
CM0 7HQ,51.65913,0.82917
CM0 7HR,51.71885,0.891671
CM0 7HS,51.7194,0.887449
CM0 7HT,51.71671,0.883165
CM0 7HU,51.7151,0.878661
CM0 7HW,51.7395,0.89412
CM0 7HX,51.71352,0.875738
CM0 7HY,51.71218,0.865301
CM0 7HZ,51.71018,0.86031
CM0 7JA,51.65859,0.82863
CM0 7JB,51.74059,0.916326
CM0 7JD,51.67546,0.865137
CM0 7JE,51.71674,0.88101
CM0 7JF,51.67606,0.859244
CM0 7JG,51.66584,0.905143
CM0 7JH,51.71336,0.830556
CM0 7JJ,51.64869,0.876605
CM0 7JL,51.67984,0.883527
CM0 7JN,51.65674,0.868236
CM0 7JP,51.65853,0.83765
CM0 7JQ,51.65149,0.908504
CM0 7JR,51.6497,0.836795
CM0 7JS,51.65804,0.826774
CM0 7JT,51.65873,0.827598
CM0 7JU,51.69724,0.885372
CM0 7JW,51.6592,0.83785
CM0 7JX,51.66348,0.828385
CM0 7JY,51.69363,0.801205
CM0 7JZ,51.71407,0.830325
CM0 7LA,51.67416,0.8158
CM0 7LB,51.67475,0.809703
CM0 7LD,51.67985,0.828869
CM0 7LE,51.69095,0.804469
CM0 7LF,51.69309,0.80288
CM0 7LG,51.69288,0.80126
CM0 7LH,51.69898,0.822305
CM0 7LJ,51.69444,0.809808
CM0 7LL,51.69436,0.810555
CM0 7LN,51.70282,0.844922
CM0 7LP,51.7092,0.840589
CM0 7LQ,51.70619,0.80644
CM0 7LR,51.7065,0.833891
CM0 7LS,51.66228,0.829583
CM0 7LT,51.71591,0.828789
CM0 7LU,51.7155,0.828315
CM0 7LW,51.70726,0.848328
CM0 7LX,51.69217,0.795081
CM0 7LY,51.71484,0.827434
CM0 7LZ,51.66228,0.829583
CM0 7NA,51.71794,0.82434
CM0 7NB,51.71589,0.82705
CM0 7ND,51.7172,0.827103
CM0 7NE,51.72005,0.81745
CM0 7NF,51.71964,0.821768
CM0 7NG,51.71925,0.81695
CM0 7NH,51.71918,0.821855
CM0 7NJ,51.71741,0.815707
CM0 7NL,51.71895,0.817424
CM0 7NN,51.7197,0.817601
CM0 7NP,51.71626,0.824149
CM0 7NQ,51.7198,0.818969
CM0 7NR,51.71855,0.822988
CM0 7NS,51.71722,0.822877
CM0 7NT,51.71534,0.82412
CM0 7NU,51.71673,0.794076
CM0 7NW,51.71897,0.822899
CM0 7NX,51.68927,0.858919
CM0 7NY,51.68087,0.849318
CM0 7NZ,51.69184,0.841817
CM0 7PA,51.71672,0.827363
CM0 7PB,51.71904,0.825799
CM0 7PD,51.684,0.848401
CM0 7PE,51.71258,0.830594
CM0 7PF,51.71814,0.826033
CM0 7PG,51.66251,0.829351
CM0 7PH,51.72159,0.902707
CM0 7PJ,51.72189,0.899787
CM0 7PL,51.72368,0.901393
CM0 7PN,51.73333,0.925621
CM0 7PP,51.73046,0.919859
CM0 7PQ,51.66251,0.829351
CM0 7PR,51.7299,0.91865
CM0 7PS,51.72966,0.917722
CM0 7PT,51.72717,0.908119
CM0 7PU,51.72771,0.908704
CM0 7PW,51.73024,0.923756
CM0 7PX,51.72538,0.902472
CM0 7PY,51.72474,0.901257
CM0 7PZ,51.72321,0.913238
CM0 7QA,51.72385,0.91325
CM0 7QB,51.71038,0.927744
CM0 7QD,51.72414,0.911689
CM0 7QE,51.72642,0.90697
CM0 7QF,51.7319,0.901528
CM0 7QG,51.72595,0.907693
CM0 7QH,51.72603,0.902397
CM0 7QJ,51.72371,0.90012
CM0 7QL,51.72433,0.899928
CM0 7QN,51.72499,0.900188
CM0 7QP,51.7295,0.899245
CM0 7QQ,51.72636,0.908082
CM0 7QR,51.73027,0.897325
CM0 7QS,51.73023,0.896598
CM0 7QT,51.73303,0.890201
CM0 7QU,51.73428,0.889412
CM0 7QW,51.72583,0.900111
CM0 7QX,51.7338,0.888715
CM0 7QY,51.73348,0.887116
CM0 7QZ,51.72394,0.889809
CM0 7RA,51.73469,0.890452
CM0 7RB,51.73279,0.886463
CM0 7RD,51.66187,0.819059
CM0 7RE,51.66211,0.820447
CM0 7RF,51.71789,0.823845
CM0 7RG,51.66251,0.829351
CM0 7RH,51.69224,0.80002
CM0 7RJ,51.69176,0.79808
CM0 7RL,51.69204,0.794798
CM0 7RN,51.69136,0.792498
CM0 7RP,51.69025,0.791678
CM0 7RQ,51.66065,0.823929
CM0 7RR,51.68549,0.787102
CM0 7RS,51.69257,0.790316
CM0 7RT,51.68921,0.79063
CM0 7RU,51.692,0.794477
CM0 7RW,51.69117,0.792443
CM0 7RX,51.66084,0.82462
CM0 7RY,51.65891,0.824702
CM0 7RZ,51.65887,0.824107
CM0 7SA,51.69753,0.884262
CM0 7SB,51.69904,0.854064
CM0 7SD,51.70175,0.863267
CM0 7SE,51.70057,0.867375
CM0 7SF,51.7015,0.868317
CM0 7SG,51.69977,0.87899
CM0 7SH,51.69871,0.879328
CM0 7SJ,51.70211,0.90185
CM0 7SL,51.69008,0.905957
CM0 7SN,51.69584,0.913606
CM0 7SP,51.7052,0.892074
CM0 7SQ,51.6986,0.879756
CM0 7SR,51.70252,0.880034
CM0 7SS,51.70113,0.880032
CM0 7ST,51.69884,0.882477
CM0 7SU,51.69719,0.883009
CM0 7SW,51.69729,0.904538
CM0 7SX,51.6951,0.884136
