PCDS,LAT,LONG
CO1 1AA,51.89091,0.900864
CO1 1AE,51.88953,0.916124
CO1 1AF,51.88793,0.894713
CO1 1AG,51.89888,0.896653
CO1 1AH,51.8982,0.897031
CO1 1AJ,51.89849,0.896265
CO1 1AL,51.88788,0.89657
CO1 1AN,51.89835,0.897448
CO1 1AP,51.89883,0.898962
CO1 1AQ,51.89273,0.900502
CO1 1AR,51.89263,0.900059
CO1 1AS,51.89116,0.896607
CO1 1AT,51.8973,0.901058
CO1 1AU,51.89831,0.897809
CO1 1AW,51.89826,0.898387
CO1 1AX,51.88953,0.916124
CO1 1AY,51.88793,0.894713
CO1 1AZ,51.88897,0.901887
CO1 1BA,51.89082,0.898038
CO1 1BB,51.8898,0.896083
CO1 1BD,51.88953,0.916124
CO1 1BE,51.88991,0.902616
CO1 1BG,51.89861,0.895255
CO1 1BH,51.89878,0.904948
CO1 1BJ,51.89878,0.904948
CO1 1BL,51.89878,0.904948
CO1 1BN,51.89893,0.907662
CO1 1BP,51.89893,0.907662
CO1 1BQ,51.89332,0.899261
CO1 1BS,51.89878,0.904948
CO1 1BT,51.88788,0.900436
CO1 1BU,51.89892,0.907661
CO1 1BW,51.89893,0.907662
CO1 1BX,51.89899,0.900731
CO1 1BY,51.89326,0.898385
CO1 1BZ,51.89219,0.895685
CO1 1DA,51.88934,0.897158
CO1 1DB,51.88945,0.8984
CO1 1DD,51.88934,0.897158
CO1 1DE,51.88876,0.897673
CO1 1DF,51.88906,0.900338
CO1 1DG,51.88943,0.898603
CO1 1DH,51.8896,0.900678
CO1 1DJ,51.88961,0.900301
CO1 1DL,51.89872,0.897835
CO1 1DN,51.88952,0.902853
CO1 1DP,51.88942,0.900753
CO1 1DQ,51.88941,0.898747
CO1 1DR,51.88865,0.902026
CO1 1DS,51.89022,0.898872
CO1 1DU,51.88942,0.898922
CO1 1DW,51.88986,0.898398
CO1 1DX,51.88937,0.900532
CO1 1DY,51.88965,0.897731
CO1 1DZ,51.89107,0.896703
CO1 1EA,51.89331,0.897748
CO1 1EB,51.89059,0.896672
CO1 1ED,51.89286,0.898068
CO1 1EE,51.89278,0.896914
CO1 1EF,51.89059,0.896337
CO1 1EG,51.8921,0.896594
CO1 1EH,51.89236,0.89651
CO1 1EJ,51.89187,0.897743
CO1 1EL,51.89212,0.897744
CO1 1EN,51.89255,0.897088
CO1 1EP,51.89325,0.897962
CO1 1EQ,51.89263,0.898882
CO1 1ER,51.89304,0.90026
CO1 1ES,51.89268,0.900775
CO1 1ET,51.89288,0.898025
CO1 1EU,51.89196,0.897312
CO1 1EW,51.89262,0.899434
CO1 1EX,51.89326,0.898385
CO1 1EY,51.89241,0.899711
CO1 1EZ,51.89249,0.897928
CO1 1FA,51.88992,0.902908
CO1 1FB,51.8987,0.902878
CO1 1FD,51.8986,0.906172
CO1 1FE,51.88953,0.916124
CO1 1FF,51.8921,0.900722
CO1 1FG,51.87499,0.872085
CO1 1FH,51.88953,0.916124
CO1 1FJ,51.8985,0.90099
CO1 1FL,51.88953,0.916124
CO1 1FN,51.88953,0.916124
CO1 1FP,51.88953,0.916124
CO1 1FQ,51.89111,0.898101
CO1 1FR,51.88953,0.916124
CO1 1FS,51.88953,0.916124
CO1 1FT,51.88943,0.898603
CO1 1FU,51.94685,1.054231
CO1 1FW,51.89874,0.903782
CO1 1FX,51.91217,0.986434
CO1 1FY,51.88994,0.901688
CO1 1FZ,51.88953,0.916124
CO1 1GA,51.88953,0.916124
CO1 1GD,51.89585,0.902549
CO1 1GE,51.89741,0.911314
CO1 1GF,51.89741,0.911314
CO1 1GG,51.88953,0.916124
CO1 1GH,51.89741,0.911314
CO1 1GJ,51.89032,0.900273
CO1 1GL,51.88953,0.916124
CO1 1GN,51.89046,0.907725
CO1 1GP,51.89141,0.899312
CO1 1GQ,51.89025,0.900283
CO1 1GR,51.89304,0.90026
CO1 1GS,51.88775,0.901968
CO1 1GT,51.88953,0.916124
CO1 1GU,51.89332,0.899261
CO1 1GW,51.89741,0.911314
CO1 1GX,51.89241,0.900888
CO1 1GY,51.89925,0.905545
CO1 1GZ,51.88953,0.916124
CO1 1HA,51.89223,0.896879
CO1 1HB,51.89176,0.898564
CO1 1HD,51.89128,0.898592
CO1 1HE,51.89121,0.898892
CO1 1HF,51.89035,0.898793
CO1 1HG,51.89236,0.896713
CO1 1HH,51.89332,0.899261
CO1 1HJ,51.89201,0.898842
CO1 1HL,51.89266,0.899669
CO1 1HN,51.8911,0.899147
CO1 1HP,51.89173,0.899492
CO1 1HQ,51.89032,0.89927
CO1 1HR,51.89199,0.898535
CO1 1HS,51.89215,0.898197
CO1 1HT,51.89301,0.89863
CO1 1HU,51.89892,0.906542
CO1 1HW,51.89227,0.897245
CO1 1HX,51.89301,0.89863
CO1 1HY,51.89304,0.90026
CO1 1HZ,51.88946,0.896904
CO1 1JA,51.88879,0.896221
CO1 1JB,51.8885,0.899749
CO1 1JD,51.88923,0.897544
CO1 1JE,51.88948,0.896062
CO1 1JF,51.88921,0.898342
CO1 1JG,51.88901,0.89798
CO1 1JH,51.88874,0.906218
CO1 1JJ,51.888,0.898147
CO1 1JL,51.88804,0.898484
CO1 1JN,51.88848,0.899065
CO1 1JP,51.88782,0.899066
CO1 1JQ,51.88874,0.898427
CO1 1JR,51.88919,0.899692
CO1 1JS,51.88927,0.899639
CO1 1JT,51.88935,0.899586
CO1 1JU,51.88899,0.898734
CO1 1JW,51.88979,0.897129
CO1 1JX,51.89624,0.901877
CO1 1JY,51.88865,0.902026
CO1 1JZ,51.88938,0.901507
CO1 1LA,51.88932,0.901503
CO1 1LB,51.88932,0.902302
CO1 1LD,51.88923,0.903939
CO1 1LE,51.88939,0.903135
CO1 1LF,51.88931,0.901298
CO1 1LG,51.88883,0.902925
CO1 1LH,51.88895,0.902322
CO1 1LJ,51.88839,0.902474
CO1 1LL,51.88935,0.903103
CO1 1LN,51.88805,0.90286
CO1 1LP,51.88856,0.902137
CO1 1LQ,51.89301,0.89863
CO1 1LR,51.88808,0.901568
CO1 1LS,51.88794,0.900643
CO1 1LT,51.88791,0.899857
CO1 1LU,51.89839,0.894717
CO1 1LW,51.88775,0.901968
CO1 1LX,51.88831,0.900624
CO1 1LY,51.89626,0.902663
CO1 1LZ,51.88953,0.916124
CO1 1NA,51.88876,0.897673
CO1 1NB,51.88942,0.89603
CO1 1ND,51.89425,0.896326
CO1 1NE,51.89301,0.89863
CO1 1NF,51.8889,0.895371
CO1 1NG,51.88901,0.896788
CO1 1NH,51.88848,0.896042
CO1 1NJ,51.89859,0.907073
CO1 1NL,51.88793,0.894713
CO1 1NN,51.8892,0.897876
CO1 1NP,51.88829,0.895608
CO1 1NQ,51.89865,0.905972
CO1 1NR,51.88792,0.89602
CO1 1NS,51.888,0.895153
CO1 1NT,51.88782,0.896537
CO1 1NU,51.88788,0.89612
CO1 1NW,51.88813,0.896019
CO1 1NX,51.8894,0.896145
CO1 1NY,51.88926,0.896484
CO1 1NZ,51.89039,0.89567
CO1 1PA,51.89002,0.895879
CO1 1PB,51.88807,0.89648
CO1 1PD,51.89285,0.895218
CO1 1PE,51.88823,0.901592
CO1 1PG,51.88978,0.897303
CO1 1PH,51.88969,0.896279
CO1 1PJ,51.8898,0.89886
CO1 1PL,51.88921,0.897426
CO1 1PN,51.89017,0.897647
CO1 1PP,51.89285,0.895218
CO1 1PQ,51.88969,0.896279
CO1 1PR,51.89016,0.894522
CO1 1PS,51.88879,0.896221
CO1 1PT,51.88931,0.894467
CO1 1PU,51.89436,0.897292
CO1 1PW,51.88979,0.898175
CO1 1PX,51.89027,0.896171
CO1 1PY,51.89158,0.895805
CO1 1PZ,51.89301,0.89863
CO1 1QA,51.89115,0.895719
CO1 1QB,51.89878,0.904948
CO1 1QD,51.89705,0.911
CO1 1QE,51.89728,0.909459
CO1 1QF,51.89046,0.896126
CO1 1QG,51.89682,0.912352
CO1 1QH,51.89703,0.91203
CO1 1QJ,51.89647,0.911573
CO1 1QL,51.88972,0.894828
CO1 1QN,51.88972,0.894828
CO1 1QP,51.89194,0.895872
CO1 1QQ,51.89032,0.896088
CO1 1QR,51.89214,0.896059
CO1 1QS,51.89247,0.896502
CO1 1QT,51.89283,0.896612
CO1 1QU,51.88953,0.916124
CO1 1QW,51.8898,0.898612
CO1 1QX,51.89351,0.895581
CO1 1QY,51.88953,0.916124
CO1 1QZ,51.89238,0.896453
CO1 1RA,51.89285,0.895218
CO1 1RB,51.89551,0.895549
CO1 1RD,51.89394,0.896393
CO1 1RE,51.8943,0.896213
CO1 1RF,51.88705,0.895776
CO1 1RG,51.88953,0.916124
CO1 1RH,51.89468,0.895671
CO1 1RJ,51.89404,0.897475
CO1 1RL,51.89413,0.895024
CO1 1RN,51.88941,0.896596
CO1 1RP,51.8959,0.895051
CO1 1RQ,51.89548,0.895969
CO1 1RR,51.89473,0.896633
CO1 1RS,51.89472,0.898348
CO1 1RT,51.89499,0.898336
CO1 1RU,51.89582,0.896848
CO1 1RW,51.89418,0.896568
CO1 1RX,51.89565,0.896532
CO1 1RY,51.89632,0.897768
CO1 1RZ,51.89605,0.898899
CO1 1SA,51.89534,0.898373
CO1 1SB,51.89645,0.896031
CO1 1SD,51.89436,0.897292
CO1 1SE,51.8966,0.895416
CO1 1SF,51.89643,0.894983
CO1 1SG,51.89611,0.894483
CO1 1SH,51.89675,0.893289
CO1 1SJ,51.89706,0.894385
CO1 1SL,51.894,0.894566
CO1 1SN,51.89094,0.894775
CO1 1SP,51.89018,0.899596
CO1 1SQ,51.89659,0.893714
CO1 1SR,51.89048,0.899921
CO1 1SS,51.89087,0.900164
CO1 1ST,51.89134,0.899889
CO1 1SU,51.89019,0.90166
CO1 1SW,51.89152,0.894944
CO1 1SX,51.89414,0.89802
CO1 1SY,51.89516,0.895556
CO1 1SZ,51.88998,0.900557
CO1 1TA,51.88962,0.899182
CO1 1TB,51.88994,0.901688
CO1 1TD,51.88992,0.901178
CO1 1TE,51.89326,0.898385
CO1 1TF,51.88993,0.901688
CO1 1TG,51.89285,0.895218
CO1 1TH,51.88978,0.902681
CO1 1TJ,51.89072,0.903192
CO1 1TL,51.89054,0.905491
CO1 1TN,51.88997,0.902344
CO1 1TP,51.89033,0.901481
CO1 1TQ,51.89332,0.899261
CO1 1TR,51.89326,0.898385
CO1 1TS,51.89072,0.900808
CO1 1TT,51.89081,0.901933
CO1 1TW,51.89046,0.902376
CO1 1TX,51.88953,0.916124
CO1 1TY,51.89137,0.900385
CO1 1TZ,51.89158,0.895805
CO1 1UA,51.89165,0.901087
CO1 1UB,51.89199,0.9015
CO1 1UD,51.89252,0.902
CO1 1UE,51.88974,0.904757
CO1 1UF,51.88979,0.906214
CO1 1UG,51.89015,0.90535
CO1 1UH,51.89007,0.904967
CO1 1UJ,51.89066,0.90515
CO1 1UL,51.89262,0.906353
CO1 1UN,51.89168,0.905841
CO1 1UP,51.89181,0.906853
CO1 1UQ,51.88953,0.916124
CO1 1UR,51.89131,0.907402
CO1 1US,51.89722,0.898014
CO1 1UT,51.89773,0.898425
CO1 1UU,51.89744,0.894017
CO1 1UW,51.8917,0.906366
CO1 1UX,51.8983,0.895322
CO1 1UY,51.88953,0.916124
CO1 1UZ,51.89813,0.894802
CO1 1WA,51.88953,0.916124
CO1 1WB,51.89455,0.89434
CO1 1WD,51.89296,0.897159
CO1 1WE,51.88953,0.916124
CO1 1WF,51.88838,0.89791
CO1 1WG,51.88881,0.897647
CO1 1WH,51.88953,0.916124
CO1 1WJ,51.89474,0.895369
CO1 1WL,51.88953,0.916124
CO1 1WN,51.89482,0.894197
CO1 1WP,51.88953,0.916124
CO1 1WQ,51.88777,0.897595
CO1 1WR,51.89006,0.904966
CO1 1WS,51.8898,0.910546
CO1 1WT,51.88953,0.916124
CO1 1WU,51.88953,0.916124
CO1 1WW,51.89521,0.893393
CO1 1WX,51.88953,0.916124
CO1 1WZ,51.88953,0.916124
CO1 1XA,51.89787,0.893739
CO1 1XB,51.88953,0.916124
CO1 1XD,51.90077,0.892472
CO1 1XE,51.90023,0.895344
CO1 1XF,51.89924,0.898261
CO1 1XG,51.89461,0.907179
CO1 1XH,51.88953,0.916124
CO1 1XJ,51.88873,0.90068
CO1 1XL,51.89315,0.900921
CO1 1XN,51.8965,0.900774
CO1 1XP,51.89689,0.898313
CO1 1XQ,51.88953,0.916124
CO1 1XR,51.89721,0.899758
CO1 1XS,51.89618,0.899881
CO1 1XT,51.89714,0.901659
CO1 1XU,51.88953,0.916124
CO1 1XW,51.89692,0.902211
CO1 1XX,51.89809,0.906953
CO1 1XY,51.89615,0.898309
CO1 1XZ,51.89754,0.912616
CO1 1YA,51.89613,0.914953
CO1 1YB,51.88953,0.916124
CO1 1YD,51.89773,0.913617
CO1 1YE,51.89211,0.899168
CO1 1YF,51.89203,0.899773
CO1 1YG,51.89063,0.90214
CO1 1YH,51.89699,0.905399
CO1 1YJ,51.88979,0.898713
CO1 1YL,51.88953,0.916124
CO1 1YN,51.89851,0.90999
CO1 1YP,51.88953,0.916124
CO1 1YQ,51.88953,0.916124
CO1 1YR,51.89601,0.895233
CO1 1YS,51.88953,0.916124
CO1 1YT,51.89328,0.896511
CO1 1YU,51.89404,0.897475
CO1 1YW,51.88953,0.916124
CO1 1YX,51.89328,0.896511
CO1 1YY,51.89418,0.896568
CO1 1YZ,51.88953,0.916124
CO1 1ZA,51.88786,0.898051
CO1 1ZB,51.89301,0.89863
CO1 1ZD,51.88786,0.897615
CO1 1ZE,51.88953,0.916124
CO1 1ZF,51.88953,0.916124
CO1 1ZG,51.88953,0.916124
CO1 1ZH,51.88953,0.916124
CO1 1ZJ,51.89874,0.893955
CO1 1ZL,51.88953,0.916124
CO1 1ZN,51.89301,0.89863
CO1 1ZP,51.89911,0.89331
CO1 1ZQ,51.89874,0.893955
CO1 1ZR,51.89874,0.893707
CO1 1ZS,51.89886,0.89277
CO1 1ZT,51.88953,0.916124
CO1 1ZU,51.89964,0.894492
CO1 1ZX,51.89973,0.893495
CO1 1ZY,51.8996,0.89292
CO1 2AA,51.8854,0.905683
CO1 2AB,51.88495,0.906148
CO1 2AD,51.88453,0.907313
CO1 2AE,51.88495,0.906148
CO1 2AF,51.88509,0.906171
CO1 2AG,51.88443,0.906303
CO1 2AH,51.88378,0.907177
CO1 2AJ,51.88446,0.907933
CO1 2AL,51.88401,0.907541
CO1 2AN,51.88301,0.909423
CO1 2AP,51.88152,0.910461
CO1 2AQ,51.88433,0.905788
CO1 2AR,51.88154,0.91177
CO1 2AS,51.88118,0.912866
CO1 2AT,51.88084,0.91296
CO1 2AU,51.87868,0.916017
CO1 2AW,51.8839,0.908071
CO1 2AX,51.878,0.91542
CO1 2AY,51.88361,0.909157
CO1 2AZ,51.88953,0.916124
CO1 2BA,51.88953,0.916124
CO1 2BB,51.88953,0.916124
CO1 2BD,51.8852,0.907487
CO1 2BE,51.8844,0.908888
CO1 2BG,51.88443,0.908323
CO1 2BH,51.88309,0.910155
CO1 2BJ,51.88381,0.909955
CO1 2BL,51.88407,0.910523
CO1 2BN,51.88474,0.909549
CO1 2BP,51.8843,0.909623
CO1 2BQ,51.88361,0.909811
CO1 2BS,51.88465,0.910852
CO1 2BT,51.88394,0.910443
CO1 2BU,51.88462,0.912362
CO1 2BW,51.88401,0.907541
CO1 2BX,51.88494,0.913341
CO1 2BY,51.88363,0.914158
CO1 2BZ,51.8848,0.914248
CO1 2DA,51.88361,0.913909
CO1 2DB,51.88414,0.914045
CO1 2DD,51.88422,0.913367
CO1 2DE,51.88372,0.913393
CO1 2DF,51.88381,0.912905
CO1 2DG,51.8839,0.912343
CO1 2DH,51.88395,0.911024
CO1 2DJ,51.88118,0.91317
CO1 2DL,51.88161,0.913605
CO1 2DN,51.88221,0.914036
CO1 2DP,51.88338,0.912688
CO1 2DQ,51.88565,0.915437
CO1 2DR,51.88298,0.914653
CO1 2DS,51.88293,0.915551
CO1 2DT,51.88373,0.914905
CO1 2DU,51.88448,0.91536
CO1 2DW,51.88284,0.913946
CO1 2DX,51.88383,0.914796
CO1 2DY,51.88473,0.914854
CO1 2DZ,51.88464,0.914935
CO1 2EA,51.88297,0.912865
CO1 2EB,51.88268,0.912047
CO1 2ED,51.88191,0.912738
CO1 2EE,51.88201,0.912337
CO1 2EF,51.88214,0.910951
CO1 2EG,51.88337,0.911539
CO1 2EH,51.87934,0.914505
CO1 2EJ,51.88305,0.910385
CO1 2EL,51.88953,0.916124
CO1 2EN,51.88441,0.911345
CO1 2EP,51.87973,0.91623
CO1 2EQ,51.88953,0.916124
CO1 2ER,51.87949,0.916927
CO1 2ES,51.87986,0.91493
CO1 2ET,51.87791,0.916766
CO1 2EU,51.88429,0.906643
CO1 2EW,51.88426,0.916015
CO1 2EX,51.87755,0.91882
CO1 2EY,51.87719,0.920047
CO1 2EZ,51.87859,0.920298
CO1 2FA,51.88754,0.907812
CO1 2FB,51.88565,0.915437
CO1 2FD,51.88953,0.916124
CO1 2FE,51.88437,0.923623
CO1 2FF,51.88953,0.916124
CO1 2FG,51.88346,0.923578
CO1 2FH,51.88342,0.924143
CO1 2FJ,51.88526,0.908798
CO1 2FL,51.88427,0.908487
CO1 2FN,51.88398,0.914049
CO1 2FP,51.88364,0.921017
CO1 2FQ,51.88301,0.90906
CO1 2FR,51.88283,0.920616
CO1 2FS,51.88248,0.92241
CO1 2FT,51.8835,0.918945
CO1 2FU,51.88409,0.914463
CO1 2FX,51.88953,0.916124
CO1 2FY,51.88547,0.921035
CO1 2FZ,51.88953,0.916124
CO1 2GA,51.88567,0.915074
CO1 2GB,51.88953,0.916124
CO1 2GD,51.88946,0.908009
CO1 2GE,51.89001,0.910109
CO1 2GF,51.88729,0.928899
CO1 2GG,51.88953,0.916124
CO1 2GH,51.88953,0.916124
CO1 2GJ,51.88511,0.921331
CO1 2GL,51.88346,0.925831
CO1 2GN,51.88443,0.914151
CO1 2GP,51.89012,0.908066
CO1 2GQ,51.89082,0.916556
CO1 2GR,51.88953,0.916124
CO1 2GS,51.8787,0.921133
CO1 2GT,51.88953,0.916124
CO1 2GU,51.88354,0.924935
CO1 2GW,51.88551,0.923319
CO1 2GX,51.88617,0.924321
CO1 2GY,51.88559,0.924342
CO1 2GZ,51.88603,0.923207
CO1 2HA,51.87781,0.920465
CO1 2HB,51.87786,0.91903
CO1 2HD,51.87877,0.917563
CO1 2HE,51.8792,0.918724
CO1 2HF,51.87941,0.920786
CO1 2HG,51.88079,0.921661
CO1 2HH,51.87878,0.921458
CO1 2HJ,51.87804,0.922616
CO1 2HL,51.88036,0.92095
CO1 2HN,51.88138,0.919243
CO1 2HP,51.87941,0.922487
CO1 2HQ,51.8803,0.92192
CO1 2HR,51.8812,0.918403
CO1 2HS,51.88181,0.915449
CO1 2HT,51.88184,0.91782
CO1 2HU,51.87851,0.918956
CO1 2HW,51.88162,0.919869
CO1 2HX,51.88207,0.917704
CO1 2HY,51.88206,0.915349
CO1 2HZ,51.88238,0.915283
CO1 2JA,51.88264,0.915241
CO1 2JB,51.88242,0.917581
CO1 2JD,51.88269,0.917541
CO1 2JE,51.88297,0.918736
CO1 2JF,51.88388,0.918548
CO1 2JG,51.88312,0.918004
CO1 2JH,51.88315,0.916045
CO1 2JJ,51.88409,0.916135
CO1 2JL,51.88402,0.916435
CO1 2JN,51.88096,0.921134
CO1 2JP,51.8863,0.909709
CO1 2JQ,51.88309,0.916855
CO1 2JR,51.88627,0.911596
CO1 2JS,51.88608,0.908531
CO1 2JT,51.88583,0.904664
CO1 2JU,51.88498,0.909681
CO1 2JW,51.88087,0.922204
CO1 2JX,51.88595,0.907404
CO1 2JY,51.88953,0.916124
CO1 2JZ,51.88586,0.911017
CO1 2LA,51.88522,0.91301
CO1 2LB,51.88006,0.922224
CO1 2LD,51.88572,0.906082
CO1 2LE,51.88559,0.911291
CO1 2LF,51.88549,0.911923
CO1 2LG,51.88484,0.912332
CO1 2LH,51.88597,0.912899
CO1 2LJ,51.88526,0.914845
CO1 2LL,51.88505,0.914845
CO1 2LN,51.88567,0.915074
CO1 2LP,51.88485,0.916838
CO1 2LQ,51.88543,0.910684
CO1 2LR,51.8851,0.916258
CO1 2LS,51.88506,0.916939
CO1 2LT,51.88503,0.917925
CO1 2LU,51.88402,0.91722
CO1 2LW,51.88495,0.915914
CO1 2LX,51.88402,0.917598
CO1 2LY,51.88525,0.918986
CO1 2LZ,51.8847,0.918122
CO1 2NA,51.8839,0.918171
CO1 2NB,51.88459,0.919321
CO1 2ND,51.88501,0.919465
CO1 2NE,51.88435,0.920018
CO1 2NF,51.88468,0.921623
CO1 2NG,51.88484,0.919947
CO1 2NH,51.88427,0.924488
CO1 2NJ,51.88508,0.920559
CO1 2NL,51.88544,0.920088
CO1 2NN,51.88426,0.922729
CO1 2NP,51.88451,0.924664
CO1 2NQ,51.88448,0.921232
CO1 2NR,51.88476,0.925
CO1 2NS,51.88511,0.923889
CO1 2NT,51.88518,0.920057
CO1 2NU,51.8839,0.921151
CO1 2NW,51.88788,0.92561
CO1 2NX,51.88229,0.919506
CO1 2NY,51.88372,0.919149
CO1 2NZ,51.8842,0.919586
CO1 2PA,51.88493,0.911016
CO1 2PB,51.88857,0.918779
CO1 2PD,51.88491,0.907599
CO1 2PE,51.88493,0.911016
CO1 2PF,51.88874,0.909518
CO1 2PG,51.88957,0.90444
CO1 2PH,51.88926,0.904508
CO1 2PJ,51.88892,0.903875
CO1 2PL,51.88821,0.903263
CO1 2PN,51.88775,0.901968
CO1 2PQ,51.88853,0.903937
CO1 2PR,51.89054,0.91039
CO1 2PS,51.89013,0.91032
CO1 2PT,51.88771,0.903419
CO1 2PU,51.884,0.924689
CO1 2PW,51.8855,0.922316
CO1 2PX,51.8879,0.903577
CO1 2PY,51.88779,0.905285
CO1 2PZ,51.88755,0.906011
CO1 2QA,51.88804,0.906987
CO1 2QB,51.88923,0.908125
CO1 2QD,51.88852,0.909256
CO1 2QE,51.88946,0.908227
CO1 2QF,51.88563,0.915057
CO1 2QG,51.888,0.907988
CO1 2QH,51.88802,0.906913
CO1 2QJ,51.8894,0.907889
CO1 2QL,51.88984,0.908135
CO1 2QN,51.89014,0.907704
CO1 2QP,51.88937,0.90934
CO1 2QQ,51.88953,0.916124
CO1 2QR,51.89005,0.912132
CO1 2QS,51.89004,0.909355
CO1 2QT,51.89046,0.914992
CO1 2QU,51.88937,0.909341
CO1 2QW,51.89008,0.910796
CO1 2QX,51.88983,0.91046
CO1 2QY,51.88983,0.912364
CO1 2QZ,51.89008,0.9127
CO1 2RA,51.89204,0.91165
CO1 2RB,51.89038,0.911761
CO1 2RD,51.89195,0.910234
CO1 2RE,51.89244,0.910993
CO1 2RF,51.89279,0.910579
CO1 2RG,51.89233,0.909735
CO1 2RH,51.8936,0.908175
CO1 2RJ,51.89312,0.909423
CO1 2RL,51.89201,0.90861
