PCDS,LAT,LONG
CR0 0AA,51.34034,-0.005032
CR0 0AB,51.33759,-0.002079
CR0 0AD,51.33532,-0.001302
CR0 0AE,51.34072,-0.004528
CR0 0AF,51.33832,-0.001244
CR0 0AG,51.33659,-0.0005
CR0 0AH,51.33455,-0.002455
CR0 0AJ,51.33462,-2.6e-05
CR0 0AL,51.33403,-0.005134
CR0 0AN,51.33429,-0.008985
CR0 0AP,51.33473,-0.011493
CR0 0AQ,51.3349,-0.007752
CR0 0AR,51.33431,-0.006342
CR0 0AS,51.34003,-0.002361
CR0 0AT,51.34121,-0.00185
CR0 0AU,51.33478,-0.005934
CR0 0AW,51.33461,-0.008885
CR0 0AX,51.34003,-0.002806
CR0 0AY,51.34103,-0.002806
CR0 0AZ,51.3398,-0.001653
CR0 0BA,51.3388,-0.01024
CR0 0BB,51.33835,-0.009211
CR0 0BD,51.33714,-0.015007
CR0 0BE,51.33716,-0.007382
CR0 0BF,51.33602,-0.00512
CR0 0BG,51.33559,-0.002295
CR0 0BH,51.33587,-0.003015
CR0 0BJ,51.33536,-0.004172
CR0 0BL,51.33673,-0.00483
CR0 0BN,51.33706,-0.004385
CR0 0BP,51.33791,-0.007191
CR0 0BQ,51.33767,-0.003655
CR0 0BR,51.33608,-0.002633
CR0 0BS,51.33823,-0.007407
CR0 0BT,51.33741,-0.006911
CR0 0BU,51.33826,-0.004089
CR0 0BW,51.33678,-0.002273
CR0 0BX,51.3352,-0.002614
CR0 0BY,51.33453,-0.004624
CR0 0BZ,51.33762,-0.012057
CR0 0DA,51.34128,-0.017657
CR0 0DB,51.3399,-0.015319
CR0 0DD,51.34205,-0.017969
CR0 0DE,51.34215,-0.017333
CR0 0DF,51.34184,-0.017145
CR0 0DG,51.33979,-0.01383
CR0 0DH,51.34044,-0.01498
CR0 0DJ,51.33952,-0.014143
CR0 0DL,51.33855,-0.013711
CR0 0DN,51.33764,-0.011625
CR0 0DP,51.33596,-0.008755
CR0 0DQ,51.33625,-0.010164
CR0 0DR,51.33597,-0.010405
CR0 0DS,51.33565,-0.010836
CR0 0DT,51.33574,-0.01188
CR0 0DU,51.33831,-0.014439
CR0 0DW,51.33746,-0.013126
CR0 0DX,51.34046,-0.016888
CR0 0DY,51.33662,-0.012933
CR0 0DZ,51.33795,-0.014527
CR0 0EA,51.33936,-0.010474
CR0 0EB,51.33865,-0.007461
CR0 0ED,51.33999,-0.012184
CR0 0EE,51.33916,-0.007812
CR0 0EF,51.339,-0.004775
CR0 0EG,51.34182,-0.008213
CR0 0EH,51.33983,-0.006289
CR0 0EJ,51.34375,-0.007484
CR0 0EL,51.33905,-0.01244
CR0 0EN,51.35308,-0.018484
CR0 0EP,51.34361,-0.00838
CR0 0EQ,51.34441,-0.006594
CR0 0ER,51.33971,-0.007817
CR0 0ES,51.34475,-0.008259
CR0 0ET,51.34117,-0.009419
CR0 0EU,51.3404,-0.006236
CR0 0EW,51.34026,-0.005582
CR0 0EX,51.33863,-0.0038
CR0 0EY,51.3393,-0.00614
CR0 0EZ,51.34141,-0.008605
CR0 0FA,51.34015,-0.001465
CR0 0FB,51.35148,-0.009834
CR0 0FD,51.35063,-0.011293
CR0 0FE,51.3406,-0.015791
CR0 0HA,51.34195,-0.012444
CR0 0HB,51.34647,-0.011373
CR0 0HD,51.34756,-0.007275
CR0 0HE,51.34462,-0.012114
CR0 0HF,51.3413,-0.011567
CR0 0HG,51.34788,-0.011068
CR0 0HH,51.34374,-0.01274
CR0 0HJ,51.34637,-0.007442
CR0 0HL,51.3488,-0.006891
CR0 0HN,51.34521,-0.006688
CR0 0HP,51.34588,-0.006314
CR0 0HQ,51.34592,-0.005695
CR0 0HR,51.34591,-0.009415
CR0 0HS,51.34254,-0.010437
CR0 0HT,51.34075,-0.011807
CR0 0HU,51.34568,-0.008779
CR0 0HW,51.34323,-0.009747
CR0 0HX,51.34402,-0.010186
CR0 0HY,51.34549,-0.008255
CR0 0HZ,51.34304,-0.009295
CR0 0JA,51.34438,-0.018557
CR0 0JB,51.34209,-0.015727
CR0 0JD,51.34096,-0.014009
CR0 0JE,51.34513,-0.018468
CR0 0JF,51.34438,-0.017036
CR0 0JG,51.34301,-0.016434
CR0 0JH,51.3425,-0.014733
CR0 0JJ,51.34285,-0.014545
CR0 0JL,51.34174,-0.01488
CR0 0JN,51.34166,-0.012787
CR0 0JP,51.34066,-0.012486
CR0 0JQ,51.3425,-0.012708
CR0 0JR,51.34158,-0.013336
CR0 0JS,51.33425,-0.011829
CR0 0JT,51.33562,-0.013881
CR0 0JU,51.33895,-0.00123
CR0 0JW,51.34245,-0.016688
CR0 0LA,51.34414,-0.019803
CR0 0LB,51.34396,-0.02093
CR0 0LD,51.34171,-0.019951
CR0 0LE,51.34414,-0.020478
CR0 0LF,51.34232,-0.019407
CR0 0LG,51.34425,-0.021693
CR0 0LH,51.34539,-0.021702
CR0 0LJ,51.34316,-0.020735
CR0 0LL,51.34187,-0.018709
CR0 0LN,51.33989,-0.017487
CR0 0LP,51.33908,-0.01521
CR0 0LQ,51.33929,-0.013622
CR0 0LR,51.341,-0.018043
CR0 0LS,51.33957,-0.015936
CR0 0LT,51.33884,-0.016642
CR0 0LU,51.33789,-0.01641
CR0 0LW,51.33943,-0.018599
CR0 0LX,51.34074,-0.019447
CR0 0NA,51.34344,-0.014304
CR0 0NB,51.34469,-0.013015
CR0 0ND,51.34341,-0.01511
CR0 0NE,51.34599,-0.01237
CR0 0NF,51.34724,-0.011641
CR0 0NG,51.34591,-0.012905
CR0 0NH,51.34455,-0.013825
CR0 0NJ,51.34767,-0.011924
CR0 0NL,51.34633,-0.017195
CR0 0NN,51.34673,-0.014205
CR0 0NP,51.34666,-0.017425
CR0 0NQ,51.3471,-0.014232
CR0 0NR,51.34453,-0.015219
CR0 0NU,51.34592,-0.015662
CR0 0NW,51.34626,-0.015705
CR0 0NX,51.3438,-0.015121
CR0 0NY,51.34524,-0.015433
CR0 0NZ,51.34557,-0.015347
CR0 0PA,51.34771,-0.017811
CR0 0PB,51.34821,-0.013667
CR0 0PD,51.34825,-0.017515
CR0 0PE,51.34703,-0.01751
CR0 0PF,51.34746,-0.014087
CR0 0PG,51.34735,-0.017711
CR0 0PH,51.34865,-0.013706
CR0 0PJ,51.34779,-0.013987
CR0 0PL,51.34965,-0.010474
CR0 0PN,51.35246,-0.008729
CR0 0PP,51.35234,-0.009754
CR0 0PQ,51.35132,-0.011852
CR0 0PR,51.35152,-0.011298
CR0 0PS,51.34735,-0.020095
CR0 0QA,51.35116,-0.023579
CR0 0QB,51.35039,-0.022951
CR0 0QD,51.34969,-0.022508
CR0 0QE,51.35099,-0.021317
CR0 0QF,51.35217,-0.017963
CR0 0QG,51.35326,-0.013994
CR0 0QH,51.35147,-0.020507
CR0 0QJ,51.35207,-0.010814
CR0 0QL,51.35327,-0.015919
CR0 0QN,51.35234,-0.010357
CR0 0QP,51.35037,-0.021674
CR0 0QQ,51.35154,-0.022572
CR0 0QR,51.35281,-0.014301
CR0 0QS,51.34906,-0.016244
CR0 0QT,51.35079,-0.012047
CR0 0QU,51.35061,-0.016623
CR0 0QW,51.34993,-0.016824
CR0 0QX,51.35186,-0.015347
CR0 0QY,51.35173,-0.015842
CR0 0QZ,51.35078,-0.015897
CR0 0RA,51.35446,-0.012089
CR0 0RB,51.35182,-0.014746
CR0 0RD,51.35117,-0.014329
CR0 0RE,51.35535,-0.012913
CR0 0RF,51.35427,-0.010058
CR0 0RG,51.3528,-0.020664
CR0 0RH,51.35104,-0.013717
CR0 0RJ,51.35463,-0.016951
CR0 0RL,51.3522,-0.019455
CR0 0RN,51.35325,-0.01806
CR0 0RP,51.35379,-0.016858
CR0 0RQ,51.35394,-0.016349
CR0 0RR,51.35416,-0.015047
CR0 0RS,51.35421,-0.013982
CR0 0RT,51.35466,-0.012598
CR0 0RU,51.3558,-0.012879
CR0 0RW,51.35452,-0.009516
CR0 0RX,51.35223,-0.012804
CR0 0RY,51.35271,-0.01995
CR0 0RZ,51.35443,-0.016242
CR0 0SA,51.34781,-0.021526
CR0 0SB,51.34745,-0.021068
CR0 0SD,51.35403,-0.010557
CR0 0SE,51.35386,-0.011383
CR0 0SF,51.33607,-0.012799
CR0 0SG,51.33611,-0.013472
CR0 0SH,51.35436,-0.019046
CR0 0SJ,51.34787,-0.020259
CR0 0SL,51.35506,-0.013299
CR0 0TA,51.34889,-0.022082
CR0 0TB,51.34835,-0.01988
CR0 0TD,51.34862,-0.017771
CR0 0TE,51.34925,-0.016538
CR0 0TF,51.34973,-0.014736
CR0 0TG,51.34883,-0.019529
CR0 0TH,51.34836,-0.021287
CR0 0TJ,51.34984,-0.015679
CR0 0TL,51.34983,-0.020692
CR0 0TN,51.35103,-0.018055
CR0 0TP,51.34925,-0.02165
CR0 0TQ,51.35056,-0.020374
CR0 0TR,51.3514,-0.018455
CR0 0TS,51.35202,-0.017021
CR0 0TT,51.34833,-0.019005
CR0 0TU,51.34929,-0.019681
CR0 0TW,51.35017,-0.017575
CR0 0TX,51.34778,-0.020651
CR0 0TY,51.3495,-0.020275
CR0 0TZ,51.35042,-0.018168
CR0 0WZ,51.37572,-0.091838
CR0 0XA,51.3544,-0.015338
CR0 0XB,51.37521,-0.099575
CR0 0XD,51.37508,-0.098115
CR0 0XF,51.37852,-0.098964
CR0 0XH,51.37584,-0.094391
CR0 0XJ,51.37004,-0.099574
CR0 0XL,51.38136,-0.107469
CR0 0XT,51.37495,-0.091037
CR0 0XZ,51.35652,-0.117713
CR0 0YA,51.3715,-0.100217
CR0 0YD,51.3726,-0.099597
CR0 0YE,51.37464,-0.098464
CR0 0YF,51.37495,-0.096684
CR0 0YG,51.35635,-0.118553
CR0 0YH,51.35635,-0.118553
CR0 0YJ,51.35635,-0.118553
CR0 0YL,51.35635,-0.118553
CR0 0YN,51.37399,-0.095804
CR0 0YP,51.35635,-0.118553
CR0 0YQ,51.35635,-0.118553
CR0 0ZW,51.37807,-0.113266
CR0 1AA,51.36768,-0.100591
CR0 1AB,51.3675,-0.101044
CR0 1AD,51.367,-0.102487
CR0 1AE,51.36732,-0.102416
CR0 1AF,51.36573,-0.100312
CR0 1AG,51.36732,-0.101927
CR0 1AH,51.36716,-0.100627
CR0 1AJ,51.36599,-0.100158
