PCDS,LAT,LONG
CT1 1AA,51.28444,1.094478
CT1 1AB,51.28736,1.09631
CT1 1AD,51.29252,1.106914
CT1 1AE,51.28288,1.084634
CT1 1AF,51.28305,1.082523
CT1 1AG,51.28032,1.105947
CT1 1AH,51.28144,1.106123
CT1 1AJ,51.28161,1.106406
CT1 1AL,51.28222,1.107781
CT1 1AN,51.28172,1.107476
CT1 1AP,51.27651,1.087635
CT1 1AQ,51.28071,1.105428
CT1 1AR,51.28044,1.106944
CT1 1AS,51.28028,1.109085
CT1 1AT,51.28087,1.10901
CT1 1AU,51.28074,1.107968
CT1 1AW,51.28093,1.10725
CT1 1AX,51.28029,1.104869
CT1 1AY,51.28392,1.084833
CT1 1AZ,51.27686,1.106201
CT1 1BA,51.28259,1.084113
CT1 1BB,51.28252,1.083606
CT1 1BD,51.28318,1.083937
CT1 1BE,51.28321,1.084742
CT1 1BF,51.2826,1.084759
CT1 1BG,51.28326,1.084229
CT1 1BH,51.28357,1.086129
CT1 1BJ,51.28308,1.084935
CT1 1BL,51.28374,1.085797
CT1 1BN,51.28556,1.086635
CT1 1BP,51.28735,1.091245
CT1 1BS,51.28486,1.088539
CT1 1BT,51.28492,1.08741
CT1 1BU,51.28596,1.089919
CT1 1BW,51.28452,1.085476
CT1 1BX,51.28625,1.089149
CT1 1BY,51.28801,1.093613
CT1 1BZ,51.28403,1.086046
CT1 1DA,51.28782,1.093099
CT1 1DB,51.28762,1.09211
CT1 1DD,51.28325,1.089263
CT1 1DE,51.28355,1.083546
CT1 1DF,51.28848,1.095438
CT1 1DG,51.29062,1.096515
CT1 1DH,51.28894,1.095584
CT1 1DJ,51.28289,1.089612
CT1 1DL,51.28743,1.097533
CT1 1DN,51.28743,1.099556
CT1 1DP,51.28963,1.098915
CT1 1DQ,51.27997,1.100731
CT1 1DR,51.28648,1.090011
CT1 1DS,51.29116,1.100898
CT1 1DT,51.29045,1.100878
CT1 1DU,51.27661,1.087484
CT1 1DW,51.28841,1.097313
CT1 1DX,51.29148,1.100144
CT1 1DY,51.28711,1.100839
CT1 1DZ,51.28651,1.09872
CT1 1EA,51.28881,1.099806
CT1 1EB,51.28806,1.101449
CT1 1ED,51.28955,1.1
CT1 1EE,51.29019,1.101564
CT1 1EF,51.28902,1.100897
CT1 1EG,51.28821,1.102535
CT1 1EH,51.28761,1.103226
