PCDS,LAT,LONG
CV1 1AA,52.41224,-1.510767
CV1 1AB,52.40982,-1.513352
CV1 1AD,52.40699,-1.510722
CV1 1AE,52.41161,-1.511862
CV1 1AF,52.41224,-1.510767
CV1 1AH,52.4103,-1.509392
CV1 1AJ,52.41196,-1.510829
CV1 1AL,52.4114,-1.512232
CV1 1AN,52.4114,-1.512232
CV1 1AP,52.4114,-1.512232
CV1 1AQ,52.4114,-1.512232
CV1 1AR,52.4118,-1.510169
CV1 1BA,52.40891,-1.510422
CV1 1BB,52.40891,-1.510422
CV1 1BD,52.4161,-1.511813
CV1 1BE,52.4161,-1.511813
CV1 1DA,52.40923,-1.510859
CV1 1DD,52.40775,-1.51186
CV1 1DE,52.40836,-1.511677
CV1 1DF,52.40686,-1.513002
CV1 1DG,52.4062,-1.513686
CV1 1DJ,52.40713,-1.514851
CV1 1DL,52.40719,-1.513425
CV1 1DN,52.40765,-1.514155
CV1 1DP,52.40788,-1.513711
CV1 1DQ,52.40802,-1.513372
CV1 1DR,52.40791,-1.515107
CV1 1DS,52.40803,-1.514371
CV1 1DT,52.40758,-1.513582
CV1 1DU,52.40807,-1.511313
CV1 1DW,52.40844,-1.513264
CV1 1DX,52.40841,-1.513838
CV1 1DY,52.40432,-1.515294
CV1 1DZ,52.40434,-1.515264
CV1 1EA,52.40715,-1.512632
CV1 1EB,52.40715,-1.512632
CV1 1ED,52.40519,-1.513858
CV1 1EE,52.40552,-1.513414
CV1 1EG,52.40732,-1.515349
CV1 1EH,52.40773,-1.515227
CV1 1EJ,52.40492,-1.514096
CV1 1EL,52.40474,-1.514539
CV1 1EN,52.40443,-1.514881
CV1 1EP,52.40443,-1.514881
CV1 1EQ,52.40516,-1.513697
CV1 1ER,52.40892,-1.514832
CV1 1ES,52.40919,-1.510889
CV1 1ET,52.40474,-1.514539
CV1 1EU,52.40474,-1.514539
CV1 1EW,52.40353,-1.514891
CV1 1EX,52.40519,-1.513638
CV1 1EY,52.40439,-1.515175
CV1 1EZ,52.40832,-1.511884
CV1 1FB,52.40891,-1.510422
CV1 1FD,52.40914,-1.510904
CV1 1FE,52.40939,-1.508902
CV1 1FF,52.41224,-1.510767
CV1 1FG,52.40891,-1.510422
CV1 1FH,52.40981,-1.510412
CV1 1FJ,52.40975,-1.509589
CV1 1FL,52.4095,-1.509269
