PCDS,LAT,LONG
CW1 1AA,53.08935,-2.431668
CW1 1AB,53.09495,-2.425258
CW1 1AD,53.08875,-2.431467
CW1 1AE,53.08588,-2.429901
CW1 1AF,53.09336,-2.426765
CW1 1AG,53.09792,-2.404528
CW1 1AH,53.08875,-2.431467
CW1 1AJ,53.09792,-2.404528
CW1 1AL,53.09771,-2.405079
CW1 1AN,53.09336,-2.426765
CW1 1AP,53.08875,-2.431467
CW1 1AQ,53.09336,-2.426765
CW1 1AR,53.08808,-2.430416
CW1 1AS,53.08875,-2.431467
CW1 1AT,53.09336,-2.426765
CW1 1AU,53.09495,-2.425258
CW1 1AW,53.08875,-2.431467
CW1 1AX,53.09336,-2.426765
CW1 1AY,53.08875,-2.431467
CW1 1AZ,53.08935,-2.431668
CW1 1BA,53.08979,-2.429537
CW1 1BB,53.08876,-2.428481
CW1 1BD,53.08607,-2.423976
CW1 1BE,53.08894,-2.425168
CW1 1BG,53.08818,-2.425445
CW1 1BH,53.08774,-2.427919
CW1 1BJ,53.09336,-2.426765
CW1 1BL,53.08788,-2.425994
CW1 1BN,53.0862,-2.420797
CW1 1BP,53.08688,-2.426492
CW1 1BQ,53.08856,-2.426135
CW1 1BS,53.08607,-2.425469
CW1 1BT,53.08431,-2.422092
CW1 1BU,53.08608,-2.422483
CW1 1BW,53.08607,-2.423976
CW1 1BX,53.09889,-2.44038
CW1 1BY,53.08517,-2.42546
CW1 1BZ,53.08796,-2.424143
CW1 1DA,53.06685,-2.511835
CW1 1DB,53.08463,-2.42523
CW1 1DD,53.08625,-2.427919
CW1 1DE,53.09336,-2.426765
CW1 1DF,53.09056,-2.427006
CW1 1DG,53.09732,-2.430821
CW1 1DH,53.09515,-2.431039
CW1 1DJ,53.08966,-2.426997
CW1 1DL,53.08607,-2.423976
CW1 1DN,53.09076,-2.432174
CW1 1DP,53.09062,-2.432442
CW1 1DQ,53.09393,-2.431161
CW1 1DR,53.0921,-2.430247
CW1 1DS,53.09098,-2.428922
CW1 1DT,53.09134,-2.426954
CW1 1DU,53.09237,-2.422544
CW1 1DW,53.09055,-2.431485
CW1 1DX,53.09147,-2.428882
CW1 1DY,53.09283,-2.426536
CW1 1DZ,53.09272,-2.427147
CW1 1EA,53.09232,-2.43222
CW1 1EB,53.09285,-2.429179
CW1 1ED,53.09236,-2.428592
CW1 1EE,53.09504,-2.430037
CW1 1EF,53.09534,-2.428293
CW1 1EG,53.09594,-2.430046
CW1 1EH,53.09774,-2.430064
CW1 1EJ,53.09723,-2.429417
CW1 1EL,53.09774,-2.430064
CW1 1EN,53.09647,-2.429514
CW1 1EP,53.09634,-2.428497
CW1 1EQ,53.09756,-2.429017
CW1 1ER,53.09646,-2.428961
CW1 1ES,53.09598,-2.421549
CW1 1ET,53.09567,-2.42752
CW1 1EU,53.09641,-2.427975
CW1 1EW,53.09633,-2.42996
CW1 1EX,53.09726,-2.427819
CW1 1EY,53.09762,-2.426434
CW1 1EZ,53.09693,-2.422678
CW1 1FA,53.08815,-2.417919
CW1 1FB,53.08897,-2.415254
CW1 1FD,53.08698,-2.422491
CW1 1FE,53.08698,-2.422491
CW1 1FF,53.08909,-2.41863
CW1 1FG,53.08787,-2.425486
CW1 1FH,53.09495,-2.425258
CW1 1FJ,53.08785,-2.429965
CW1 1FL,53.08663,-2.42952
CW1 1FN,53.09596,-2.416934
CW1 1FP,53.09336,-2.426765
CW1 1FQ,53.08785,-2.429965
CW1 1FR,53.10162,-2.418513
CW1 1FS,53.10418,-2.423959
CW1 1FT,53.10338,-2.42431
CW1 1FU,53.09746,-2.399431
CW1 1FW,53.10137,-2.419645
CW1 1FX,53.09656,-2.399169
CW1 1FY,53.09697,-2.399681
CW1 1FZ,53.09711,-2.397531
CW1 1GA,53.09336,-2.426765
CW1 1GB,53.09777,-2.422597
CW1 1GD,53.09229,-2.446435
CW1 1GE,53.10234,-2.400238
CW1 1GF,53.09336,-2.426765
CW1 1GG,53.08695,-2.415339
CW1 1GH,53.08279,-2.423809
CW1 1GJ,53.05838,-2.372973
CW1 1GL,53.09044,-2.416478
CW1 1GN,53.09712,-2.417543
CW1 1GP,53.09826,-2.417166
CW1 1GQ,53.08979,-2.38967
CW1 1GR,53.09768,-2.418325
CW1 1GS,53.09686,-2.424082
CW1 1GT,53.09594,-2.431539
CW1 1GU,53.09594,-2.431539
CW1 1GW,53.09697,-2.416407
CW1 1GX,53.09336,-2.426765
CW1 1GY,53.09157,-2.431764
CW1 1HA,53.09789,-2.427004
CW1 1HB,53.09531,-2.428905
CW1 1HD,53.09651,-2.42139
CW1 1HE,53.09595,-2.421191
CW1 1HF,53.09594,-2.4224
CW1 1HG,53.09679,-2.424857
CW1 1HH,53.09543,-2.426532
CW1 1HJ,53.09505,-2.427364
CW1 1HL,53.09553,-2.425637
CW1 1HN,53.0961,-2.42615
CW1 1HP,53.09804,-2.428962
CW1 1HQ,53.09651,-2.427035
CW1 1HR,53.09613,-2.423791
CW1 1HS,53.09597,-2.421086
CW1 1HT,53.09573,-2.417111
CW1 1HU,53.09752,-2.419638
CW1 1HW,53.09587,-2.424983
CW1 1HX,53.09878,-2.418171
CW1 1HY,53.09797,-2.418985
CW1 1HZ,53.09921,-2.418728
CW1 1JA,53.09929,-2.419909
CW1 1JB,53.09981,-2.419197
CW1 1JD,53.10013,-2.419902
CW1 1JE,53.09846,-2.420931
CW1 1JF,53.09912,-2.420997
CW1 1JG,53.09755,-2.421878
