PCDS,LAT,LONG
DA1 1AA,51.4447,0.209648
DA1 1AB,51.44521,0.216738
DA1 1AE,51.44274,0.22603
DA1 1AF,51.4445,0.209782
DA1 1AG,51.44116,0.219263
DA1 1AH,51.44489,0.221314
DA1 1AJ,51.43885,0.222877
DA1 1AL,51.4329,0.228027
DA1 1AN,51.43467,0.227754
DA1 1AP,51.4327,0.228622
DA1 1AQ,51.44489,0.221314
DA1 1AS,51.44653,0.216845
DA1 1AT,51.43979,0.23078
DA1 1AU,51.43077,0.22027
DA1 1AX,51.44284,0.217228
DA1 1AY,51.44316,0.216956
DA1 1AZ,51.44321,0.217434
DA1 1BA,51.4449,0.217515
DA1 1BB,51.44418,0.220272
DA1 1BD,51.44503,0.216399
DA1 1BE,51.44521,0.216768
DA1 1BF,51.44291,0.217736
DA1 1BG,51.44611,0.216739
DA1 1BH,51.44098,0.215699
DA1 1BJ,51.44054,0.215592
DA1 1BL,51.44429,0.235359
DA1 1BN,51.44912,0.217806
DA1 1BP,51.44728,0.218825
DA1 1BQ,51.44945,0.218397
DA1 1BS,51.45289,0.215815
DA1 1BT,51.45032,0.216338
DA1 1BU,51.44838,0.214978
DA1 1BW,51.44848,0.217602
DA1 1BX,51.44517,0.216434
DA1 1BY,51.44453,0.217584
DA1 1BZ,51.44442,0.218039
DA1 1DA,51.44453,0.217828
DA1 1DB,51.44382,0.218125
DA1 1DD,51.44463,0.217516
DA1 1DE,51.44424,0.219426
DA1 1DF,51.44398,0.21891
DA1 1DG,51.44444,0.218558
DA1 1DH,51.4431,0.217428
DA1 1DJ,51.4437,0.219975
DA1 1DL,51.44308,0.218866
DA1 1DN,51.4449,0.218738
DA1 1DP,51.44398,0.21891
DA1 1DQ,51.44443,0.218658
DA1 1DR,51.44666,0.219284
DA1 1DS,51.44387,0.21948
DA1 1DT,51.44406,0.218281
DA1 1DU,51.44433,0.217186
DA1 1DW,51.44473,0.217924
DA1 1DX,51.44535,0.2203
DA1 1DY,51.44728,0.216234
DA1 1DZ,51.44608,0.220235
DA1 1EA,51.41996,0.252267
DA1 1EB,51.44385,0.217968
DA1 1ED,51.44602,0.217915
DA1 1EE,51.43854,0.215207
DA1 1EF,51.43454,0.222352
DA1 1EG,51.4469,0.21718
DA1 1EH,51.44529,0.217635
DA1 1EJ,51.44591,0.217175
DA1 1EL,51.44762,0.216208
DA1 1EN,51.44402,0.217156
DA1 1EP,51.44225,0.217545
DA1 1EQ,51.44252,0.216508
DA1 1ER,51.44487,0.218953
DA1 1ES,51.4442,0.220489
DA1 1ET,51.44352,0.219636
DA1 1EU,51.44313,0.21907
DA1 1EW,51.44303,0.216388
DA1 1EX,51.44388,0.218632
DA1 1EY,51.44383,0.218212
DA1 1EZ,51.44367,0.21747
DA1 1FA,51.4445,0.209782
DA1 1FB,51.44119,0.227452
DA1 1FD,51.43467,0.235724
DA1 1FE,51.4445,0.209782
DA1 1FF,51.44119,0.227466
DA1 1FG,51.4412,0.226575
DA1 1FH,51.4445,0.209782
DA1 1FJ,51.4445,0.209782
DA1 1FL,51.43978,0.222966
DA1 1FN,51.43505,0.236146
DA1 1FP,51.4445,0.209782
DA1 1FQ,51.43467,0.235724
DA1 1FR,51.4445,0.209782
DA1 1FS,51.4447,0.209648
DA1 1FT,51.4445,0.209782
DA1 1FU,51.4412,0.226575
DA1 1FW,51.43467,0.235724
DA1 1FX,51.4445,0.209782
DA1 1FY,51.4447,0.209648
DA1 1FZ,51.43467,0.235724
DA1 1GA,51.44642,0.217229
DA1 1HA,51.44388,0.21748
DA1 1HB,51.4431,0.217428
DA1 1HD,51.44358,0.217279
DA1 1HE,51.44367,0.217441
DA1 1HF,51.444,0.217472
DA1 1HG,51.444,0.217472
DA1 1HH,51.44404,0.217531
DA1 1HJ,51.44241,0.21643
DA1 1HL,51.4347,0.223395
DA1 1HP,51.44184,0.215568
DA1 1HQ,51.4431,0.217428
DA1 1HR,51.44136,0.214466
DA1 1HS,51.44133,0.215688
DA1 1HT,51.44134,0.215904
DA1 1HU,51.44133,0.216896
DA1 1HW,51.43676,0.219999
DA1 1HX,51.44134,0.215904
DA1 1JA,51.4345,0.22163
DA1 1JB,51.44098,0.215699
DA1 1JD,51.4332,0.22102
DA1 1JE,51.43866,0.215731
DA1 1JF,51.43822,0.215926
DA1 1JG,51.43231,0.223783
DA1 1JH,51.42954,0.22513
DA1 1JJ,51.43831,0.215311
DA1 1JL,51.43843,0.217145
DA1 1JN,51.43436,0.223494
DA1 1JP,51.43892,0.217456
DA1 1JQ,51.43282,0.221851
DA1 1JR,51.43805,0.218162
DA1 1JS,51.43336,0.224783
DA1 1JT,51.43806,0.217342
DA1 1JU,51.43809,0.218365
DA1 1JW,51.4325,0.225418
DA1 1JX,51.43216,0.225157
DA1 1JY,51.44234,0.215707
DA1 1JZ,51.43311,0.222656
DA1 1LA,51.43755,0.218497
DA1 1LB,51.4355,0.215463
DA1 1LD,51.43684,0.215686
DA1 1LE,51.43624,0.216866
DA1 1LF,51.43586,0.216531
DA1 1LG,51.43633,0.21723
