PCDS,LAT,LONG
DD1 1AA,56.46218,-2.973626
DD1 1AB,56.46209,-2.97398
DD1 1AD,56.46239,-2.97725
DD1 1AE,56.46273,-2.977778
DD1 1AF,56.46022,-2.975555
DD1 1AG,56.46228,-2.973336
DD1 1AR,56.45938,-2.967566
DD1 1AY,56.45955,-2.97635
DD1 1BA,56.46168,-2.976275
DD1 1BB,56.46162,-2.976403
DD1 1BD,56.46021,-2.97338
DD1 1DA,56.4626,-2.970732
DD1 1DB,56.46458,-2.969257
DD1 1DD,56.46211,-2.971677
DD1 1DF,56.46211,-2.971384
DD1 1DG,56.46256,-2.971234
DD1 1DH,56.46177,-2.971181
DD1 1DJ,56.46261,-2.969985
DD1 1DP,56.45687,-2.972435
DD1 1DQ,56.46172,-2.970271
DD1 1DR,56.46256,-2.971234
DD1 1DT,56.46293,-2.969945
DD1 1DU,56.46315,-2.97146
DD1 1DW,56.46256,-2.971234
DD1 1DX,56.46005,-2.971186
DD1 1DY,56.46031,-2.971176
DD1 1DZ,56.46315,-2.971443
DD1 1EA,56.46309,-2.971572
DD1 1EB,56.46309,-2.971572
DD1 1ED,56.46323,-2.970683
DD1 1EF,56.46403,-2.971304
DD1 1EG,56.46323,-2.970683
DD1 1EH,56.46355,-2.970285
DD1 1EJ,56.46384,-2.971218
DD1 1EL,56.46408,-2.9715
DD1 1EN,56.46445,-2.970974
DD1 1EP,56.46322,-2.970764
DD1 1EQ,56.46348,-2.97017
DD1 1ER,56.46458,-2.970263
DD1 1ES,56.46264,-2.974644
DD1 1ET,56.46289,-2.974488
DD1 1EU,56.46253,-2.974479
DD1 1EX,56.46241,-2.97579
DD1 1EY,56.46242,-2.977235
DD1 1EZ,56.46242,-2.977397
DD1 1FA,56.46022,-2.975555
DD1 1HA,56.46355,-2.972947
DD1 1HB,56.4626,-2.976428
DD1 1HD,56.45687,-2.972435
DD1 1HE,56.45697,-2.972714
DD1 1HF,56.46358,-2.972655
DD1 1HG,56.46312,-2.974299
DD1 1HH,56.46354,-2.972719
DD1 1HJ,56.46354,-2.972719
DD1 1HL,56.46354,-2.972719
DD1 1HN,56.46376,-2.971914
DD1 1HP,56.46363,-2.971115
DD1 1HQ,56.46346,-2.973058
DD1 1HR,56.46343,-2.972003
DD1 1HS,56.46341,-2.972197
DD1 1HT,56.46108,-2.975902
DD1 1HU,56.46295,-2.973061
DD1 1HW,56.46378,-2.971914
DD1 1HX,56.4641,-2.973156
DD1 1HY,56.46453,-2.972258
DD1 1HZ,56.46369,-2.973113
DD1 1JA,56.46453,-2.972258
DD1 1JB,56.46444,-2.974722
DD1 1JD,56.46338,-2.974582
DD1 1JF,56.46223,-2.973546
DD1 1JG,56.46391,-2.972047
DD1 1JH,56.46484,-2.970951
DD1 1JJ,56.46458,-2.970263
DD1 1JL,56.46049,-2.971343
DD1 1JN,56.4645,-2.971656
DD1 1JP,56.46453,-2.971609
DD1 1JQ,56.46376,-2.971914
DD1 1JR,56.46481,-2.971194
DD1 1JS,56.46511,-2.972727
DD1 1JT,56.46464,-2.974484
DD1 1JU,56.46496,-2.975661
DD1 1JW,56.46453,-2.971609
DD1 1JX,56.4645,-2.975503
DD1 1JZ,56.46447,-2.976168
DD1 1LA,56.46437,-2.976457
DD1 1LB,56.46392,-2.97591
DD1 1LD,56.46436,-2.976928
DD1 1LE,56.46419,-2.975527
DD1 1LF,56.46342,-2.975524
DD1 1LH,56.46245,-2.974509
DD1 1LL,56.4623,-2.974927
DD1 1LN,56.46215,-2.972943
DD1 1LP,56.46193,-2.974674
DD1 1LQ,56.46058,-2.978745
DD1 1LR,56.46198,-2.974627
DD1 1LS,56.46024,-2.975459
DD1 1LT,56.46181,-2.975272
DD1 1LU,56.46179,-2.975271
DD1 1LW,56.462,-2.972226
DD1 1LX,56.46155,-2.974892
DD1 1LY,56.46213,-2.975507
DD1 1LZ,56.46216,-2.975784
DD1 1NA,56.46192,-2.975632
DD1 1NB,56.46024,-2.975459
DD1 1ND,56.46167,-2.975982
DD1 1NE,56.46143,-2.975505
DD1 1NF,56.46024,-2.975459
DD1 1NG,56.46168,-2.977849
DD1 1NH,56.46156,-2.976839
DD1 1NJ,56.46058,-2.978258
DD1 1NL,56.46024,-2.975459
DD1 1NN,56.46024,-2.975459
DD1 1NP,56.45874,-2.976507
DD1 1NQ,56.45898,-2.977536
DD1 1NR,56.45818,-2.975763
DD1 1NS,56.45825,-2.975878
DD1 1NT,56.46156,-2.976839
DD1 1NU,56.4579,-2.975301
DD1 1NW,56.45945,-2.977645
DD1 1NX,56.45803,-2.975661
DD1 1NY,56.45791,-2.975301
DD1 1NZ,56.46024,-2.975459
DD1 1PA,56.45777,-2.975736
DD1 1PB,56.45765,-2.976284
DD1 1PD,56.45844,-2.976662
DD1 1PE,56.45856,-2.977265
DD1 1PF,56.45916,-2.977524
DD1 1PG,56.46162,-2.974309
DD1 1PH,56.4609,-2.973707
DD1 1PJ,56.46122,-2.97709
DD1 1PL,56.46145,-2.974419
DD1 1PN,56.46095,-2.974746
DD1 1PP,56.46118,-2.975093
DD1 1PQ,56.46132,-2.973961
DD1 1PR,56.46099,-2.976711
DD1 1PS,56.46099,-2.976711
