PCDS,LAT,LONG
DG1 1AA,55.06964,-3.609728
DG1 1AD,55.06961,-3.609664
DG1 1AE,55.06917,-3.610069
DG1 1AF,55.09668,-3.582715
DG1 1AG,55.1866,-3.598953
DG1 1AH,55.09758,-3.583408
DG1 1AJ,55.10553,-3.576747
DG1 1AU,55.06971,-3.609574
DG1 1AX,55.06971,-3.609574
DG1 1BA,55.06971,-3.609433
DG1 1BB,55.06961,-3.609664
DG1 1BD,55.06938,-3.60967
DG1 1BF,55.06943,-3.610471
DG1 1BG,55.06975,-3.610766
DG1 1BH,55.07015,-3.611377
DG1 1BJ,55.07001,-3.612953
DG1 1BL,55.06939,-3.611033
DG1 1BN,55.06902,-3.610548
DG1 1BQ,55.06987,-3.610614
DG1 1BS,55.07033,-3.611885
DG1 1BT,55.07039,-3.610744
DG1 1BU,55.07066,-3.611194
DG1 1BW,55.06991,-3.611649
DG1 1BX,55.0699,-3.610631
DG1 1BY,55.0711,-3.611149
DG1 1BZ,55.07166,-3.610278
DG1 1DA,55.07143,-3.609988
DG1 1DB,55.07263,-3.609723
DG1 1DD,55.07201,-3.61117
DG1 1DE,55.07037,-3.612905
DG1 1DF,55.0707,-3.612292
DG1 1DG,55.0714,-3.614215
DG1 1DH,55.07048,-3.612048
DG1 1DJ,55.0699,-3.612918
DG1 1DL,55.07058,-3.613744
DG1 1DN,55.07066,-3.613841
DG1 1DP,55.07073,-3.614
DG1 1DQ,55.07052,-3.611893
DG1 1DR,55.07059,-3.613149
DG1 1DS,55.0715,-3.613545
DG1 1DT,55.07158,-3.614849
DG1 1DU,55.0713,-3.614744
DG1 1DX,55.07398,-3.603511
DG1 1DY,55.0713,-3.614744
DG1 1DZ,55.07135,-3.614432
DG1 1EA,55.0716,-3.614114
DG1 1EB,55.07098,-3.614527
DG1 1ED,55.07087,-3.614977
DG1 1EE,55.07117,-3.614112
DG1 1EF,55.07112,-3.615566
DG1 1EG,55.07079,-3.615663
DG1 1EH,55.07067,-3.614233
DG1 1EJ,55.07112,-3.613389
DG1 1EL,55.07104,-3.612603
DG1 1EN,55.07146,-3.614358
DG1 1EQ,55.07079,-3.615819
DG1 1ER,55.07085,-3.612313
DG1 1ES,55.07409,-3.604048
DG1 1ET,55.06912,-3.609362
DG1 1EW,55.07025,-3.61207
DG1 1EX,55.06857,-3.609967
DG1 1EY,55.07135,-3.614432
DG1 1EZ,55.08134,-3.64695
DG1 1FA,55.11132,-3.586288
DG1 1GL,55.08359,-3.596861
DG1 1GN,55.08263,-3.596635
DG1 1GP,55.08262,-3.595381
DG1 1GQ,55.08344,-3.595571
DG1 1GZ,55.08409,-3.593873
DG1 1HA,55.0707,-3.604868
DG1 1HB,55.07113,-3.604447
DG1 1HD,55.0707,-3.604132
DG1 1HE,55.0709,-3.605158
DG1 1HF,55.071,-3.605632
DG1 1HH,55.07067,-3.612807
DG1 1HJ,55.06922,-3.608802
DG1 1HL,55.0695,-3.608814
DG1 1HN,55.06945,-3.609266
DG1 1HP,55.07005,-3.609321
DG1 1HQ,55.06934,-3.60981
DG1 1HR,55.06911,-3.610129
DG1 1HS,55.06978,-3.609436
DG1 1HT,55.07093,-3.605488
DG1 1HU,55.06998,-3.610164
DG1 1HW,55.07079,-3.609946
DG1 1HX,55.07074,-3.609005
DG1 1HY,55.0709,-3.609262
DG1 1HZ,55.07134,-3.608903
DG1 1JA,55.07166,-3.608869
DG1 1JB,55.0714,-3.609517
DG1 1JD,55.07174,-3.608293
DG1 1JE,55.0715,-3.607719
DG1 1JF,55.07087,-3.608117
DG1 1JG,55.07122,-3.607802
DG1 1JL,55.07738,-3.607094
DG1 1JN,55.07697,-3.607657
DG1 1JP,55.08002,-3.60875
DG1 1JQ,55.07408,-3.607541
DG1 1JR,55.07866,-3.607787
DG1 1JS,55.07774,-3.603646
DG1 1JU,55.07873,-3.601618
DG1 1JW,55.07991,-3.610203
DG1 1JX,55.08013,-3.601094
DG1 1JY,55.08101,-3.597652
DG1 1JZ,55.08172,-3.597633
DG1 1LA,55.07206,-3.608196
