PCDS,LAT,LONG
DH1 1AA,54.77757,-1.574008
DH1 1AB,54.78667,-1.530125
DH1 1AD,54.78674,-1.531337
DH1 1AE,54.78716,-1.531628
DH1 1AF,54.79011,-1.529712
DH1 1AG,54.78888,-1.52999
DH1 1AH,54.79126,-1.527024
DH1 1AJ,54.79232,-1.52642
DH1 1AL,54.78934,-1.529068
DH1 1AN,54.78995,-1.527863
DH1 1AP,54.78753,-1.530193
DH1 1AQ,54.79138,-1.528282
DH1 1AR,54.78746,-1.529198
DH1 1AS,54.78878,-1.528079
DH1 1AT,54.79071,-1.526066
DH1 1AU,54.7924,-1.525673
DH1 1AW,54.788,-1.530032
DH1 1AX,54.79177,-1.525649
DH1 1AY,54.79258,-1.524271
DH1 1AZ,54.79288,-1.525232
DH1 1BA,54.79321,-1.524217
DH1 1BB,54.79269,-1.527147
DH1 1BD,54.79367,-1.523108
DH1 1BE,54.79179,-1.524296
DH1 1BF,54.78045,-1.546008
DH1 1BG,54.79122,-1.524971
DH1 1BH,54.78908,-1.527236
DH1 1BJ,54.78585,-1.531021
DH1 1BL,54.79134,-1.52441
DH1 1BP,54.79164,-1.523816
DH1 1BQ,54.78923,-1.527094
DH1 1BW,54.78159,-1.568648
DH1 1DA,54.783,-1.543103
DH1 1DB,54.78349,-1.541263
DH1 1DD,54.78391,-1.541181
DH1 1DE,54.78234,-1.541416
DH1 1DF,54.78284,-1.539778
DH1 1DG,54.78332,-1.540146
DH1 1DH,54.78421,-1.541006
DH1 1DJ,54.78444,-1.542434
DH1 1DL,54.78505,-1.544262
DH1 1DN,54.78439,-1.543958
DH1 1DP,54.78411,-1.543137
DH1 1DQ,54.78375,-1.540638
DH1 1DR,54.78432,-1.544954
DH1 1DS,54.7845,-1.54559
DH1 1DT,54.78583,-1.545466
DH1 1DU,54.78588,-1.544424
DH1 1DW,54.78454,-1.543024
DH1 1DX,54.78614,-1.543923
DH1 1DY,54.78641,-1.546284
DH1 1DZ,54.78636,-1.548104
DH1 1EA,54.78447,-1.54601
DH1 1EB,54.78378,-1.544152
DH1 1ED,54.78319,-1.544749
DH1 1EE,54.78304,-1.546213
DH1 1EF,54.78262,-1.543527
DH1 1EG,54.78778,-1.529568
DH1 1EH,54.7793,-1.555333
DH1 1EJ,54.7793,-1.555333
DH1 1EL,54.79214,-1.523981
DH1 1EN,54.78725,-1.547363
DH1 1EP,54.7822,-1.556857
DH1 1EQ,54.78108,-1.549095
DH1 1ER,54.78327,-1.555741
DH1 1ES,54.78123,-1.555343
DH1 1ET,54.78132,-1.554829
DH1 1EU,54.78146,-1.553973
DH1 1EW,54.78057,-1.555522
DH1 1EX,54.78324,-1.554062
DH1 1EY,54.78218,-1.553794
DH1 1EZ,54.78241,-1.555766
DH1 1FA,54.7806,-1.573012
DH1 1FB,54.7806,-1.573012
DH1 1FD,54.78416,-1.546604
DH1 1FE,54.78438,-1.546011
DH1 1FF,54.7806,-1.573012
DH1 1FG,54.7806,-1.573012
DH1 1FH,54.78201,-1.556859
DH1 1FJ,54.79272,-1.535125
DH1 1FL,54.78201,-1.556859
DH1 1FN,54.78201,-1.556859
DH1 1FP,54.78431,-1.546587
DH1 1FQ,54.78816,-1.534742
DH1 1FR,54.79272,-1.535125
DH1 1FS,54.78201,-1.556859
DH1 1FT,54.78201,-1.556859
DH1 1FW,54.78201,-1.556859
DH1 1FX,54.79272,-1.535125
DH1 1FY,54.78438,-1.546011
DH1 1FZ,54.78438,-1.546011
DH1 1GA,54.79272,-1.535125
DH1 1GB,54.78201,-1.556859
DH1 1GD,54.7806,-1.573012
DH1 1GE,54.7806,-1.573012
DH1 1GF,54.7845,-1.557733
DH1 1GG,54.78839,-1.542483
DH1 1GH,54.78447,-1.54601
DH1 1GJ,54.78447,-1.54601
DH1 1GL,54.78438,-1.546011
DH1 1GN,54.78438,-1.546011
DH1 1GP,54.7806,-1.573012
DH1 1GQ,54.78438,-1.546011
DH1 1GR,54.78444,-1.546555
DH1 1GS,54.78416,-1.546604
DH1 1GT,54.79272,-1.535125
DH1 1GU,54.7806,-1.573012
DH1 1GW,54.78431,-1.546587
DH1 1GX,54.7806,-1.573012
DH1 1GY,54.7806,-1.573012
DH1 1GZ,54.78404,-1.550306
DH1 1HA,54.78509,-1.554742
DH1 1HB,54.7853,-1.553107
DH1 1HD,54.78488,-1.552318
DH1 1HE,54.7846,-1.553487
DH1 1HF,54.78427,-1.552201
DH1 1HG,54.78511,-1.552207
DH1 1HH,54.7865,-1.550061
DH1 1HJ,54.78654,-1.551336
DH1 1HL,54.78356,-1.553203
DH1 1HN,54.78411,-1.550803
DH1 1HP,54.78852,-1.543041
DH1 1HQ,54.78554,-1.55029
DH1 1HR,54.78382,-1.555766
DH1 1HS,54.77914,-1.56115
DH1 1HT,54.77988,-1.563598
DH1 1HU,54.78325,-1.546863
DH1 1HW,54.78291,-1.55007
DH1 1HX,54.7816,-1.56899
DH1 1HY,54.77866,-1.561512
DH1 1HZ,54.77928,-1.56006
DH1 1JA,54.77919,-1.557884
DH1 1JB,54.77842,-1.558452
DH1 1JD,54.77992,-1.556104
DH1 1JE,54.78001,-1.556647
DH1 1JF,54.78131,-1.557628
DH1 1JG,54.78072,-1.558085
DH1 1JH,54.78065,-1.559003
DH1 1JJ,54.77944,-1.565204
DH1 1JL,54.78019,-1.565181
DH1 1JN,54.77946,-1.565795
DH1 1JP,54.77929,-1.567289
DH1 1JQ,54.78039,-1.54307
DH1 1JR,54.7796,-1.564347
DH1 1JS,54.77937,-1.568392
DH1 1JT,54.7801,-1.568338
DH1 1JU,54.78005,-1.567063
DH1 1JW,54.77979,-1.566289
