PCDS,LAT,LONG
DN1 1AA,53.52299,-1.134899
DN1 1AB,53.52281,-1.13531
DN1 1AD,53.51291,-1.125573
DN1 1AE,53.52236,-1.135696
DN1 1AF,53.52592,-1.136121
DN1 1AH,53.52236,-1.135696
DN1 1AL,53.52202,-1.138569
DN1 1AN,53.52208,-1.137014
DN1 1AP,53.52167,-1.138153
DN1 1AQ,53.52111,-1.13916
DN1 1BB,53.52337,-1.134891
DN1 1BD,53.52335,-1.134771
DN1 1BE,53.52344,-1.135161
DN1 1BH,53.52349,-1.135266
DN1 1BJ,53.52351,-1.135642
DN1 1BL,53.52256,-1.134772
DN1 1BN,53.52308,-1.134414
DN1 1BP,53.52279,-1.134616
DN1 1BQ,53.52326,-1.135678
DN1 1BS,53.52236,-1.135696
DN1 1BT,53.52236,-1.135696
DN1 1BU,53.52254,-1.134727
DN1 1BY,53.52147,-1.135714
DN1 1BZ,53.52266,-1.135177
DN1 1DA,53.52248,-1.135196
DN1 1DB,53.52252,-1.135104
DN1 1DD,53.52213,-1.136168
DN1 1DE,53.52278,-1.133545
DN1 1DF,53.52235,-1.134188
DN1 1DG,53.52301,-1.134114
DN1 1DH,53.52235,-1.134188
DN1 1DJ,53.52236,-1.135696
DN1 1DL,53.52273,-1.132988
DN1 1DN,53.52259,-1.132961
DN1 1DP,53.52235,-1.134188
DN1 1DQ,53.52352,-1.134028
DN1 1DR,53.52311,-1.133026
DN1 1DS,53.52148,-1.137222
DN1 1DT,53.52061,-1.141765
DN1 1DU,53.5247,-1.138816
DN1 1DW,53.52302,-1.133043
DN1 1DY,53.52061,-1.141765
DN1 1EA,53.52325,-1.134169
DN1 1EB,53.52061,-1.141765
DN1 1ED,53.52345,-1.134301
DN1 1EE,53.52381,-1.135154
DN1 1EF,53.5216,-1.135168
DN1 1EG,53.52372,-1.134884
DN1 1EJ,53.51294,-1.125723
DN1 1EL,53.52335,-1.133715
DN1 1EP,53.52325,-1.134169
DN1 1EQ,53.52326,-1.135678
DN1 1ER,53.52166,-1.135167
DN1 1ES,53.52362,-1.132985
DN1 1ET,53.52325,-1.134169
DN1 1EU,53.52325,-1.134169
DN1 1EW,53.52369,-1.133361
DN1 1EX,53.52392,-1.133085
DN1 1EY,53.52325,-1.134169
DN1 1EZ,53.52325,-1.134169
DN1 1FD,53.51294,-1.125723
DN1 1GF,53.51294,-1.125723
DN1 1GG,53.51295,-1.125633
DN1 1GN,53.51294,-1.125723
DN1 1HA,53.52325,-1.134169
DN1 1HB,53.52325,-1.134169
DN1 1HD,53.52393,-1.132919
DN1 1HE,53.5233,-1.133399
DN1 1HF,53.52353,-1.132248
DN1 1HG,53.52311,-1.132091
DN1 1HH,53.52288,-1.132005
DN1 1HJ,53.52324,-1.132661
DN1 1HL,53.5235,-1.131193
DN1 1HN,53.52348,-1.131253
DN1 1HP,53.51294,-1.125723
DN1 1HQ,53.52302,-1.131836
