PCDS,LAT,LONG
DT1 1AA,50.71527,-2.44428
DT1 1AB,50.71502,-2.428073
DT1 1AD,50.71161,-2.436922
DT1 1AE,50.71328,-2.439275
DT1 1AF,50.71297,-2.43913
DT1 1AG,50.71251,-2.439409
DT1 1AH,50.7158,-2.446282
DT1 1AJ,50.71413,-2.435629
DT1 1AL,50.71246,-2.42499
DT1 1AN,50.71149,-2.426894
DT1 1AP,50.71332,-2.437604
DT1 1AQ,50.71293,-2.439697
DT1 1AR,50.71412,-2.433631
DT1 1AS,50.71059,-2.432267
DT1 1AT,50.71479,-2.429785
DT1 1AU,50.74077,-2.277714
DT1 1AW,50.71256,-2.44026
DT1 1AX,50.80937,-2.476824
DT1 1AY,50.71286,-2.434101
DT1 1AZ,50.71423,-2.436692
DT1 1BA,50.71507,-2.436558
DT1 1BB,50.71509,-2.436417
DT1 1BD,50.7142,-2.437612
DT1 1BE,50.71485,-2.437434
DT1 1BG,50.71518,-2.44408
DT1 1BH,50.71518,-2.44408
DT1 1BJ,50.71504,-2.436926
DT1 1BL,50.71429,-2.436692
DT1 1BN,50.71434,-2.436197
DT1 1BP,50.71492,-2.438228
DT1 1BQ,50.71478,-2.437093
DT1 1BS,50.71336,-2.43674
DT1 1BT,50.71391,-2.436675
DT1 1BU,50.71376,-2.436617
DT1 1BW,50.71538,-2.433855
DT1 1BX,50.7124,-2.437595
DT1 1BY,50.71235,-2.437213
DT1 1BZ,50.71283,-2.43665
DT1 1DA,50.71268,-2.436791
DT1 1DB,50.7115,-2.437587
DT1 1DD,50.71225,-2.437566
DT1 1DE,50.71255,-2.437413
DT1 1DF,50.71296,-2.437332
DT1 1DG,50.71416,-2.437314
DT1 1DH,50.71336,-2.437718
DT1 1DJ,50.71376,-2.438061
DT1 1DL,50.71377,-2.437424
DT1 1DN,50.71017,-2.429488
DT1 1DP,50.7142,-2.437612
DT1 1DQ,50.71395,-2.437383
DT1 1DR,50.71312,-2.437418
DT1 1DS,50.71229,-2.436801
DT1 1DT,50.71166,-2.436059
DT1 1DU,50.7117,-2.436073
DT1 1DW,50.71414,-2.437116
DT1 1DX,50.71176,-2.43538
DT1 1DY,50.71061,-2.428684
DT1 1DZ,50.71255,-2.436704
DT1 1EA,50.7118,-2.434658
DT1 1EB,50.71223,-2.43275
DT1 1ED,50.71326,-2.430012
DT1 1EE,50.71305,-2.436483
DT1 1EF,50.71448,-2.434966
DT1 1EG,50.71677,-2.43605
DT1 1EH,50.7137,-2.438075
DT1 1EJ,50.71286,-2.43311
DT1 1EL,50.71381,-2.432297
DT1 1EN,50.71265,-2.429227
DT1 1EP,50.71252,-2.430288
DT1 1EQ,50.71345,-2.433753
DT1 1ER,50.7125,-2.43026
DT1 1ES,50.71171,-2.429657
DT1 1ET,50.7133,-2.432646
DT1 1EU,50.71468,-2.434274
DT1 1EW,50.71477,-2.433977
DT1 1EX,50.70985,-2.425576
DT1 1EY,50.71187,-2.428441
DT1 1EZ,50.71526,-2.436177
DT1 1FA,50.71518,-2.44408
DT1 1FB,50.7172,-2.440275
DT1 1FD,50.71087,-2.427497
