PCDS,LAT,LONG
DY1 1AA,52.5119,-2.088433
DY1 1AD,52.5119,-2.088433
DY1 1AE,52.5116,-2.08911
DY1 1AF,52.5124,-2.082717
DY1 1AG,52.51248,-2.086475
DY1 1AH,52.51229,-2.086194
DY1 1AJ,52.51183,-2.087844
DY1 1BB,52.51165,-2.089184
DY1 1BF,52.51147,-2.089832
DY1 1DA,52.50997,-2.084378
DY1 1DB,52.51028,-2.085542
DY1 1DD,52.5102,-2.085822
DY1 1DF,52.50968,-2.085408
DY1 1DG,52.50968,-2.085408
DY1 1DH,52.50967,-2.086882
DY1 1DJ,52.51038,-2.086235
DY1 1DL,52.51038,-2.086235
DY1 1DP,52.50967,-2.086882
DY1 1DR,52.51147,-2.082465
DY1 1DS,52.51075,-2.089079
DY1 1DT,52.51084,-2.089639
DY1 1DU,52.51069,-2.086191
DY1 1DW,52.51067,-2.089448
DY1 1DX,52.51057,-2.086884
DY1 1DZ,52.51068,-2.086103
DY1 1EA,52.51069,-2.086
DY1 1ED,52.51034,-2.08485
DY1 1EE,52.50968,-2.085408
DY1 1EF,52.51009,-2.084172
DY1 1EG,52.51025,-2.084452
DY1 1EH,52.51077,-2.085307
DY1 1EJ,52.51069,-2.084836
DY1 1EP,52.51088,-2.085249
DY1 1EQ,52.51,-2.083877
DY1 1ER,52.51074,-2.08544
DY1 1ES,52.51147,-2.085412
DY1 1EU,52.51057,-2.08541
DY1 1EW,52.51112,-2.084807
DY1 1EX,52.51017,-2.084231
DY1 1EY,52.51221,-2.084338
DY1 1EZ,52.51069,-2.084836
DY1 1HA,52.51095,-2.084483
DY1 1HB,52.51147,-2.083938
DY1 1HD,52.51165,-2.083791
DY1 1HE,52.51165,-2.089184
DY1 1HF,52.51221,-2.084338
DY1 1HG,52.5116,-2.08911
DY1 1HH,52.51223,-2.083365
DY1 1HJ,52.51215,-2.084323
DY1 1HL,52.51242,-2.085826
DY1 1HN,52.51057,-2.083937
DY1 1HP,52.51149,-2.08553
DY1 1HQ,52.5118,-2.083659
DY1 1HR,52.51169,-2.085118
DY1 1HT,52.51234,-2.087123
DY1 1HW,52.51223,-2.085325
DY1 1HX,52.51147,-2.085412
DY1 1HY,52.51175,-2.086105
DY1 1HZ,52.51149,-2.08553
DY1 1JA,52.5112,-2.087179
DY1 1JB,52.51117,-2.088447
DY1 1JD,52.51179,-2.088492
DY1 1JE,52.51122,-2.085927
DY1 1JF,52.51189,-2.087048
DY1 1JG,52.51192,-2.087284
DY1 1JH,52.51181,-2.086577
DY1 1JJ,52.51119,-2.08659
DY1 1JN,52.51057,-2.086884
DY1 1JP,52.51057,-2.086884
DY1 1JQ,52.51181,-2.087873
DY1 1JR,52.5106,-2.087458
DY1 1JT,52.51057,-2.086884
DY1 1JW,52.51082,-2.086751
DY1 1JX,52.51324,-2.08403
DY1 1LA,52.51149,-2.080859
DY1 1LB,52.5102,-2.086072
DY1 1LD,52.51077,-2.081285
DY1 1LE,52.51058,-2.082463
DY1 1LF,52.51109,-2.081064
DY1 1LG,52.51058,-2.082463
DY1 1LH,52.51147,-2.082465
DY1 1LJ,52.51218,-2.080963
DY1 1LL,52.5121,-2.080904
DY1 1LN,52.51148,-2.080991
DY1 1LP,52.51141,-2.082317
DY1 1LQ,52.51176,-2.081272
DY1 1LR,52.51058,-2.082463
DY1 1LS,52.51107,-2.082037
DY1 1LT,52.51123,-2.082509
DY1 1LU,52.51165,-2.08332
DY1 1LW,52.51058,-2.082463
DY1 1LX,52.5117,-2.083777
DY1 1LY,52.51193,-2.083247
DY1 1LZ,52.51183,-2.082937
DY1 1NA,52.51215,-2.082054
DY1 1NB,52.51241,-2.081818
DY1 1ND,52.51126,-2.083422
DY1 1NE,52.51145,-2.083187
