PCDS,LAT,LONG
E1 0AA,51.5125,-0.052071
E1 0AB,51.51339,-0.050852
E1 0AD,51.51291,-0.055296
E1 0AE,51.51067,-0.052567
E1 0AF,51.51086,-0.051161
E1 0AG,51.51339,-0.054008
E1 0AH,51.51113,-0.051438
E1 0AJ,51.51126,-0.052758
E1 0AL,51.511,-0.052495
E1 0AN,51.5113,-0.052339
E1 0AP,51.51139,-0.051686
E1 0AQ,51.51155,-0.050858
E1 0AR,51.5116,-0.052066
E1 0AS,51.51157,-0.052658
E1 0AT,51.51315,-0.054364
E1 0AU,51.51131,-0.053361
E1 0AW,51.5111,-0.051655
E1 0AX,51.51131,-0.053361
E1 0AY,51.51288,-0.053395
E1 0AZ,51.51254,-0.054304
E1 0BA,51.5126,-0.053811
E1 0BB,51.51366,-0.053636
E1 0BD,51.51371,-0.052899
E1 0BE,51.51174,-0.051253
E1 0BF,51.51308,-0.053863
E1 0BG,51.51256,-0.052616
E1 0BH,51.51046,-0.060531
E1 0BJ,51.51018,-0.061235
E1 0BL,51.51093,-0.060036
E1 0BN,51.51203,-0.052019
E1 0BP,51.51017,-0.056682
E1 0BQ,51.51125,-0.051188
E1 0BS,51.51063,-0.056345
E1 0BT,51.51053,-0.05596
E1 0BU,51.51008,-0.055922
E1 0BW,51.51076,-0.056743
E1 0BX,51.51087,-0.055801
E1 0BY,51.51022,-0.054907
E1 0BZ,51.51022,-0.054907
E1 0DA,51.5102,-0.056565
E1 0DB,51.51241,-0.053358
E1 0DD,51.51099,-0.055335
E1 0DE,51.51097,-0.057584
E1 0DF,51.51019,-0.057286
E1 0DG,51.5106,-0.060439
E1 0DH,51.51068,-0.058058
E1 0DJ,51.51261,-0.05015
E1 0DL,51.51329,-0.049126
E1 0DN,51.51031,-0.055451
E1 0DP,51.51331,-0.049414
E1 0DQ,51.51337,-0.048849
E1 0DR,51.51095,-0.059185
E1 0DS,51.51292,-0.052918
E1 0DT,51.5128,-0.049349
E1 0DU,51.51257,-0.049546
E1 0DW,51.50994,-0.056576
E1 0DX,51.51171,-0.050188
E1 0DY,51.5101,-0.053327
E1 0DZ,51.51171,-0.050477
E1 0EA,51.51251,-0.048929
E1 0EB,51.51126,-0.050366
E1 0ED,51.51017,-0.052387
E1 0EE,51.51046,-0.052374
E1 0EF,51.51191,-0.048782
E1 0EG,51.51236,-0.048935
E1 0EH,51.51056,-0.054287
E1 0EJ,51.51009,-0.053341
E1 0EL,51.51181,-0.049362
E1 0EN,51.51717,-0.040716
E1 0EP,51.5156,-0.047773
E1 0EQ,51.50996,-0.053145
E1 0ER,51.51563,-0.048147
E1 0ES,51.51544,-0.048414
E1 0ET,51.51558,-0.048409
E1 0EU,51.51031,-0.061633
E1 0EW,51.51061,-0.05979
E1 0EX,51.51091,-0.061694
E1 0EY,51.51095,-0.061274
E1 0EZ,51.50954,-0.061579
E1 0FA,51.51727,-0.038938
E1 0FB,51.51515,-0.048254
E1 0FD,51.5126,-0.042684
E1 0FE,51.51245,-0.043253
E1 0FF,51.5121,-0.043556
E1 0FG,51.51273,-0.043587
E1 0FH,51.51262,-0.043592
E1 0FJ,51.51292,-0.04074
E1 0FL,51.51301,-0.04088
E1 0FN,51.513,-0.040606
E1 0FP,51.51273,-0.043587
E1 0FU,51.51169,-0.05385
E1 0HA,51.51371,-0.048834
E1 0HE,51.51348,-0.048671
E1 0HF,51.51367,-0.048577
E1 0HH,51.51251,-0.044389
E1 0HJ,51.51327,-0.042973
E1 0HL,51.51249,-0.042949
E1 0HQ,51.51352,-0.047387
E1 0HR,51.51257,-0.042268
E1 0HS,51.51277,-0.043167
E1 0HT,51.51249,-0.042949
E1 0HU,51.51159,-0.042987
E1 0HW,51.51249,-0.042949
E1 0HX,51.51302,-0.043978
E1 0HY,51.51288,-0.042543
E1 0HZ,51.51249,-0.042949
E1 0JA,51.51903,-0.058048
E1 0JB,51.51283,-0.042271
E1 0JD,51.51249,-0.042949
E1 0JF,51.51251,-0.044389
E1 0JG,51.51273,-0.044005
E1 0JH,51.51176,-0.044522
E1 0JJ,51.51286,-0.044691
E1 0JL,51.51306,-0.044567
E1 0JN,51.51302,-0.046457
E1 0JP,51.51261,-0.044788
E1 0JQ,51.51214,-0.043223
E1 0JR,51.5119,-0.044156
E1 0JS,51.51188,-0.043825
E1 0JW,51.51179,-0.04491
E1 0LA,51.51435,-0.052886
E1 0LB,51.51357,-0.049749
E1 0LD,51.51293,-0.046101
E1 0LE,51.51294,-0.045337
E1 0LF,51.51353,-0.051552
E1 0LG,51.51344,-0.049264
E1 0LH,51.51228,-0.047166
E1 0LJ,51.51269,-0.045722
E1 0LL,51.51207,-0.047449
E1 0LN,51.51161,-0.047238
E1 0LP,51.51259,-0.048046
E1 0LQ,51.51326,-0.048565
E1 0LR,51.51357,-0.049749
E1 0LS,51.5136,-0.050526
E1 0LT,51.51189,-0.046044
E1 0LW,51.51156,-0.048162
E1 0NA,51.51516,-0.042546
E1 0NB,51.51414,-0.042979
E1 0ND,51.51369,-0.04062
E1 0NE,51.51308,-0.04141
E1 0NF,51.51417,-0.041104
E1 0NG,51.5145,-0.041594
E1 0NH,51.51903,-0.058048
E1 0NJ,51.51468,-0.040794
E1 0NL,51.51523,-0.040669
E1 0NN,51.51555,-0.040929
E1 0NP,51.51737,-0.040693
E1 0NQ,51.51517,-0.04122
E1 0NR,51.51688,-0.041665
E1 0NS,51.51338,-0.041498
E1 0NT,51.51488,-0.041074
E1 0NU,51.51471,-0.042147
E1 0NW,51.51727,-0.04012
E1 0NX,51.51553,-0.041867
E1 0NY,51.51727,-0.039025
E1 0NZ,51.51699,-0.039787
E1 0PA,51.51528,-0.048594
E1 0PB,51.51553,-0.049175
E1 0PD,51.5155,-0.050689
E1 0PE,51.5159,-0.050254
E1 0PF,51.51638,-0.050075
E1 0PG,51.51562,-0.051736
E1 0PH,51.5145,-0.051136
E1 0PJ,51.51515,-0.051021
E1 0PL,51.51525,-0.052386
E1 0PN,51.5148,-0.051051
E1 0PP,51.51492,-0.047586
E1 0PQ,51.51513,-0.048802
E1 0PR,51.51361,-0.046792
E1 0PS,51.51392,-0.047571
E1 0PT,51.51436,-0.046818
E1 0PU,51.51506,-0.047162
E1 0PW,51.5146,-0.05214
E1 0PX,51.51491,-0.052113
E1 0PY,51.51475,-0.052826
E1 0PZ,51.51519,-0.047661
E1 0QA,51.51352,-0.044447
E1 0QB,51.51411,-0.045402
E1 0QD,51.51427,-0.044818
E1 0QE,51.51536,-0.045737
E1 0QF,51.51442,-0.046195
E1 0QG,51.51478,-0.046627
E1 0QH,51.51554,-0.04707
E1 0QJ,51.51623,-0.046594
E1 0QL,51.51634,-0.04741
E1 0QN,51.5136,-0.045697
E1 0QP,51.51528,-0.048594
E1 0QQ,51.51534,-0.046473
E1 0QW,51.51586,-0.046307
E1 0QX,51.51329,-0.049126
E1 0QZ,51.51528,-0.048594
E1 0RA,51.51415,-0.043396
E1 0RB,51.51514,-0.043614
E1 0RD,51.51514,-0.043614
E1 0RE,51.51466,-0.04434
E1 0RF,51.51505,-0.045145
E1 0RG,51.51545,-0.044292
E1 0RH,51.51625,-0.044186
E1 0RJ,51.51589,-0.044244
E1 0RL,51.51521,-0.044273
E1 0RQ,51.51544,-0.043082
E1 0RS,51.51902,-0.058106
E1 0RT,51.51903,-0.058048
E1 0RU,51.51521,-0.044273
E1 0SA,51.51429,-0.049184
E1 0SB,51.51461,-0.049588
E1 0SD,51.515,-0.049327
E1 0SE,51.51527,-0.049762
E1 0SF,51.51497,-0.050064
E1 0SG,51.51421,-0.050341
E1 0SH,51.51426,-0.04858
E1 0SJ,51.51353,-0.051552
E1 0SL,51.51353,-0.051552
E1 0SN,51.51329,-0.049126
E1 0SP,51.51328,-0.049141
E1 0SQ,51.51438,-0.049944
E1 0SR,51.51353,-0.051552
E1 0SS,51.51328,-0.049141
E1 0ST,51.51329,-0.049126
E1 0SU,51.51903,-0.058048
E1 0SW,51.51329,-0.049126
E1 0SX,51.51329,-0.049126
E1 0SY,51.51328,-0.049141
E1 0SZ,51.51329,-0.049126
E1 0TA,51.51903,-0.058048
E1 0TB,51.51903,-0.058048
E1 0TD,51.51903,-0.058048
E1 0TE,51.51903,-0.058048
E1 0TF,51.51903,-0.058048
E1 0TG,51.51902,-0.058106
E1 0TH,51.51903,-0.058048
E1 0TQ,51.51903,-0.058048
E1 0WA,51.51903,-0.058048
E1 0WB,51.51903,-0.058048
E1 0WD,51.51902,-0.058106
E1 0WF,51.51903,-0.058048
E1 0WG,51.51903,-0.058048
E1 0WH,51.51903,-0.058048
E1 0WJ,51.51903,-0.058048
E1 0WL,51.51902,-0.058106
E1 0WN,51.51903,-0.058048
E1 0WP,51.51903,-0.058048
E1 0WQ,51.51903,-0.058048
E1 0WR,51.51903,-0.058048
E1 0WS,51.51903,-0.058048
E1 0WT,51.51903,-0.058048
E1 0WU,51.51902,-0.058106
E1 0WW,51.51903,-0.058048
E1 0WX,51.51903,-0.058048
E1 0WY,51.51903,-0.058048
E1 0WZ,51.51903,-0.058048
E1 0XA,51.51351,-0.050111
E1 0YQ,51.51903,-0.058048
E1 0YZ,51.51903,-0.058048
E1 0ZZ,51.51903,-0.058048
E1 1AA,51.51902,-0.058106
E1 1AB,51.51226,-0.066695
E1 1AD,51.51903,-0.058048
E1 1AE,51.51617,-0.066155
E1 1AF,51.51226,-0.066695
E1 1AG,51.51603,-0.065988
E1 1AH,51.51907,-0.059964
E1 1AJ,51.51468,-0.06753
E1 1AL,51.51771,-0.063207
E1 1AN,51.51468,-0.06753
E1 1AP,51.51907,-0.059964
E1 1AQ,51.51742,-0.069057
E1 1AR,51.51718,-0.068663
E1 1AS,51.51659,-0.064869
E1 1AT,51.51503,-0.064157
E1 1AU,51.51903,-0.058048
E1 1AW,51.5117,-0.063866
E1 1AX,51.51503,-0.064157
E1 1AY,51.51198,-0.063868
E1 1AZ,51.5121,-0.063042
E1 1BA,51.51899,-0.058872
E1 1BB,51.51902,-0.058106
E1 1BE,51.51817,-0.060002
E1 1BF,51.5121,-0.063056
E1 1BG,51.5183,-0.058512
E1 1BH,51.51815,-0.058562
E1 1BJ,51.51932,-0.057301
E1 1BL,51.51904,-0.058523
E1 1BN,51.51169,-0.063088
E1 1BP,51.51503,-0.064157
E1 1BQ,51.51796,-0.058454
E1 1BS,51.51945,-0.056402
E1 1BT,51.51994,-0.058485
E1 1BU,51.52002,-0.057631
E1 1BW,51.52002,-0.057631
E1 1BX,51.51648,-0.066286
E1 1BY,51.51955,-0.059467
E1 1BZ,51.51904,-0.059201
E1 1DA,51.51822,-0.062883
E1 1DB,51.51917,-0.060939
E1 1DD,51.5146,-0.063613
E1 1DE,51.51886,-0.062264
E1 1DF,51.51527,-0.06824
E1 1DG,51.51912,-0.061374
E1 1DH,51.51737,-0.063135
E1 1DJ,51.51903,-0.058048
E1 1DL,51.51693,-0.064206
E1 1DN,51.51852,-0.06362
E1 1DP,51.51818,-0.064643
E1 1DQ,51.51764,-0.067246
E1 1DR,51.51824,-0.064323
E1 1DS,51.51824,-0.064323
E1 1DT,51.51776,-0.066102
E1 1DU,51.51702,-0.068267
E1 1DW,51.51837,-0.064116
E1 1DX,51.51679,-0.068911
E1 1DY,51.51674,-0.067644
E1 1DZ,51.51509,-0.064558
E1 1EA,51.51564,-0.070199
E1 1EB,51.51624,-0.067507
E1 1ED,51.51564,-0.070199
E1 1EE,51.51585,-0.067307
E1 1EF,51.51744,-0.070123
E1 1EG,51.5155,-0.067524
E1 1EH,51.51598,-0.066941
E1 1EJ,51.51579,-0.065494
E1 1EL,51.51509,-0.064558
E1 1EN,51.51565,-0.065788
E1 1EP,51.51603,-0.066665
E1 1EQ,51.5157,-0.0658
E1 1ER,51.5156,-0.066626
E1 1ES,51.51691,-0.064625
E1 1ET,51.51705,-0.063682
E1 1EU,51.51653,-0.063531
E1 1EW,51.51676,-0.067672
E1 1EX,51.51469,-0.067356
E1 1EY,51.5169,-0.063371
E1 1EZ,51.51561,-0.066654
E1 1FA,51.51553,-0.067955
E1 1FB,51.51553,-0.067955
E1 1FD,51.51553,-0.067955
E1 1FE,51.51492,-0.06997
E1 1FF,51.5169,-0.066124
E1 1FG,51.5169,-0.066124
E1 1FH,51.51445,-0.066329
E1 1FJ,51.51469,-0.067515
E1 1FL,51.51303,-0.06662
E1 1FN,51.5169,-0.066124
E1 1FP,51.5169,-0.066124
E1 1FQ,51.51303,-0.066605
E1 1FR,51.5187,-0.060138
E1 1FS,51.51418,-0.062881
E1 1FT,51.5169,-0.066124
E1 1FX,51.5169,-0.066124
E1 1FY,51.5169,-0.066124
E1 1GU,51.51733,-0.063958
E1 1GW,51.51733,-0.063958
E1 1HA,51.51637,-0.063249
E1 1HB,51.51647,-0.06584
E1 1HD,51.51588,-0.068099
E1 1HE,51.51543,-0.062237
E1 1HF,51.51903,-0.058048
E1 1HG,51.51642,-0.062959
E1 1HH,51.51678,-0.062583
E1 1HJ,51.51786,-0.062869
E1 1HL,51.51546,-0.063331
E1 1HN,51.5152,-0.063328
E1 1HP,51.5152,-0.063328
E1 1HQ,51.5161,-0.063174
E1 1HR,51.51542,-0.063578
E1 1HS,51.51589,-0.063356
E1 1HT,51.51509,-0.064558
E1 1HU,51.51702,-0.063107
E1 1HW,51.51902,-0.058106
E1 1HX,51.51644,-0.062944
E1 1HY,51.51647,-0.06584
E1 1HZ,51.51651,-0.06872
E1 1JA,51.51819,-0.061442
E1 1JB,51.51736,-0.065802
E1 1JD,51.51783,-0.064283
E1 1JE,51.51798,-0.063729
E1 1JF,51.51736,-0.065802
E1 1JG,51.51746,-0.064789
E1 1JH,51.51773,-0.063696
E1 1JJ,51.51699,-0.068354
E1 1JL,51.51699,-0.068354
E1 1JN,51.51652,-0.064584
E1 1JP,51.51611,-0.064269
E1 1JQ,51.51747,-0.065552
E1 1JR,51.51654,-0.063775
E1 1JS,51.51687,-0.062854
E1 1JT,51.51631,-0.062704
E1 1JU,51.5171,-0.065957
E1 1JW,51.51553,-0.064496
E1 1JX,51.51732,-0.066265
E1 1JY,51.51663,-0.067981
E1 1JZ,51.51699,-0.068354
E1 1LA,51.51502,-0.065872
E1 1LB,51.51513,-0.067352
E1 1LD,51.51512,-0.068794
E1 1LE,51.51276,-0.06751
E1 1LF,51.51511,-0.066748
E1 1LG,51.51551,-0.069426
E1 1LH,51.51534,-0.070745
E1 1LJ,51.51469,-0.066967
E1 1LL,51.51489,-0.069481
E1 1LN,51.51482,-0.069326
E1 1LP,51.51468,-0.06753
E1 1LQ,51.5121,-0.067135
E1 1LR,51.51375,-0.067267
E1 1LS,51.51406,-0.066734
E1 1LT,51.51365,-0.066939
E1 1LU,51.51275,-0.067496
E1 1LW,51.51472,-0.068796
E1 1LX,51.51272,-0.066892
E1 1LY,51.51274,-0.066502
E1 1LZ,51.51378,-0.065276
E1 1NA,51.51282,-0.065115
E1 1NB,51.51441,-0.06535
E1 1ND,51.51443,-0.066286
E1 1NE,51.51305,-0.065509
E1 1NG,51.51414,-0.065275
E1 1NH,51.51305,-0.065509
E1 1NJ,51.51464,-0.064476
E1 1NL,51.51467,-0.063033
E1 1NN,51.51464,-0.064476
E1 1NP,51.51467,-0.065916
E1 1NR,51.51469,-0.067356
E1 1NS,51.51377,-0.065954
E1 1NT,51.51389,-0.066136
E1 1NU,51.51464,-0.064981
E1 1NW,51.51464,-0.064476
E1 1NY,51.51463,-0.066033
E1 1NZ,51.51463,-0.066033
E1 1PA,51.51242,-0.064397
E1 1PB,51.51251,-0.064912
E1 1PD,51.51176,-0.065852
E1 1PE,51.5125,-0.065849
E1 1PF,51.51234,-0.066274
E1 1PG,51.51214,-0.065677
E1 1PH,51.51509,-0.064558
E1 1PJ,51.51427,-0.063382
E1 1PP,51.51336,-0.06551
E1 1PQ,51.51413,-0.062653
E1 1PR,51.51342,-0.066012
E1 1PS,51.51335,-0.06662
E1 1PT,51.51305,-0.065509
E1 1PU,51.51501,-0.062875
E1 1PW,51.5134,-0.066157
E1 1PX,51.51495,-0.062502
E1 1PY,51.51418,-0.063083
E1 1PZ,51.5145,-0.062738
E1 1QA,51.51464,-0.064476
E1 1QB,51.51394,-0.063295
E1 1QD,51.51394,-0.063295
E1 1QE,51.51373,-0.063074
E1 1QF,51.51286,-0.062778
E1 1QG,51.51903,-0.058048
E1 1QH,51.51295,-0.063294
E1 1QL,51.51183,-0.062506
E1 1QN,51.51258,-0.062271
E1 1QP,51.51467,-0.065916
E1 1QQ,51.51509,-0.064558
E1 1QR,51.51375,-0.064514
E1 1QS,51.51195,-0.06459
E1 1QT,51.51195,-0.06459
E1 1QU,51.51195,-0.06459
E1 1QW,51.51286,-0.062346
E1 1RA,51.51467,-0.065916
E1 1RD,51.515,-0.063797
E1 1RE,51.51464,-0.064476
E1 1RF,51.51193,-0.064432
E1 1RH,51.51442,-0.065033
