PCDS,LAT,LONG
EC1A 1AA,51.52514,-0.111157
EC1A 1AE,51.51521,-0.099043
EC1A 1AH,51.52457,-0.112017
EC1A 1AL,51.51788,-0.09749
EC1A 1AR,51.52451,-0.112063
EC1A 1AY,51.52451,-0.112063
EC1A 1AZ,51.52451,-0.112063
EC1A 1BA,51.52451,-0.112063
EC1A 1BB,51.52457,-0.112017
EC1A 1BP,51.52451,-0.112063
EC1A 1DD,51.52451,-0.112063
EC1A 1DH,51.52457,-0.112017
EC1A 1DJ,51.52457,-0.112017
EC1A 1DL,51.52457,-0.112017
EC1A 1DN,51.52457,-0.112017
EC1A 1DP,51.52457,-0.112017
EC1A 1DR,51.52457,-0.112017
EC1A 1DS,51.52457,-0.112017
EC1A 1DT,51.52457,-0.112017
EC1A 1DU,51.52457,-0.112017
EC1A 1EA,51.52451,-0.112063
EC1A 1HA,51.52457,-0.112017
EC1A 1HQ,51.51636,-0.09888
EC1A 1JA,51.52451,-0.112063
EC1A 1JB,51.52451,-0.112063
EC1A 1JD,51.52451,-0.112063
EC1A 1JE,51.52451,-0.112063
EC1A 1JF,51.52451,-0.112063
EC1A 1JG,51.52451,-0.112063
EC1A 1JH,51.52451,-0.112063
EC1A 1JJ,51.52451,-0.112063
EC1A 1JL,51.52451,-0.112063
EC1A 1JN,51.52451,-0.112063
EC1A 1JP,51.52451,-0.112063
EC1A 1JQ,51.52451,-0.112063
EC1A 1JR,51.52451,-0.112063
EC1A 1JS,51.52451,-0.112063
EC1A 1JT,51.52451,-0.112063
EC1A 1JU,51.52451,-0.112063
EC1A 1JW,51.52451,-0.112063
EC1A 1JX,51.52451,-0.112063
EC1A 1JY,51.52451,-0.112063
EC1A 1JZ,51.52451,-0.112063
EC1A 1LA,51.52451,-0.112063
EC1A 1LB,51.52451,-0.112063
EC1A 1LP,51.51636,-0.09888
EC1A 1NA,51.52451,-0.112063
EC1A 1NB,51.52451,-0.112063
EC1A 1ND,51.52451,-0.112063
EC1A 1NE,51.52451,-0.112063
EC1A 1NF,51.52451,-0.112063
EC1A 1NG,51.52451,-0.112063
EC1A 1NH,51.52451,-0.112063
EC1A 1NJ,51.52451,-0.112063
