PCDS,LAT,LONG
EH1 1AA,55.95365,-3.188108
EH1 1AD,55.94913,-3.192773
EH1 1AE,55.94907,-3.189409
EH1 1AF,55.96038,-3.176701
EH1 1AG,55.94717,-3.189735
EH1 1AL,55.95321,-3.186813
EH1 1AN,55.95302,-3.188088
EH1 1AQ,55.9522,-3.188864
EH1 1BA,55.95203,-3.188218
EH1 1BB,55.95196,-3.189945
EH1 1BD,55.95232,-3.187506
EH1 1BE,55.95196,-3.189945
EH1 1BG,55.95196,-3.189945
EH1 1BJ,55.95081,-3.190951
EH1 1BL,55.95065,-3.191731
EH1 1BN,55.95078,-3.19015
EH1 1BP,55.95073,-3.190276
EH1 1BQ,55.95263,-3.191295
EH1 1BR,55.95111,-3.190112
EH1 1BS,55.95071,-3.189139
EH1 1BU,55.95059,-3.188494
EH1 1BW,55.95066,-3.191571
EH1 1BX,55.95096,-3.188906
EH1 1BY,55.95103,-3.188988
EH1 1DA,55.94953,-3.187533
EH1 1DD,55.94958,-3.187102
EH1 1DE,55.95113,-3.188751
EH1 1DF,55.95123,-3.189987
EH1 1DG,55.95114,-3.186365
EH1 1DH,55.95118,-3.185454
EH1 1DJ,55.95089,-3.18466
EH1 1DN,55.95115,-3.186269
EH1 1DR,55.95093,-3.184693
EH1 1DS,55.95089,-3.18466
EH1 1DT,55.95099,-3.184167
EH1 1DU,55.95087,-3.186421
EH1 1DW,55.95099,-3.184183
EH1 1DY,55.97611,-3.183749
EH1 1DZ,55.96038,-3.176701
EH1 1ED,55.94589,-3.190224
EH1 1EE,55.94796,-3.192113
EH1 1EG,55.94844,-3.192512
EH1 1EH,55.94778,-3.191979
EH1 1EJ,55.948,-3.191537
EH1 1EL,55.94751,-3.191218
EH1 1EN,55.94749,-3.191714
EH1 1EP,55.94755,-3.191876
EH1 1ES,55.97611,-3.183749
EH1 1ET,55.94953,-3.187533
EH1 1EU,55.94635,-3.190126
EH1 1EW,55.9486,-3.191892
EH1 1EX,55.94644,-3.190128
EH1 1EY,55.94653,-3.190179
EH1 1EZ,55.94588,-3.189839
EH1 1HA,55.94588,-3.189839
EH1 1HB,55.94611,-3.189334
EH1 1HD,55.94656,-3.189124
