PCDS,LAT,LONG
EN1 1AA,51.65192,-0.077079
EN1 1AB,51.65194,-0.077064
EN1 1AD,51.65194,-0.077064
EN1 1AE,51.64566,-0.066316
EN1 1AF,51.64954,-0.064517
EN1 1AG,51.65194,-0.077064
EN1 1AH,51.65194,-0.077064
EN1 1AJ,51.65423,-0.058896
EN1 1AL,51.64561,-0.066332
EN1 1AN,51.64561,-0.066332
EN1 1AP,51.65194,-0.077064
EN1 1AQ,51.64562,-0.066318
EN1 1AR,51.65194,-0.077064
EN1 1AS,51.65212,-0.078285
EN1 1AT,51.64637,-0.053826
EN1 1AU,51.64637,-0.053826
EN1 1AW,51.64561,-0.066332
EN1 1AX,51.64561,-0.066332
EN1 1AY,51.6463,-0.054768
EN1 1AZ,51.64562,-0.066318
EN1 1BA,51.64186,-0.068949
EN1 1BB,51.6423,-0.067355
EN1 1BD,51.64303,-0.066876
EN1 1BE,51.64392,-0.066563
EN1 1BF,51.64419,-0.067636
EN1 1BG,51.64445,-0.06709
EN1 1BH,51.64312,-0.067334
EN1 1BJ,51.64237,-0.0678
EN1 1BL,51.6421,-0.069272
EN1 1BN,51.64294,-0.069973
EN1 1BP,51.64477,-0.071557
EN1 1BQ,51.64152,-0.069195
EN1 1BS,51.64554,-0.071409
EN1 1BT,51.64422,-0.069485
EN1 1BU,51.64394,-0.068456
EN1 1BW,51.64385,-0.070744
EN1 1BX,51.64367,-0.068005
EN1 1BY,51.64421,-0.06908
EN1 1BZ,51.65194,-0.077064
EN1 1DA,51.64522,-0.068835
EN1 1DB,51.6459,-0.064152
EN1 1DD,51.646,-0.063107
EN1 1DE,51.64644,-0.066745
EN1 1DF,51.6456,-0.066347
EN1 1DG,51.64573,-0.065706
EN1 1DH,51.64523,-0.064354
EN1 1DJ,51.64492,-0.065205
EN1 1DL,51.64389,-0.064411
EN1 1DN,51.64388,-0.064831
EN1 1DP,51.64381,-0.063851
EN1 1DQ,51.64167,-0.067714
