PCDS,LAT,LONG
EX1 1AA,50.72371,-3.527619
EX1 1AB,50.7215,-3.527944
EX1 1AD,50.72298,-3.528573
EX1 1AE,50.72279,-3.531882
EX1 1AF,50.72051,-3.527996
EX1 1AG,50.72298,-3.528573
EX1 1AH,50.72371,-3.527619
EX1 1AJ,50.72308,-3.529001
EX1 1AL,50.72007,-3.531623
EX1 1AN,50.72034,-3.531476
EX1 1AP,50.72125,-3.527227
EX1 1AQ,50.72298,-3.528573
EX1 1AR,50.72122,-3.526957
EX1 1AS,50.72216,-3.525953
EX1 1AT,50.72067,-3.534434
EX1 1AU,50.72174,-3.525685
EX1 1AW,50.72187,-3.526199
EX1 1AY,50.72298,-3.528573
EX1 1BA,50.71989,-3.535187
EX1 1BB,50.71977,-3.534347
EX1 1BD,50.72011,-3.534684
EX1 1BE,50.72023,-3.534122
EX1 1BG,50.72073,-3.534577
EX1 1BH,50.72047,-3.533634
EX1 1BJ,50.72038,-3.533956
EX1 1BL,50.72086,-3.534015
EX1 1BN,50.72073,-3.533854
EX1 1BP,50.72069,-3.531686
EX1 1BQ,50.72042,-3.53349
EX1 1BR,50.7197,-3.535847
EX1 1BS,50.72139,-3.532375
EX1 1BT,50.72371,-3.527619
EX1 1BU,50.72167,-3.532723
EX1 1BW,50.72124,-3.532029
EX1 1BX,50.72631,-3.522263
EX1 1BY,50.72113,-3.532763
EX1 1BZ,50.72157,-3.531743
EX1 1DA,50.72137,-3.53202
EX1 1DB,50.72075,-3.531177
EX1 1DD,50.71933,-3.532704
EX1 1DE,50.71939,-3.532323
EX1 1DF,50.72001,-3.533746
EX1 1DG,50.71998,-3.533037
EX1 1DH,50.72622,-3.522217
EX1 1DJ,50.7207,-3.533046
EX1 1DL,50.72125,-3.532809
EX1 1DN,50.72086,-3.532286
EX1 1DP,50.7205,-3.532657
EX1 1DQ,50.72035,-3.532907
EX1 1DR,50.72013,-3.532433
EX1 1DS,50.72031,-3.53207
EX1 1DT,50.72126,-3.533192
EX1 1DU,50.71989,-3.533572
EX1 1DW,50.72076,-3.53139
EX1 1DX,50.71938,-3.531926
EX1 1DY,50.7239,-3.529694
EX1 1DZ,50.72221,-3.531891
EX1 1EA,50.72203,-3.532792
EX1 1EB,50.72118,-3.530696
EX1 1ED,50.72071,-3.530086
EX1 1EE,50.72033,-3.5302
EX1 1EF,50.72059,-3.530648
EX1 1EG,50.72092,-3.530871
EX1 1EH,50.72206,-3.52996
EX1 1EJ,50.72253,-3.525753
EX1 1EL,50.72113,-3.532763
EX1 1EN,50.72198,-3.53228
EX1 1EP,50.72113,-3.532763
EX1 1EQ,50.72147,-3.531655
EX1 1ER,50.72208,-3.532354
EX1 1ES,50.7201,-3.530505
EX1 1ET,50.71935,-3.531288
EX1 1EU,50.72361,-3.529726
EX1 1EW,50.72306,-3.529099
EX1 1EX,50.72352,-3.530191
EX1 1EY,50.72355,-3.530532
EX1 1EZ,50.72297,-3.528969
EX1 1FA,50.72296,-3.529989
EX1 1FB,50.72296,-3.529989
EX1 1FD,50.7231,-3.529214
EX1 1FE,50.71965,-3.535562
EX1 1FF,50.71911,-3.531762
EX1 1FG,50.71972,-3.536017
EX1 1GA,50.72489,-3.526141
EX1 1GB,50.72497,-3.527306
EX1 1GD,50.72336,-3.528514
EX1 1GE,50.7244,-3.527684
EX1 1GF,50.72462,-3.52592
EX1 1GG,50.72372,-3.527902
EX1 1GH,50.72411,-3.528666
EX1 1GJ,50.72336,-3.528032
EX1 1GL,50.72324,-3.527873
EX1 1GN,50.72397,-3.527386
EX1 1GP,50.72406,-3.527361
EX1 1GQ,50.72464,-3.528258
EX1 1GR,50.72474,-3.526575
EX1 1HA,50.7229,-3.527777
EX1 1HB,50.72308,-3.531155
EX1 1HD,50.72347,-3.53043
EX1 1HE,50.72327,-3.53075
EX1 1HF,50.72242,-3.531912
EX1 1HG,50.72294,-3.531405
EX1 1HH,50.72021,-3.531613
EX1 1HJ,50.72242,-3.531912
EX1 1HL,50.72203,-3.532792
EX1 1HN,50.72203,-3.532792
EX1 1HP,50.7223,-3.531979
EX1 1HQ,50.72294,-3.531405
EX1 1HR,50.72222,-3.531736
EX1 1HS,50.72221,-3.530574
EX1 1HT,50.72218,-3.530898
EX1 1HU,50.72195,-3.530764
EX1 1HW,50.72384,-3.531434
EX1 1HX,50.72147,-3.529643
EX1 1HY,50.7219,-3.529133
EX1 1HZ,50.72116,-3.52993
EX1 1JA,50.72109,-3.52997
EX1 1JB,50.72025,-3.531317
EX1 1JD,50.72472,-3.525144
EX1 1JE,50.72026,-3.529901
EX1 1JG,50.72198,-3.527534
EX1 1JH,50.72025,-3.531317
EX1 1JJ,50.72476,-3.524465
EX1 1JL,50.7208,-3.529833
EX1 1JN,50.72476,-3.524465
EX1 1JP,50.72205,-3.526474
EX1 1JQ,50.72205,-3.526474
EX1 1JR,50.72472,-3.525144
EX1 1JS,50.72206,-3.530498
EX1 1JT,50.72316,-3.527629
EX1 1JU,50.72298,-3.528573
EX1 1JW,50.72472,-3.525144
EX1 1JX,50.72298,-3.528573
EX1 1JY,50.72622,-3.522217
EX1 1JZ,50.72314,-3.527742
EX1 1LA,50.72188,-3.526199
EX1 1LB,50.72631,-3.522263
EX1 1LD,50.72298,-3.528573
EX1 1LE,50.72326,-3.528454
EX1 1LF,50.7242,-3.526742
EX1 1LG,50.72359,-3.528989
EX1 1LH,50.72379,-3.526927
EX1 1LJ,50.7212,-3.527098
EX1 1LL,50.72384,-3.528884
EX1 1LN,50.72386,-3.530018
EX1 1LP,50.72622,-3.522217
EX1 1LQ,50.72296,-3.529989
EX1 1LR,50.72361,-3.528961
EX1 1LS,50.72188,-3.526199
EX1 1LT,50.72392,-3.529142
EX1 1LU,50.72224,-3.527429
EX1 1LW,50.72622,-3.522217
EX1 1LX,50.72431,-3.528998
EX1 1LY,50.72429,-3.527907
EX1 1LZ,50.72384,-3.52836
EX1 1NA,50.72405,-3.52814
EX1 1NB,50.72467,-3.527537
EX1 1ND,50.72253,-3.525441
EX1 1NE,50.72025,-3.531317
EX1 1NF,50.72388,-3.528602
EX1 1NG,50.72471,-3.527892
EX1 1NH,50.72298,-3.528573
EX1 1NJ,50.72298,-3.528573
EX1 1NL,50.72371,-3.527619
EX1 1NN,50.72476,-3.524465
EX1 1NP,50.72252,-3.525753
EX1 1NQ,50.72417,-3.528484
EX1 1NR,50.72212,-3.525711
EX1 1NS,50.7225,-3.526205
EX1 1NT,50.72182,-3.52546
EX1 1NU,50.72508,-3.527649
EX1 1NW,50.72298,-3.526107
EX1 1NX,50.72229,-3.526368
EX1 1NY,50.72182,-3.525447
EX1 1PA,50.7212,-3.527098
EX1 1PB,50.72176,-3.52662
EX1 1PD,50.72176,-3.526634
EX1 1PE,50.72161,-3.526757
EX1 1PF,50.7212,-3.527098
EX1 1PG,50.72176,-3.526634
EX1 1PH,50.72028,-3.528485
EX1 1PJ,50.72264,-3.527286
EX1 1PL,50.7224,-3.527392
EX1 1PN,50.72222,-3.526423
EX1 1PP,50.72208,-3.528543
EX1 1PQ,50.72125,-3.527227
EX1 1PR,50.72301,-3.527143
EX1 1PS,50.723,-3.527157
EX1 1PT,50.72489,-3.526836
EX1 1PU,50.72546,-3.526387
EX1 1PW,50.72253,-3.527311
EX1 1PX,50.72493,-3.526709
EX1 1PY,50.72255,-3.525102
EX1 1PZ,50.72414,-3.525621
EX1 1QA,50.724,-3.524639
EX1 1QB,50.72392,-3.52577
EX1 1QD,50.72371,-3.525919
EX1 1QE,50.72384,-3.525965
EX1 1QF,50.72036,-3.528728
EX1 1QG,50.72176,-3.526634
EX1 1QH,50.72212,-3.525711
EX1 1QJ,50.72357,-3.525532
EX1 1QL,50.72331,-3.526033
EX1 1QN,50.72322,-3.526044
EX1 1QP,50.72298,-3.526107
EX1 1QQ,50.72349,-3.525869
EX1 1QR,50.72254,-3.525101
EX1 1QS,50.7212,-3.527098
EX1 1QT,50.72341,-3.525201
EX1 1QU,50.7234,-3.526036
EX1 1QW,50.72229,-3.527672
EX1 1QX,50.72302,-3.52574
EX1 1QY,50.7234,-3.525484
EX1 1QZ,50.72335,-3.525737
EX1 1RA,50.72212,-3.525711
EX1 1RB,50.72045,-3.527853
EX1 1RD,50.72292,-3.524405
EX1 1RE,50.72151,-3.526896
EX1 1RF,50.72341,-3.525101
EX1 1RG,50.72302,-3.52574
EX1 1RH,50.723,-3.527157
EX1 1RJ,50.72206,-3.52996
EX1 1RL,50.72206,-3.52996
EX1 1RN,50.72206,-3.52996
EX1 1RP,50.72472,-3.525144
EX1 1RQ,50.72472,-3.525144
EX1 1RR,50.72295,-3.523882
EX1 1RS,50.72145,-3.527843
EX1 1RT,50.72212,-3.525711
EX1 1RU,50.723,-3.527157
EX1 1RW,50.72214,-3.524295
EX1 1RX,50.72259,-3.523431
EX1 1RY,50.72214,-3.524295
EX1 1RZ,50.72264,-3.522356
EX1 1SA,50.72374,-3.5232
EX1 1SB,50.72373,-3.522746
EX1 1SD,50.72216,-3.522879
EX1 1SE,50.72194,-3.522447
EX1 1SF,50.72194,-3.522447
EX1 1SG,50.72125,-3.527227
EX1 1SH,50.72143,-3.521835
EX1 1SJ,50.72272,-3.521069
EX1 1SL,50.72373,-3.52106
EX1 1SN,50.7228,-3.525847
EX1 1SP,50.72126,-3.52285
EX1 1SQ,50.72131,-3.521817
EX1 1SR,50.72324,-3.520775
EX1 1SS,50.72306,-3.522908
EX1 1ST,50.72449,-3.52423
EX1 1SU,50.72302,-3.52574
EX1 1SW,50.72351,-3.521166
EX1 1SX,50.72372,-3.519317
EX1 1SY,50.72265,-3.519424
EX1 1SZ,50.72202,-3.519701
EX1 1TA,50.72155,-3.521017
EX1 1TB,50.72133,-3.52016
EX1 1TD,50.72149,-3.521412
EX1 1TE,50.72197,-3.518821
EX1 1TF,50.72221,-3.51863
EX1 1TG,50.72309,-3.518546
EX1 1TH,50.72286,-3.518694
EX1 1TJ,50.72379,-3.526927
EX1 1TL,50.72248,-3.51412
EX1 1TN,50.72386,-3.530018
EX1 1TP,50.72401,-3.524639
