PCDS,LAT,LONG
FK1 1AA,56.00199,-3.78477
FK1 1AD,56.00199,-3.78477
FK1 1AE,55.99865,-3.781986
FK1 1AF,55.99853,-3.783921
FK1 1AG,55.99792,-3.781503
FK1 1AT,56.00214,-3.786301
FK1 1AZ,55.9968,-3.785957
FK1 1BA,55.99772,-3.784348
FK1 1BB,55.99823,-3.785254
FK1 1BD,55.9983,-3.78468
FK1 1BE,55.99797,-3.787487
FK1 1BF,55.99728,-3.785771
FK1 1BG,55.99795,-3.786347
FK1 1BH,55.9968,-3.785957
FK1 1BJ,55.9977,-3.788982
FK1 1BL,55.99766,-3.7889
FK1 1BN,55.99737,-3.787395
FK1 1BP,55.99631,-3.810244
FK1 1BQ,55.99773,-3.786385
FK1 1BS,55.99791,-3.786746
FK1 1BT,55.99766,-3.7889
FK1 1BU,55.9963,-3.786511
FK1 1BW,55.998,-3.786751
FK1 1BZ,56.00199,-3.78477
FK1 1DD,55.99966,-3.785416
FK1 1DE,55.99963,-3.785543
FK1 1DF,55.99753,-3.779657
FK1 1DG,56.00024,-3.786902
FK1 1DH,56.00031,-3.78774
FK1 1DJ,55.9997,-3.787775
FK1 1DL,55.99823,-3.788926
FK1 1DN,55.99907,-3.787441
FK1 1DQ,56.00043,-3.786879
FK1 1DU,55.99866,-3.781906
FK1 1DW,56.00016,-3.78685
FK1 1DX,56.00199,-3.78477
FK1 1DY,55.9987,-3.781972
FK1 1DZ,55.99888,-3.783167
FK1 1EA,55.99879,-3.783628
FK1 1EB,55.99865,-3.785177
FK1 1ED,55.99906,-3.784378
FK1 1EE,55.9988,-3.783612
FK1 1EF,55.9997,-3.78715
FK1 1EG,55.9988,-3.783612
FK1 1EH,55.9997,-3.78715
FK1 1EJ,55.99933,-3.786074
FK1 1EL,55.9997,-3.78715
FK1 1EN,55.99974,-3.786799
FK1 1EP,55.9997,-3.78715
FK1 1EQ,55.999,-3.785787
FK1 1ER,56.0,-3.787853
FK1 1ES,55.99965,-3.786474
FK1 1ET,55.99919,-3.783262
FK1 1EU,55.99997,-3.786392
FK1 1EW,56.00199,-3.78477
FK1 1EX,56.00024,-3.787239
FK1 1EY,56.00023,-3.787399
FK1 1EZ,56.00024,-3.78772
FK1 1HA,55.99915,-3.78528
FK1 1HB,55.99915,-3.78528
FK1 1HG,55.99862,-3.786346
FK1 1HL,56.0048,-3.784804
FK1 1HN,56.00463,-3.784507
FK1 1HP,56.00463,-3.784203
FK1 1HQ,56.00455,-3.783878
FK1 1HR,56.00349,-3.78423
FK1 1HS,56.00272,-3.784355
FK1 1HT,56.00114,-3.78542
FK1 1HU,56.00247,-3.785017
FK1 1HW,56.00459,-3.784489
FK1 1HX,56.00092,-3.785763
FK1 1HY,56.00149,-3.784827
FK1 1HZ,56.00114,-3.78542
FK1 1JA,56.00139,-3.78479
FK1 1JB,56.00139,-3.784598
FK1 1JD,56.00135,-3.784661
FK1 1JE,56.0008,-3.786191
FK1 1JF,55.99753,-3.779657
FK1 1JG,56.0008,-3.785084
FK1 1JH,56.00027,-3.785124
FK1 1JJ,56.00043,-3.784811
FK1 1JL,56.00018,-3.784783
FK1 1JN,56.00004,-3.784888
FK1 1JP,56.00043,-3.785291
FK1 1JQ,56.00079,-3.785485
FK1 1JR,55.99985,-3.784848
FK1 1JS,56.0003,-3.78583
FK1 1JT,56.00081,-3.786672
FK1 1JW,55.9999,-3.785876
FK1 1JX,56.00073,-3.787486
FK1 1JY,56.00032,-3.787548
FK1 1JZ,56.00073,-3.787647
FK1 1LA,56.00485,-3.783924
FK1 1LB,56.00483,-3.782415
FK1 1LD,56.00288,-3.783512
FK1 1LE,56.00317,-3.783622
FK1 1LF,56.00129,-3.783823
FK1 1LG,56.00317,-3.783622
FK1 1LH,56.00245,-3.783588
FK1 1LJ,56.00129,-3.783823
FK1 1LL,56.00088,-3.784093
FK1 1LN,56.00199,-3.78477
FK1 1LP,56.00032,-3.784228
FK1 1LQ,56.00229,-3.783132
FK1 1LR,56.001,-3.784163
FK1 1LS,56.00049,-3.783578
FK1 1LT,56.00047,-3.783497
FK1 1LU,56.00073,-3.783493
FK1 1LW,56.00302,-3.780648
FK1 1LX,56.00047,-3.783497
FK1 1LY,56.00045,-3.78417
FK1 1LZ,55.99985,-3.784447
FK1 1NA,55.99995,-3.782671
FK1 1NB,56.00005,-3.78343
FK1 1ND,56.00016,-3.782649
FK1 1NE,56.00028,-3.782173
FK1 1NF,55.99976,-3.783144
FK1 1NG,55.99992,-3.782734
FK1 1NH,55.99985,-3.784206
FK1 1NJ,55.99949,-3.783789
FK1 1NL,55.99936,-3.783991
FK1 1NN,55.99753,-3.779657
FK1 1NP,55.99905,-3.78279
FK1 1NQ,55.99957,-3.784257
FK1 1NR,55.9991,-3.783065
FK1 1NS,55.99924,-3.781997
FK1 1NT,55.99954,-3.782299
FK1 1NU,55.99987,-3.783036
FK1 1NW,55.99941,-3.78425
FK1 1PF,55.99858,-3.784211
FK1 1PG,55.99879,-3.783933
FK1 1PH,55.9983,-3.783605
FK1 1PJ,55.99846,-3.783645
FK1 1PL,55.99865,-3.783125
FK1 1PN,55.99842,-3.782809
FK1 1PP,55.99837,-3.782326
FK1 1PQ,55.99843,-3.783756
FK1 1PR,55.99757,-3.780781
FK1 1PS,55.9982,-3.783296
FK1 1PT,55.99813,-3.783325
FK1 1PU,55.99768,-3.783079
FK1 1PW,55.99814,-3.78262
FK1 1PY,55.99724,-3.784407
FK1 1PZ,55.99545,-3.785061
FK1 1QA,55.99503,-3.783855
FK1 1QB,55.99566,-3.783933
FK1 1QD,55.99624,-3.783895
FK1 1QE,55.99591,-3.786125
FK1 1QF,55.99724,-3.782209
FK1 1QG,55.99656,-3.782659
FK1 1QH,55.99699,-3.782086
FK1 1QJ,55.99669,-3.78127
FK1 1QL,55.99596,-3.781317
FK1 1QN,55.99652,-3.780573
FK1 1QP,55.99412,-3.783557
FK1 1QQ,55.99575,-3.782333
FK1 1QR,55.99392,-3.782601
FK1 1QS,55.99352,-3.785036
FK1 1QT,55.99365,-3.783086
FK1 1QU,55.99554,-3.781794
FK1 1QW,55.99694,-3.78072
FK1 1QX,55.99696,-3.780609
FK1 1RA,56.00152,-3.781573
FK1 1RB,56.00134,-3.778566
FK1 1RD,56.00129,-3.783823
FK1 1RE,56.00111,-3.783013
FK1 1RF,56.00066,-3.781822
FK1 1RG,56.00003,-3.781777
FK1 1RH,56.00004,-3.781136
FK1 1RJ,55.99979,-3.779537
FK1 1RL,56.00056,-3.78047
FK1 1RN,56.00069,-3.778921
FK1 1RP,55.99909,-3.779537
FK1 1RQ,56.00005,-3.78072
FK1 1RR,56.00074,-3.774657
FK1 1RS,56.00086,-3.777149
FK1 1RT,56.00074,-3.777255
FK1 1RU,55.99937,-3.778956
FK1 1RW,56.00083,-3.782343
FK1 1RX,56.00062,-3.776528
FK1 1RY,56.00055,-3.7763
FK1 1RZ,56.00111,-3.782885
FK1 1SA,55.99829,-3.771867
FK1 1SB,55.99981,-3.778239
FK1 1SD,56.00045,-3.775911
FK1 1SE,55.99987,-3.772661
FK1 1SF,55.99874,-3.770509
FK1 1SG,55.99974,-3.772062
FK1 1SH,56.00031,-3.770917
FK1 1SJ,55.99969,-3.768178
FK1 1SL,55.99951,-3.770111
FK1 1SN,55.99897,-3.769236
FK1 1SP,55.99931,-3.769556
FK1 1SQ,55.99823,-3.772923
FK1 1SR,55.9981,-3.767464
FK1 1SS,55.99832,-3.766688
FK1 1ST,56.00199,-3.78477
FK1 1SU,55.99825,-3.771817
FK1 1SW,55.99937,-3.768292
FK1 1SX,55.99836,-3.769561
FK1 1SY,55.99786,-3.763589
FK1 1SZ,55.9987,-3.772287
FK1 1TA,55.99802,-3.769561
FK1 1TB,55.99799,-3.771051
FK1 1TE,55.99815,-3.770866
FK1 1TF,55.99568,-3.771346
FK1 1TG,55.99558,-3.771278
FK1 1TH,55.99641,-3.770883
FK1 1TJ,55.99643,-3.771878
FK1 1TL,55.99643,-3.771878
FK1 1TN,55.99646,-3.773001
FK1 1TP,55.99651,-3.774046
FK1 1TQ,55.99641,-3.770882
FK1 1TR,55.99651,-3.774046
FK1 1TS,55.99688,-3.77618
FK1 1TT,55.99688,-3.77618
FK1 1TU,55.99662,-3.77729
FK1 1TW,55.99646,-3.773001
FK1 1TX,55.99662,-3.77729
FK1 1TY,55.99461,-3.778753
FK1 1TZ,55.99461,-3.778753
FK1 1UA,55.99419,-3.780466
FK1 1UB,55.99419,-3.780466
FK1 1UD,55.99753,-3.779657
FK1 1UE,55.99722,-3.779595
FK1 1UF,55.99687,-3.779595
FK1 1UG,55.99794,-3.780751
FK1 1UH,56.00069,-3.777638
FK1 1UJ,55.9992,-3.782123
FK1 1UL,55.99533,-3.779748
FK1 1UP,56.00199,-3.78477
FK1 1UQ,55.99308,-3.785481
FK1 1UR,55.99907,-3.781187
FK1 1UT,55.99907,-3.781187
FK1 1UU,55.99961,-3.780731
FK1 1UX,55.99907,-3.781187
FK1 1UY,55.99907,-3.781187
FK1 1UZ,55.99876,-3.780227
FK1 1WA,56.00199,-3.78477
FK1 1WB,55.99753,-3.779657
FK1 1WD,56.00199,-3.78477
FK1 1WG,56.00199,-3.78477
FK1 1WH,55.99753,-3.779657
FK1 1WJ,56.00199,-3.78477
FK1 1WL,55.99753,-3.779657
FK1 1WN,56.00199,-3.78477
FK1 1WP,56.00199,-3.78477
FK1 1WQ,56.00199,-3.78477
FK1 1WU,56.00199,-3.78477
FK1 1XA,55.9989,-3.780378
FK1 1XB,55.9989,-3.780378
FK1 1XD,55.99901,-3.780287
FK1 1XE,55.99556,-3.761496
FK1 1XF,55.9989,-3.780378
FK1 1XG,55.99878,-3.780132
FK1 1XH,55.99856,-3.779239
FK1 1XJ,56.00199,-3.78477
FK1 1XL,56.0003,-3.779111
FK1 1XN,55.9986,-3.773453
FK1 1XP,56.00199,-3.78477
FK1 1XQ,55.99863,-3.780012
FK1 1XR,55.99554,-3.760212
FK1 1XS,55.99827,-3.779178
FK1 1XT,55.99361,-3.756565
FK1 1XU,55.99837,-3.779872
FK1 1XW,55.99753,-3.779657
FK1 1XX,55.99812,-3.777872
FK1 1XY,55.99837,-3.779872
FK1 1XZ,55.998,-3.780336
FK1 1YA,55.99802,-3.778814
FK1 1YB,55.99802,-3.778814
FK1 1YD,55.99826,-3.780348
FK1 1YE,55.99591,-3.778797
FK1 1YG,55.99683,-3.778711
FK1 1YJ,56.00199,-3.78477
FK1 1YL,55.99746,-3.778018
FK1 1YN,55.99443,-3.767249
FK1 1YP,56.00014,-3.787491
FK1 1YQ,55.99757,-3.77945
FK1 1YR,55.99443,-3.767249
FK1 1YS,56.00199,-3.78477
FK1 1YT,55.99321,-3.788581
FK1 1YU,55.99321,-3.788581
FK1 1YW,55.99529,-3.769308
FK1 1YX,55.99366,-3.787191
FK1 1YY,55.99366,-3.787191
FK1 1YZ,55.99802,-3.778814
FK1 1ZA,56.00199,-3.78477
FK1 1ZB,56.00199,-3.78477
FK1 1ZD,56.00199,-3.78477
FK1 1ZE,56.00199,-3.78477
FK1 1ZF,56.00199,-3.78477
FK1 1ZG,55.99753,-3.779657
FK1 1ZH,55.9992,-3.782123
FK1 1ZJ,56.00199,-3.78477
FK1 1ZQ,55.99753,-3.779657
FK1 2AA,55.98884,-3.787353
FK1 2AB,55.9679,-3.751249
FK1 2AD,55.9683,-3.751219
FK1 2AE,55.98824,-3.786107
FK1 2AF,55.98569,-3.78094
FK1 2AG,55.98577,-3.786891
FK1 2AH,55.98422,-3.786852
FK1 2AJ,55.98558,-3.784445
FK1 2AL,55.98561,-3.785906
FK1 2AP,55.98415,-3.782215
FK1 2AQ,55.98469,-3.785815
FK1 2AR,55.9848,-3.784297
FK1 2AS,55.98526,-3.78512
FK1 2AT,55.98709,-3.762649
FK1 2AU,55.96467,-3.753346
FK1 2AW,55.98387,-3.784607
FK1 2AY,55.9825,-3.784929
FK1 2AZ,55.98032,-3.777936
FK1 2BA,55.97795,-3.762666
FK1 2BB,55.96854,-3.755524
FK1 2BD,55.96918,-3.751451
FK1 2BE,55.98271,-3.784057
FK1 2BF,55.96534,-3.749323
FK1 2BG,55.9641,-3.752199
FK1 2BH,55.97427,-3.769806
FK1 2BJ,55.96908,-3.772293
FK1 2BL,55.97469,-3.756363
FK1 2BN,55.97076,-3.754087
FK1 2BP,55.96682,-3.751969
FK1 2BQ,55.9822,-3.784803
FK1 2BS,55.97513,-3.760069
FK1 2BT,55.96699,-3.748837
FK1 2BU,55.96622,-3.750116
FK1 2BW,55.96682,-3.754196
FK1 2BX,55.96574,-3.749757
FK1 2BY,55.97495,-3.757641
FK1 2BZ,55.97795,-3.762666
FK1 2DA,55.96596,-3.751754
FK1 2DB,55.96561,-3.752523
FK1 2DD,55.96553,-3.753113
FK1 2DE,55.96548,-3.751973
FK1 2DF,55.96815,-3.746662
FK1 2DG,55.96712,-3.742257
FK1 2DH,55.96032,-3.752733
FK1 2DJ,55.95565,-3.752393
FK1 2DL,55.96671,-3.753294
FK1 2DN,55.97491,-3.758521
FK1 2DP,55.97386,-3.770477
FK1 2DQ,55.9613,-3.763863
FK1 2DR,55.97404,-3.767712
FK1 2DS,55.97274,-3.7698
FK1 2DT,55.97141,-3.766775
FK1 2DU,55.97382,-3.767942
FK1 2DW,55.97422,-3.759756
FK1 2DX,55.97209,-3.768601
FK1 2DY,55.97229,-3.760517
FK1 2DZ,55.97268,-3.762202
FK1 2EA,55.97269,-3.766689
FK1 2EB,55.9736,-3.764471
