PCDS,LAT,LONG
FY0 1BR,53.75462,-3.008008
FY0 1YN,53.75485,-3.009121
FY0 1YS,53.75453,-3.007824
FY0 1YY,53.75462,-3.008008
FY0 1ZX,53.75462,-3.008008
FY0 1ZY,53.75462,-3.008008
FY0 1ZZ,53.75462,-3.008008
FY1 1AA,53.81879,-3.051654
FY1 1AB,53.81879,-3.051654
FY1 1AD,53.8187,-3.051848
FY1 1AE,53.81879,-3.051654
FY1 1AF,53.81834,-3.055622
FY1 1AG,53.81834,-3.055622
FY1 1AH,53.81879,-3.051654
FY1 1AJ,53.81834,-3.055622
FY1 1AN,53.82125,-3.054009
FY1 1AP,53.81733,-3.056387
FY1 1AQ,53.82096,-3.049338
FY1 1BA,53.81912,-3.050811
FY1 1BB,53.81879,-3.051669
FY1 1BD,53.81839,-3.049547
FY1 1BE,53.81839,-3.049547
FY1 1BG,53.81907,-3.050749
FY1 1BH,53.81873,-3.050513
FY1 1BJ,53.81905,-3.050688
FY1 1BL,53.81931,-3.05153
FY1 1BN,53.81942,-3.051897
FY1 1BP,53.81836,-3.050154
FY1 1BQ,53.81928,-3.051088
FY1 1BS,53.81839,-3.049547
FY1 1BW,53.81928,-3.051088
FY1 1BX,53.81813,-3.051485
FY1 1DA,53.81913,-3.052057
FY1 1DB,53.81998,-3.053385
FY1 1DD,53.81879,-3.051654
FY1 1DE,53.81846,-3.05128
FY1 1DF,53.81926,-3.052607
FY1 1DG,53.81833,-3.052265
FY1 1DH,53.81913,-3.052634
FY1 1DJ,53.81926,-3.052607
FY1 1DL,53.81827,-3.05123
FY1 1DN,53.81926,-3.052607
FY1 1DP,53.81928,-3.051088
FY1 1DR,53.81817,-3.051547
FY1 1DT,53.81926,-3.052607
FY1 1DU,53.81832,-3.053191
FY1 1DW,53.81859,-3.052742
FY1 1DX,53.81879,-3.051669
FY1 1DY,53.81835,-3.054103
FY1 1DZ,53.81835,-3.054103
FY1 1EA,53.8186,-3.05019
FY1 1EB,53.81837,-3.052585
FY1 1ED,53.81837,-3.052585
FY1 1EE,53.81837,-3.052585
FY1 1EF,53.81835,-3.054103
FY1 1EG,53.81799,-3.053031
FY1 1EH,53.81837,-3.052585
FY1 1EJ,53.81773,-3.053662
FY1 1EL,53.81879,-3.051669
FY1 1EN,53.81787,-3.053681
FY1 1EP,53.81773,-3.054407
FY1 1EQ,53.8187,-3.051848
FY1 1ER,53.81879,-3.051669
FY1 1ES,53.81835,-3.054103
FY1 1ET,53.81824,-3.05524
FY1 1EU,53.81744,-3.055599
FY1 1EW,53.81749,-3.054598
FY1 1EX,53.81763,-3.055118
FY1 1EY,53.81998,-3.053385
FY1 1EZ,53.81773,-3.055409
FY1 1GA,53.81879,-3.051654
FY1 1GB,53.8187,-3.051848
FY1 1GD,53.81879,-3.051654
FY1 1GE,53.81998,-3.0534
FY1 1GF,53.81998,-3.0534
FY1 1GG,53.81879,-3.051669
FY1 1GH,53.81879,-3.051654
FY1 1GJ,53.81744,-3.055599
FY1 1GL,53.81879,-3.051654
FY1 1GN,53.81998,-3.053385
FY1 1GP,53.81998,-3.053385
FY1 1GQ,53.81879,-3.051654
FY1 1GR,53.81998,-3.053385
FY1 1GS,53.81998,-3.053385
FY1 1GT,53.81879,-3.051669
FY1 1GU,53.81879,-3.051654
FY1 1GW,53.81879,-3.051654
FY1 1HA,53.81818,-3.055603
FY1 1HB,53.81788,-3.055565
FY1 1HD,53.81744,-3.055599
FY1 1HE,53.81796,-3.055673
FY1 1HF,53.81709,-3.055515
FY1 1HH,53.81754,-3.055404
FY1 1HJ,53.81712,-3.0543
FY1 1HL,53.81775,-3.050595
FY1 1HN,53.81748,-3.051043
FY1 1HP,53.81775,-3.05266
FY1 1HQ,53.8202,-3.052889
FY1 1HR,53.81746,-3.054081
FY1 1HS,53.81747,-3.052562
FY1 1HT,53.81724,-3.053331
FY1 1HU,53.81767,-3.051534
FY1 1HW,53.81713,-3.051171
FY1 1HX,53.81748,-3.051043
FY1 1HY,53.81749,-3.049525
FY1 1HZ,53.8177,-3.048953
FY1 1JA,53.81812,-3.049799
FY1 1JB,53.81808,-3.050117
FY1 1JD,53.81862,-3.053426
FY1 1JE,53.81835,-3.054103
FY1 1JF,53.81835,-3.054103
FY1 1JG,53.81835,-3.054103
FY1 1JH,53.81835,-3.054103
FY1 1JJ,53.81835,-3.054103
FY1 1JL,53.81861,-3.053244
FY1 1JN,53.81879,-3.051654
FY1 1JP,53.81897,-3.052873
FY1 1JQ,53.8186,-3.052727
FY1 1JS,53.819,-3.053497
FY1 1JU,53.81926,-3.052607
FY1 1JW,53.81859,-3.052499
FY1 1JX,53.81835,-3.054103
FY1 1JY,53.81858,-3.052848
FY1 1JZ,53.81926,-3.052607
FY1 1LA,53.81925,-3.054126
FY1 1LB,53.81963,-3.05374
FY1 1LD,53.81834,-3.055622
FY1 1LE,53.81921,-3.054717
FY1 1LF,53.81936,-3.05302
FY1 1LG,53.81925,-3.054126
FY1 1LH,53.81926,-3.052607
