PCDS,LAT,LONG
G1 1AB,55.86074,-4.244423
G1 1AD,55.85902,-4.251706
G1 1AE,55.86269,-4.246645
G1 1BA,55.86088,-4.241459
G1 1BL,55.85831,-4.243132
G1 1BN,55.85835,-4.242783
G1 1BP,55.85834,-4.24291
G1 1BQ,55.8591,-4.24917
G1 1BX,55.8615,-4.246688
G1 1BZ,55.86079,-4.247207
G1 1DA,55.85976,-4.250934
G1 1DB,55.86028,-4.249062
G1 1DD,55.86079,-4.247207
G1 1DE,55.86863,-4.241889
G1 1DF,55.86863,-4.241889
G1 1DG,55.86005,-4.249785
G1 1DH,55.86863,-4.241889
G1 1DJ,55.85944,-4.246249
G1 1DL,55.85974,-4.250022
G1 1DN,55.85994,-4.248403
G1 1DP,55.85896,-4.245694
G1 1DQ,55.85984,-4.250379
G1 1DR,55.86019,-4.251231
G1 1DS,55.85882,-4.250928
G1 1DT,55.85934,-4.250574
G1 1DU,55.8594,-4.249331
G1 1DW,55.85957,-4.247328
G1 1DX,55.85939,-4.245608
G1 1DY,55.86863,-4.241889
G1 1DZ,55.85955,-4.249691
G1 1EA,55.85814,-4.25156
G1 1EB,55.8592,-4.251237
G1 1ED,55.858,-4.251599
G1 1EG,55.85994,-4.248755
G1 1EH,55.86863,-4.241889
G1 1EJ,55.85972,-4.246521
G1 1EN,55.858,-4.251599
G1 1EP,55.85899,-4.251257
G1 1EQ,55.85909,-4.251262
G1 1ER,55.85743,-4.248131
G1 1ES,55.85955,-4.245217
G1 1ET,55.85995,-4.245432
G1 1EU,55.858,-4.251599
G1 1EW,55.85979,-4.247148
G1 1EX,55.85949,-4.243616
G1 1EY,55.85801,-4.246087
G1 1EZ,55.85935,-4.242569
G1 1GA,55.86042,-4.250253
G1 1GW,55.86079,-4.247207
G1 1GX,55.86013,-4.246481
G1 1GY,55.86013,-4.246481
G1 1GZ,55.86013,-4.246481
G1 1HA,55.85903,-4.242311
G1 1HB,55.85896,-4.245694
G1 1HD,55.85887,-4.248453
G1 1HE,55.85917,-4.243166
G1 1HF,55.85873,-4.24338
G1 1HG,55.859,-4.242325
G1 1HH,55.85914,-4.243116
G1 1HJ,55.86026,-4.248965
G1 1HL,55.86037,-4.248396
G1 1HN,55.86032,-4.247658
G1 1HP,55.86016,-4.248081
G1 1HQ,55.86863,-4.241889
G1 1HR,55.86029,-4.249095
G1 1HS,55.86863,-4.241889
G1 1HT,55.86029,-4.249095
G1 1HU,55.85896,-4.245694
G1 1HW,55.86029,-4.249095
G1 1HX,55.859,-4.242325
G1 1HY,55.86007,-4.246366
G1 1HZ,55.859,-4.242325
G1 1JA,55.86088,-4.247883
G1 1JB,55.86032,-4.247658
G1 1JD,55.86863,-4.241889
G1 1JE,55.86874,-4.243478
G1 1JF,55.8617,-4.247498
G1 1JG,55.86019,-4.249536
G1 1JH,55.86224,-4.246667
G1 1JJ,55.86195,-4.247433
G1 1JL,55.86081,-4.247319
G1 1JN,55.86195,-4.247657
G1 1JP,55.86193,-4.24748
G1 1JQ,55.86002,-4.24753
G1 1JR,55.86169,-4.246459
G1 1JT,55.86079,-4.247207
G1 1JW,55.86013,-4.248287
G1 1JZ,55.85741,-4.244614
G1 1LA,55.8576,-4.246191
G1 1LB,55.85801,-4.246087
G1 1LD,55.85759,-4.245807
G1 1LE,55.85857,-4.245384
