PCDS,LAT,LONG
GL1 1AA,51.86323,-2.214583
GL1 1AB,51.86309,-2.214873
GL1 1AD,51.86514,-2.243696
GL1 1AE,51.8601,-2.248344
GL1 1AF,51.8619,-2.242095
GL1 1AG,51.86425,-2.245927
GL1 1AH,51.86083,-2.224896
GL1 1AJ,51.86161,-2.221328
GL1 1AL,51.72015,-2.205508
GL1 1AN,51.85874,-2.250123
GL1 1AP,51.86363,-2.238823
GL1 1AQ,51.86264,-2.241112
GL1 1AR,51.86474,-2.241283
GL1 1AS,51.86652,-2.241902
GL1 1AU,51.86588,-2.240882
GL1 1AZ,51.72015,-2.205508
GL1 1BA,51.83524,-2.272982
GL1 1BD,51.86575,-2.238122
GL1 1BE,51.84535,-2.266685
GL1 1BH,51.86318,-2.215599
GL1 1BL,51.86318,-2.215599
GL1 1BP,51.86318,-2.215599
GL1 1BS,51.86371,-2.214237
GL1 1BU,51.86371,-2.214237
GL1 1BX,51.86371,-2.214237
GL1 1BZ,51.86576,-2.2394
GL1 1DA,51.86398,-2.237053
GL1 1DB,51.86305,-2.238108
GL1 1DD,51.86526,-2.244132
GL1 1DE,51.86546,-2.238644
GL1 1DF,51.86533,-2.2404
GL1 1DG,51.8662,-2.239896
GL1 1DH,51.8649,-2.241473
GL1 1DJ,51.86484,-2.241022
GL1 1DL,51.86222,-2.248676
GL1 1DN,51.86484,-2.241022
GL1 1DP,51.86482,-2.241792
GL1 1DQ,51.86473,-2.239598
GL1 1DR,51.86484,-2.242474
GL1 1DS,51.86295,-2.236365
GL1 1DT,51.86289,-2.238906
GL1 1DU,51.86479,-2.241777
GL1 1DW,51.86462,-2.241079
GL1 1DX,51.86412,-2.24279
GL1 1DY,51.86484,-2.242474
GL1 1DZ,51.86431,-2.242544
GL1 1EA,51.86501,-2.242025
GL1 1ED,51.86484,-2.242474
GL1 1EE,51.86484,-2.242474
GL1 1EF,51.86484,-2.242474
GL1 1EG,51.86484,-2.242474
GL1 1EH,51.86484,-2.241022
GL1 1EJ,51.86393,-2.243922
GL1 1EL,51.86394,-2.242469
GL1 1EN,51.86404,-2.239943
GL1 1EP,51.8629,-2.237991
GL1 1EQ,51.86444,-2.240671
GL1 1ER,51.86665,-2.238127
GL1 1ES,51.86664,-2.239579
GL1 1EW,51.86344,-2.238212
GL1 1EX,51.86323,-2.214583
GL1 1EY,51.86251,-2.239122
GL1 1EZ,51.86568,-2.240431
GL1 1GA,51.86258,-2.246223
GL1 1GB,51.86263,-2.246979
GL1 1GD,51.86333,-2.247346
GL1 1GE,51.86322,-2.246096
GL1 1GF,51.86287,-2.246486
GL1 1GG,51.86259,-2.244205
GL1 1GH,51.86275,-2.243857
GL1 1HA,51.86484,-2.242474
GL1 1HB,51.86484,-2.242474
GL1 1HD,51.86476,-2.24259
GL1 1HE,51.86471,-2.241283
GL1 1HF,51.86394,-2.241017
GL1 1HG,51.8629,-2.244686
GL1 1HH,51.86186,-2.247599
GL1 1HJ,51.86394,-2.242469
GL1 1HL,51.86394,-2.242469
GL1 1HN,51.86338,-2.244078
GL1 1HP,51.86227,-2.245989
GL1 1HQ,51.86303,-2.243917
GL1 1HR,51.86462,-2.241079
GL1 1HS,51.86213,-2.245364
GL1 1HT,51.86305,-2.245064
GL1 1HU,51.86285,-2.244076
GL1 1HW,51.86393,-2.243922
GL1 1HX,51.86173,-2.244621
GL1 1HY,51.86245,-2.247079
GL1 1HZ,51.86132,-2.244198
GL1 1JA,51.86165,-2.247307
GL1 1JB,51.86261,-2.244597
GL1 1JE,51.86163,-2.246
GL1 1JF,51.86394,-2.242469
GL1 1JG,51.86394,-2.242469
GL1 1JH,51.86394,-2.242469
GL1 1JJ,51.86146,-2.246638
GL1 1JL,51.86303,-2.245369
GL1 1JN,51.86146,-2.246638
GL1 1JQ,51.86148,-2.246087
GL1 1JR,51.86019,-2.247633
GL1 1JS,51.86094,-2.246403
GL1 1JU,51.86394,-2.242469
GL1 1JW,51.86162,-2.246523
GL1 1JZ,51.86013,-2.247139
GL1 1LA,51.8654,-2.242013
GL1 1LB,51.85971,-2.245496
GL1 1LD,51.85999,-2.245803
GL1 1LE,51.86034,-2.245354
GL1 1LF,51.86052,-2.245834
GL1 1LG,51.86076,-2.240681
GL1 1LH,51.86113,-2.245112
GL1 1LJ,51.86124,-2.243907
GL1 1LL,51.86108,-2.244574
GL1 1LN,51.86104,-2.243659
GL1 1LP,51.86093,-2.243237
GL1 1LQ,51.86113,-2.246041
GL1 1LR,51.86069,-2.242379
GL1 1LS,51.8605,-2.241551
GL1 1LT,51.86063,-2.245458
GL1 1LU,51.86116,-2.246245
GL1 1LW,51.86087,-2.245285
GL1 1LX,51.86123,-2.245359
GL1 1LY,51.86043,-2.244687
GL1 1LZ,51.86087,-2.245285
GL1 1NA,51.86429,-2.240859
GL1 1NB,51.86446,-2.241339
GL1 1ND,51.86394,-2.242469
GL1 1NE,51.86397,-2.240858
GL1 1NF,51.86829,-2.235609
GL1 1NG,51.86484,-2.241022
GL1 1NH,51.86497,-2.244624
GL1 1NJ,51.86394,-2.242469
GL1 1NL,51.8637,-2.240972
