PCDS,LAT,LONG
GU1 1AA,51.24528,-0.582312
GU1 1AB,51.26182,-0.56694
GU1 1AD,51.25716,-0.567515
GU1 1AE,51.26403,-0.564406
GU1 1AF,51.26402,-0.567086
GU1 1AG,51.24881,-0.578965
GU1 1AJ,51.24884,-0.578735
GU1 1AL,51.26205,-0.572465
GU1 1AN,51.26205,-0.572465
GU1 1AQ,51.24945,-0.571423
GU1 1AR,51.26042,-0.570137
GU1 1AS,51.2477,-0.575775
GU1 1AT,51.24843,-0.572987
GU1 1AU,51.26026,-0.569855
GU1 1AZ,51.2477,-0.575775
GU1 1BA,51.24586,-0.583168
GU1 1BB,51.24667,-0.582441
GU1 1BD,51.24701,-0.582416
GU1 1BE,51.2469,-0.584397
GU1 1BF,51.24529,-0.582297
GU1 1BG,51.24668,-0.583387
GU1 1BH,51.24419,-0.583047
GU1 1BJ,51.24408,-0.583165
GU1 1BL,51.24473,-0.582974
GU1 1BN,51.2446,-0.582849
GU1 1BP,51.24775,-0.580072
GU1 1BQ,51.24601,-0.584424
GU1 1BS,51.24529,-0.582297
GU1 1BT,51.24783,-0.57666
GU1 1BU,51.24926,-0.580241
GU1 1BW,51.24343,-0.571838
GU1 1BX,51.24775,-0.580072
GU1 1BY,51.24887,-0.577186
GU1 1BZ,51.24846,-0.575709
GU1 1DA,51.24728,-0.580904
GU1 1DB,51.24844,-0.575136
GU1 1DD,51.24772,-0.577208
GU1 1DE,51.24529,-0.582297
GU1 1DF,51.24856,-0.572883
GU1 1DG,51.24856,-0.572883
GU1 1DH,51.24528,-0.582312
GU1 1DJ,51.26217,-0.57692
GU1 1DL,51.24793,-0.576184
GU1 1DN,51.24704,-0.574334
GU1 1DP,51.24731,-0.579656
GU1 1DQ,51.26051,-0.559643
GU1 1DR,51.25799,-0.577693
GU1 1DS,51.2477,-0.575775
GU1 1DT,51.2475,-0.579034
GU1 1DU,51.2472,-0.578155
GU1 1DW,51.24733,-0.57434
GU1 1DX,51.24667,-0.5781
GU1 1DY,51.24529,-0.576824
GU1 1DZ,51.24513,-0.576342
GU1 1EA,51.24518,-0.579263
GU1 1EB,51.24509,-0.578478
GU1 1ED,51.24457,-0.57656
GU1 1EE,51.24832,-0.582992
GU1 1EF,51.24624,-0.579345
GU1 1EG,51.2467,-0.579116
GU1 1EH,51.2457,-0.57962
GU1 1EJ,51.2447,-0.577573
GU1 1EL,51.24704,-0.580381
GU1 1EN,51.24664,-0.575622
GU1 1EP,51.24306,-0.569486
GU1 1EQ,51.24724,-0.580203
GU1 1ER,51.24157,-0.566108
GU1 1ES,51.24278,-0.565039
GU1 1ET,51.24414,-0.571988
GU1 1EU,51.24317,-0.57305
GU1 1EW,51.24719,-0.57602
GU1 1EX,51.25558,-0.545709
GU1 1EY,51.24579,-0.572052
GU1 1EZ,51.24607,-0.569851
GU1 1FA,51.24125,-0.562608
GU1 1FB,51.25923,-0.567723
GU1 1FD,51.25146,-0.576849
GU1 1FE,51.25878,-0.564799
GU1 1FF,51.2491,-0.552992
GU1 1FG,51.24942,-0.552194
