PCDS,LAT,LONG
GY1 1AA,100.0,0.0
GY1 1AB,100.0,0.0
GY1 1AD,100.0,0.0
GY1 1AE,100.0,0.0
GY1 1AF,100.0,0.0
GY1 1AG,100.0,0.0
GY1 1AH,100.0,0.0
GY1 1AJ,100.0,0.0
GY1 1AL,100.0,0.0
GY1 1AN,100.0,0.0
GY1 1AP,100.0,0.0
GY1 1AQ,100.0,0.0
GY1 1AR,100.0,0.0
GY1 1AT,100.0,0.0
GY1 1AU,100.0,0.0
GY1 1AW,100.0,0.0
GY1 1AX,100.0,0.0
GY1 1AY,100.0,0.0
GY1 1AZ,100.0,0.0
GY1 1BA,100.0,0.0
GY1 1BB,100.0,0.0
GY1 1BD,100.0,0.0
GY1 1BE,100.0,0.0
GY1 1BF,100.0,0.0
GY1 1BG,100.0,0.0
GY1 1BH,100.0,0.0
GY1 1BJ,100.0,0.0
GY1 1BP,100.0,0.0
GY1 1BQ,100.0,0.0
GY1 1BR,100.0,0.0
GY1 1BS,100.0,0.0
GY1 1BT,100.0,0.0
GY1 1BU,100.0,0.0
GY1 1BX,100.0,0.0
GY1 1BY,100.0,0.0
GY1 1BZ,100.0,0.0
GY1 1DA,100.0,0.0
GY1 1DB,100.0,0.0
GY1 1DD,100.0,0.0
GY1 1DE,100.0,0.0
GY1 1DF,100.0,0.0
GY1 1DG,100.0,0.0
GY1 1DH,100.0,0.0
GY1 1DJ,100.0,0.0
GY1 1DL,100.0,0.0
GY1 1DQ,100.0,0.0
GY1 1DR,100.0,0.0
GY1 1DU,100.0,0.0
GY1 1DX,100,0
GY1 1DY,100,0
GY1 1DZ,100,0
GY1 1EA,100,0
GY1 1EB,100,0
GY1 1ED,100,0
GY1 1EE,100,0
GY1 1EF,100,0
GY1 1EG,100,0
GY1 1EH,100,0
GY1 1EJ,100,0
GY1 1EL,100,0
GY1 1EN,100,0
GY1 1EP,100,0
GY1 1EQ,100,0
GY1 1ER,100,0
GY1 1ES,100,0
GY1 1ET,100,0
GY1 1EU,100,0
GY1 1EW,100,0
GY1 1EX,100,0
GY1 1EY,100,0
GY1 1EZ,100,0
GY1 1FB,100,0
GY1 1FD,100,0
GY1 1FE,100,0
GY1 1FF,100,0
GY1 1FG,100,0
GY1 1FH,100,0
GY1 1FJ,100,0
GY1 1FL,100,0
GY1 1FN,100,0
GY1 1FP,100,0
GY1 1FQ,100,0
GY1 1FR,100,0
GY1 1FS,100,0
GY1 1FT,100,0
GY1 1FW,100,0
GY1 1FX,100,0
GY1 1FY,100,0
GY1 1FZ,100,0
GY1 1GA,100,0
GY1 1GB,100,0
GY1 1GD,100,0
GY1 1GE,100,0
GY1 1GF,100,0
GY1 1GG,100,0
GY1 1GH,100,0
GY1 1GL,100,0
GY1 1GP,100,0
GY1 1GQ,100,0
GY1 1GR,100,0
GY1 1GS,100,0
GY1 1GX,100,0
GY1 1GZ,100,0
GY1 1HB,100,0
GY1 1HD,100,0
GY1 1HE,100,0
GY1 1HF,100,0
GY1 1HG,100,0
GY1 1HH,100,0
GY1 1HJ,100,0
GY1 1HL,100,0
GY1 1HN,100,0
GY1 1HP,100,0
GY1 1HQ,100,0
GY1 1HR,100,0
GY1 1HS,100,0
GY1 1HT,100,0
GY1 1HU,100,0
GY1 1HW,100,0
GY1 1HX,100,0
GY1 1HY,100,0
GY1 1HZ,100,0
GY1 1JA,100,0
GY1 1JB,100,0
GY1 1JD,100,0
GY1 1JE,100,0
GY1 1JF,100,0
GY1 1JG,100,0
GY1 1JH,100,0
GY1 1JJ,100,0
GY1 1JL,100,0
GY1 1JP,100,0
GY1 1JQ,100,0
GY1 1JR,100,0
GY1 1JS,100,0
GY1 1JT,100,0
GY1 1JU,100,0
GY1 1JX,100,0
GY1 1JZ,100,0
GY1 1LA,100,0
GY1 1LB,100,0
GY1 1LD,100,0
GY1 1LE,100,0
GY1 1LF,100,0
GY1 1LG,100,0
GY1 1LH,100,0
GY1 1LJ,100,0
GY1 1LL,100,0
GY1 1LN,100,0
GY1 1LP,100,0
GY1 1LQ,100,0
GY1 1LR,100,0
GY1 1LS,100,0
GY1 1LT,100,0
GY1 1LU,100,0
GY1 1LW,100,0
GY1 1LX,100,0
GY1 1LY,100,0
GY1 1LZ,100,0
GY1 1NA,100,0
GY1 1NB,100,0
GY1 1ND,100,0
GY1 1NE,100,0
GY1 1NF,100,0
GY1 1NG,100,0
GY1 1NH,100,0
GY1 1NJ,100,0
GY1 1NL,100,0
GY1 1NN,100,0
GY1 1NQ,100,0
GY1 1NR,100,0
GY1 1NS,100,0
GY1 1NT,100,0
GY1 1NU,100,0
GY1 1NW,100,0
GY1 1NX,100,0
GY1 1NY,100,0
GY1 1NZ,100,0
GY1 1PA,100,0
GY1 1PB,100,0
GY1 1PD,100,0
GY1 1PE,100,0
GY1 1PF,100,0
GY1 1PG,100,0
GY1 1PH,100,0
GY1 1PJ,100,0
GY1 1PL,100,0
GY1 1PN,100,0
GY1 1PQ,100,0
GY1 1PS,100,0
GY1 1PT,100,0
GY1 1PU,100,0
GY1 1PX,100,0
GY1 1PY,100,0
GY1 1PZ,100,0
GY1 1QA,100,0
GY1 1QB,100,0
GY1 1QD,100,0
GY1 1QE,100,0
GY1 1QF,100,0
GY1 1QG,100,0
GY1 1QH,100,0
GY1 1QJ,100,0
GY1 1QL,100,0
GY1 1QN,100,0
GY1 1QP,100,0
GY1 1QQ,100,0
GY1 1QR,100,0
GY1 1QS,100,0
GY1 1QT,100,0
GY1 1QU,100,0
GY1 1QW,100,0
GY1 1RB,100,0
GY1 1RD,100,0
GY1 1RE,100,0
GY1 1RF,100,0
GY1 1RG,100,0
GY1 1RH,100,0
GY1 1RJ,100,0
GY1 1RL,100,0
GY1 1RN,100,0
GY1 1RP,100,0
GY1 1RQ,100,0
GY1 1RR,100,0
GY1 1RS,100,0
GY1 1RT,100,0
GY1 1RU,100,0
GY1 1RW,100,0
GY1 1RX,100,0
GY1 1RY,100,0
GY1 1RZ,100,0
GY1 1SA,100,0
GY1 1SB,100,0
GY1 1SD,100,0
GY1 1SE,100,0
GY1 1SF,100,0
GY1 1SL,100,0
GY1 1SN,100,0
GY1 1SP,100,0
GY1 1SR,100,0
GY1 1SS,100,0
GY1 1ST,100,0
GY1 1SU,100,0
GY1 1SW,100,0
GY1 1SX,100,0
GY1 1SY,100,0
GY1 1SZ,100,0
GY1 1TA,100,0
GY1 1TB,100,0
GY1 1TD,100,0
GY1 1TE,100,0
GY1 1TF,100,0
GY1 1TG,100,0
GY1 1TH,100,0
GY1 1TJ,100,0
GY1 1TL,100,0
GY1 1TN,100,0
GY1 1TP,100,0
GY1 1TQ,100,0
GY1 1TR,100,0
GY1 1TS,100,0
GY1 1TT,100,0
GY1 1TU,100,0
GY1 1TW,100,0
GY1 1TX,100,0
GY1 1TY,100,0
GY1 1TZ,100,0
GY1 1UF,100,0
GY1 1UG,100,0
GY1 1UH,100,0
GY1 1UJ,100,0
GY1 1UL,100,0
GY1 1UN,100,0
GY1 1UP,100,0
GY1 1UQ,100,0
GY1 1UR,100,0
GY1 1US,100,0
GY1 1UT,100,0
GY1 1UU,100,0
GY1 1UW,100,0
GY1 1UX,100,0
GY1 1UY,100,0
GY1 1UZ,100,0
GY1 1WA,100,0
GY1 1WB,100,0
GY1 1WD,100,0
GY1 1WE,100,0
GY1 1WF,100,0
GY1 1WG,100,0
GY1 1WH,100,0
GY1 1WJ,100,0
GY1 1WL,100,0
GY1 1WN,100,0
GY1 1WP,100,0
GY1 1WQ,100,0
GY1 1WR,100,0
GY1 1WS,100,0
GY1 1WT,100,0
GY1 1WU,100,0
GY1 1WW,100,0
GY1 1WX,100,0
GY1 1WY,100,0
GY1 1WZ,100,0
GY1 1XA,100,0
GY1 1XB,100,0
GY1 1XD,100,0
GY1 1XE,100,0
GY1 1XF,100,0
GY1 1XG,100,0
GY1 1XH,100,0
GY1 1XJ,100,0
GY1 1XL,100,0
GY1 1XN,100,0
GY1 1XP,100,0
GY1 1XQ,100,0
GY1 1XR,100,0
GY1 1XS,100,0
GY1 1XT,100,0
GY1 1XU,100,0
GY1 1XW,100,0
GY1 1XX,100,0
GY1 1XY,100,0
GY1 1XZ,100,0
GY1 1YA,100,0
GY1 1YG,100,0
GY1 1YJ,100,0
GY1 1YL,100,0
GY1 1YN,100,0
GY1 1YP,100,0
GY1 1YQ,100,0
GY1 1YR,100,0
GY1 1YS,100,0
GY1 1YT,100,0
GY1 1YU,100,0
GY1 1YW,100,0
GY1 1YX,100,0
GY1 1YY,100,0
GY1 1YZ,100,0
GY1 1ZA,100,0
GY1 1ZB,100,0
GY1 1ZD,100,0
GY1 1ZE,100,0
GY1 1ZF,100,0
GY1 1ZG,100,0
GY1 1ZH,100,0
GY1 1ZL,100,0
GY1 1ZN,100,0
GY1 1ZP,100,0
GY1 1ZQ,100,0
GY1 1ZR,100,0
GY1 1ZS,100,0
GY1 1ZT,100,0
GY1 1ZU,100,0
GY1 1ZW,100,0
GY1 1ZX,100,0
GY1 1ZZ,100,0
GY1 2AA,100,0
GY1 2AB,100,0
GY1 2AD,100,0
GY1 2AE,100,0
GY1 2AF,100,0
GY1 2AG,100,0
GY1 2AH,100,0
GY1 2AJ,100,0
GY1 2AL,100,0
GY1 2AN,100,0
GY1 2AP,100,0
GY1 2AQ,100,0
GY1 2AR,100,0
GY1 2AS,100,0
GY1 2AT,100,0
GY1 2AU,100,0
GY1 2AW,100,0
GY1 2AX,100,0
GY1 2AY,100,0
GY1 2AZ,100,0
GY1 2BA,100,0
GY1 2BB,100,0
GY1 2BD,100,0
GY1 2BE,100,0
GY1 2BF,100,0
GY1 2BG,100,0
GY1 2BH,100,0
GY1 2BJ,100,0
GY1 2BL,100,0
GY1 2BN,100,0
GY1 2BP,100,0
GY1 2BQ,100,0
GY1 2BR,100,0
GY1 2BS,100,0
GY1 2BT,100,0
GY1 2BU,100,0
GY1 2BW,100,0
GY1 2BX,100,0
GY1 2BY,100,0
GY1 2BZ,100,0
GY1 2DA,100,0
GY1 2DB,100,0
GY1 2DD,100,0
GY1 2DE,100,0
GY1 2DF,100,0
GY1 2DG,100,0
GY1 2DH,100,0
GY1 2DJ,100,0
GY1 2DL,100,0
GY1 2DN,100,0
GY1 2DP,100,0
GY1 2DQ,100,0
GY1 2DR,100,0
GY1 2DS,100,0
GY1 2DT,100,0
GY1 2DU,100,0
GY1 2DW,100,0
GY1 2DX,100,0
GY1 2DY,100,0
GY1 2DZ,100,0
GY1 2EA,100,0
GY1 2EB,100,0
GY1 2ED,100,0
GY1 2EE,100,0
GY1 2EF,100,0
GY1 2EG,100,0
GY1 2EH,100,0
GY1 2EJ,100,0
GY1 2EL,100,0
GY1 2EN,100,0
GY1 2EP,100,0
GY1 2EQ,100,0
GY1 2ER,100,0
GY1 2ES,100,0
GY1 2ET,100,0
GY1 2EU,100,0
GY1 2EW,100,0
GY1 2EX,100,0
GY1 2EY,100,0
GY1 2EZ,100,0
GY1 2GA,100,0
GY1 2GB,100,0
GY1 2HA,100,0
GY1 2HB,100,0
GY1 2HD,100,0
GY1 2HE,100,0
GY1 2HF,100,0
GY1 2HG,100,0
GY1 2HH,100,0
GY1 2HJ,100,0
GY1 2HL,100,0
GY1 2HN,100,0
GY1 2HP,100,0
GY1 2HQ,100,0
GY1 2HR,100,0
GY1 2HS,100,0
GY1 2HT,100,0
GY1 2HU,100,0
GY1 2HX,100,0
GY1 2HY,100,0
GY1 2HZ,100,0
GY1 2JA,100,0
GY1 2JB,100,0
GY1 2JD,100,0
GY1 2JE,100,0
GY1 2JF,100,0
GY1 2JG,100,0
GY1 2JH,100,0
GY1 2JJ,100,0
GY1 2JL,100,0
GY1 2JN,100,0
GY1 2JP,100,0
GY1 2JQ,100,0
GY1 2JR,100,0
GY1 2JS,100,0
GY1 2JT,100,0
GY1 2JU,100,0
GY1 2JW,100,0
GY1 2JX,100,0
GY1 2JY,100,0
GY1 2JZ,100,0
GY1 2LB,100,0
GY1 2LD,100,0
GY1 2LE,100,0
GY1 2LF,100,0
GY1 2LG,100,0
GY1 2LH,100,0
GY1 2LJ,100,0
GY1 2LL,100,0
GY1 2LN,100,0
GY1 2LP,100,0
GY1 2LQ,100,0
GY1 2LR,100,0
GY1 2LS,100,0
GY1 2LT,100,0
GY1 2LU,100,0
GY1 2LW,100,0
GY1 2LX,100,0
GY1 2LY,100,0
GY1 2LZ,100,0
GY1 2NA,100,0
GY1 2NB,100,0
GY1 2ND,100,0
GY1 2NE,100,0
GY1 2NF,100,0
GY1 2NG,100,0
GY1 2NH,100,0
GY1 2NJ,100,0
GY1 2NL,100,0
GY1 2NN,100,0
GY1 2NP,100,0
GY1 2NQ,100,0
GY1 2NR,100,0
GY1 2NS,100,0
GY1 2NT,100,0
GY1 2NU,100,0
GY1 2NW,100,0
GY1 2NY,100,0
GY1 2NZ,100,0
GY1 2PA,100,0
GY1 2PB,100,0
GY1 2PD,100,0
GY1 2PE,100,0
GY1 2PF,100,0
GY1 2PG,100,0
GY1 2PH,100,0
GY1 2PJ,100,0
GY1 2PL,100,0
GY1 2PN,100,0
GY1 2PP,100,0
GY1 2PQ,100,0
GY1 2PR,100,0
GY1 2PS,100,0
GY1 2PT,100,0
GY1 2PU,100,0
GY1 2PW,100,0
GY1 2PX,100,0
GY1 2PY,100,0
GY1 2PZ,100,0
GY1 2QA,100,0
GY1 2QB,100,0
GY1 2QD,100,0
GY1 2QE,100,0
GY1 2QF,100,0
GY1 2QG,100,0
GY1 2QH,100,0
GY1 2QJ,100,0
GY1 2QL,100,0
GY1 2QN,100,0
GY1 2QP,100,0
GY1 2QQ,100,0
GY1 2RA,100,0
GY1 2RB,100,0
GY1 2RD,100,0
GY1 2RE,100,0
GY1 2RF,100,0
GY1 2RG,100,0
GY1 2RH,100,0
GY1 2RJ,100,0
GY1 2RL,100,0
GY1 2RN,100,0
GY1 2RP,100,0
GY1 2RQ,100,0
GY1 2RR,100,0
GY1 2RS,100,0
GY1 2RT,100,0
GY1 2RU,100,0
GY1 2RW,100,0
GY1 2RX,100,0
GY1 2RY,100,0
GY1 2RZ,100,0
GY1 2SA,100,0
GY1 2SB,100,0
GY1 2SD,100,0
GY1 2SE,100,0
GY1 2SF,100,0
GY1 2SG,100,0
GY1 2SH,100,0
GY1 2SJ,100,0
GY1 2SL,100,0
GY1 2SN,100,0
GY1 2SP,100,0
GY1 2SR,100,0
GY1 2SS,100,0
GY1 2ST,100,0
GY1 2SU,100,0
GY1 2SW,100,0
GY1 2SX,100,0
GY1 2SY,100,0
GY1 2SZ,100,0
GY1 2TA,100,0
GY1 2TB,100,0
GY1 2TD,100,0
GY1 2TE,100,0
GY1 2TF,100,0
GY1 2TG,100,0
GY1 2TH,100,0
GY1 2TJ,100,0
GY1 2TP,100,0
GY1 2TQ,100,0
GY1 2TS,100,0
GY1 2TT,100,0
GY1 2TU,100,0
GY1 2TW,100,0
GY1 2TX,100,0
GY1 2TY,100,0
GY1 2UA,100,0
GY1 2UB,100,0
GY1 2UD,100,0
GY1 2UE,100,0
GY1 2UF,100,0
GY1 2UG,100,0
GY1 2UL,100,0
GY1 2UN,100,0
GY1 2UP,100,0
GY1 2UQ,100,0
GY1 2UR,100,0
GY1 2UW,100,0
GY1 3AA,100,0
GY1 3AB,100,0
GY1 3AD,100,0
GY1 3AE,100,0
GY1 3AF,100,0
GY1 3AG,100,0
GY1 3AH,100,0
GY1 3AJ,100,0
GY1 3AL,100,0
GY1 3AN,100,0
GY1 3AP,100,0
GY1 3AQ,100,0
GY1 3AR,100,0
GY1 3AS,100,0
GY1 3AT,100,0
GY1 3AU,100,0
GY1 3AW,100,0
GY1 3AX,100,0
GY1 3AY,100,0
GY1 3AZ,100,0
GY1 3BA,100,0
GY1 3BB,100,0
GY1 3BD,100,0
GY1 3BE,100,0
GY1 3BF,100,0
GY1 3BG,100,0
GY1 3BH,100,0
GY1 3BJ,100,0
GY1 3BL,100,0
GY1 3BN,100,0
GY1 3BP,100,0
GY1 3BQ,100,0
GY1 3BR,100,0
GY1 3BS,100,0
GY1 3BT,100,0
GY1 3BU,100,0
GY1 3BW,100,0
GY1 3BX,100,0
GY1 3BY,100,0
GY1 3BZ,100,0
GY1 3DA,100,0
GY1 3DB,100,0
GY1 3DD,100,0
GY1 3DE,100,0
GY1 3DF,100,0
GY1 3DG,100,0
GY1 3DH,100,0
GY1 3DJ,100,0
GY1 3DL,100,0
GY1 3DN,100,0
GY1 3DP,100,0
GY1 3DQ,100,0
GY1 3DR,100,0
GY1 3DS,100,0
GY1 3DT,100,0
GY1 3DU,100,0
GY1 3DW,100,0
GY1 3DX,100,0
GY1 3DY,100,0
GY1 3DZ,100,0
GY1 3EA,100,0
GY1 3EB,100,0
GY1 3ED,100,0
GY1 3EE,100,0
GY1 3EF,100,0
GY1 3EG,100,0
GY1 3EH,100,0
GY1 3EJ,100,0
GY1 3EL,100,0
GY1 3EN,100,0
GY1 3EP,100,0
GY1 3EQ,100,0
GY1 3ER,100,0
GY1 3ES,100,0
GY1 3ET,100,0
GY1 3EU,100,0
GY1 3EW,100,0
GY1 3EX,100,0
GY1 3EY,100,0
GY1 3EZ,100,0
GY1 3FB,100,0
GY1 3FD,100,0
GY1 3FE,100,0
GY1 3FF,100,0
GY1 3FG,100,0
GY1 3FH,100,0
GY1 3FJ,100,0
GY1 3FL,100,0
GY1 3FN,100,0
GY1 3FP,100,0
GY1 3FQ,100,0
GY1 3FR,100,0
GY1 3FS,100,0
GY1 3FT,100,0
GY1 3FW,100,0
GY1 3FX,100,0
GY1 3FY,100,0
GY1 3FZ,100,0
GY1 3GA,100,0
GY1 3GB,100,0
GY1 3GD,100,0
GY1 3GE,100,0
GY1 3GF,100,0
GY1 3GG,100,0
GY1 3GH,100,0
GY1 3GQ,100,0
GY1 3GR,100,0
GY1 3GS,100,0
GY1 3GT,100,0
GY1 3GX,100,0
GY1 3GZ,100,0
GY1 3HA,100,0
GY1 3HB,100,0
GY1 3HD,100,0
GY1 3HE,100,0
GY1 3HF,100,0
GY1 3HG,100,0
GY1 3HH,100,0
GY1 3HJ,100,0
GY1 3HL,100,0
GY1 3HN,100,0
GY1 3HP,100,0
GY1 3HQ,100,0
GY1 3HR,100,0
GY1 3HS,100,0
GY1 3HT,100,0
GY1 3HU,100,0
GY1 3HW,100,0
GY1 3HX,100,0
GY1 3HY,100,0
GY1 3HZ,100,0
GY1 3JA,100,0
GY1 3JB,100,0
GY1 3JD,100,0
GY1 3JE,100,0
GY1 3JF,100,0
GY1 3JG,100,0
GY1 3JH,100,0
GY1 3JJ,100,0
GY1 3JL,100,0
GY1 3JN,100,0
GY1 3JP,100,0
GY1 3JQ,100,0
GY1 3JR,100,0
GY1 3JS,100,0
GY1 3JT,100,0
GY1 3JU,100,0
GY1 3JW,100,0
GY1 3JX,100,0
GY1 3JY,100,0
GY1 3JZ,100,0
GY1 3LA,100,0
GY1 3LB,100,0
GY1 3LD,100,0
GY1 3LE,100,0
GY1 3LF,100,0
GY1 3LG,100,0
GY1 3LH,100,0
GY1 3LJ,100,0
GY1 3LL,100,0
GY1 3LN,100,0
GY1 3LP,100,0
GY1 3LQ,100,0
GY1 3LR,100,0
GY1 3LS,100,0
GY1 3LT,100,0
GY1 3LU,100,0
GY1 3LW,100,0
GY1 3LX,100,0
GY1 3LY,100,0
GY1 3LZ,100,0
GY1 3NA,100,0
GY1 3NB,100,0
GY1 3ND,100,0
GY1 3NE,100,0
GY1 3NF,100,0
GY1 3NG,100,0
GY1 3NH,100,0
GY1 3NJ,100,0
GY1 3NL,100,0
GY1 3NN,100,0
GY1 3NP,100,0
GY1 3NQ,100,0
