PCDS,LAT,LONG
HA0 1AA,51.54007,-0.303457
HA0 1AB,51.53978,-0.303093
HA0 1AD,51.54041,-0.303402
HA0 1AE,51.54088,-0.305446
HA0 1AF,51.54258,-0.306147
HA0 1AG,51.54059,-0.283394
HA0 1AH,51.54292,-0.305472
HA0 1AJ,51.54171,-0.30331
HA0 1AL,51.54778,-0.312863
HA0 1AN,51.54027,-0.302196
HA0 1AP,51.54308,-0.304802
HA0 1AQ,51.54134,-0.303626
HA0 1AR,51.54515,-0.306369
HA0 1AS,51.54667,-0.308274
HA0 1AT,51.54761,-0.310576
HA0 1AU,51.54832,-0.31166
HA0 1AW,51.5411,-0.301472
HA0 1AX,51.54868,-0.31257
HA0 1AY,51.53964,-0.282564
HA0 1AZ,51.54065,-0.283435
HA0 1BA,51.53858,-0.304623
HA0 1BB,51.55119,-0.307212
HA0 1BD,51.54047,-0.283831
HA0 1BE,51.54022,-0.283465
HA0 1BF,51.53902,-0.302819
HA0 1BG,51.53978,-0.301724
HA0 1BH,51.53772,-0.300632
HA0 1BJ,51.54112,-0.304861
HA0 1BL,51.54133,-0.304593
HA0 1BN,51.53872,-0.305599
HA0 1BP,51.53847,-0.305002
HA0 1BQ,51.55141,-0.306454
HA0 1BS,51.54034,-0.306764
HA0 1BT,51.5408,-0.306747
HA0 1BU,51.53999,-0.305667
HA0 1BW,51.53813,-0.306168
HA0 1BX,51.53727,-0.304196
HA0 1BY,51.53718,-0.304949
HA0 1BZ,51.54366,-0.306093
HA0 1DA,51.53852,-0.295556
HA0 1DB,51.53915,-0.304646
HA0 1DD,51.53549,-0.306166
HA0 1DE,51.53679,-0.306319
HA0 1DF,51.53592,-0.30775
HA0 1DG,51.53567,-0.308235
HA0 1DH,51.5346,-0.307251
HA0 1DJ,51.53467,-0.306643
HA0 1DL,51.53422,-0.308145
HA0 1DN,51.53449,-0.308611
HA0 1DP,51.53513,-0.309351
HA0 1DQ,51.53691,-0.307627
HA0 1DR,51.53572,-0.306806
HA0 1DS,51.53585,-0.307234
HA0 1DT,51.53383,-0.30852
HA0 1DU,51.53362,-0.309018
HA0 1DW,51.53484,-0.30916
HA0 1DX,51.53322,-0.305918
HA0 1DY,51.54104,-0.285006
HA0 1DZ,51.53382,-0.302883
HA0 1EA,51.53277,-0.306151
HA0 1EB,51.53361,-0.30599
HA0 1ED,51.53818,-0.298149
HA0 1EE,51.53744,-0.304003
HA0 1EF,51.53748,-0.303683
HA0 1EG,51.5399,-0.301344
HA0 1EH,51.53983,-0.30165
HA0 1EJ,51.53358,-0.300137
HA0 1EL,51.53275,-0.304494
HA0 1EN,51.53455,-0.304427
HA0 1EP,51.54193,-0.302177
HA0 1EQ,51.53852,-0.295556
HA0 1ER,51.53341,-0.305219
HA0 1ES,51.53387,-0.301626
HA0 1ET,51.53774,-0.298728
HA0 1EU,51.53675,-0.2979
HA0 1EW,51.53676,-0.302701
HA0 1EX,51.54057,-0.283553
HA0 1EY,51.53405,-0.300841
HA0 1EZ,51.53692,-0.298023
HA0 1FA,51.55119,-0.307212
HA0 1FB,51.55119,-0.307212
HA0 1FD,51.53772,-0.304064
HA0 1FE,51.55119,-0.307212
HA0 1FF,51.53853,-0.295541
HA0 1FG,51.53853,-0.295541
HA0 1FH,51.55119,-0.307212
HA0 1FJ,51.53853,-0.295541
HA0 1FL,51.55119,-0.307212
HA0 1FN,51.53853,-0.295541
HA0 1FP,51.53853,-0.295541
HA0 1FQ,51.55119,-0.307212
HA0 1FR,51.53877,-0.285524
HA0 1FS,51.53853,-0.295541
HA0 1FT,51.55119,-0.307212
HA0 1FU,51.53391,-0.307609
HA0 1FW,51.55119,-0.307212
HA0 1FX,51.54112,-0.282624
HA0 1FY,51.53877,-0.285524
HA0 1FZ,51.53877,-0.285524
HA0 1GA,51.53969,-0.286932
HA0 1GB,51.53724,-0.304327
HA0 1GD,51.53879,-0.286966
HA0 1GE,51.53802,-0.295646
HA0 1GF,51.53962,-0.302624
HA0 1GG,51.53798,-0.292764
HA0 1GH,51.53773,-0.298642
HA0 1GJ,51.53949,-0.282354
HA0 1GL,51.53792,-0.298217
HA0 1GN,51.53962,-0.302624
HA0 1GP,51.53977,-0.292697
HA0 1GQ,51.53873,-0.282642
HA0 1GR,51.53749,-0.298088
HA0 1GS,51.53973,-0.289814
HA0 1GT,51.53962,-0.302624
HA0 1GU,51.55119,-0.307212
HA0 1GW,51.54087,-0.286642
HA0 1GX,51.53962,-0.302624
