PCDS,LAT,LONG
HD1 1AA,53.64844,-1.781546
HD1 1AB,53.64721,-1.785137
HD1 1AD,53.64908,-1.779212
HD1 1AE,53.64842,-1.78212
HD1 1AQ,53.64842,-1.78212
HD1 1BA,53.6472,-1.782323
HD1 1BB,53.64795,-1.783167
HD1 1BD,53.64663,-1.783642
HD1 1BE,53.64663,-1.783642
HD1 1BG,53.6477,-1.782336
HD1 1BH,53.64483,-1.785164
HD1 1BJ,53.64753,-1.783638
HD1 1BL,53.64759,-1.782926
HD1 1BN,53.64771,-1.782941
HD1 1BP,53.64835,-1.781501
HD1 1BQ,53.6477,-1.782336
HD1 1BR,53.64731,-1.782777
HD1 1BS,53.64751,-1.782897
HD1 1BT,53.64721,-1.782081
HD1 1BU,53.64728,-1.780916
HD1 1BW,53.64753,-1.783638
HD1 1BX,53.64732,-1.781718
HD1 1BY,53.64727,-1.781657
HD1 1BZ,53.64752,-1.782125
HD1 1DA,53.64774,-1.781776
HD1 1DB,53.64752,-1.782125
HD1 1DD,53.64763,-1.782215
HD1 1DE,53.6482,-1.778597
HD1 1DF,53.64752,-1.780612
HD1 1DG,53.64767,-1.781928
HD1 1DH,53.64788,-1.782335
HD1 1DJ,53.64795,-1.781926
HD1 1DL,53.64811,-1.782334
HD1 1DN,53.64753,-1.783638
HD1 1DP,53.64752,-1.782125
HD1 1DQ,53.64752,-1.782125
HD1 1DR,53.64901,-1.782299
HD1 1DS,53.64842,-1.78212
HD1 1DT,53.6486,-1.782074
HD1 1DU,53.64828,-1.782091
HD1 1DW,53.64752,-1.782125
HD1 1DX,53.6484,-1.782075
HD1 1DY,53.64915,-1.782389
HD1 1DZ,53.64753,-1.783638
HD1 1EA,53.63496,-1.792776
HD1 1EB,53.6496,-1.782462
HD1 1ED,53.65435,-1.777566
HD1 1EE,53.6495,-1.783053
HD1 1EF,53.64753,-1.785151
HD1 1EG,53.64933,-1.782479
HD1 1EH,53.649,-1.782934
HD1 1EJ,53.64842,-1.783633
HD1 1EN,53.64842,-1.783633
HD1 1EP,53.64753,-1.783638
HD1 1EQ,53.64842,-1.783633
HD1 1ER,53.64822,-1.78256
HD1 1ES,53.64825,-1.782666
HD1 1ET,53.64753,-1.783638
HD1 1EU,53.64753,-1.783638
HD1 1EW,53.64771,-1.782941
HD1 1EX,53.64798,-1.783227
HD1 1EZ,53.64753,-1.783638
HD1 1FA,53.64835,-1.781501
HD1 1FX,53.64753,-1.783638
HD1 1HB,53.64215,-1.792741
HD1 1HE,53.64842,-1.783633
HD1 1HF,53.64035,-1.789724
HD1 1HH,53.64035,-1.789724
HD1 1HJ,53.64035,-1.789724
HD1 1HL,53.64035,-1.789724
HD1 1HN,53.64035,-1.789724
HD1 1HP,53.64842,-1.78212
HD1 1HQ,53.64035,-1.789724
HD1 1HR,53.64842,-1.78212
HD1 1HS,53.64842,-1.78212
HD1 1HT,53.64842,-1.78212
HD1 1HU,53.64753,-1.785151
HD1 1HW,53.64842,-1.78212
HD1 1HX,53.66732,-1.794131
HD1 1HZ,53.62238,-1.795861
HD1 1JA,53.64873,-1.783374
HD1 1JB,53.64841,-1.78445
HD1 1JD,53.64726,-1.785061
HD1 1JE,53.64753,-1.785151
HD1 1JF,53.64755,-1.784893
HD1 1JG,53.64753,-1.785151
HD1 1JH,53.64753,-1.785151
HD1 1JL,53.64753,-1.785151
HD1 1JP,53.64745,-1.784485
HD1 1JQ,53.64735,-1.784683
HD1 1JR,53.64753,-1.784334
HD1 1JS,53.64772,-1.784
HD1 1JT,53.64753,-1.785151
HD1 1JU,53.6475,-1.783971
HD1 1JW,53.64753,-1.785151
HD1 1JX,53.64772,-1.783985
HD1 1JY,53.64756,-1.78397
HD1 1JZ,53.64753,-1.785151
HD1 1LA,53.6479,-1.783833
HD1 1LB,53.64753,-1.785151
HD1 1LD,53.64795,-1.783167
HD1 1LE,53.6455,-1.785025
HD1 1LG,53.64795,-1.783167
HD1 1LJ,53.64777,-1.782986
HD1 1LN,53.64729,-1.783367
HD1 1LP,53.64735,-1.784683
HD1 1LQ,53.64753,-1.783638
HD1 1LR,53.64753,-1.783638
HD1 1LS,53.64746,-1.783653
