PCDS,LAT,LONG
HG1 1AA,53.99367,-1.541452
HG1 1AB,53.99497,-1.540492
HG1 1AD,53.99306,-1.538957
HG1 1AE,53.99303,-1.538897
HG1 1AF,53.99303,-1.538897
HG1 1AG,53.99303,-1.538897
HG1 1AH,53.99361,-1.542093
HG1 1AQ,54.00244,-1.522392
HG1 1AX,53.99554,-1.539113
HG1 1AY,54.00244,-1.522392
HG1 1BA,53.99556,-1.538335
HG1 1BB,53.99584,-1.538759
HG1 1BE,53.9958,-1.537813
HG1 1BH,53.98838,-1.540915
HG1 1BJ,53.98849,-1.539862
HG1 1BL,53.98962,-1.540459
HG1 1BN,53.98928,-1.540905
HG1 1BP,53.99566,-1.539661
HG1 1BS,53.9948,-1.543056
HG1 1BT,53.99504,-1.543252
HG1 1BU,53.99557,-1.540836
HG1 1BW,53.99441,-1.543228
HG1 1BX,53.99525,-1.539574
HG1 1BY,53.99512,-1.540704
HG1 1BZ,53.99468,-1.540846
HG1 1DA,53.99471,-1.53932
HG1 1DB,53.99479,-1.540875
HG1 1DD,53.99447,-1.540635
HG1 1DE,53.99442,-1.540666
HG1 1DF,53.99378,-1.540856
HG1 1DG,53.99432,-1.54053
HG1 1DH,53.99487,-1.542262
HG1 1DJ,53.99489,-1.542872
HG1 1DL,53.99567,-1.541216
HG1 1DN,53.99591,-1.540009
HG1 1DP,53.99599,-1.539642
HG1 1DQ,53.99435,-1.541185
HG1 1DT,53.99584,-1.541047
HG1 1DU,53.99477,-1.540433
HG1 1DW,53.99564,-1.540561
HG1 1DX,53.9915,-1.536793
HG1 1DY,53.99266,-1.537604
HG1 1DZ,53.99557,-1.539311
HG1 1EB,53.9905,-1.537536
HG1 1ED,53.99048,-1.538025
HG1 1EE,53.99041,-1.537903
HG1 1EF,53.99018,-1.53937
HG1 1EG,53.99098,-1.538599
HG1 1EJ,53.99092,-1.53892
HG1 1EL,53.99027,-1.539674
HG1 1EN,53.99018,-1.540895
HG1 1EP,53.98871,-1.536046
HG1 1EQ,53.99079,-1.539501
HG1 1ER,53.98887,-1.536822
HG1 1ET,53.99378,-1.540856
HG1 1EU,53.98837,-1.53634
HG1 1EW,53.99108,-1.53936
HG1 1EY,53.98867,-1.536428
HG1 1HA,53.98837,-1.53634
HG1 1HB,53.98898,-1.535738
HG1 1HD,53.98987,-1.536247
HG1 1HE,53.98874,-1.538669
HG1 1HF,53.99065,-1.536711
HG1 1HG,53.99017,-1.537845
HG1 1HH,53.9903,-1.537188
HG1 1HJ,53.98927,-1.537855
HG1 1HL,53.98821,-1.536982
HG1 1HN,53.98829,-1.53779
HG1 1HP,53.98891,-1.538179
HG1 1HQ,53.99002,-1.537038
HG1 1HR,53.98919,-1.538085
HG1 1HS,53.98928,-1.538587
HG1 1HT,53.98982,-1.539252
HG1 1HU,54.00244,-1.522392
HG1 1HW,53.98862,-1.537633
HG1 1HX,53.98961,-1.537638
HG1 1HY,53.98971,-1.537393
HG1 1HZ,53.99004,-1.537755
HG1 1JA,53.98964,-1.538263
HG1 1JB,53.98761,-1.538788
HG1 1JD,53.99115,-1.537026
HG1 1JE,53.98936,-1.537671
HG1 1JF,54.00532,-1.505637
HG1 1JG,53.99188,-1.538711
HG1 1JH,53.99287,-1.539341
HG1 1JJ,53.99197,-1.53935
HG1 1JL,53.99184,-1.539016
HG1 1JN,53.99185,-1.539382
HG1 1JP,53.99176,-1.540161
HG1 1JR,53.99213,-1.539166
HG1 1JS,54.00244,-1.522392
HG1 1JT,53.99173,-1.540177
HG1 1JU,53.99166,-1.538286
HG1 1JW,53.99177,-1.539825
HG1 1JX,53.99154,-1.540011
HG1 1JY,53.99198,-1.540876
HG1 1JZ,53.99184,-1.540969
HG1 1LA,53.99221,-1.541453
HG1 1LB,53.99123,-1.541006
HG1 1LD,53.99142,-1.54108
HG1 1LE,53.99112,-1.540046
HG1 1LF,53.99116,-1.540412
HG1 1LG,53.99018,-1.540895
HG1 1LH,53.99235,-1.54139
HG1 1LJ,53.99122,-1.539984
HG1 1LL,53.99091,-1.539438
HG1 1LN,53.99018,-1.53937
HG1 1LP,53.99103,-1.53898
HG1 1LQ,53.99108,-1.540885
HG1 1LR,53.99107,-1.537835
HG1 1LS,54.00244,-1.522392
HG1 1LT,53.99131,-1.538885
HG1 1LU,53.99108,-1.53936
HG1 1LW,53.99101,-1.539056
HG1 1LX,53.99133,-1.539785
HG1 1LY,53.99121,-1.53974
HG1 1LZ,53.99108,-1.53936
HG1 1NA,53.99108,-1.540885
HG1 1NB,53.99131,-1.539053
HG1 1ND,53.99147,-1.539158
HG1 1NE,53.99108,-1.53936
HG1 1NF,53.99218,-1.540355
HG1 1NG,53.99199,-1.539472
HG1 1NH,53.99202,-1.539899
HG1 1NJ,53.99184,-1.539809
HG1 1NL,53.99198,-1.540876
HG1 1NN,53.99198,-1.540876
HG1 1NP,53.99198,-1.540876
HG1 1NQ,53.99214,-1.539455
HG1 1NR,54.00244,-1.522392
HG1 1NS,53.99358,-1.54098
HG1 1NW,53.99108,-1.540885
HG1 1NX,53.99289,-1.542391
HG1 1PA,53.9935,-1.541698
HG1 1PB,53.99353,-1.541606
HG1 1PD,53.99289,-1.542391
HG1 1PE,53.99305,-1.542023
HG1 1PF,53.99325,-1.541731
HG1 1PG,53.99289,-1.542391
HG1 1PH,53.99309,-1.541824
HG1 1PJ,53.99214,-1.539455
HG1 1PL,53.99267,-1.537619
HG1 1PN,53.99344,-1.542126
HG1 1PP,53.99398,-1.542074
HG1 1PQ,53.99314,-1.541702
HG1 1PR,53.99198,-1.540876
HG1 1PS,53.99018,-1.540895
HG1 1PT,53.99413,-1.54102
HG1 1PU,53.99412,-1.5407
HG1 1PW,53.99375,-1.542092
HG1 1PX,53.99378,-1.540856
HG1 1PY,53.99414,-1.539891
HG1 1PZ,53.99378,-1.540856
HG1 1QA,53.99405,-1.539892
HG1 1QB,53.99558,-1.542361
HG1 1QD,53.9939,-1.53968
HG1 1QE,53.99434,-1.539889
HG1 1QF,53.9944,-1.539964
HG1 1QG,53.99431,-1.539218
HG1 1QH,53.99419,-1.539097
HG1 1QJ,53.99471,-1.538893
HG1 1QL,53.99468,-1.540846
HG1 1QN,53.99378,-1.540856
HG1 1QP,53.99287,-1.539341
HG1 1QQ,53.99368,-1.53866
HG1 1QR,53.99197,-1.53935
HG1 1QS,53.9922,-1.538829
HG1 1QT,53.99197,-1.53935
HG1 1QU,53.99224,-1.539561
HG1 1QW,53.99377,-1.539331
HG1 1QX,53.99228,-1.540079
HG1 1QY,53.99232,-1.540658
HG1 1QZ,53.99219,-1.540462
HG1 1RA,53.99213,-1.539166
HG1 1RB,53.99256,-1.538841
HG1 1RD,53.99243,-1.539056
HG1 1RE,53.99244,-1.539254
HG1 1RF,53.99251,-1.539863
HG1 1RG,53.99287,-1.539341
HG1 1RH,53.9927,-1.541203
HG1 1RJ,53.99213,-1.539166
HG1 1RL,53.99281,-1.54105
HG1 1RN,53.99294,-1.541079
HG1 1RP,53.99286,-1.539753
HG1 1RQ,53.99255,-1.540381
HG1 1RR,53.99287,-1.539341
HG1 1RS,53.99287,-1.539341
HG1 1RT,53.99287,-1.539341
HG1 1RU,53.99346,-1.538465
HG1 1RW,53.99278,-1.540333
HG1 1RX,53.99335,-1.539671
HG1 1RY,53.99371,-1.540079
HG1 1RZ,53.99378,-1.540856
HG1 1SA,53.99288,-1.540866
HG1 1SB,53.99288,-1.540866
HG1 1SD,53.99287,-1.539341
HG1 1SE,53.99287,-1.539341
HG1 1SF,53.99287,-1.539341
HG1 1SG,53.98838,-1.537468
HG1 1SH,53.99199,-1.542401
HG1 1SJ,53.99221,-1.54098
HG1 1SL,54.00244,-1.522392
HG1 1SN,53.99432,-1.54053
HG1 1SP,53.99215,-1.536817
HG1 1SQ,53.99288,-1.540866
HG1 1SR,53.99197,-1.537825
HG1 1SS,53.99181,-1.537186
HG1 1ST,53.99146,-1.537221
HG1 1SU,53.9916,-1.537235
HG1 1SX,54.00244,-1.522392
HG1 1SY,53.99203,-1.538114
HG1 1SZ,53.99108,-1.53936
HG1 1TB,53.99212,-1.538205
HG1 1TD,53.99257,-1.538612
HG1 1TE,53.99273,-1.537863
HG1 1TF,53.99277,-1.537557
HG1 1TH,53.99377,-1.539331
HG1 1TJ,53.99266,-1.537604
HG1 1TL,53.99277,-1.537557
HG1 1TN,53.99006,-1.540149
HG1 1TQ,54.00244,-1.522392
HG1 1TR,53.99277,-1.537557
HG1 1TS,53.99266,-1.537604
HG1 1TT,53.99228,-1.537608
HG1 1TU,53.9937,-1.538554
HG1 1TW,53.9901,-1.540164
HG1 1TX,53.9942,-1.538701
HG1 1TY,53.99509,-1.538996
HG1 1TZ,53.99614,-1.539137
HG1 1UA,53.99619,-1.53964
HG1 1UB,53.99527,-1.539375
HG1 1UD,53.99378,-1.540856
HG1 1UE,53.9951,-1.538538
HG1 1UF,53.99505,-1.538142
HG1 1UG,53.99277,-1.537557
HG1 1UH,53.99197,-1.537825
HG1 1UJ,53.99287,-1.539341
HG1 1UN,53.99287,-1.539341
HG1 1US,53.99522,-1.538949
HG1 1UW,53.99467,-1.539321
HG1 1WA,54.00244,-1.522392
HG1 1WB,54.00244,-1.522392
HG1 1WE,53.99214,-1.539455
HG1 1WF,54.00244,-1.522392
HG1 1WG,54.00244,-1.522392
HG1 1WH,54.00244,-1.522392
HG1 1WJ,54.00244,-1.522392
HG1 1WU,54.00244,-1.522392
HG1 1WW,54.00244,-1.522392
HG1 1WX,54.00244,-1.522392
HG1 1WY,54.00244,-1.522392
HG1 1WZ,54.00244,-1.522392
HG1 1XF,53.99221,-1.539378
HG1 1XJ,54.00244,-1.522392
HG1 1XQ,54.00244,-1.522392
HG1 1XT,53.99558,-1.542361
HG1 1XU,54.00244,-1.522392
HG1 1XX,53.99742,-1.541197
HG1 1YA,53.99558,-1.542361
HG1 1YJ,53.99558,-1.542361
HG1 1ZB,54.00244,-1.522392
HG1 1ZD,54.00244,-1.522392
HG1 1ZE,53.99213,-1.539166
HG1 1ZF,54.00244,-1.522392
HG1 1ZG,53.99558,-1.542361
HG1 1ZJ,53.99221,-1.539378
HG1 1ZL,53.99221,-1.539378
HG1 1ZN,53.99221,-1.539378
HG1 1ZP,54.00244,-1.522392
HG1 1ZQ,53.9922,-1.539394
HG1 1ZR,54.00244,-1.522392
HG1 1ZS,53.99213,-1.539166
HG1 1ZT,54.00244,-1.522392
HG1 1ZW,53.99213,-1.539166
HG1 1ZY,53.99558,-1.542361
HG1 1ZZ,53.99558,-1.542361
HG1 2AA,53.99742,-1.541197
HG1 2AB,54.00053,-1.540095
HG1 2AD,54.00097,-1.539373
HG1 2AE,54.00018,-1.540801
HG1 2AF,54.00142,-1.539902
HG1 2AG,54.00386,-1.537221
HG1 2AH,54.00314,-1.538388
HG1 2AJ,54.00374,-1.537802
HG1 2AL,54.00395,-1.537723
HG1 2AN,54.00426,-1.536713
HG1 2AP,54.00246,-1.538991
HG1 2AQ,54.00441,-1.537886
HG1 2AR,54.00232,-1.538229
HG1 2AS,54.0018,-1.539425
HG1 2AT,54.00257,-1.540012
HG1 2AU,54.00385,-1.550143
HG1 2AW,54.00361,-1.538154
HG1 2AX,54.00365,-1.554844
HG1 2AY,54.00502,-1.539481
HG1 2AZ,54.00536,-1.539066
HG1 2BA,54.00515,-1.539693
HG1 2BB,54.00605,-1.553583
HG1 2BD,54.00591,-1.554058
HG1 2BE,54.00541,-1.554582
HG1 2BF,54.00574,-1.549421
HG1 2BG,54.00542,-1.555558
HG1 2BH,54.00658,-1.55524
HG1 2BJ,54.00432,-1.554105
HG1 2BL,54.00409,-1.552429
HG1 2BN,54.00325,-1.553613
HG1 2BP,54.00273,-1.555358
HG1 2BQ,54.00515,-1.554523
HG1 2BS,54.00496,-1.548972
HG1 2BT,54.00425,-1.548491
HG1 2BU,53.9939,-1.543585
