PCDS,LAT,LONG
HR1 1AA,52.06075,-2.710029
HR1 1AB,52.07539,-2.71153
HR1 1AD,52.06855,-2.703747
HR1 1AE,52.07609,-2.711862
HR1 1AF,52.07632,-2.710523
HR1 1AG,52.06911,-2.698519
HR1 1AH,52.07132,-2.705571
HR1 1AJ,52.07114,-2.705802
HR1 1AL,52.07128,-2.704724
HR1 1AN,52.07129,-2.702652
HR1 1AP,52.07048,-2.706243
HR1 1AQ,52.06599,-2.696939
HR1 1AR,52.07053,-2.705456
HR1 1AS,52.06945,-2.705979
HR1 1AT,52.05328,-2.678132
HR1 1AU,52.05374,-2.677877
HR1 1AW,52.07007,-2.70612
HR1 1AX,52.05307,-2.676641
HR1 1AY,52.05227,-2.676921
HR1 1AZ,52.05198,-2.677281
HR1 1BA,52.06145,-2.710113
HR1 1BB,52.0618,-2.711285
HR1 1BD,52.06049,-2.696255
HR1 1BE,52.06119,-2.705951
HR1 1BG,52.062,-2.706591
HR1 1BH,52.06219,-2.705515
HR1 1BJ,52.06305,-2.705733
HR1 1BL,52.06199,-2.703572
HR1 1BN,52.06297,-2.704696
HR1 1BP,52.06404,-2.702451
HR1 1BQ,52.06117,-2.704842
HR1 1BS,52.06437,-2.704513
HR1 1BT,52.06492,-2.705397
HR1 1BU,52.06657,-2.70624
HR1 1BW,52.06346,-2.703493
HR1 1BX,52.06628,-2.707636
HR1 1BY,52.06485,-2.708606
HR1 1BZ,52.06429,-2.70813
HR1 1DA,52.06217,-2.708797
HR1 1DB,52.0639,-2.712179
HR1 1DD,52.06385,-2.711142
HR1 1DE,52.06494,-2.701809
HR1 1DF,52.06392,-2.700072
HR1 1DG,52.06583,-2.701998
HR1 1DH,52.06446,-2.702531
HR1 1DJ,52.06565,-2.703775
HR1 1DL,52.0659,-2.704012
HR1 1DN,52.05952,-2.710082
HR1 1DP,52.06725,-2.703727
HR1 1DQ,52.06514,-2.703154
HR1 1DR,52.06708,-2.703097
HR1 1DS,52.0672,-2.70199
HR1 1DT,52.06677,-2.703953
HR1 1DU,52.06292,-2.708765
HR1 1DW,52.06795,-2.707487
HR1 1DX,52.06539,-2.701495
HR1 1DY,52.06797,-2.70457
HR1 1DZ,52.06263,-2.709416
HR1 1EA,52.0756,-2.716801
HR1 1EB,52.06803,-2.707109
HR1 1ED,52.06798,-2.708392
HR1 1EE,52.06588,-2.710299
HR1 1EF,52.06555,-2.709638
HR1 1EG,52.06359,-2.71054
HR1 1EH,52.06362,-2.709461
HR1 1EJ,52.06403,-2.70744
HR1 1EL,52.06311,-2.709395
HR1 1EN,52.06277,-2.710673
HR1 1EP,52.06281,-2.707742
HR1 1EQ,52.06121,-2.706783
HR1 1ER,52.06305,-2.708373
HR1 1ES,52.06474,-2.706153
HR1 1ET,52.06257,-2.708424
HR1 1EU,52.06983,-2.709662
HR1 1EW,52.0631,-2.707017
HR1 1EX,52.07251,-2.711557
HR1 1EY,52.06693,-2.705837
HR1 1EZ,52.06516,-2.713789
HR1 1FA,52.07787,-2.713481
HR1 1FB,52.05562,-2.679159
HR1 1FD,52.05552,-2.679858
HR1 1FE,52.05508,-2.679384
HR1 1FF,52.05488,-2.679119
HR1 1FG,52.05661,-2.679641
HR1 1FH,52.05692,-2.6802
HR1 1FJ,52.05952,-2.681508
HR1 1FL,52.07557,-2.72128
HR1 1FN,52.06019,-2.707453
HR1 1FQ,52.072,-2.707376
HR1 1FR,52.07167,-2.706904
HR1 1GA,52.06094,-2.699179
HR1 1GB,52.0756,-2.711329
HR1 1GD,52.07525,-2.710827
HR1 1GE,52.07473,-2.710819
HR1 1GF,52.07707,-2.711265
HR1 1GG,52.07722,-2.709779
HR1 1GH,52.07619,-2.709354
HR1 1GJ,52.07548,-2.71318
HR1 1GL,52.07626,-2.714097
HR1 1GN,52.07616,-2.711484
HR1 1GP,52.0766,-2.711943
HR1 1GQ,52.07646,-2.712568
HR1 1GR,52.07581,-2.712893
HR1 1GS,52.07628,-2.709953
HR1 1GT,52.07622,-2.712521
HR1 1GW,52.06296,-2.699284
HR1 1GX,52.07698,-2.71853
HR1 1GY,52.06718,-2.714857
HR1 1GZ,52.0632,-2.69847
HR1 1HA,52.06538,-2.712859
HR1 1HB,52.06663,-2.713783
HR1 1HD,52.06813,-2.714318
HR1 1HE,52.06975,-2.712578
HR1 1HF,52.0665,-2.711257
HR1 1HG,52.06832,-2.709273
HR1 1HH,52.06668,-2.711858
HR1 1HJ,52.06732,-2.712744
HR1 1HL,52.06901,-2.711458
HR1 1HN,52.06766,-2.710211
HR1 1HP,52.06856,-2.713347
HR1 1HQ,52.06952,-2.710765
HR1 1HR,52.06067,-2.704659
HR1 1HS,52.06081,-2.702678
HR1 1HT,52.061,-2.700653
HR1 1HU,52.07369,-2.706732
HR1 1HW,52.06807,-2.71188
HR1 1HX,52.06478,-2.698758
HR1 1HY,52.06416,-2.696093
HR1 1HZ,52.06491,-2.696528
HR1 1JA,52.06353,-2.695748
HR1 1JB,52.06465,-2.693533
HR1 1JD,52.06606,-2.695554
HR1 1JE,52.06609,-2.700281
HR1 1JF,52.06757,-2.700012
HR1 1JG,52.06504,-2.695436
HR1 1JH,52.0655,-2.699994
HR1 1JJ,52.06945,-2.696394
HR1 1JL,52.07335,-2.698103
HR1 1JN,52.07418,-2.70474
HR1 1JP,52.07436,-2.707267
HR1 1JQ,52.07317,-2.701981
HR1 1JR,52.07161,-2.708654
HR1 1JS,52.07246,-2.703896
HR1 1JT,52.07267,-2.701157
HR1 1JU,52.06651,-2.698712
HR1 1JW,52.0745,-2.707795
HR1 1JX,52.07576,-2.698798
HR1 1JY,52.07673,-2.718249
HR1 1JZ,52.0754,-2.715032
HR1 1LA,52.07537,-2.721393
HR1 1LB,52.07589,-2.720497
HR1 1LD,52.07513,-2.716705
HR1 1LE,52.07486,-2.712426
HR1 1LF,52.0757,-2.718568
HR1 1LG,52.075,-2.708722
HR1 1LH,52.07929,-2.717881
HR1 1LJ,52.077,-2.716487
HR1 1LL,52.07691,-2.720893
HR1 1LN,52.07381,-2.70952
HR1 1LP,52.07622,-2.716227
HR1 1LQ,52.07355,-2.70492
HR1 1LR,52.0612,-2.699592
HR1 1LS,52.06175,-2.697296
HR1 1LT,52.06088,-2.697603
HR1 1LU,52.06252,-2.698898
HR1 1LW,52.07283,-2.707448
HR1 1LX,52.05994,-2.696086
HR1 1LY,52.05935,-2.693481
HR1 1LZ,52.05908,-2.69565
HR1 1NA,52.05797,-2.69502
HR1 1NB,52.05876,-2.696199
HR1 1ND,52.05873,-2.694477
HR1 1NE,52.0601,-2.69358
HR1 1NF,52.06012,-2.692267
HR1 1NG,52.05978,-2.692743
HR1 1NH,52.06128,-2.692168
HR1 1NJ,52.06015,-2.68989
HR1 1NL,52.0603,-2.691001
HR1 1NN,52.05959,-2.690888
HR1 1NP,52.0596,-2.686935
HR1 1NQ,52.06099,-2.690939
HR1 1NR,52.05933,-2.687559
HR1 1NS,52.05773,-2.696577
HR1 1NT,52.06176,-2.699644
HR1 1NU,52.06656,-2.695911
HR1 1NW,52.05952,-2.689122
HR1 1NX,52.06122,-2.695231
HR1 1NY,52.06177,-2.693314
HR1 1NZ,52.06291,-2.692777
HR1 1PA,52.06287,-2.691303
HR1 1PB,52.0628,-2.690048
HR1 1PD,52.06294,-2.688518
HR1 1PE,52.06052,-2.694972
HR1 1PF,52.06158,-2.692654
HR1 1PG,52.06159,-2.689854
HR1 1PH,52.06118,-2.693553
HR1 1PJ,52.06227,-2.692665
HR1 1PL,52.0627,-2.692205
HR1 1PN,52.06252,-2.690525
HR1 1PP,52.06247,-2.687855
HR1 1PQ,52.06123,-2.694152
HR1 1PR,52.06176,-2.686633
HR1 1PS,52.06179,-2.687815
HR1 1PT,52.06116,-2.687616
HR1 1PU,52.061,-2.688824
HR1 1PW,52.06234,-2.689763
HR1 1PX,52.06049,-2.688656
HR1 1PY,52.07544,-2.715966
HR1 1PZ,52.07671,-2.71552
HR1 1QA,52.07706,-2.715715
HR1 1QB,52.07662,-2.715183
HR1 1QD,52.05878,-2.690278
HR1 1QE,52.05895,-2.688019
HR1 1QF,52.05808,-2.68926
HR1 1QG,52.0576,-2.686642
HR1 1QH,52.05678,-2.687782
HR1 1QJ,52.05772,-2.688307
HR1 1QL,52.0584,-2.688098
HR1 1QN,52.05837,-2.685093
HR1 1QP,52.0601,-2.685572
HR1 1QQ,52.05727,-2.687264
HR1 1QR,52.05956,-2.684907
HR1 1QS,52.06037,-2.687268
HR1 1QT,52.061,-2.68595
HR1 1QU,52.06031,-2.684758
HR1 1QW,52.05887,-2.682607
HR1 1QX,52.0618,-2.685831
HR1 1QY,52.06023,-2.683517
HR1 1QZ,52.0596,-2.682005
HR1 1RA,52.05962,-2.683245
HR1 1RB,52.06036,-2.69882
HR1 1RD,52.07772,-2.715171
HR1 1RE,52.07728,-2.721468
HR1 1RF,52.05816,-2.692354
HR1 1RG,52.05634,-2.695884
HR1 1RH,52.05713,-2.694132
HR1 1RJ,52.05807,-2.693417
HR1 1RL,52.05726,-2.696249
HR1 1RN,52.05711,-2.697442
HR1 1RP,52.05831,-2.691671
HR1 1RQ,52.05714,-2.695547
HR1 1RR,52.05805,-2.690223
HR1 1RS,52.05671,-2.688948
HR1 1RT,52.0556,-2.686582
HR1 1RU,52.05494,-2.687389
HR1 1RW,52.05727,-2.696657
HR1 1RX,52.05648,-2.686436
HR1 1RY,52.04567,-2.700647
HR1 1RZ,52.05056,-2.679695
HR1 1SA,52.05668,-2.691704
HR1 1SB,52.05706,-2.693256
HR1 1SD,52.05745,-2.691759
HR1 1SG,52.0546,-2.696368
HR1 1SH,52.05313,-2.69407
HR1 1SJ,52.04795,-2.679174
HR1 1SL,52.05279,-2.69055
HR1 1SN,52.05296,-2.688715
HR1 1SP,52.05254,-2.68884
HR1 1SQ,52.05226,-2.694844
HR1 1SR,52.05365,-2.688332
HR1 1SS,52.05452,-2.688681
HR1 1ST,52.05266,-2.692473
HR1 1SU,52.05442,-2.692879
HR1 1SW,52.05318,-2.690833
HR1 1SX,52.05629,-2.694235
HR1 1SY,52.05596,-2.695062
HR1 1SZ,52.05529,-2.694366
HR1 1TA,52.05434,-2.693491
HR1 1TB,52.04876,-2.687878
HR1 1TD,52.04974,-2.691378
HR1 1TE,52.05077,-2.693815
HR1 1TF,52.04843,-2.682798
HR1 1TG,52.05394,-2.683874
HR1 1TH,52.049,-2.691017
HR1 1TJ,52.04963,-2.687264
HR1 1TL,52.04876,-2.681636
HR1 1TN,52.04936,-2.68096
HR1 1TP,52.04855,-2.684914
HR1 1TQ,52.04895,-2.695274
HR1 1TR,52.05022,-2.689023
HR1 1TS,52.05004,-2.694314
HR1 1TT,52.05004,-2.692841
HR1 1TU,52.05048,-2.695619
HR1 1TW,52.04997,-2.6923
HR1 1TX,52.05153,-2.692558
HR1 1TY,52.05077,-2.690504
HR1 1TZ,52.05158,-2.690634
HR1 1UA,52.05204,-2.689445
HR1 1UB,52.05042,-2.686693
HR1 1UD,52.05072,-2.685633
HR1 1UE,52.05056,-2.683078
HR1 1UF,52.0502,-2.684764
HR1 1UG,52.04959,-2.683822
HR1 1UH,52.05072,-2.687864
HR1 1UJ,52.053,-2.687155
HR1 1UL,52.05368,-2.684832
HR1 1UN,52.05126,-2.682112
HR1 1UP,52.05299,-2.682999
HR1 1UQ,52.05008,-2.683173
HR1 1UR,52.05373,-2.682047
HR1 1US,52.048,-2.675442
HR1 1UT,52.06007,-2.680014
HR1 1UU,52.05761,-2.682719
HR1 1UW,52.05369,-2.682688
HR1 1UX,52.05671,-2.682107
HR1 1UY,52.05668,-2.683011
HR1 1UZ,52.05306,-2.681702
HR1 1WA,52.06065,-2.709998
HR1 1WD,52.06065,-2.709998
HR1 1WE,52.05244,-2.693651
HR1 1WG,52.06075,-2.710029
HR1 1WH,52.06065,-2.709998
HR1 1WJ,52.06065,-2.709998
HR1 1WL,52.06065,-2.709998
HR1 1WN,52.06065,-2.709998
HR1 1WQ,52.06065,-2.709998
HR1 1WR,52.06065,-2.709998
HR1 1WS,52.06075,-2.710029
HR1 1WT,52.06049,-2.696255
HR1 1WU,52.06065,-2.709998
HR1 1WW,52.06065,-2.709998
HR1 1WX,52.05371,-2.68247
HR1 1WY,52.05371,-2.68247
HR1 1WZ,52.06049,-2.696255
HR1 1XA,52.05559,-2.681332
HR1 1XB,52.05315,-2.685612
HR1 1XD,52.05192,-2.68501
HR1 1XE,52.05222,-2.685481
HR1 1XF,52.0516,-2.68324
HR1 1XG,52.05123,-2.683511
HR1 1XH,52.05458,-2.683358
HR1 1XJ,52.05127,-2.676002
HR1 1XL,52.05178,-2.679976
HR1 1XN,52.05082,-2.67652
HR1 1XP,52.0507,-2.678589
HR1 1XQ,52.05081,-2.684628
HR1 1XR,52.05065,-2.681096
HR1 1XS,52.05133,-2.679225
HR1 1XT,52.05112,-2.679543
HR1 1XU,52.05092,-2.679365
HR1 1XW,52.05062,-2.677275
HR1 1XX,52.04983,-2.69574
HR1 1XY,52.0493,-2.700004
HR1 1XZ,52.05114,-2.680418
HR1 1YA,52.04928,-2.678844
HR1 1YB,52.05014,-2.679762
HR1 1YD,52.05028,-2.680216
HR1 1YE,52.04901,-2.677047
HR1 1YF,52.04983,-2.677292
HR1 1YG,52.05017,-2.678741
HR1 1YH,52.06065,-2.709998
HR1 1YJ,52.05012,-2.682415
HR1 1YL,52.06049,-2.696255
HR1 1YN,52.06065,-2.709998
HR1 1YP,52.06065,-2.709998
HR1 1YQ,52.04976,-2.680383
HR1 1YR,52.06065,-2.709998
HR1 1YS,52.06065,-2.709998
HR1 1YT,52.06065,-2.709998
HR1 1YU,52.06065,-2.709998
HR1 1YW,52.06065,-2.709998
HR1 1YX,52.06065,-2.709998
HR1 1YY,52.06065,-2.709998
HR1 1YZ,52.06065,-2.709998
HR1 1ZA,52.06065,-2.709998
HR1 1ZB,52.06065,-2.709998
HR1 1ZD,52.06065,-2.709998
HR1 1ZE,52.06065,-2.709998
HR1 1ZF,52.06065,-2.709998
HR1 1ZG,52.05012,-2.682415
HR1 1ZH,52.06065,-2.709998
HR1 1ZJ,52.06049,-2.69627
HR1 1ZL,52.06065,-2.709998
HR1 1ZN,52.05012,-2.682415
HR1 1ZP,52.06065,-2.709998
HR1 1ZQ,52.06049,-2.696255
HR1 1ZR,52.06049,-2.696255
HR1 1ZS,52.06049,-2.696255
HR1 1ZT,52.06065,-2.709998
HR1 1ZU,52.06065,-2.709998
HR1 1ZW,52.06049,-2.696255
HR1 1ZX,52.06065,-2.709998
HR1 1ZY,52.06065,-2.709998
HR1 2AA,52.05667,-2.716206
HR1 2AB,52.05632,-2.715792
HR1 2AD,52.05698,-2.715803
HR1 2AE,52.0567,-2.715988
HR1 2AF,52.05581,-2.71084
HR1 2AG,52.05694,-2.71271
HR1 2AH,52.05762,-2.710096
HR1 2AJ,52.05688,-2.714941
HR1 2AL,52.055,-2.709165
HR1 2AN,52.05845,-2.71447
HR1 2AP,52.05498,-2.708829
HR1 2AQ,52.0565,-2.71667
HR1 2AR,52.05832,-2.71317
HR1 2AS,52.05526,-2.709315
HR1 2AT,52.05506,-2.709355
HR1 2AU,52.05487,-2.709294
HR1 2AW,52.05898,-2.701395
HR1 2AX,52.05678,-2.714268
HR1 2AZ,52.05803,-2.712407
HR1 2BA,52.05713,-2.713151
HR1 2BB,52.0581,-2.711854
HR1 2BD,52.0585,-2.710912
HR1 2BE,52.05825,-2.711535
HR1 2BG,52.05918,-2.709304
HR1 2BH,52.05804,-2.710248
HR1 2BJ,52.0588,-2.709137
HR1 2BL,52.05805,-2.709067
HR1 2BN,52.05874,-2.707196
HR1 2BP,52.05796,-2.711239
HR1 2BQ,52.05941,-2.7062
HR1 2BS,52.05739,-2.712236
HR1 2BT,52.05711,-2.712684
HR1 2BU,52.055,-2.709165
HR1 2BW,52.05803,-2.707754
HR1 2BX,52.05796,-2.714958
HR1 2BY,52.05663,-2.713551
HR1 2BZ,52.05878,-2.714271
HR1 2DA,52.05729,-2.714918
HR1 2DB,52.05709,-2.714157
HR1 2DD,52.05622,-2.714595
HR1 2DE,52.0574,-2.713388
HR1 2DF,52.0593,-2.71212
HR1 2DG,52.05864,-2.712533
HR1 2DH,52.05769,-2.713247
HR1 2DJ,52.05687,-2.713876
HR1 2DL,52.05651,-2.714016
HR1 2DN,52.05677,-2.713976
HR1 2DP,52.05716,-2.714814
HR1 2DQ,52.05908,-2.711782
HR1 2DR,52.0574,-2.714541
HR1 2DS,52.05754,-2.715681
HR1 2DT,52.05783,-2.714081
HR1 2DU,52.05862,-2.712956
HR1 2DW,52.05741,-2.714322
HR1 2DX,52.05858,-2.711628
HR1 2DY,52.05892,-2.713311
HR1 2DZ,52.05463,-2.706811
HR1 2EA,52.05951,-2.711263
HR1 2EB,52.06058,-2.711718
HR1 2ED,52.05875,-2.712156
HR1 2EE,52.05722,-2.713765
HR1 2EF,52.05749,-2.713375
HR1 2EG,52.05896,-2.714449
HR1 2EH,52.05734,-2.712994
HR1 2EJ,52.0578,-2.713293
HR1 2EP,52.05828,-2.709669
HR1 2ER,52.05853,-2.707776
HR1 2ES,52.05753,-2.708898
HR1 2ET,52.05728,-2.709551
HR1 2EU,52.0572,-2.710191
HR1 2EW,52.0579,-2.710829
HR1 2EX,52.05704,-2.708191
HR1 2EY,52.05564,-2.706856
HR1 2GL,52.05465,-2.710632
HR1 2GY,52.05538,-2.709739
HR1 2HA,52.05623,-2.708367
HR1 2HB,52.05561,-2.707628
HR1 2HD,52.05671,-2.709162
HR1 2HE,52.05709,-2.710992
HR1 2HF,52.05463,-2.706811
HR1 2HG,52.05643,-2.710485
HR1 2HH,52.05622,-2.710132
HR1 2HJ,52.05558,-2.71002
HR1 2HL,52.0555,-2.710004
HR1 2HN,52.05559,-2.710487
HR1 2HP,52.0562,-2.712538
HR1 2HQ,52.055,-2.709165
HR1 2HR,52.05653,-2.711712
HR1 2HS,52.05531,-2.712057
HR1 2HT,52.0569,-2.711558
HR1 2HU,52.05593,-2.71144
HR1 2HW,52.0562,-2.712538
HR1 2HX,52.05623,-2.712524
HR1 2HY,52.0562,-2.712538
HR1 2HZ,52.05533,-2.713122
HR1 2JA,52.05322,-2.706453
HR1 2JB,52.05545,-2.712278
HR1 2JD,52.06075,-2.710029
HR1 2JE,52.05443,-2.713108
HR1 2JF,52.05443,-2.713108
HR1 2JG,52.05444,-2.71165
HR1 2JH,52.05442,-2.709885
HR1 2JJ,52.05427,-2.708891
HR1 2JL,52.05355,-2.710177
HR1 2JN,52.05408,-2.708654
HR1 2JP,52.05356,-2.708311
HR1 2JQ,52.05438,-2.710482
HR1 2JR,52.05282,-2.70652
HR1 2JS,52.05375,-2.707147
HR1 2JT,52.0544,-2.705028
HR1 2JU,52.05477,-2.707498
HR1 2JW,52.0537,-2.708882
