PCDS,LAT,LONG
HS1 2AA,58.20817,-6.380048
HS1 2AB,58.20848,-6.383154
HS1 2AD,58.20875,-6.386339
HS1 2AE,58.20688,-6.386568
HS1 2AF,58.22108,-6.383603
HS1 2AG,58.21325,-6.382005
HS1 2AH,58.2205,-6.395206
HS1 2AJ,58.21495,-6.385094
HS1 2AL,58.20782,-6.375149
HS1 2AN,58.20907,-6.379359
HS1 2AP,58.21869,-6.371632
HS1 2AQ,58.21719,-6.373118
HS1 2AR,58.21775,-6.378691
HS1 2AY,58.20817,-6.380048
HS1 2BA,58.20797,-6.39069
HS1 2BB,58.2077,-6.385783
HS1 2BD,58.20829,-6.390217
HS1 2BE,58.20801,-6.389689
HS1 2BG,58.20806,-6.389355
HS1 2BJ,58.2081,-6.38769
HS1 2BL,58.20775,-6.388294
HS1 2BN,58.20803,-6.386028
HS1 2BQ,58.20807,-6.387567
HS1 2BS,58.20691,-6.384765
HS1 2BT,58.207,-6.38505
HS1 2BU,58.20655,-6.383886
HS1 2BW,58.20898,-6.378717
HS1 2DA,58.2086,-6.388262
HS1 2DB,58.20819,-6.387906
HS1 2DD,58.20945,-6.388401
HS1 2DE,58.20817,-6.380048
HS1 2DF,58.20947,-6.389052
HS1 2DG,58.21084,-6.388591
HS1 2DH,58.20995,-6.387901
HS1 2DJ,58.21406,-6.385377
HS1 2DL,58.21006,-6.383247
HS1 2DN,58.21415,-6.380378
HS1 2DP,58.20824,-6.386701
HS1 2DQ,58.20885,-6.38722
HS1 2DR,58.20949,-6.387623
HS1 2DS,58.21063,-6.387968
HS1 2DT,58.21134,-6.388294
HS1 2DU,58.21225,-6.387623
HS1 2DW,58.21415,-6.380378
HS1 2DX,58.21332,-6.386324
HS1 2DY,58.21305,-6.387791
HS1 2DZ,58.21438,-6.38574
HS1 2EA,58.20688,-6.382785
HS1 2EB,58.21306,-6.387434
HS1 2ED,58.2108,-6.388568
HS1 2EG,58.21728,-6.384428
HS1 2EH,58.21766,-6.386605
HS1 2EJ,58.2183,-6.387605
HS1 2EN,58.21869,-6.388607
HS1 2EP,58.22022,-6.396586
HS1 2EU,58.21973,-6.387202
HS1 2EW,58.21973,-6.392128
HS1 2EX,58.21881,-6.387548
HS1 2EY,58.21863,-6.385634
HS1 2EZ,58.21873,-6.386294
HS1 2FA,58.20911,-6.37892
HS1 2FB,58.20911,-6.37892
HS1 2FD,58.20911,-6.37892
HS1 2FE,58.20911,-6.37892
HS1 2FF,58.20911,-6.37892
HS1 2FG,58.20911,-6.37892
HS1 2FH,58.20911,-6.37892
HS1 2FJ,58.20911,-6.37892
HS1 2FL,58.20911,-6.37892
HS1 2FP,58.20911,-6.37892
HS1 2FQ,58.20911,-6.37892
HS1 2FR,58.20911,-6.37892
HS1 2GA,58.20911,-6.37892
HS1 2GB,58.20911,-6.37892
HS1 2GD,58.20911,-6.37892
HS1 2GE,58.20911,-6.37892
HS1 2GF,58.20911,-6.37892
HS1 2GG,58.20911,-6.37892
HS1 2GH,58.20911,-6.37892
HS1 2GJ,58.20911,-6.37892
HS1 2GL,58.20911,-6.37892
HS1 2GN,58.20911,-6.37892
HS1 2GP,58.20911,-6.37892
HS1 2GQ,58.20911,-6.37892
HS1 2GR,58.20911,-6.37892
HS1 2GS,58.20911,-6.37892
HS1 2GT,58.20911,-6.37892
HS1 2GU,58.20911,-6.37892
HS1 2GW,58.20911,-6.37892
HS1 2GY,58.20911,-6.37892
HS1 2GZ,58.20911,-6.37892
HS1 2HA,58.21831,-6.387112
HS1 2HB,58.21788,-6.386207
HS1 2HD,58.21756,-6.385588
HS1 2HE,58.2179,-6.384061
HS1 2HF,58.21745,-6.381484
HS1 2HG,58.21817,-6.384537
HS1 2HH,58.21851,-6.38221
HS1 2HJ,58.21772,-6.380137
