PCDS,LAT,LONG
HU1 1AA,53.74406,-0.332801
HU1 1AB,53.74406,-0.333165
HU1 1AH,53.74636,-0.329889
HU1 1AJ,53.744,-0.333562
HU1 1AL,53.74041,-0.334826
HU1 1AN,53.74025,-0.335287
HU1 1AP,53.73986,-0.334362
HU1 1AR,53.73983,-0.333817
HU1 1AS,53.7397,-0.335945
HU1 1AT,53.73994,-0.334693
HU1 1AU,53.73973,-0.335156
HU1 1AW,53.73993,-0.333844
HU1 1AX,53.74014,-0.334806
HU1 1AY,53.74228,-0.331659
HU1 1AZ,53.73783,-0.335186
HU1 1BA,53.73974,-0.336384
HU1 1BB,53.74198,-0.332338
HU1 1BD,53.744,-0.333562
HU1 1BE,53.74171,-0.333046
HU1 1BH,53.74009,-0.332215
HU1 1BJ,53.74289,-0.330876
HU1 1DB,53.74361,-0.333653
HU1 1EA,53.74295,-0.332694
HU1 1EB,53.7431,-0.333597
HU1 1ED,53.74343,-0.333645
HU1 1EE,53.744,-0.333562
HU1 1EF,53.74313,-0.332656
HU1 1EG,53.7431,-0.333597
HU1 1EH,53.74362,-0.332091
HU1 1EJ,53.74364,-0.332878
HU1 1EL,53.7434,-0.332448
HU1 1EN,53.74327,-0.333029
HU1 1EP,53.74473,-0.331592
HU1 1EQ,53.74488,-0.33201
HU1 1ER,53.74354,-0.333458
HU1 1ES,53.74218,-0.332117
HU1 1ET,53.74488,-0.33201
HU1 1EW,53.74508,-0.328757
HU1 1EX,53.74409,-0.326567
HU1 1EZ,53.74402,-0.335077
HU1 1HA,53.74566,-0.329841
HU1 1HB,53.74515,-0.330832
HU1 1HG,53.74039,-0.332188
HU1 1HH,53.74409,-0.326567
HU1 1HJ,53.74507,-0.333504
HU1 1HL,53.74514,-0.333274
HU1 1HN,53.74524,-0.332952
HU1 1HP,53.74503,-0.332839
HU1 1HQ,53.7431,-0.333597
HU1 1HS,53.744,-0.333562
HU1 1HT,53.74273,-0.333688
HU1 1HU,53.74221,-0.333633
HU1 1HW,53.74398,-0.332046
HU1 1HX,53.74274,-0.333232
HU1 1HY,53.74221,-0.333633
HU1 1JA,53.74264,-0.333737
HU1 1JB,53.74223,-0.335148
HU1 1JD,53.74223,-0.335148
HU1 1JE,53.74277,-0.33402
HU1 1JF,53.74409,-0.326567
HU1 1JG,53.74298,-0.333648
