PCDS,LAT,LONG
HX1 1AA,53.72435,-1.85746
HX1 1AB,53.72553,-1.860396
HX1 1AD,53.72211,-1.86118
HX1 1AE,53.72348,-1.861449
HX1 1AF,53.72153,-1.857666
HX1 1AG,53.72676,-1.85918
HX1 1AH,53.7224,-1.855072
HX1 1AJ,53.72043,-1.8562
HX1 1BA,53.72224,-1.862059
HX1 1BB,53.72221,-1.861847
HX1 1BD,53.72194,-1.860696
HX1 1BE,53.72143,-1.86147
HX1 1BG,53.72433,-1.857384
HX1 1BH,53.72433,-1.857384
HX1 1BJ,53.72194,-1.860696
HX1 1BL,53.72224,-1.860543
HX1 1BN,53.72224,-1.862059
HX1 1BP,53.72128,-1.861683
HX1 1BQ,53.72404,-1.860537
HX1 1BS,53.72125,-1.860683
HX1 1BT,53.72225,-1.860725
HX1 1BU,53.72127,-1.861638
HX1 1BW,53.72168,-1.860576
HX1 1BX,53.72103,-1.859987
HX1 1BY,53.72044,-1.862065
HX1 1BZ,53.72857,-1.890836
HX1 1DA,53.72044,-1.860549
HX1 1DB,53.7211,-1.859532
HX1 1DD,53.72108,-1.859562
HX1 1DE,53.72121,-1.860016
HX1 1DF,53.72114,-1.860001
HX1 1DG,53.72115,-1.860062
HX1 1DH,53.72181,-1.85912
HX1 1DJ,53.72171,-1.859075
HX1 1DL,53.72199,-1.859802
HX1 1DN,53.72134,-1.860546
HX1 1DP,53.72224,-1.860543
HX1 1DQ,53.72044,-1.860549
HX1 1DR,53.72263,-1.860785
HX1 1DS,53.72236,-1.860422
HX1 1DT,53.72311,-1.860025
HX1 1DU,53.7219,-1.859075
HX1 1DW,53.72224,-1.860543
HX1 1DX,53.72134,-1.859031
HX1 1DY,53.72242,-1.859376
HX1 1DZ,53.72242,-1.859376
HX1 1EA,53.71776,-1.874196
HX1 1EB,53.71867,-1.873056
HX1 1ED,53.72044,-1.860549
HX1 1EE,53.71056,-1.863612
HX1 1EG,53.69978,-1.866676
HX1 1EH,53.70068,-1.865158
HX1 1EJ,53.70068,-1.865158
HX1 1EL,53.70157,-1.860611
HX1 1EP,53.71864,-1.873026
HX1 1EQ,53.70068,-1.865158
HX1 1ES,53.74204,-1.889285
HX1 1ET,53.72134,-1.859031
HX1 1EU,53.72044,-1.859034
HX1 1EX,53.71864,-1.85904
HX1 1EY,53.69711,-1.890917
HX1 1EZ,53.67556,-1.924274
HX1 1FB,53.72433,-1.857384
HX1 1FD,53.72433,-1.857384
HX1 1FE,53.72433,-1.857384
HX1 1FF,53.72433,-1.857384
HX1 1HA,53.72207,-1.862681
HX1 1HB,53.72256,-1.862452
HX1 1HD,53.72314,-1.862056
