PCDS,LAT,LONG
IG1 1AA,51.55825,0.072091
IG1 1AB,51.55825,0.072091
IG1 1AD,51.55807,0.0724
IG1 1AE,51.55675,0.081529
IG1 1AF,51.55675,0.081529
IG1 1AG,51.55765,0.072395
IG1 1AH,51.55667,0.081598
IG1 1AJ,51.55819,0.071539
IG1 1AL,51.55825,0.072091
IG1 1AN,51.55675,0.081529
IG1 1AP,51.55819,0.071539
IG1 1AQ,51.55819,0.071539
IG1 1AR,51.5597,0.071536
IG1 1AS,51.55967,0.072328
IG1 1AT,51.55967,0.072328
IG1 1AU,51.55675,0.081529
IG1 1AW,51.55819,0.071539
IG1 1AX,51.55675,0.081529
IG1 1AY,51.55819,0.071539
IG1 1AZ,51.55807,0.0724
IG1 1BA,51.55788,0.07167
IG1 1BB,51.55789,0.071641
IG1 1BD,51.55769,0.071762
IG1 1BE,51.55912,0.075578
IG1 1BF,51.56121,0.085412
IG1 1BG,51.55815,0.071393
IG1 1BH,51.55787,0.072362
IG1 1BJ,51.55729,0.071498
IG1 1BL,51.55729,0.071498
IG1 1BN,51.55841,0.071968
IG1 1BP,51.55764,0.074097
IG1 1BQ,51.55807,0.0724
IG1 1BS,51.55807,0.0724
IG1 1BT,51.55868,0.07524
IG1 1BU,51.55839,0.071477
IG1 1BW,51.55807,0.0724
IG1 1BX,51.55807,0.0724
IG1 1BY,51.55882,0.073429
IG1 1BZ,51.55807,0.0724
IG1 1DA,51.55877,0.073859
IG1 1DB,51.55926,0.073175
IG1 1DD,51.55807,0.0724
IG1 1DE,51.55883,0.071222
IG1 1DF,51.55675,0.081529
IG1 1DG,51.55928,0.073623
IG1 1DH,51.55807,0.0724
IG1 1DJ,51.55819,0.071669
IG1 1DL,51.5583,0.070939
IG1 1DN,51.55847,0.071869
IG1 1DP,51.5594,0.071797
IG1 1DQ,51.55988,0.07114
IG1 1DR,51.55819,0.071539
IG1 1DS,51.55864,0.072224
IG1 1DT,51.55727,0.075696
IG1 1DU,51.55648,0.075328
IG1 1DW,51.55675,0.081529
IG1 1DX,51.55634,0.074341
IG1 1DY,51.55667,0.081598
IG1 1DZ,51.55877,0.073859
IG1 1EA,51.55806,0.075328
IG1 1EB,51.55726,0.07294
IG1 1ED,51.55616,0.074823
IG1 1EE,51.55715,0.074248
IG1 1EF,51.55886,0.074816
IG1 1EG,51.55819,0.071539
IG1 1EH,51.55459,0.071376
IG1 1EJ,51.55552,0.073611
IG1 1EL,51.55583,0.075948
IG1 1EN,51.55482,0.073839
IG1 1EP,51.55454,0.074259
IG1 1EQ,51.55833,0.073393
IG1 1ER,51.55519,0.076308
IG1 1ES,51.55399,0.074609
IG1 1ET,51.55483,0.076609
IG1 1EU,51.55346,0.075133
IG1 1EW,51.55448,0.075323
IG1 1EX,51.55392,0.077202
IG1 1EY,51.5543,0.078864
IG1 1EZ,51.55476,0.079621
IG1 1FA,51.56088,0.085786
IG1 1FB,51.56042,0.087439
IG1 1FD,51.55446,0.078583
IG1 1FE,51.55675,0.081529
IG1 1FF,51.55446,0.078583
IG1 1FG,51.55675,0.081529
IG1 1FH,51.55807,0.0724
IG1 1FJ,51.55675,0.081529
IG1 1FL,51.55446,0.078583
IG1 1FN,51.55807,0.0724
IG1 1FP,51.55667,0.081598
IG1 1FQ,51.55807,0.0724
IG1 1FR,51.55807,0.0724
IG1 1FS,51.56314,0.091516
IG1 1FT,51.56146,0.08978
IG1 1FU,51.55858,0.072264
IG1 1FW,51.55807,0.0724
IG1 1FX,51.55446,0.078583
IG1 1FY,51.56181,0.0916
IG1 1FZ,51.55675,0.081529
IG1 1GD,51.55675,0.081529
IG1 1GE,51.55807,0.0724
IG1 1GF,51.55667,0.081598
IG1 1GG,51.55675,0.081529
IG1 1GH,51.55583,0.073077
IG1 1GJ,51.55675,0.081529
IG1 1GL,51.55446,0.078583
IG1 1GN,51.55446,0.078583
IG1 1GP,51.55807,0.0724
IG1 1GQ,51.55807,0.0724
IG1 1GR,51.55667,0.081598
IG1 1GS,51.55667,0.081598
IG1 1GT,51.5603,0.080436
IG1 1GU,51.55807,0.0724
IG1 1GW,51.55667,0.081598
IG1 1GX,51.55675,0.081529
IG1 1GY,51.55667,0.081598
IG1 1GZ,51.55807,0.0724
IG1 1HA,51.55503,0.080816
IG1 1HB,51.55506,0.082015
IG1 1HD,51.5552,0.083017
IG1 1HE,51.55439,0.082258
IG1 1HF,51.55368,0.079615
IG1 1HG,51.55323,0.076132
IG1 1HH,51.55724,0.083831
IG1 1HJ,51.55668,0.072885
IG1 1HL,51.55663,0.073892
IG1 1HN,51.5559,0.073195
IG1 1HP,51.55701,0.076088
IG1 1HQ,51.55299,0.076467
IG1 1HR,51.55697,0.0775
IG1 1HS,51.55795,0.080877
IG1 1HT,51.55764,0.081079
IG1 1HU,51.55755,0.083023
IG1 1HW,51.55654,0.075763
IG1 1HX,51.55604,0.083646
IG1 1HY,51.55479,0.084166
IG1 1HZ,51.55362,0.08482
IG1 1JA,51.55708,0.08189
IG1 1JB,51.55596,0.082416
IG1 1JD,51.55676,0.080246
IG1 1JE,51.55578,0.080764
IG1 1JF,51.55784,0.078318
IG1 1JG,51.55802,0.07876
IG1 1JH,51.55944,0.078031
IG1 1JJ,51.5574,0.07638
IG1 1JL,51.55768,0.076782
IG1 1JN,51.55635,0.077486
IG1 1JP,51.55385,0.078771
IG1 1JQ,51.55878,0.079357
IG1 1JR,51.55346,0.078999
IG1 1JS,51.5529,0.081007
IG1 1JT,51.5525,0.081681
IG1 1JU,51.55383,0.080473
IG1 1JW,51.55501,0.077627
IG1 1JX,51.55433,0.080741
IG1 1JY,51.55627,0.079718
IG1 1JZ,51.55603,0.079275
IG1 1LA,51.55598,0.078219
IG1 1LB,51.556,0.078783
IG1 1LD,51.55791,0.077745
IG1 1LE,51.55776,0.077305
IG1 1LF,51.55807,0.0724
IG1 1LG,51.55895,0.076623
IG1 1LH,51.55911,0.075246
IG1 1LJ,51.55944,0.078031
IG1 1LL,51.55913,0.0749
IG1 1LN,51.55807,0.0724
IG1 1LP,51.55988,0.077387
IG1 1LQ,51.55969,0.093927
IG1 1LR,51.5594,0.076399
IG1 1LS,51.55932,0.07589
IG1 1LT,51.55986,0.078829
IG1 1LU,51.55807,0.0724
IG1 1LW,51.55667,0.081598
IG1 1LX,51.55971,0.075706
IG1 1LY,51.55903,0.074463
IG1 1LZ,51.5597,0.075085
IG1 1NA,51.56002,0.077624
