PCDS,LAT,LONG
IM1 1AA,100.0,0.0
IM1 1AD,100.0,0.0
IM1 1AE,100.0,0.0
IM1 1AF,100.0,0.0
IM1 1AG,100.0,0.0
IM1 1AH,100.0,0.0
IM1 1AJ,100.0,0.0
IM1 1AL,100.0,0.0
IM1 1AN,100.0,0.0
IM1 1AP,100.0,0.0
IM1 1AQ,100.0,0.0
IM1 1AR,100.0,0.0
IM1 1AS,100.0,0.0
IM1 1AT,100.0,0.0
IM1 1AU,100.0,0.0
IM1 1AW,100.0,0.0
IM1 1AX,100.0,0.0
IM1 1AY,100.0,0.0
IM1 1AZ,100.0,0.0
IM1 1BA,100.0,0.0
IM1 1BB,100.0,0.0
IM1 1BD,100.0,0.0
IM1 1BE,100.0,0.0
IM1 1BF,100.0,0.0
IM1 1BG,100.0,0.0
IM1 1BH,100.0,0.0
IM1 1BJ,100.0,0.0
IM1 1BL,100.0,0.0
IM1 1BN,100.0,0.0
IM1 1BP,100.0,0.0
IM1 1BQ,100.0,0.0
IM1 1BR,100.0,0.0
IM1 1BS,100.0,0.0
IM1 1BT,100.0,0.0
IM1 1BU,100.0,0.0
IM1 1BW,100.0,0.0
IM1 1BX,100.0,0.0
IM1 1BY,100.0,0.0
IM1 1EA,100,0
IM1 1EB,100,0
IM1 1ED,100,0
IM1 1EE,100,0
IM1 1EF,100,0
IM1 1EG,100,0
IM1 1EH,100,0
IM1 1EJ,100,0
IM1 1EL,100,0
IM1 1EN,100,0
IM1 1EP,100,0
IM1 1EQ,100,0
IM1 1ER,100,0
IM1 1ES,100,0
IM1 1ET,100,0
IM1 1EU,100,0
IM1 1EW,100,0
IM1 1EX,100,0
IM1 1JA,100,0
IM1 1JB,100,0
IM1 1JD,100,0
IM1 1JE,100,0
IM1 1LA,100,0
IM1 1LB,100,0
IM1 1LD,100,0
IM1 1LE,100,0
IM1 1LF,100,0
IM1 1LG,100,0
IM1 1LH,100,0
IM1 1LJ,100,0
IM1 1LL,100,0
IM1 1LN,100,0
IM1 1LP,100,0
IM1 1LQ,100,0
IM1 1LR,100,0
IM1 1LS,100,0
IM1 1LT,100,0
IM1 1LW,100,0
IM1 1PB,100,0
IM1 1PD,100,0
IM1 1PE,100,0
IM1 1PF,100,0
IM1 1PG,100,0
IM1 1PH,100,0
IM1 1PJ,100,0
IM1 1PL,100,0
IM1 1PN,100,0
IM1 1PP,100,0
IM1 1PQ,100,0
IM1 1PR,100,0
IM1 1PS,100,0
IM1 1PT,100,0
IM1 1PU,100,0
IM1 1PX,100,0
IM1 1PY,100,0
IM1 1QA,100,0
IM1 1QB,100,0
IM1 1QD,100,0
IM1 1QE,100,0
IM1 1QF,100,0
IM1 1QG,100,0
IM1 1QH,100,0
IM1 1QJ,100,0
IM1 1QL,100,0
IM1 1QP,100,0
IM1 1QQ,100,0
IM1 1QR,100,0
IM1 1QS,100,0
IM1 1QT,100,0
IM1 1QW,100,0
IM1 1RD,100,0
IM1 1RE,100,0
IM1 1RL,100,0
IM1 1RS,100,0
IM1 1SA,100,0
IM1 1SB,100,0
IM1 1SQ,100,0
IM1 1TA,100,0
IM1 1TB,100,0
IM1 1UB,100,0
IM1 2AB,100,0
IM1 2AD,100,0
IM1 2AF,100,0
IM1 2AG,100,0
IM1 2AH,100,0
IM1 2AJ,100,0
IM1 2AL,100,0
IM1 2AN,100,0
IM1 2AP,100,0
IM1 2AQ,100,0
IM1 2AR,100,0
IM1 2AS,100,0
IM1 2AU,100,0
IM1 2AW,100,0
IM1 2AX,100,0
IM1 2AY,100,0
IM1 2AZ,100,0
IM1 2BA,100,0
IM1 2BB,100,0
IM1 2BD,100,0
IM1 2BE,100,0
IM1 2BF,100,0
IM1 2BG,100,0
IM1 2BH,100,0
IM1 2BJ,100,0
IM1 2BL,100,0
IM1 2BQ,100,0
IM1 2BS,100,0
IM1 2BT,100,0
IM1 2BU,100,0
IM1 2BW,100,0
IM1 2BX,100,0
IM1 2BY,100,0
IM1 2BZ,100,0
IM1 2DA,100,0
IM1 2DB,100,0
IM1 2DD,100,0
IM1 2EA,100,0
IM1 2EB,100,0
IM1 2ED,100,0
IM1 2EE,100,0
IM1 2EF,100,0
IM1 2EG,100,0
IM1 2EH,100,0
IM1 2EJ,100,0
IM1 2EL,100,0
IM1 2EN,100,0
IM1 2EP,100,0
IM1 2EQ,100,0
IM1 2ER,100,0
IM1 2ES,100,0
IM1 2ET,100,0
IM1 2EU,100,0
IM1 2EW,100,0
IM1 2EX,100,0
IM1 2EY,100,0
IM1 2EZ,100,0
IM1 2HA,100,0
IM1 2HB,100,0
IM1 2HD,100,0
IM1 2HE,100,0
IM1 2HF,100,0
IM1 2HG,100,0
IM1 2HH,100,0
IM1 2HJ,100,0
IM1 2HN,100,0
IM1 2HP,100,0
IM1 2HQ,100,0
IM1 2HR,100,0
IM1 2HW,100,0
IM1 2LA,100,0
IM1 2LB,100,0
IM1 2LD,100,0
IM1 2LE,100,0
IM1 2LF,100,0
IM1 2LG,100,0
IM1 2LH,100,0
IM1 2LJ,100,0
IM1 2LL,100,0
IM1 2LN,100,0
IM1 2LP,100,0
IM1 2LQ,100,0
IM1 2LR,100,0
IM1 2LS,100,0
IM1 2LT,100,0
IM1 2LU,100,0
IM1 2LW,100,0
IM1 2LX,100,0
IM1 2LY,100,0
IM1 2LZ,100,0
IM1 2NA,100,0
IM1 2NB,100,0
IM1 2PA,100,0
IM1 2PB,100,0
IM1 2PD,100,0
IM1 2PE,100,0
IM1 2PF,100,0
IM1 2PG,100,0
IM1 2PH,100,0
IM1 2PJ,100,0
IM1 2PL,100,0
IM1 2PN,100,0
IM1 2PP,100,0
IM1 2PQ,100,0
IM1 2PR,100,0
IM1 2PS,100,0
IM1 2PT,100,0
IM1 2PU,100,0
IM1 2PW,100,0
IM1 2PX,100,0
IM1 2QA,100,0
IM1 2QD,100,0
IM1 2QE,100,0
IM1 2QF,100,0
IM1 2QG,100,0
IM1 2QH,100,0
IM1 2QJ,100,0
IM1 2QL,100,0
IM1 2QN,100,0
IM1 2RA,100,0
IM1 2RD,100,0
IM1 2RE,100,0
IM1 2RF,100,0
IM1 2RG,100,0
IM1 2RH,100,0
IM1 2RJ,100,0
IM1 2RL,100,0
IM1 2RN,100,0
IM1 2RP,100,0
IM1 2RQ,100,0
IM1 2RR,100,0
IM1 2RS,100,0
IM1 2RT,100,0
IM1 2RU,100,0
IM1 2RW,100,0
IM1 2RX,100,0
IM1 2RY,100,0
IM1 2RZ,100,0
IM1 2SA,100,0
IM1 2SB,100,0
IM1 2SD,100,0
IM1 2SE,100,0
IM1 2SF,100,0
IM1 2SG,100,0
IM1 2SH,100,0
IM1 2SJ,100,0
IM1 2SL,100,0
IM1 2SN,100,0
IM1 2SP,100,0
IM1 2SQ,100,0
IM1 2SR,100,0
IM1 2UB,100,0
IM1 3AB,100,0
IM1 3AD,100,0
IM1 3AE,100,0
IM1 3AF,100,0
IM1 3AG,100,0
IM1 3AH,100,0
IM1 3AJ,100,0
IM1 3AL,100,0
IM1 3AN,100,0
IM1 3AP,100,0
IM1 3AQ,100,0
IM1 3AR,100,0
IM1 3AS,100,0
IM1 3AU,100,0
IM1 3AW,100,0
IM1 3DA,100,0
IM1 3DB,100,0
IM1 3DD,100,0
IM1 3DE,100,0
IM1 3DF,100,0
IM1 3DG,100,0
IM1 3DH,100,0
IM1 3DJ,100,0
IM1 3DL,100,0
IM1 3DN,100,0
IM1 3DP,100,0
IM1 3DQ,100,0
IM1 3DR,100,0
IM1 3DS,100,0
IM1 3DT,100,0
IM1 3DU,100,0
IM1 3DW,100,0
IM1 3DX,100,0
IM1 3DY,100,0
IM1 3DZ,100,0
IM1 3EA,100,0
IM1 3EB,100,0
IM1 3ED,100,0
IM1 3EE,100,0
IM1 3EF,100,0
IM1 3EG,100,0
IM1 3EH,100,0
IM1 3EJ,100,0
IM1 3EL,100,0
IM1 3EN,100,0
IM1 3EP,100,0
IM1 3EQ,100,0
IM1 3ER,100,0
IM1 3ES,100,0
IM1 3ET,100,0
IM1 3EU,100,0
IM1 3EW,100,0
IM1 3EX,100,0
IM1 3EY,100,0
IM1 3EZ,100,0
IM1 3FH,100,0
IM1 3HA,100,0
IM1 3HD,100,0
IM1 3HE,100,0
IM1 3HF,100,0
IM1 3HG,100,0
IM1 3HH,100,0
IM1 3HQ,100,0
IM1 3JA,100,0
IM1 3JB,100,0
IM1 3JD,100,0
IM1 3JE,100,0
IM1 3JF,100,0
IM1 3JG,100,0
IM1 3JH,100,0
IM1 3JJ,100,0
IM1 3JL,100,0
IM1 3JN,100,0
IM1 3JP,100,0
IM1 3JQ,100,0
IM1 3JR,100,0
IM1 3JS,100,0
IM1 3JT,100,0
IM1 3JU,100,0
IM1 3JW,100,0
IM1 3JX,100,0
IM1 3JY,100,0
IM1 3JZ,100,0
IM1 3LA,100,0
IM1 3LB,100,0
IM1 3LD,100,0
IM1 3LE,100,0
IM1 3LF,100,0
IM1 3LG,100,0
IM1 3LH,100,0
IM1 3LJ,100,0
IM1 3LL,100,0
IM1 3LN,100,0
IM1 3LP,100,0
IM1 3LQ,100,0
IM1 3LR,100,0
IM1 3LS,100,0
IM1 3LT,100,0
IM1 3LU,100,0
IM1 3LW,100,0
IM1 3LX,100,0
IM1 3LY,100,0
IM1 3LZ,100,0
IM1 3NA,100,0
IM1 3NB,100,0
IM1 3ND,100,0
IM1 3PA,100,0
IM1 3PB,100,0
IM1 3PD,100,0
IM1 3PE,100,0
IM1 3PF,100,0
IM1 3PG,100,0
