PCDS,LAT,LONG
IP1 1AA,52.05265,1.146613
IP1 1AB,52.05759,1.152242
IP1 1AD,52.05565,1.152397
IP1 1AE,52.05627,1.151434
IP1 1AF,52.05455,1.150905
IP1 1AG,52.0551,1.153788
IP1 1AH,52.05286,1.14673
IP1 1AN,52.05503,1.152178
IP1 1AP,52.05582,1.152395
IP1 1AQ,52.05806,1.153107
IP1 1AS,52.05749,1.152497
IP1 1AU,52.05228,1.150234
IP1 1AW,52.05202,1.14937
IP1 1AX,52.05327,1.150756
IP1 1AY,52.05611,1.154341
IP1 1AZ,52.05662,1.155091
IP1 1BA,52.05728,1.153168
IP1 1BB,52.05728,1.153256
IP1 1BD,52.05669,1.152179
IP1 1BE,52.05723,1.153398
IP1 1BF,52.05186,1.1493
IP1 1BG,52.05705,1.154057
IP1 1BH,52.05722,1.155105
IP1 1BJ,52.05722,1.155674
IP1 1BL,52.05666,1.153635
IP1 1BN,52.05669,1.152179
IP1 1BP,52.05701,1.154346
IP1 1BQ,52.05725,1.1541
IP1 1BS,52.05666,1.153635
IP1 1BT,52.05692,1.155681
IP1 1BU,52.05669,1.152179
IP1 1BW,52.05286,1.14673
IP1 1BX,52.05759,1.153293
IP1 1BY,52.05739,1.153497
IP1 1BZ,52.05757,1.15313
IP1 1DA,52.05286,1.14673
IP1 1DB,52.05769,1.152118
IP1 1DD,52.05799,1.1523
IP1 1DE,52.05763,1.150786
IP1 1DF,52.0581,1.153431
IP1 1DG,52.05265,1.146613
IP1 1DH,52.05771,1.152499
IP1 1DJ,52.05732,1.154791
IP1 1DL,52.05739,1.154606
IP1 1DN,52.05721,1.155936
IP1 1DP,52.05687,1.154584
IP1 1DQ,52.05756,1.151817
IP1 1DR,52.05669,1.155753
IP1 1DS,52.05707,1.153372
IP1 1DT,52.05677,1.15395
IP1 1DU,52.05677,1.15395
IP1 1DW,52.05666,1.153635
IP1 1DX,52.05677,1.15395
IP1 1DY,52.05698,1.155058
IP1 1DZ,52.057,1.155279
IP1 1EA,52.05753,1.153872
IP1 1EB,52.05286,1.14673
IP1 1ED,52.05513,1.149005
IP1 1EE,52.05754,1.153741
IP1 1EF,52.0516,1.146685
IP1 1EG,52.05729,1.152002
IP1 1EJ,52.05765,1.15086
IP1 1EL,52.0575,1.151681
IP1 1EN,52.05483,1.153988
IP1 1EP,52.05763,1.150611
IP1 1EQ,52.05727,1.151913
IP1 1ER,52.05205,1.152012
IP1 1ES,52.05673,1.150723
IP1 1ET,52.05673,1.150723
IP1 1EU,52.05673,1.150723
IP1 1EW,52.0571,1.151784
IP1 1EX,52.0574,1.151032
IP1 1EY,52.05714,1.151379
IP1 1EZ,52.05689,1.151244
IP1 1FG,52.05265,1.146613
IP1 1HA,52.05265,1.146613
IP1 1HB,52.05722,1.151107
IP1 1HD,52.05265,1.146613
IP1 1HE,52.05726,1.150775
IP1 1HF,52.05673,1.150723
IP1 1HG,52.05286,1.14673
IP1 1HH,52.05785,1.150612
IP1 1HJ,52.05797,1.15062
IP1 1HL,52.05738,1.150914
IP1 1HN,52.05672,1.15113
IP1 1HP,52.05767,1.14933
IP1 1HQ,52.05805,1.150626
IP1 1HR,52.05286,1.14673
IP1 1HS,52.05836,1.150706
IP1 1HT,52.05802,1.150274
IP1 1HU,52.05767,1.14933
IP1 1HW,52.05286,1.14673
IP1 1HX,52.05755,1.150167
IP1 1HY,52.05573,1.152402
IP1 1HZ,52.05733,1.150531
IP1 1JA,52.05677,1.149266
IP1 1JB,52.05677,1.149266
IP1 1JD,52.05442,1.152442
IP1 1JE,52.05442,1.152442
IP1 1JF,52.05584,1.150659
IP1 1JH,52.05584,1.150659
IP1 1JJ,52.05677,1.149266
IP1 1JL,52.05408,1.149077
IP1 1JP,52.05404,1.150533
IP1 1JQ,52.05655,1.150841
IP1 1JR,52.05412,1.147621
IP1 1JS,52.05412,1.147621
IP1 1JT,52.05412,1.147621
IP1 1JU,52.05498,1.14914
IP1 1JX,52.05412,1.147621
IP1 1JY,52.05408,1.149077
IP1 1JZ,52.05408,1.149077
IP1 1LA,52.05408,1.149077
IP1 1LB,52.05404,1.150533
IP1 1LD,52.05487,1.150679
IP1 1LE,52.05404,1.150533
IP1 1LF,52.05487,1.150679
IP1 1LG,52.05474,1.150597
IP1 1LH,52.05494,1.148408
IP1 1LJ,52.05494,1.148408
IP1 1LL,52.05442,1.152442
IP1 1LN,52.05487,1.150679
IP1 1LP,52.05488,1.148418
IP1 1LQ,52.05487,1.150679
IP1 1LR,52.05494,1.148408
IP1 1LS,52.05485,1.15094
IP1 1LT,52.05412,1.147621
IP1 1LU,52.05494,1.148408
IP1 1LW,52.05494,1.148408
IP1 1LX,52.05488,1.148418
IP1 1LY,52.05494,1.148408
IP1 1NA,52.05486,1.150679
IP1 1NB,52.05478,1.150658
IP1 1ND,52.05412,1.147621
IP1 1NE,52.05494,1.148408
IP1 1NF,52.05412,1.147621
IP1 1NY,52.05584,1.150659
IP1 1NZ,52.05584,1.150659
IP1 1PA,52.05669,1.152179
IP1 1PB,52.05286,1.14673
IP1 1PD,52.05698,1.152637
IP1 1PE,52.05669,1.152179
IP1 1PF,52.05669,1.152179
IP1 1PG,52.05669,1.152179
IP1 1PH,52.05663,1.152073
IP1 1PJ,52.05673,1.150723
IP1 1PL,52.05669,1.152179
IP1 1PN,52.05701,1.15261
IP1 1PP,52.05584,1.150659
IP1 1PQ,52.05669,1.152179
IP1 1PS,52.05631,1.15205
IP1 1PT,52.05286,1.14673
IP1 1PU,52.05625,1.151258
IP1 1PW,52.05584,1.150659
IP1 1PX,52.05286,1.14673
IP1 1PY,52.05584,1.150659
IP1 1PZ,52.05286,1.14673
IP1 1QA,52.05549,1.148403
IP1 1QB,52.05376,1.147202
IP1 1QD,52.05565,1.152397
IP1 1QE,52.05393,1.148672
