PCDS,LAT,LONG
IV1 1AA,57.48132,-4.223949
IV1 1AB,57.47923,-4.226791
IV1 1AD,57.48725,-4.225728
IV1 1AE,57.49181,-4.231195
IV1 1AF,57.48911,-4.230346
IV1 1AG,57.48021,-4.227451
IV1 1AH,57.48423,-4.222507
IV1 1AJ,57.48462,-4.223832
IV1 1AN,57.47889,-4.225786
IV1 1AU,57.48962,-4.225121
IV1 1AW,57.47939,-4.226317
IV1 1AX,57.47939,-4.226317
IV1 1AZ,57.4796,-4.225979
IV1 1BA,57.48041,-4.229465
IV1 1BB,57.48008,-4.226776
IV1 1BD,57.4892,-4.231737
IV1 1BG,57.4892,-4.231753
IV1 1DA,57.47963,-4.226048
IV1 1DB,57.4796,-4.225979
IV1 1DD,57.48132,-4.223949
IV1 1DE,57.47939,-4.225416
IV1 1DF,57.47913,-4.225918
IV1 1DG,57.47905,-4.226413
IV1 1DH,57.47939,-4.226317
IV1 1DJ,57.47929,-4.226795
IV1 1DL,57.47923,-4.226791
IV1 1DN,57.47957,-4.226778
IV1 1DP,57.47185,-4.226175
IV1 1DQ,57.47905,-4.22628
IV1 1DR,57.47857,-4.226868
IV1 1DS,57.48132,-4.223949
IV1 1DT,57.47823,-4.227064
IV1 1DU,57.47823,-4.227064
IV1 1DW,57.47884,-4.227234
IV1 1DX,57.47828,-4.226666
IV1 1DY,57.47788,-4.226108
IV1 1DZ,57.47772,-4.225915
IV1 1EA,57.47783,-4.225555
IV1 1EB,57.47818,-4.225693
IV1 1ED,57.47818,-4.225693
IV1 1EE,57.47878,-4.226597
IV1 1EF,57.47793,-4.225427
IV1 1EG,57.47869,-4.226241
IV1 1EH,57.47891,-4.226488
IV1 1EJ,57.47929,-4.226795
IV1 1EL,57.47743,-4.226482
IV1 1EN,57.47982,-4.227444
IV1 1EP,57.4802,-4.228001
IV1 1EQ,57.47864,-4.226388
IV1 1ER,57.48028,-4.228189
IV1 1ES,57.47953,-4.22811
IV1 1ET,57.47755,-4.225771
IV1 1EU,57.47916,-4.227537
IV1 1EW,57.47969,-4.227202
IV1 1EX,57.47875,-4.226361
IV1 1EY,57.48014,-4.228431
IV1 1EZ,57.47771,-4.225865
IV1 1FA,57.50492,-4.257069
IV1 1FB,57.49395,-4.213987
IV1 1FD,57.4674,-4.163204
IV1 1FE,57.46786,-4.162398
IV1 1FF,57.49427,-4.226639
IV1 1FG,57.49551,-4.223744
IV1 1FJ,57.49505,-4.224817
IV1 1FN,57.46745,-4.165208
IV1 1FP,57.46507,-4.167569
IV1 1FR,57.49356,-4.213012
IV1 1FS,57.46792,-4.164069
IV1 1FW,57.46734,-4.166203
IV1 1GA,57.48132,-4.223949
IV1 1GB,57.4937,-4.138061
IV1 1GD,57.47623,-4.223439
IV1 1GE,57.48132,-4.223949
IV1 1GF,57.48132,-4.223949
IV1 1GG,57.4803,-4.22669
IV1 1GH,57.48132,-4.223949
IV1 1GJ,57.47939,-4.226317
IV1 1GQ,57.47849,-4.227747
IV1 1GR,57.48822,-4.216159
IV1 1GS,57.48227,-4.227477
IV1 1GT,57.5319,-4.220648
IV1 1GU,57.47945,-4.224302
IV1 1GW,57.48132,-4.223949
IV1 1GX,57.48132,-4.223949
IV1 1GY,57.4803,-4.22669
IV1 1GZ,57.48246,-4.225587
IV1 1HA,57.47905,-4.22628
IV1 1HB,57.47982,-4.227444
IV1 1HD,57.47733,-4.226492
IV1 1HE,57.47735,-4.226343
IV1 1HF,57.47743,-4.226482
IV1 1HG,57.47717,-4.225998
