PCDS,LAT,LONG
JE1 0BD,100.0,0.0
JE1 0BR,100.0,0.0
JE1 0DF,100.0,0.0
JE1 0DJ,100.0,0.0
JE1 0FS,100.0,0.0
JE1 0NE,100.0,0.0
JE1 0SN,100.0,0.0
JE1 0UG,100.0,0.0
JE1 0WL,100.0,0.0
JE1 1AA,100.0,0.0
JE1 1AB,100.0,0.0
JE1 1AD,100.0,0.0
JE1 1AE,100.0,0.0
JE1 1AF,100,0
JE1 1AG,100,0
JE1 1AS,100,0
JE1 1AW,100,0
JE1 1AX,100,0
JE1 1BA,100,0
JE1 1BB,100,0
JE1 1BD,100,0
JE1 1BF,100,0
JE1 1BG,100,0
JE1 1BH,100,0
JE1 1BJ,100,0
JE1 1BL,100,0
JE1 1BN,100,0
JE1 1BP,100,0
JE1 1BQ,100,0
JE1 1BR,100,0
JE1 1BS,100,0
JE1 1BT,100,0
JE1 1BU,100,0
JE1 1BW,100,0
JE1 1BX,100,0
JE1 1BY,100,0
JE1 1BZ,100,0
JE1 1DB,100,0
JE1 1DD,100,0
JE1 1DE,100,0
JE1 1DG,100,0
JE1 1DJ,100,0
JE1 1DL,100,0
JE1 1DS,100,0
JE1 1EE,100,0
JE1 1EH,100,0
JE1 1EQ,100,0
JE1 1ES,100,0
JE1 1ET,100,0
JE1 1EY,100,0
JE1 1FB,100,0
JE1 1FG,100,0
JE1 1FH,100,0
JE1 1FS,100,0
JE1 1FT,100,0
JE1 1FW,100,0
JE1 1FX,100,0
JE1 1GG,100,0
JE1 1GH,100,0
JE1 1GL,100,0
JE1 1GT,100,0
JE1 1HB,100,0
JE1 1HE,100,0
JE1 1HH,100,0
JE1 1HL,100,0
JE1 1HS,100,0
JE1 1JD,100,0
JE1 1JE,100,0
JE1 1JG,100,0
JE1 1JJ,100,0
JE1 1JL,100,0
JE1 1JP,100,0
JE1 1JR,100,0
JE1 1JW,100,0
JE1 1JY,100,0
JE1 1LB,100,0
JE1 1LD,100,0
JE1 1LH,100,0
JE1 1LR,100,0
JE1 1LS,100,0
JE1 1NB,100,0
JE1 1NH,100,0
JE1 1NT,100,0
JE1 1PB,100,0
JE1 1PP,100,0
JE1 1QJ,100,0
JE1 1RB,100,0
JE1 1SB,100,0
JE1 1SG,100,0
JE1 1SN,100,0
JE1 1ST,100,0
JE1 1SW,100,0
JE1 1TB,100,0
JE1 1TD,100,0
JE1 1TR,100,0
JE1 1UG,100,0
JE1 1WT,100,0
JE1 1XX,100,0
JE1 1YS,100,0
JE1 1ZZ,100,0
JE1 2AA,100,0
JE1 2BP,100,0
JE1 2DJ,100,0
JE1 2HS,100,0
JE1 2JL,100,0
JE1 2LH,100,0
JE1 2PB,100,0
JE1 2PP,100,0
JE1 2RB,100,0
JE1 2ST,100,0
JE1 2TR,100,0
JE1 2UG,100,0
JE1 2UU,100,0
JE1 3BB,100,0
JE1 3FG,100,0
JE1 3GG,100,0
JE1 3HF,100,0
JE1 3NH,100,0
JE1 3PB,100,0
JE1 3QS,100,0
JE1 3RB,100,0
JE1 3SL,100,0
JE1 3UA,100,0
JE1 3UB,100,0
JE1 3UD,100,0
JE1 3UE,100,0
JE1 3UF,100,0
JE1 3UG,100,0
JE1 3UH,100,0
JE1 3UJ,100,0
JE1 3UL,100,0
JE1 3UN,100,0
JE1 3UP,100,0
JE1 3UQ,100,0
JE1 3UR,100,0
JE1 3US,100,0
JE1 3UT,100,0
JE1 3WF,100,0
JE1 3ZD,100,0
JE1 4BB,100,0
JE1 4BP,100,0
JE1 4BT,100,0
JE1 4DJ,100,0
JE1 4DS,100,0
JE1 4FS,100,0
JE1 4HA,100,0
JE1 4HB,100,0
JE1 4HD,100,0
JE1 4HE,100,0
JE1 4HF,100,0
JE1 4HG,100,0
JE1 4HH,100,0
JE1 4HJ,100,0
JE1 4HL,100,0
JE1 4HN,100,0
JE1 4HP,100,0
JE1 4HQ,100,0
JE1 4HR,100,0
JE1 4HS,100,0
JE1 4HT,100,0
JE1 4HU,100,0
JE1 4HW,100,0
JE1 4HX,100,0
JE1 4HY,100,0
JE1 4PB,100,0
JE1 4RB,100,0
JE1 4TR,100,0
JE1 4UG,100,0
JE1 4UU,100,0
JE1 4XA,100,0
JE1 4XD,100,0
JE1 4XE,100,0
JE1 4XF,100,0
JE1 4XG,100,0
JE1 4XL,100,0
JE1 4ZN,100,0
JE1 5AF,100,0
JE1 5BP,100,0
JE1 5BR,100,0
JE1 5DJ,100,0
JE1 5FF,100,0
JE1 5HP,100,0
JE1 5JP,100,0
JE1 5PB,100,0
JE1 5SS,100,0
JE1 5TL,100,0
JE1 5UG,100,0
JE1 6BP,100,0
JE1 6DJ,100,0
JE1 6PB,100,0
JE1 6UG,100,0
JE1 7BB,100,0
JE1 7DJ,100,0
JE1 7UG,100,0
JE1 7XP,100,0
JE1 8BA,100,0
JE1 8FT,100,0
JE1 8PB,100,0
JE1 8SB,100,0
JE1 9BB,100,0
JE1 9LB,100,0
JE1 9PB,100,0
JE1 9TD,100,0
JE2 3AA,100,0
JE2 3AB,100,0
JE2 3AD,100,0
JE2 3AE,100,0
JE2 3AF,100,0
JE2 3AG,100,0
JE2 3AH,100,0
JE2 3AJ,100,0
JE2 3AL,100,0
JE2 3AN,100,0
JE2 3AP,100,0
JE2 3AQ,100,0
JE2 3AR,100,0
JE2 3AS,100,0
JE2 3AT,100,0
