PCDS,LAT,LONG
KA1 1AA,55.60873,-4.500084
KA1 1AD,55.60318,-4.510242
KA1 1AE,55.59845,-4.508749
KA1 1AF,55.59865,-4.508476
KA1 1AH,55.59957,-4.506106
KA1 1AR,55.60873,-4.500084
KA1 1AX,55.60836,-4.500125
KA1 1AY,55.60328,-4.506025
KA1 1BA,55.60847,-4.49848
KA1 1BB,55.60855,-4.499454
KA1 1BD,55.60862,-4.499252
KA1 1BE,55.60839,-4.499968
KA1 1BF,55.60328,-4.506025
KA1 1BG,55.60825,-4.500182
KA1 1BH,55.60887,-4.49976
KA1 1BJ,55.609,-4.500006
KA1 1BL,55.6097,-4.499527
KA1 1BN,55.60932,-4.499709
KA1 1BP,55.60999,-4.499594
KA1 1BQ,55.60873,-4.500084
KA1 1BS,55.60959,-4.499091
KA1 1BT,55.60955,-4.499248
KA1 1BU,55.60933,-4.499123
KA1 1BW,55.59919,-4.493128
KA1 1BX,55.59919,-4.493128
KA1 1BY,55.59919,-4.493128
KA1 1BZ,55.59919,-4.493128
KA1 1DA,55.61069,-4.498637
KA1 1DB,55.6084,-4.498905
KA1 1DD,55.61095,-4.498622
KA1 1DE,55.61079,-4.498676
KA1 1DF,55.60328,-4.506025
KA1 1DG,55.61153,-4.49823
KA1 1DH,55.61171,-4.497384
KA1 1DJ,55.60732,-4.496772
KA1 1DL,55.61165,-4.497793
KA1 1DN,55.61079,-4.498676
KA1 1DP,55.59919,-4.493128
KA1 1DQ,55.61119,-4.498082
KA1 1DS,55.61079,-4.498676
KA1 1DT,55.60823,-4.497893
KA1 1DU,55.60786,-4.49822
KA1 1DX,55.62201,-4.5056
KA1 1DY,55.59919,-4.493128
KA1 1DZ,55.60771,-4.498226
KA1 1EA,55.6084,-4.498905
KA1 1EB,55.60785,-4.499139
KA1 1ED,55.60788,-4.499205
KA1 1EE,55.59919,-4.493128
KA1 1EG,55.60652,-4.499627
KA1 1EH,55.60873,-4.500084
KA1 1EN,55.61047,-4.498036
KA1 1EP,55.60843,-4.49924
KA1 1EQ,55.60694,-4.500622
KA1 1ER,55.60857,-4.498836
KA1 1ES,55.60838,-4.499332
KA1 1ET,55.60838,-4.499332
KA1 1EW,55.60875,-4.498721
KA1 1EX,55.60873,-4.500084
KA1 1EY,55.60881,-4.498264
KA1 1EZ,55.6084,-4.498905
KA1 1GB,55.61144,-4.497193
KA1 1HA,55.60926,-4.498023
KA1 1HB,55.60958,-4.497979
KA1 1HD,55.60958,-4.497979
KA1 1HE,55.60919,-4.499225
KA1 1HF,55.60836,-4.500125
KA1 1HG,55.60946,-4.497559
KA1 1HH,55.60958,-4.497979
KA1 1HJ,55.60922,-4.49883
KA1 1HL,55.60917,-4.498779
KA1 1HN,55.60949,-4.498498
KA1 1HP,55.6101,-4.498648
KA1 1HQ,55.609,-4.499864
KA1 1HR,55.61019,-4.498653
KA1 1HS,55.61092,-4.498382
KA1 1HT,55.61101,-4.498388
KA1 1HU,55.61074,-4.497926
KA1 1HW,55.61026,-4.498658
KA1 1HX,55.60967,-4.496969
KA1 1HZ,55.61021,-4.496908
KA1 1JA,55.61014,-4.496903
KA1 1JB,55.61042,-4.49708
KA1 1JD,55.61069,-4.49689
