PCDS,LAT,LONG
KT1 1AA,51.40869,-0.304444
KT1 1AB,51.41233,-0.302569
KT1 1AD,51.41121,-0.301115
KT1 1AE,51.41261,-0.307304
KT1 1AF,51.41255,-0.307206
KT1 1AH,51.41076,-0.307689
KT1 1AJ,51.41262,-0.307448
KT1 1AL,51.40915,-0.307331
KT1 1AN,51.41187,-0.300918
KT1 1AP,51.41264,-0.301119
KT1 1AQ,51.40994,-0.307403
KT1 1AR,51.41114,-0.300945
KT1 1AS,51.41027,-0.307189
KT1 1AZ,51.40876,-0.307834
KT1 1BA,51.40868,-0.306213
KT1 1BB,51.40887,-0.305659
KT1 1BD,51.40868,-0.306213
KT1 1BE,51.40868,-0.306213
KT1 1BG,51.40866,-0.304776
KT1 1BJ,51.40967,-0.304623
KT1 1BL,51.40918,-0.304526
KT1 1BN,51.40863,-0.303339
KT1 1BP,51.40953,-0.303708
KT1 1BQ,51.40911,-0.305507
KT1 1BS,51.40919,-0.304166
KT1 1BT,51.40953,-0.303305
KT1 1BU,51.40969,-0.303371
KT1 1BW,51.40982,-0.302892
KT1 1BX,51.40994,-0.302859
KT1 1BY,51.41043,-0.303272
KT1 1BZ,51.41043,-0.303272
KT1 1DA,51.41023,-0.302603
KT1 1DB,51.41014,-0.302348
KT1 1DD,51.40994,-0.30224
KT1 1DE,51.41018,-0.302778
KT1 1DF,51.4102,-0.301584
KT1 1DG,51.40883,-0.305862
KT1 1DH,51.41042,-0.302525
KT1 1DJ,51.41005,-0.30215
KT1 1DL,51.40953,-0.303305
KT1 1DN,51.41169,-0.302089
KT1 1DP,51.40953,-0.303305
KT1 1DQ,51.41041,-0.301835
KT1 1DR,51.41033,-0.30247
KT1 1DS,51.40951,-0.301868
KT1 1DT,51.40951,-0.301868
KT1 1DU,51.40951,-0.301868
KT1 1DW,51.40866,-0.304776
KT1 1DX,51.41256,-0.30571
KT1 1DY,51.41008,-0.302192
KT1 1DZ,51.40782,-0.30912
KT1 1EA,51.40784,-0.306589
KT1 1EB,51.40953,-0.303305
KT1 1ED,51.41038,-0.301965
KT1 1EE,51.40915,-0.303161
KT1 1EF,51.40927,-0.303027
KT1 1EG,51.41001,-0.30277
KT1 1EH,51.40954,-0.306756
KT1 1EJ,51.40945,-0.302647
KT1 1EL,51.40944,-0.302647
KT1 1EN,51.40866,-0.304776
KT1 1EP,51.40877,-0.30411
KT1 1EQ,51.40953,-0.303305
KT1 1ER,51.40863,-0.304173
KT1 1ES,51.40886,-0.306076
KT1 1ET,51.40884,-0.306178
KT1 1EU,51.40772,-0.305917
KT1 1EW,51.40866,-0.304776
KT1 1EX,51.41019,-0.30492
KT1 1EY,51.40878,-0.306784
KT1 1EZ,51.40868,-0.306213
KT1 1HA,51.40868,-0.306213
KT1 1HB,51.40873,-0.308483
KT1 1HD,51.40869,-0.306931
KT1 1HE,51.40863,-0.30712
KT1 1HF,51.4087,-0.30765
KT1 1HG,51.40867,-0.308499
KT1 1HH,51.40785,-0.308199
KT1 1HJ,51.4087,-0.30765
KT1 1HL,51.40817,-0.307727
KT1 1HN,51.40725,-0.308092
KT1 1HP,51.40768,-0.307961
KT1 1HR,51.4092,-0.307387
KT1 1HS,51.40876,-0.307834
KT1 1HT,51.40925,-0.307888
KT1 1HU,51.40956,-0.306799
KT1 1HW,51.40768,-0.307932
KT1 1HX,51.40946,-0.307938
KT1 1HY,51.40974,-0.308273
KT1 1HZ,51.40921,-0.304856
KT1 1JA,51.40868,-0.306213
KT1 1JB,51.40966,-0.305328
KT1 1JD,51.40958,-0.305777
KT1 1JE,51.40936,-0.305799
KT1 1JF,51.41234,-0.303474
KT1 1JG,51.40958,-0.30618
KT1 1JH,51.40958,-0.305777
KT1 1JJ,51.40987,-0.305709
KT1 1JL,51.40958,-0.30618
KT1 1JN,51.40958,-0.30618
KT1 1JP,51.41007,-0.306291
KT1 1JQ,51.40921,-0.306049
KT1 1JR,51.41234,-0.303474
KT1 1JS,51.40981,-0.306243
KT1 1JT,51.40907,-0.306716
KT1 1JU,51.40958,-0.30618
KT1 1JW,51.40791,-0.307406
KT1 1JX,51.40933,-0.306534
KT1 1JY,51.41234,-0.303474
KT1 1JZ,51.40978,-0.30715
KT1 1LA,51.4078,-0.307683
KT1 1LB,51.40827,-0.306875
KT1 1LD,51.40868,-0.306213
KT1 1LE,51.4078,-0.307683
KT1 1LF,51.40717,-0.307433
KT1 1LG,51.4069,-0.307716
KT1 1LH,51.4069,-0.307716
KT1 1LJ,51.4069,-0.307716
KT1 1LL,51.4079,-0.307435
KT1 1LN,51.40738,-0.307512
KT1 1LP,51.40809,-0.30727
KT1 1LQ,51.40631,-0.307839
KT1 1LR,51.40827,-0.306875
KT1 1LS,51.406,-0.307749
KT1 1LT,51.406,-0.307749
KT1 1LU,51.406,-0.307749
KT1 1LW,51.406,-0.307749
KT1 1LX,51.4069,-0.307716
KT1 1LY,51.40656,-0.307829
KT1 1LZ,51.40669,-0.307738
KT1 1NA,51.40658,-0.307728
KT1 1NB,51.4056,-0.307851
KT1 1ND,51.406,-0.307749
KT1 1NE,51.41019,-0.30492
KT1 1NF,51.41041,-0.301835
KT1 1NG,51.41093,-0.30646
KT1 1NH,51.41041,-0.301835
KT1 1NJ,51.40663,-0.307755
KT1 1NL,51.41041,-0.301835
KT1 1NN,51.41064,-0.300992
KT1 1NP,51.41055,-0.301657
KT1 1NR,51.41063,-0.303049
KT1 1NS,51.41041,-0.301835
KT1 1NT,51.41041,-0.301835
KT1 1NU,51.41065,-0.303767
KT1 1NW,51.41064,-0.301151
KT1 1NX,51.4108,-0.304394
KT1 1NY,51.41083,-0.305256
KT1 1NZ,51.40478,-0.292827
KT1 1PA,51.41048,-0.306146
KT1 1PB,51.41095,-0.306546
KT1 1PD,51.41139,-0.30755
KT1 1PE,51.41054,-0.306633
KT1 1PF,51.41048,-0.306146
KT1 1PG,51.4096,-0.307617
KT1 1PH,51.41027,-0.307189
KT1 1PJ,51.41044,-0.306953
KT1 1PL,51.41306,-0.307417
KT1 1PN,51.41137,-0.306113
KT1 1PP,51.41095,-0.307121
KT1 1PQ,51.4105,-0.307583
KT1 1PR,51.41186,-0.300961
KT1 1PS,51.41375,-0.307895
KT1 1PT,51.41139,-0.30755
KT1 1PU,51.41229,-0.307517
KT1 1PW,51.41137,-0.306113
KT1 1PX,51.41265,-0.307806
KT1 1PY,51.41029,-0.307994
KT1 1PZ,51.41048,-0.306146
KT1 1QA,51.41227,-0.30608
KT1 1QB,51.41216,-0.306472
KT1 1QD,51.41048,-0.306146
KT1 1QE,51.41056,-0.307049
KT1 1QF,51.40994,-0.306986
KT1 1QG,51.41137,-0.306113
KT1 1QH,51.41133,-0.303239
KT1 1QJ,51.41195,-0.299534
KT1 1QL,51.41111,-0.301219
KT1 1QN,51.41075,-0.307833
