PCDS,LAT,LONG
KW1 4AA,58.44537,-3.094157
KW1 4AB,58.44241,-3.091084
KW1 4AD,58.44231,-3.09103
KW1 4AE,58.44231,-3.09103
KW1 4AF,58.44241,-3.091084
KW1 4AG,58.44182,-3.09295
KW1 4AH,58.44223,-3.092124
KW1 4AJ,58.44218,-3.092533
KW1 4AL,58.44199,-3.092853
KW1 4AN,58.44182,-3.09295
KW1 4AP,58.44152,-3.092872
KW1 4AQ,58.44209,-3.091314
KW1 4AR,58.44228,-3.090207
KW1 4AT,58.53232,-3.113128
KW1 4AW,58.4419,-3.092816
KW1 4AX,58.44282,-3.092981
KW1 4BP,58.44285,-3.092605
KW1 4BS,58.44327,-3.092961
KW1 4BT,58.4428,-3.092706
KW1 4BU,58.47534,-3.11112
KW1 4BX,58.44378,-3.093593
KW1 4BY,58.44415,-3.093194
KW1 4BZ,58.44395,-3.094284
KW1 4DA,58.44507,-3.093736
KW1 4DB,58.44412,-3.094238
KW1 4DD,58.44487,-3.095186
KW1 4DE,58.44468,-3.096756
KW1 4DF,58.44605,-3.098924
KW1 4DG,58.4463,-3.095522
KW1 4DH,58.44662,-3.09728
KW1 4DJ,58.44652,-3.094381
KW1 4DL,58.44787,-3.095297
KW1 4DN,58.44903,-3.095093
KW1 4DP,58.44864,-3.093059
KW1 4DQ,58.44667,-3.097212
KW1 4DR,58.44814,-3.092649
KW1 4DS,58.44785,-3.090413
KW1 4DT,58.44706,-3.090423
KW1 4DU,58.44707,-3.091588
KW1 4DW,58.44826,-3.090751
KW1 4DX,58.44786,-3.092863
KW1 4DY,58.44713,-3.093509
KW1 4DZ,58.4459,-3.092083
KW1 4EA,58.44289,-3.093806
KW1 4EB,58.44251,-3.093914
KW1 4ED,58.44289,-3.093394
KW1 4EE,58.44378,-3.093662
KW1 4EP,58.45063,-3.096342
KW1 4HA,58.44477,-3.091517
KW1 4HB,58.44432,-3.091966
KW1 4HD,58.44493,-3.091505
KW1 4HE,58.44576,-3.089732
KW1 4HF,58.44509,-3.090019
KW1 4HG,58.44532,-3.086566
KW1 4HH,58.44381,-3.0895
KW1 4HJ,58.44436,-3.08974
KW1 4HL,58.44436,-3.08974
KW1 4HN,58.44436,-3.08974
KW1 4HP,58.4464,-3.08761
KW1 4HQ,58.44472,-3.083994
KW1 4HR,58.44593,-3.085145
KW1 4HS,58.44691,-3.086152
KW1 4HT,58.4466,-3.085098
KW1 4HU,58.44544,-3.084668
KW1 4HW,58.44473,-3.088569
KW1 4HX,58.44517,-3.083169
KW1 4HY,58.44507,-3.082344
KW1 4HZ,58.44609,-3.081501
KW1 4JA,58.44566,-3.080203
KW1 4JB,58.44544,-3.081258
KW1 4JD,58.44498,-3.08073
KW1 4JE,58.44547,-3.079632
KW1 4JF,58.44622,-3.079466
KW1 4JG,58.44598,-3.078928
KW1 4JH,58.44346,-3.081301
KW1 4JJ,58.4431,-3.078446
KW1 4JL,58.44381,-3.078553
KW1 4JN,58.4436,-3.079626
KW1 4JP,58.44382,-3.077731
KW1 4JQ,58.44517,-3.078835
KW1 4JR,58.44377,-3.07982
KW1 4JS,58.44692,-3.076798
KW1 4JT,58.44611,-3.089571
KW1 4JW,58.44281,-3.083765
KW1 4JX,58.4427,-3.087735
KW1 4LP,58.44227,-3.090789
KW1 4LR,58.44275,-3.089896
KW1 4LS,58.44273,-3.088884
KW1 4LT,58.44283,-3.089795
KW1 4LU,58.44277,-3.088543
KW1 4LX,58.44338,-3.089915
KW1 4LY,58.44287,-3.09091
KW1 4LZ,58.47366,-3.100917
KW1 4NA,58.44274,-3.091728
KW1 4NB,58.44293,-3.091494
KW1 4ND,58.44326,-3.090888
KW1 4NE,58.44288,-3.091955
KW1 4NF,58.44316,-3.092033
KW1 4NG,58.4423,-3.092828
KW1 4NH,58.44208,-3.093661
KW1 4NJ,58.44252,-3.093897
KW1 4NL,58.44308,-3.094326
KW1 4NN,58.44259,-3.092683
KW1 4NP,58.44344,-3.092178
KW1 4NQ,58.4423,-3.092828
KW1 4NR,58.44316,-3.092581
KW1 4NS,58.44382,-3.09159
KW1 4NT,58.44306,-3.089665
KW1 4NU,58.44298,-3.089217
KW1 4NW,58.44271,-3.093217
KW1 4NX,58.44353,-3.08526
KW1 4NY,58.444,-3.087639
KW1 4NZ,58.44408,-3.084403
KW1 4PA,58.44463,-3.087315
KW1 4PB,58.44459,-3.085344
KW1 4PD,58.44362,-3.082625
KW1 4PE,58.44456,-3.078473
KW1 4PF,58.44382,-3.075984
KW1 4PG,58.4435,-3.074364
KW1 4PH,58.44404,-3.06674
KW1 4PJ,58.44419,-3.067858
KW1 4PL,58.44313,-3.067209
KW1 4PN,58.44545,-3.072127
KW1 4PP,58.44538,-3.07377
KW1 4PQ,58.44349,-3.070749
KW1 4PR,58.44599,-3.072812
KW1 4PY,58.44217,-3.092087
KW1 4QG,58.45204,-3.083911
KW1 4QP,58.45339,-3.087671
KW1 4QQ,58.45131,-3.084574
KW1 4QR,58.45697,-3.105571
KW1 4QS,58.45032,-3.089872
KW1 4QT,58.47268,-3.068053
KW1 4QU,58.45484,-3.058001
KW1 4QW,58.45475,-3.056576
KW1 4QX,58.45514,-3.058662
KW1 4QY,58.45611,-3.056771
KW1 4QZ,58.45059,-3.056246
KW1 4RA,58.45007,-3.056316
KW1 4RB,58.44943,-3.055132
KW1 4RD,58.44859,-3.060504
KW1 4RE,58.44753,-3.060643
KW1 4RF,58.44489,-3.067553
KW1 4RG,58.46478,-3.108764
KW1 4RH,58.46171,-3.111427
KW1 4RJ,58.47261,-3.102341
KW1 4RL,58.47375,-3.100748
KW1 4RN,58.47312,-3.102529
KW1 4RP,58.47522,-3.143421
KW1 4RQ,58.458,-3.110813
KW1 4RR,58.4721,-3.148772
KW1 4RS,58.47456,-3.145903
KW1 4RT,58.47478,-3.14687
KW1 4RU,58.47375,-3.147214
KW1 4RW,58.47478,-3.134833
KW1 4RX,58.48676,-3.163521
KW1 4RY,58.50863,-3.154136
KW1 4RZ,58.45443,-3.057441
KW1 4SA,58.47634,-3.149459
KW1 4SB,58.45276,-3.05602
KW1 4SD,58.44733,-3.061048
KW1 4TA,58.47006,-3.224243
KW1 4TB,58.45944,-3.156654
KW1 4TD,58.45356,-3.102842
KW1 4TE,58.44234,-3.091219
KW1 4TL,58.54913,-3.31826
KW1 4TN,58.54766,-3.312792
KW1 4TP,58.52881,-3.268742
KW1 4TR,58.50976,-3.226912
KW1 4TS,58.54442,-3.307895
KW1 4TT,58.53388,-3.323167
KW1 4TW,58.55779,-3.30145
KW1 4UD,58.54313,-3.203785
KW1 4UE,58.54111,-3.248022
KW1 4UF,58.56455,-3.260356
KW1 4UG,58.56744,-3.221657
KW1 4UQ,58.54492,-3.207283
KW1 4UR,58.49771,-3.148681
KW1 4UY,58.5347,-3.122616
KW1 4UZ,58.53534,-3.123134
KW1 4WA,58.47534,-3.11112
KW1 4WB,58.44227,-3.090789
KW1 4WX,58.44227,-3.090789
KW1 4WY,58.44227,-3.090789
KW1 4WZ,58.44227,-3.090789
KW1 4XA,58.53531,-3.125143
KW1 4XB,58.53272,-3.118997
KW1 4XD,58.53204,-3.116709
KW1 4XE,58.5325,-3.120484
KW1 4XF,58.54214,-3.118542
KW1 4XG,58.52845,-3.135364
KW1 4XH,58.44855,-3.059989
KW1 4XP,58.56159,-3.09496
KW1 4XR,58.55823,-3.086124
KW1 4XX,58.59784,-3.070851
KW1 4YA,58.47534,-3.11112
KW1 4YB,58.63738,-3.165031
KW1 4YD,58.62532,-3.164388
KW1 4YE,58.44227,-3.090789
KW1 4YH,58.63214,-3.118025
KW1 4YJ,58.63269,-3.124743
KW1 4YL,58.64183,-3.103725
KW1 4YN,58.63332,-3.122834
KW1 4YP,58.44227,-3.090789
KW1 4YR,58.63952,-3.073178
KW1 4YS,58.63701,-3.056375
KW1 4YT,58.63569,-3.061588
KW1 4YU,58.63924,-3.065882
KW1 4YX,58.64281,-3.070264
KW1 4ZG,58.6367,-3.061378
KW1 5AA,58.44073,-3.095794
KW1 5AB,58.43974,-3.093108
KW1 5AD,58.43934,-3.09164
KW1 5AE,58.4394,-3.093046
KW1 5AF,58.43877,-3.090595
KW1 5AG,58.43888,-3.088748
KW1 5AH,58.4384,-3.088117
KW1 5AJ,58.43827,-3.088387
KW1 5AL,58.43761,-3.088846
KW1 5AN,58.43745,-3.089064
KW1 5AP,58.43924,-3.087663
KW1 5AQ,58.4389,-3.087824
KW1 5AR,58.43937,-3.087256
KW1 5AS,58.43861,-3.086479
KW1 5AT,58.43824,-3.086382
KW1 5AU,58.43793,-3.085053
KW1 5AW,58.43888,-3.087241
KW1 5AX,58.43746,-3.085176
KW1 5AY,58.43703,-3.085694
KW1 5AZ,58.43637,-3.083601
KW1 5BA,58.43515,-3.085516
KW1 5BB,58.43592,-3.083193
KW1 5BD,58.43646,-3.085231
KW1 5BE,58.43584,-3.085948
KW1 5BF,58.42941,-3.083798
KW1 5BG,58.43475,-3.085623
KW1 5BH,58.43305,-3.085708
KW1 5BJ,58.43295,-3.087709
KW1 5BL,58.43193,-3.086444
KW1 5BN,58.43223,-3.088371
KW1 5BP,58.45288,-3.090791
KW1 5BQ,58.43435,-3.087204
KW1 5BS,58.4336,-3.087917
KW1 5BT,58.43436,-3.088489
KW1 5BU,58.51313,-3.343911
KW1 5BW,58.43311,-3.089837
KW1 5BX,58.4406,-3.094111
KW1 5BY,58.42892,-3.083149
KW1 5EA,58.44066,-3.093068
KW1 5EB,58.44065,-3.092708
KW1 5ED,58.44035,-3.093059
KW1 5EF,58.44059,-3.094025
KW1 5EG,58.44033,-3.089923
KW1 5EH,58.44081,-3.089647
KW1 5EJ,58.44139,-3.089579
KW1 5EL,58.44161,-3.08837
KW1 5EN,58.44118,-3.087363
KW1 5EP,58.44006,-3.087123
KW1 5EQ,58.44041,-3.089138
KW1 5ER,58.44043,-3.087015
KW1 5ES,58.44049,-3.088267
KW1 5ET,58.44006,-3.088082
KW1 5EU,58.43998,-3.088354
KW1 5EW,58.43995,-3.087822
KW1 5EX,58.43991,-3.08729
KW1 5EY,58.43984,-3.089394
KW1 5EZ,58.4394,-3.086554
KW1 5HA,58.43897,-3.08476
KW1 5HB,58.43893,-3.085358
KW1 5HD,58.43734,-3.083785
KW1 5HE,58.43699,-3.083517
KW1 5HF,58.43681,-3.082775
KW1 5HG,58.43637,-3.082111
KW1 5HH,58.4357,-3.081217
KW1 5HJ,58.435,-3.081452
KW1 5HL,58.43556,-3.079859
KW1 5HN,58.43443,-3.079705
KW1 5HP,58.43272,-3.081348
KW1 5HQ,58.43624,-3.080839
KW1 5HR,58.43428,-3.082423
KW1 5HS,58.43528,-3.082625
KW1 5HT,58.44006,-3.08714
KW1 5HU,58.43349,-3.080156
KW1 5HW,58.43375,-3.08138
KW1 5HX,58.43323,-3.078743
KW1 5HY,58.43292,-3.079864
KW1 5HZ,58.43316,-3.079495
KW1 5JA,58.43388,-3.0789
KW1 5JB,58.43509,-3.078406
KW1 5JD,58.43493,-3.07859
KW1 5JE,58.43919,-3.12341
KW1 5JF,58.43319,-3.078262
KW1 5JG,58.43347,-3.077295
KW1 5LA,58.44044,-3.096625
KW1 5LB,58.44104,-3.097191
KW1 5LD,58.44151,-3.103167
KW1 5LE,58.4408,-3.101603
KW1 5LF,58.43982,-3.096485
KW1 5LG,58.4395,-3.095996
KW1 5LH,58.43951,-3.098257
KW1 5LJ,58.4387,-3.096536
KW1 5LL,58.43908,-3.098192
KW1 5LN,58.43976,-3.099224
KW1 5LP,58.44128,-3.10179
KW1 5LQ,58.43973,-3.097236
KW1 5LR,58.44141,-3.10462
KW1 5LS,58.43956,-3.100177
KW1 5LT,58.43844,-3.100211
KW1 5LU,58.43807,-3.097013
KW1 5LW,58.44097,-3.099776
KW1 5LX,58.43719,-3.094776
KW1 5LY,58.43663,-3.094999
KW1 5LZ,58.43671,-3.095669
KW1 5NA,58.4371,-3.098045
KW1 5NB,58.4361,-3.099264
KW1 5ND,58.43473,-3.096601
KW1 5NE,58.43503,-3.094949
KW1 5NF,58.43548,-3.096008
KW1 5NG,58.43402,-3.095979
KW1 5NH,58.43355,-3.094663
KW1 5NJ,58.43417,-3.093758
KW1 5NL,58.43568,-3.09401
KW1 5NN,58.43525,-3.093432
KW1 5NP,58.43597,-3.093454
KW1 5NQ,58.43301,-3.096976
KW1 5NR,58.43636,-3.093295
KW1 5NS,58.44133,-3.095744
KW1 5NT,58.44204,-3.097479
KW1 5NU,58.43147,-3.096962
KW1 5NW,58.43543,-3.092958
KW1 5PY,58.43812,-3.093932
KW1 5PZ,58.43859,-3.094426
KW1 5QA,58.43933,-3.093438
KW1 5QB,58.43861,-3.091772
KW1 5QD,58.43933,-3.0945
KW1 5QE,58.43852,-3.095383
KW1 5QF,58.43824,-3.092308
KW1 5QG,58.43796,-3.090775
KW1 5QH,58.43648,-3.089136
KW1 5QJ,58.43713,-3.091383
KW1 5QL,58.43646,-3.090831
KW1 5QN,58.43651,-3.086585
KW1 5QP,58.43612,-3.091232
KW1 5QQ,58.43708,-3.089823
KW1 5QR,58.43715,-3.094158
KW1 5QS,58.43759,-3.094429
KW1 5QW,58.43581,-3.088054
KW1 5SA,58.43552,-3.10536
KW1 5SB,58.42992,-3.116076
KW1 5SD,58.42755,-3.149803
KW1 5SE,58.38306,-3.170433
KW1 5SF,58.41376,-3.159692
KW1 5SG,58.43127,-3.164121
KW1 5SP,58.44227,-3.107165
KW1 5SR,58.44156,-3.112453
KW1 5SS,58.44106,-3.119992
KW1 5ST,58.44236,-3.134577
KW1 5SU,58.4441,-3.157744
KW1 5SX,58.44335,-3.158747
KW1 5SY,58.4431,-3.157437
KW1 5SZ,58.43998,-3.167304
KW1 5TA,58.45441,-3.217204
KW1 5TB,58.46022,-3.238076
KW1 5TD,58.43758,-3.123444
KW1 5TE,58.39091,-3.134412
KW1 5TF,58.42999,-3.086402
KW1 5TG,58.43047,-3.087803
KW1 5TH,58.4301,-3.086884
KW1 5TJ,58.42863,-3.084596
KW1 5TL,58.42987,-3.084514
KW1 5TN,58.43233,-3.074075
KW1 5TP,58.42326,-3.09544
KW1 5TQ,58.39086,-3.13672
KW1 5TR,58.38871,-3.132545
KW1 5TS,58.39022,-3.133671
KW1 5TT,58.38983,-3.132154
KW1 5TU,58.37786,-3.120895
KW1 5TW,58.43201,-3.091464
KW1 5TX,58.38079,-3.147066
KW1 5TY,58.42802,-3.092591
KW1 5TZ,58.38868,-3.13145
KW1 5UG,58.46841,-3.272497
KW1 5UH,58.48367,-3.286821
KW1 5UJ,58.47821,-3.290171
KW1 5UL,58.4841,-3.268021
KW1 5UN,58.50351,-3.260707
KW1 5UP,58.5086,-3.332273
KW1 5UQ,58.45069,-3.278265
KW1 5UR,58.51628,-3.353869
KW1 5UT,58.51673,-3.356821
KW1 5UU,58.52178,-3.366563
KW1 5UW,58.50566,-3.29818
KW1 5XG,58.47297,-3.305153
KW1 5XH,58.47465,-3.309759
KW1 5XJ,58.46485,-3.318583
KW1 5XL,58.48505,-3.360145
KW1 5XN,58.48205,-3.386441
KW1 5XP,58.47288,-3.305218
KW1 5XQ,58.47282,-3.308954
KW1 5XR,58.46592,-3.42604
KW1 5XS,58.46676,-3.428217
KW1 5XT,58.42878,-3.419314
KW1 5XU,58.45646,-3.429564
KW1 5XW,58.46259,-3.416306
KW1 5XX,58.46666,-3.360583
KW1 5XY,58.4493,-3.325146
KW1 5YA,58.43758,-3.123444
