PCDS,LAT,LONG
KY1 1AA,56.11169,-3.160651
KY1 1AB,56.09884,-3.166244
KY1 1AD,56.09869,-3.167381
KY1 1AF,56.11234,-3.164385
KY1 1AG,56.11792,-3.158684
KY1 1AH,56.10957,-3.160555
KY1 1AJ,56.1117,-3.160635
KY1 1AL,56.11187,-3.172186
KY1 1AN,56.11136,-3.166285
KY1 1AW,56.11593,-3.163014
KY1 1BA,56.11348,-3.157489
KY1 1BB,56.11283,-3.156279
KY1 1BD,56.1151,-3.155688
KY1 1BE,56.11443,-3.156295
KY1 1BG,56.11306,-3.157042
KY1 1BH,56.11586,-3.156483
KY1 1BJ,56.11605,-3.155813
KY1 1BL,56.11674,-3.156992
KY1 1BN,56.11721,-3.157826
KY1 1BP,56.11745,-3.157222
KY1 1BQ,56.11515,-3.155287
KY1 1BS,56.11634,-3.158507
KY1 1BT,56.11703,-3.158126
KY1 1BU,56.11689,-3.158411
KY1 1BX,56.11673,-3.159532
KY1 1BZ,56.11667,-3.160721
KY1 1DA,56.11337,-3.161634
KY1 1DB,56.11445,-3.163307
KY1 1DD,56.11393,-3.164208
KY1 1DE,56.11436,-3.163465
KY1 1DF,56.11436,-3.163465
KY1 1DG,56.11657,-3.161795
KY1 1DH,56.11575,-3.162237
KY1 1DJ,56.115,-3.161668
KY1 1DL,56.11411,-3.160804
KY1 1DN,56.11515,-3.159099
KY1 1DP,56.11596,-3.160394
KY1 1DQ,56.11491,-3.163916
KY1 1DR,56.11642,-3.161083
KY1 1DS,56.11689,-3.159392
KY1 1DT,56.11823,-3.157052
KY1 1DU,56.11813,-3.157709
KY1 1DW,56.11661,-3.163163
KY1 1DX,56.1181,-3.157869
KY1 1DY,56.11716,-3.159995
KY1 1DZ,56.11569,-3.163409
KY1 1EA,56.11745,-3.159843
KY1 1EB,56.11745,-3.159538
KY1 1ED,56.11088,-3.160739
KY1 1EE,56.11169,-3.160651
KY1 1EF,56.11169,-3.160651
KY1 1EG,56.10897,-3.16266
KY1 1EH,56.11201,-3.158458
KY1 1EJ,56.11187,-3.172186
KY1 1EL,56.11147,-3.160773
KY1 1EN,56.11222,-3.15959
KY1 1EP,56.11187,-3.172186
KY1 1EQ,56.11185,-3.160383
KY1 1ER,56.1114,-3.162025
KY1 1ES,56.1114,-3.16225
KY1 1ET,56.11171,-3.163032
KY1 1EU,56.11192,-3.162041
KY1 1EW,56.11234,-3.159722
KY1 1EX,56.11295,-3.162024
KY1 1EY,56.11255,-3.163218
KY1 1EZ,56.11302,-3.164036
KY1 1GA,56.08849,-3.160548
KY1 1GB,56.091,-3.163516
KY1 1GD,56.09122,-3.160678
KY1 1GE,56.08993,-3.163355
KY1 1GF,56.09036,-3.164188
KY1 1GG,56.09092,-3.16451
KY1 1GH,56.08819,-3.163062
KY1 1GJ,56.08683,-3.160835
KY1 1GL,56.08525,-3.161093
KY1 1HA,56.11348,-3.163439
KY1 1HB,56.11346,-3.158533
KY1 1HD,56.11324,-3.15753
KY1 1HE,56.1134,-3.157229
KY1 1HF,56.11187,-3.172186
KY1 1HG,56.11512,-3.157104
KY1 1HH,56.11607,-3.158644
KY1 1HJ,56.11574,-3.157878
KY1 1HL,56.11131,-3.156298
KY1 1HN,56.11054,-3.16007
KY1 1HP,56.11089,-3.160144
KY1 1HQ,56.11529,-3.156803
KY1 1HR,56.11247,-3.155046
KY1 1HS,56.1121,-3.155196
KY1 1HT,56.1121,-3.155196
KY1 1HU,56.1134,-3.163597
KY1 1HX,56.11007,-3.159493
KY1 1HY,56.11184,-3.158227
KY1 1HZ,56.11245,-3.155512
KY1 1JA,56.11103,-3.158493
KY1 1JB,56.11108,-3.158542
KY1 1JD,56.1114,-3.158101
KY1 1JE,56.1113,-3.158163
KY1 1JF,56.11216,-3.157095
KY1 1JG,56.11272,-3.156179
KY1 1JH,56.11267,-3.155953
KY1 1JJ,56.11451,-3.151601
KY1 1JL,56.11319,-3.154971
KY1 1JN,56.11371,-3.154263
KY1 1JP,56.11062,-3.157724
KY1 1JQ,56.11272,-3.156179
KY1 1JR,56.11273,-3.155054
KY1 1JS,56.11388,-3.152049
KY1 1JT,56.11164,-3.156919
KY1 1JU,56.10951,-3.163818
KY1 1JW,56.11104,-3.157898
KY1 1JX,56.11023,-3.163341
KY1 1JY,56.11164,-3.156919
KY1 1JZ,56.11163,-3.157111
KY1 1LA,56.11233,-3.156216
KY1 1LB,56.11272,-3.155246
KY1 1LD,56.11411,-3.153374
KY1 1LE,56.11273,-3.155054
KY1 1LF,56.11443,-3.155587
KY1 1LG,56.11163,-3.157111
KY1 1LH,56.10774,-3.160371
KY1 1LJ,56.10786,-3.160455
KY1 1LL,56.10769,-3.160322
KY1 1LN,56.10864,-3.160254
KY1 1LP,56.10963,-3.159785
KY1 1LQ,56.10708,-3.160384
KY1 1LR,56.11033,-3.159195
KY1 1LS,56.1123,-3.156215
KY1 1LT,56.10774,-3.160371
KY1 1LU,56.10748,-3.159511
KY1 1LW,56.1096,-3.159656
KY1 1LX,56.10774,-3.160371
KY1 1LY,56.1123,-3.156215
KY1 1NA,56.10795,-3.159783
KY1 1NB,56.10873,-3.159549
KY1 1ND,56.10848,-3.159509
KY1 1NE,56.10852,-3.159639
KY1 1NF,56.10882,-3.159761
KY1 1NG,56.10982,-3.15725
KY1 1NH,56.10812,-3.157505
KY1 1NJ,56.1098,-3.156928
KY1 1NL,56.10918,-3.159257
KY1 1NN,56.11187,-3.172186
KY1 1NP,56.10519,-3.15978
KY1 1NQ,56.11037,-3.158521
KY1 1NR,56.10853,-3.160379
KY1 1NS,56.10939,-3.159874
KY1 1NT,56.10666,-3.160596
KY1 1NU,56.10945,-3.158558
KY1 1NW,56.11043,-3.158137
KY1 1NX,56.10944,-3.159232
KY1 1NY,56.10661,-3.164421
KY1 1NZ,56.10635,-3.163754
KY1 1PA,56.10711,-3.163793
KY1 1PB,56.10749,-3.164802
KY1 1PD,56.10748,-3.168725
KY1 1PE,56.09573,-3.162646
KY1 1PF,56.10724,-3.167672
KY1 1PG,56.10645,-3.163709
KY1 1PH,56.10671,-3.164891
KY1 1PJ,56.0956,-3.163092
KY1 1PL,56.10644,-3.166458
KY1 1PN,56.10493,-3.167972
KY1 1PP,56.10582,-3.167629
KY1 1PQ,56.09579,-3.164416
KY1 1PR,56.1059,-3.166506
KY1 1PS,56.10558,-3.16476
KY1 1PT,56.10505,-3.16685
KY1 1PU,56.10482,-3.165766
KY1 1PW,56.10677,-3.167353
KY1 1PX,56.10536,-3.166329
KY1 1PY,56.1063,-3.165714
KY1 1PZ,56.10257,-3.162659
KY1 1QA,56.1043,-3.159464
KY1 1QB,56.10683,-3.161743
KY1 1QD,56.10359,-3.159812
KY1 1QE,56.10573,-3.160118
KY1 1QF,56.10664,-3.161287
KY1 1QG,56.10749,-3.161136
KY1 1QH,56.10547,-3.159949
KY1 1QJ,56.10535,-3.159335
KY1 1QL,56.10409,-3.160551
KY1 1QN,56.10656,-3.161301
KY1 1QP,56.1028,-3.160512
KY1 1QQ,56.10652,-3.162409
KY1 1QR,56.10205,-3.161165
KY1 1QS,56.101,-3.161889
KY1 1QT,56.10057,-3.16702
KY1 1QU,56.10041,-3.16581
KY1 1QW,56.1046,-3.159762
KY1 1QX,56.1004,-3.162031
KY1 1QY,56.09982,-3.161837
KY1 1QZ,56.10211,-3.160475
KY1 1RB,56.10126,-3.160755
KY1 1RD,56.10043,-3.161357
KY1 1RE,56.10338,-3.159581
KY1 1RF,56.10638,-3.159269
KY1 1RG,56.10078,-3.16275
KY1 1RH,56.10652,-3.162409
KY1 1RJ,56.11745,-3.159538
KY1 1RL,56.10785,-3.159522
KY1 1RN,56.10831,-3.158813
KY1 1RP,56.10627,-3.160198
KY1 1RQ,56.10924,-3.157217
KY1 1RR,56.09958,-3.167681
KY1 1RS,56.11087,-3.166834
KY1 1RT,56.11745,-3.159538
KY1 1RU,56.11136,-3.166285
KY1 1RW,56.11079,-3.157038
KY1 1RX,56.08759,-3.16179
KY1 1RY,56.10239,-3.168522
KY1 1RZ,56.10057,-3.167711
KY1 1SA,56.10107,-3.168579
KY1 1SB,56.09337,-3.16399
KY1 1SD,56.09871,-3.168877
KY1 1SE,56.0999,-3.164074
KY1 1SF,56.09386,-3.163297
KY1 1SG,56.09927,-3.164119
KY1 1SH,56.09918,-3.165322
KY1 1SJ,56.09396,-3.162239
KY1 1SL,56.09778,-3.161454
KY1 1SN,56.09356,-3.164703
KY1 1SP,56.09866,-3.163008
KY1 1SQ,56.09087,-3.162017
KY1 1SR,56.09653,-3.163892
KY1 1SS,56.09114,-3.162556
KY1 1ST,56.09648,-3.165546
KY1 1SU,56.09518,-3.165427
KY1 1SW,56.11168,-3.155505
