PCDS,LAT,LONG
L1 0AA,53.39674,-2.981033
L1 0AB,53.39681,-2.979846
L1 0AD,53.39491,-2.978284
L1 0AE,53.39601,-2.983979
L1 0AF,53.39707,-2.981732
L1 0AG,53.39693,-2.980556
L1 0AH,53.39539,-2.980129
L1 0AJ,53.39685,-2.983547
L1 0AL,53.39491,-2.978284
L1 0AN,53.39718,-2.982186
L1 0AP,53.3948,-2.978341
L1 0AQ,53.39646,-2.981628
L1 0AR,53.39659,-2.981887
L1 0AS,53.397,-2.981039
L1 0AT,53.397,-2.981039
L1 0AU,53.39605,-2.982972
L1 0AW,53.39693,-2.983158
L1 0AX,53.39599,-2.982128
L1 0AY,53.39664,-2.983046
L1 0AZ,53.39599,-2.982128
L1 0BA,53.39649,-2.983493
L1 0BB,53.39558,-2.984976
L1 0BD,53.3974,-2.98201
L1 0BE,53.39635,-2.980738
L1 0BF,53.39724,-2.982669
L1 0BG,53.39531,-2.982955
L1 0BH,53.39559,-2.983473
L1 0BJ,53.39559,-2.983473
L1 0BL,53.39603,-2.979347
L1 0BN,53.39604,-2.980175
L1 0BP,53.39597,-2.979752
L1 0BQ,53.39559,-2.983473
L1 0BS,53.39489,-2.978388
L1 0BT,53.39472,-2.977753
L1 0BW,53.39519,-2.980741
L1 0BX,53.39473,-2.978941
L1 0BY,53.3942,-2.98105
L1 0DA,53.39512,-2.98086
L1 0DB,53.39614,-2.98159
L1 0DD,53.3965,-2.98199
L1 0DE,53.39559,-2.983473
L1 0DF,53.39614,-2.98159
L1 0DG,53.39475,-2.977107
L1 0DH,53.39501,-2.98158
L1 0DN,53.39571,-2.978212
L1 0DP,53.39563,-2.978962
L1 0DQ,53.39499,-2.976676
L1 0DS,53.39499,-2.976676
L1 0DU,53.39514,-2.977161
L1 0DW,53.39514,-2.977161
L1 0DX,53.39724,-2.982669
L1 0DY,53.39724,-2.982669
L1 0EB,53.39523,-2.983359
L1 0GG,53.39532,-2.977436
L1 0YA,53.38033,-2.976431
L1 1AA,53.40623,-2.98089
L1 1AD,53.40505,-2.980773
L1 1AH,53.40832,-2.977222
L1 1DA,53.4055,-2.984559
L1 1DB,53.40415,-2.977939
L1 1DD,53.40548,-2.983701
L1 1DE,53.40531,-2.982945
L1 1DF,53.4057,-2.983525
L1 1DG,53.40505,-2.981796
L1 1DH,53.40729,-2.982238
L1 1DJ,53.40541,-2.982376
L1 1DN,53.40512,-2.982098
L1 1DP,53.40577,-2.981601
L1 1DQ,53.40506,-2.981856
L1 1DS,53.40595,-2.984118
L1 1DT,53.40548,-2.983701
L1 1DW,53.40549,-2.982197
L1 1DX,53.40548,-2.983701
L1 1DZ,53.40545,-2.983309
L1 1EA,53.406,-2.982494
L1 1EB,53.40596,-2.984554
L1 1ED,53.40602,-2.9826
L1 1EE,53.40662,-2.984284
L1 1EF,53.40639,-2.984248
L1 1EG,53.40638,-2.983721
L1 1EH,53.40638,-2.983721
L1 1EJ,53.40621,-2.983191
L1 1EL,53.40645,-2.982655
L1 1EP,53.40707,-2.981887
L1 1EQ,53.40673,-2.983835
L1 1ES,53.40684,-2.983145
L1 1ET,53.40835,-2.982217
L1 1EW,53.40624,-2.983598
L1 1FS,53.40485,-2.979234
L1 1HF,53.40829,-2.982081
L1 1HH,53.40724,-2.981425
L1 1HL,53.40739,-2.981323
L1 1HN,53.4055,-2.980693
L1 1HP,53.4055,-2.980693
L1 1HQ,53.40588,-2.985274
L1 1HS,53.4064,-2.980713
L1 1HT,53.4064,-2.980713
L1 1HU,53.40586,-2.979633
L1 1HW,53.40514,-2.980594
L1 1HX,53.4064,-2.980713
L1 1JA,53.40865,-2.977726
L1 1JB,53.40978,-2.978098
L1 1JD,53.40796,-2.978237
L1 1JE,53.40892,-2.978184
L1 1JF,53.40832,-2.977222
L1 1JG,53.40725,-2.979063
L1 1JH,53.40821,-2.979251
L1 1JJ,53.40865,-2.980163
L1 1JL,53.40821,-2.979251
L1 1JN,53.4059,-2.978957
L1 1JP,53.4052,-2.979919
L1 1JQ,53.40643,-2.978894
L1 1JR,53.40539,-2.9789
L1 1JT,53.40438,-2.979554
L1 1JW,53.40503,-2.980892
L1 1JX,53.40488,-2.97925
L1 1LD,53.40715,-2.981438
L1 1LE,53.40683,-2.984334
L1 1LF,53.40755,-2.978905
L1 1LG,53.40693,-2.982802
L1 1LH,53.4068,-2.981941
L1 1LJ,53.4068,-2.981941
L1 1LL,53.40633,-2.98202
L1 1LN,53.40651,-2.981363
L1 1LP,53.4063,-2.981554
L1 1LQ,53.40726,-2.981064
L1 1LR,53.40618,-2.980708
L1 1LS,53.40653,-2.980461
L1 1LT,53.40696,-2.980922
L1 1LU,53.40725,-2.980853
L1 1LW,53.40642,-2.981255
L1 1LX,53.40725,-2.980868
L1 1LY,53.40673,-2.981654
L1 1LZ,53.40676,-2.981188
L1 1NA,53.40644,-2.980789
L1 1NB,53.40648,-2.980505
L1 1ND,53.40706,-2.980548
L1 1NE,53.40688,-2.981296
L1 1NF,53.40706,-2.980548
L1 1NG,53.40681,-2.980347
L1 1NH,53.40663,-2.980102
L1 1NJ,53.40678,-2.98
L1 1NL,53.40663,-2.980102
L1 1NN,53.40683,-2.98125
L1 1NP,53.40685,-2.981025
L1 1NQ,53.40678,-2.98
L1 1NR,53.40623,-2.98089
L1 1NS,53.40678,-2.98
L1 1NT,53.40555,-2.982213
L1 1NU,53.40663,-2.980102
L1 1NW,53.40683,-2.98125
L1 1NX,53.4073,-2.980734
L1 1NY,53.40804,-2.978194
L1 1NZ,53.40731,-2.97923
L1 1PA,53.40641,-2.979209
L1 1PD,53.40822,-2.977747
L1 1PG,53.40822,-2.977747
L1 1PJ,53.40822,-2.977747
L1 1PL,53.40822,-2.977747
L1 1PN,53.40641,-2.979209
L1 1PQ,53.40822,-2.977747
L1 1PS,53.4055,-2.980693
L1 1PU,53.40727,-2.983742
L1 1PW,53.40621,-2.983191
L1 1PZ,53.40546,-2.985205
L1 1QA,53.4064,-2.980713
L1 1QD,53.40551,-2.979189
L1 1QE,53.40463,-2.980146
L1 1QL,53.40459,-2.982176
L1 1QQ,53.4046,-2.980672
L1 1QR,53.40546,-2.980827
L1 1QS,53.40577,-2.984099
L1 1QT,53.40477,-2.98039
L1 1QX,53.40641,-2.979209
L1 1QY,53.40593,-2.979514
L1 1RD,53.40818,-2.978799
L1 1RF,53.40914,-2.978038
L1 1RG,53.40717,-2.982717
L1 1RH,53.40788,-2.983064
L1 1RJ,53.40851,-2.978701
L1 1RL,53.40633,-2.98202
L1 1RQ,53.40832,-2.977222
L1 2AA,53.38033,-2.976431
L1 2AB,53.40322,-2.973992
L1 2AD,53.4032,-2.975044
L1 2SA,53.40462,-2.977408
L1 2SB,53.40487,-2.97764
L1 2SD,53.40417,-2.977609
L1 2SE,53.40417,-2.977609
L1 2SF,53.40385,-2.976804
L1 2SG,53.40417,-2.977609
L1 2SH,53.40374,-2.97614
L1 2SJ,53.40305,-2.976034
L1 2SL,53.40374,-2.97614
L1 2SN,53.40284,-2.976119
L1 2SP,53.40244,-2.975523
L1 2SR,53.40442,-2.977103
L1 2SS,53.40405,-2.975936
L1 2ST,53.40346,-2.976148
L1 2SU,53.40285,-2.974405
L1 2SW,53.40284,-2.976119
L1 2SX,53.40271,-2.97377
L1 2SY,53.40195,-2.974595
L1 2TA,53.40285,-2.974615
L1 2TB,53.40285,-2.974615
L1 2TD,53.40279,-2.97332
L1 2TE,53.40279,-2.97332
L1 2TF,53.40287,-2.973112
L1 2TL,53.40197,-2.973091
L1 2TP,53.40213,-2.973471
L1 2TQ,53.40245,-2.973418
L1 2TR,53.4022,-2.974826
L1 2TS,53.40287,-2.973112
L1 2TX,53.40287,-2.973112
L1 2TY,53.40287,-2.973112
L1 2TZ,53.403,-2.97322
L1 2UA,53.4032,-2.973164
L1 2UB,53.40487,-2.97764
L1 3AA,53.40499,-2.985209
L1 3AB,53.40499,-2.985209
L1 3AG,53.40499,-2.985194
L1 3AN,53.40457,-2.985184
L1 3AP,53.40491,-2.984816
L1 3AQ,53.40467,-2.98478
L1 3AR,53.40458,-2.98368
L1 3AS,53.40485,-2.98334
L1 3AU,53.40458,-2.98368
L1 3AW,53.40484,-2.984348
L1 3AY,53.40472,-2.982314
L1 3BE,53.40459,-2.982176
L1 3BG,53.40522,-2.985154
L1 3BH,53.4033,-2.989607
L1 3BL,53.40499,-2.98569
L1 3BN,53.40403,-2.985653
L1 3BP,53.403,-2.985764
L1 3BR,53.40369,-2.9856
L1 3BT,53.4043,-2.9842
L1 3BX,53.40418,-2.984092
L1 3BY,53.40384,-2.985588
L1 3BZ,53.40418,-2.984092
L1 3DA,53.4045,-2.982791
L1 3DB,53.40368,-2.983659
L1 3DD,53.40473,-2.983894
L1 3DE,53.40422,-2.98492
L1 3DF,53.40356,-2.989252
L1 3DG,53.40365,-2.98429
L1 3DH,53.40453,-2.983017
L1 3DJ,53.40457,-2.985184
L1 3DL,53.40348,-2.985354
L1 3DN,53.40319,-2.984671
L1 3DP,53.4029,-2.985597
L1 3DQ,53.40343,-2.985022
L1 3DR,53.40387,-2.985469
L1 3DS,53.4037,-2.984412
L1 3DT,53.40351,-2.985295
L1 3DU,53.40367,-2.985163
L1 3DW,53.4029,-2.985597
L1 3DX,53.40368,-2.983659
L1 3DY,53.40416,-2.982602
L1 3DZ,53.40448,-2.982384
L1 3EB,53.40328,-2.984868
L1 3ED,53.40374,-2.985766
L1 3EE,53.40368,-2.983659
L1 3EF,53.40366,-2.986667
L1 3EG,53.40499,-2.985209
L1 3EH,53.40376,-2.985617
L1 3EJ,53.40368,-2.983659
L1 3EP,53.40455,-2.986688
L1 3EQ,53.40457,-2.985184
L1 3ES,53.40457,-2.985184
L1 3EU,53.40355,-2.985807
L1 3EX,53.40454,-2.985529
L1 3EY,53.40366,-2.986667
L1 3FN,53.40488,-2.984529
L1 3FT,53.40487,-2.984559
L1 3HD,53.40465,-2.981892
L1 3HE,53.40204,-2.986224
L1 3HJ,53.40207,-2.986209
L1 3YX,53.38033,-2.976431
L1 4AA,53.4027,-2.985306
L1 4AB,53.40277,-2.985142
L1 4AD,53.40435,-2.977884
L1 4AE,53.40223,-2.977143
L1 4AF,53.40379,-2.982729
L1 4AG,53.40422,-2.982002
L1 4AH,53.40281,-2.980631
L1 4AJ,53.40282,-2.979127
L1 4AL,53.40331,-2.979229
L1 4AN,53.40325,-2.980987
L1 4AP,53.40353,-2.982287
L1 4AQ,53.40361,-2.980529
L1 4AR,53.40295,-2.979762
L1 4AS,53.40234,-2.978905
L1 4AT,53.4032,-2.977301
L1 4AU,53.40277,-2.980886
L1 4AW,53.40264,-2.983485
L1 4AX,53.40347,-2.981413
L1 4AY,53.4026,-2.98022
L1 4AZ,53.402,-2.978507
L1 4BA,53.40193,-2.977602
L1 4BB,53.4011,-2.97638
L1 4BD,53.40164,-2.977761
L1 4BE,53.40257,-2.981092
L1 4BF,53.40347,-2.981413
L1 4BG,53.40143,-2.976493
L1 4BH,53.40168,-2.978454
L1 4BJ,53.40103,-2.977582
L1 4BL,53.40107,-2.97671
L1 4BN,53.40296,-2.980424
L1 4BP,53.40347,-2.981413
L1 4BQ,53.40331,-2.982101
L1 4BR,53.40282,-2.979127
L1 4BS,53.40275,-2.979712
L1 4BT,53.40322,-2.981859
L1 4BU,53.40322,-2.981859
L1 4BW,53.40276,-2.979171
L1 4BX,53.40199,-2.980567
L1 4BY,53.40252,-2.982038
L1 4BZ,53.40282,-2.979127
L1 4DA,53.4007,-2.97792
L1 4DB,53.40099,-2.977671
L1 4DD,53.40103,-2.977582
L1 4DE,53.40188,-2.977105
L1 4DF,53.40193,-2.977602
L1 4DG,53.40193,-2.977602
L1 4DH,53.40174,-2.976064
L1 4DJ,53.40424,-2.980212
L1 4DL,53.40117,-2.977389
L1 4DN,53.4038,-2.979225
L1 4DQ,53.40231,-2.977731
L1 4DR,53.40117,-2.977389
L1 4DS,53.404,-2.980643
L1 4DT,53.40449,-2.981467
L1 4DU,53.40369,-2.982155
L1 4DW,53.40397,-2.97959
L1 4DY,53.40371,-2.980651
L1 4DZ,53.40371,-2.980651
L1 4EA,53.40332,-2.979123
L1 4ED,53.4039,-2.977693
L1 4EE,53.40373,-2.977644
L1 4EF,53.40383,-2.977195
L1 4EG,53.40373,-2.977644
L1 4EL,53.40373,-2.977644
L1 4EN,53.40307,-2.976621
L1 4EP,53.40284,-2.976119
L1 4EQ,53.40373,-2.977644
L1 4ES,53.40284,-2.976119
L1 4ET,53.40216,-2.975998
L1 4EU,53.40331,-2.978296
L1 4EW,53.40222,-2.981475
L1 4EX,53.40372,-2.979148
L1 4EY,53.40226,-2.980889
L1 4EZ,53.40292,-2.9774
L1 4FA,53.40205,-2.977756
L1 4FB,53.40186,-2.978232
L1 4FD,53.40279,-2.981608
L1 4HA,53.40318,-2.978007
L1 4HB,53.40283,-2.977623
L1 4HD,53.40288,-2.977323
L1 4HF,53.4026,-2.97676
L1 4HG,53.40283,-2.977623
L1 4HH,53.40284,-2.976119
L1 4HJ,53.40284,-2.976119
L1 4HL,53.40224,-2.976196
L1 4HN,53.40235,-2.976198
L1 4HQ,53.40437,-2.980501
L1 4HR,53.40287,-2.978331
L1 4HS,53.40282,-2.979127
L1 4HU,53.40289,-2.978542
L1 4HW,53.40194,-2.976099
L1 4HX,53.40372,-2.979148
L1 4HY,53.40245,-2.977374
L1 4HZ,53.40283,-2.977623
L1 4JA,53.40195,-2.976309
L1 4JD,53.40194,-2.976099
L1 4JE,53.40194,-2.976099
L1 4JF,53.40151,-2.976029
L1 4JH,53.40258,-2.983333
L1 4JJ,53.40217,-2.982135
L1 4JL,53.40224,-2.982438
L1 4JN,53.40216,-2.981007
L1 4JQ,53.40054,-2.976458
L1 4JR,53.40113,-2.979239
L1 4JS,53.40067,-2.977152
L1 4JT,53.40102,-2.979086
L1 4JU,53.40102,-2.979086
L1 4JW,53.40203,-2.982373
L1 4JX,53.40057,-2.977541
L1 4JY,53.40014,-2.977561
L1 4JZ,53.40015,-2.976058
L1 4LA,53.40168,-2.976769
L1 4LB,53.4029,-2.982047
L1 4LD,53.40102,-2.979086
L1 4LE,53.4029,-2.982047
L1 4LF,53.40395,-2.980537
L1 4LG,53.40193,-2.977602
L1 4LH,53.40253,-2.982685
L1 4LJ,53.40283,-2.977623
L1 4LL,53.40193,-2.977602
L1 4LN,53.40298,-2.984155
L1 4LP,53.40101,-2.980589
L1 4LU,53.4026,-2.97849
L1 4NA,53.40235,-2.976198
L1 4NG,53.40178,-2.977734
L1 4NL,53.40203,-2.97753
L1 4NQ,53.40188,-2.977631
L1 4NR,53.40332,-2.980507
L1 4NU,53.40265,-2.97807
L1 4NW,53.40437,-2.980501
L1 4NX,53.40435,-2.977884
L1 4TW,53.40307,-2.982382
L1 4TZ,53.40307,-2.982382
L1 4UF,53.40307,-2.982382
L1 5AA,53.40162,-2.981927
L1 5AB,53.3964,-2.977235
L1 5AD,53.40165,-2.982529
L1 5AE,53.40098,-2.983597
L1 5AF,53.39804,-2.976641
L1 5AG,53.40101,-2.979883
L1 5AH,53.40101,-2.980589
L1 5AJ,53.40005,-2.977319
L1 5AL,53.4003,-2.979595
L1 5AN,53.39988,-2.9793
L1 5AP,53.40228,-2.983507
L1 5AQ,53.40233,-2.983809
L1 5AR,53.40188,-2.983618
L1 5AS,53.40229,-2.984861
L1 5AT,53.40163,-2.982003
L1 5AW,53.39921,-2.980548
L1 5AX,53.40196,-2.984251
L1 5AY,53.40118,-2.981887
L1 5AZ,53.40096,-2.986605
L1 5BA,53.40186,-2.986625
L1 5BB,53.40019,-2.978209
L1 5BD,53.40025,-2.979158
L1 5BE,53.40128,-2.985033
L1 5BF,53.40053,-2.978774
L1 5BG,53.39991,-2.979572
L1 5BH,53.40155,-2.986318
L1 5BJ,53.40187,-2.985122
L1 5BL,53.40165,-2.984395
L1 5BN,53.40134,-2.983575
L1 5BP,53.40011,-2.980569
L1 5BQ,53.40173,-2.985329
L1 5BR,53.40011,-2.980569
L1 5BS,53.40174,-2.983389
L1 5BT,53.40098,-2.983597
L1 5BU,53.40067,-2.98007
L1 5BW,53.40094,-2.981671
L1 5BX,53.401,-2.982093
L1 5BY,53.39971,-2.982274
L1 5BZ,53.3992,-2.982052
L1 5DA,53.40023,-2.979594
L1 5DB,53.39823,-2.980074
L1 5DD,53.40031,-2.980664
L1 5DE,53.40009,-2.983576
L1 5DF,53.39927,-2.982805
L1 5DG,53.39941,-2.978477
L1 5DH,53.39875,-2.979049
L1 5DJ,53.39922,-2.979044
L1 5DL,53.4018,-2.984985
L1 5DN,53.3989,-2.978255
L1 5DP,53.39921,-2.978082
L1 5DQ,53.39847,-2.980832
L1 5DR,53.39996,-2.977046
L1 5DS,53.40011,-2.980569
L1 5DT,53.40011,-2.980569
L1 5DU,53.40011,-2.980569
L1 5DW,53.39911,-2.977192
L1 5DX,53.40066,-2.980958
L1 5DY,53.39775,-2.979086
L1 5DZ,53.39835,-2.979085
L1 5EA,53.39897,-2.976677
L1 5EB,53.3979,-2.980052
L1 5ED,53.39741,-2.980507
L1 5EE,53.3983,-2.976993
L1 5EF,53.39862,-2.97706
L1 5EG,53.39789,-2.977871
L1 5EH,53.3969,-2.978119
L1 5EJ,53.39659,-2.977435
L1 5EL,53.39973,-2.978079
L1 5EN,53.40015,-2.978494
L1 5EP,53.39744,-2.976537
L1 5EQ,53.39651,-2.978411
L1 5ER,53.39676,-2.976521
L1 5ES,53.39844,-2.977462
L1 5ET,53.39761,-2.977203
L1 5EU,53.39764,-2.97761
L1 5EW,53.39922,-2.976848
L1 5EX,53.3999,-2.984114
L1 5EY,53.39698,-2.977865
L1 5EZ,53.39745,-2.978011
L1 5FA,53.39911,-2.979162
L1 5FB,53.40204,-2.984719
L1 5FD,53.40032,-2.978949
L1 5FE,53.40093,-2.98137
L1 5FF,53.40093,-2.98137
L1 5FS,53.4016,-2.983521
L1 5GA,53.4022,-2.984242
L1 5GB,53.40216,-2.98403
L1 5GD,53.4021,-2.983939
L1 5HA,53.39779,-2.980621
L1 5HD,53.39743,-2.979003
L1 5HE,53.39585,-2.977433
L1 5HF,53.40187,-2.985122
L1 5HG,53.40006,-2.986584
L1 5HH,53.40096,-2.986605
L1 5HJ,53.40186,-2.986625
L1 5HL,53.40098,-2.983597
L1 5HN,53.40101,-2.980589
L1 5HS,53.4005,-2.981225
L1 5HU,53.40188,-2.983618
L1 5HY,53.40085,-2.984511
L1 5HZ,53.40062,-2.985393
L1 5JD,53.40043,-2.982276
L1 5JE,53.40033,-2.983341
L1 5JG,53.39906,-2.976334
L1 5JH,53.39957,-2.981278
L1 5JJ,53.39936,-2.98189
L1 5JL,53.39891,-2.978751
L1 5JN,53.39715,-2.979027
L1 5JP,53.39744,-2.979034
L1 5JQ,53.40173,-2.980756
L1 5JR,53.39943,-2.979771
L1 5JW,53.40096,-2.979626
L1 5YW,53.38033,-2.976431
L1 6AA,53.40762,-2.987285
L1 6AD,53.40813,-2.988275
L1 6AE,53.40775,-2.987408
L1 6AF,53.40754,-2.98778
L1 6AL,53.40673,-2.986527
L1 6AN,53.40725,-2.98675
L1 6AQ,53.40813,-2.988275
L1 6AU,53.40625,-2.985915
L1 6AW,53.40635,-2.986729
L1 6AY,53.40816,-2.985267
L1 6AZ,53.40635,-2.986729
L1 6BA,53.40789,-2.986539
L1 6BB,53.40778,-2.986416
L1 6BD,53.40719,-2.98732
L1 6BG,53.40733,-2.986797
L1 6BH,53.40813,-2.986831
L1 6BJ,53.40802,-2.986678
L1 6BL,53.40765,-2.98512
L1 6BN,53.40726,-2.985246
L1 6BQ,53.40748,-2.98665
L1 6BR,53.40815,-2.986816
L1 6BU,53.40799,-2.986933
L1 6BW,53.40733,-2.985383
L1 6BX,53.40757,-2.985464
L1 6BY,53.40726,-2.985246
L1 6DA,53.40679,-2.985747
L1 6DB,53.40817,-2.983763
L1 6DE,53.40858,-2.983938
L1 6DF,53.40817,-2.983763
L1 6DG,53.40864,-2.983578
L1 6DH,53.40898,-2.985511
L1 6DJ,53.40906,-2.985288
L1 6DN,53.40906,-2.985288
L1 6DP,53.40883,-2.984936
L1 6DQ,53.40881,-2.985492
L1 6DS,53.40607,-2.985685
L1 6DT,53.40701,-2.984834
L1 6DW,53.40906,-2.985288
L1 6DX,53.40734,-2.984631
L1 6DZ,53.4062,-2.984996
L1 6EA,53.40546,-2.985205
L1 6EB,53.40636,-2.985225
L1 6ED,53.40627,-2.984787
L1 6EF,53.40643,-2.984746
L1 6EG,53.40676,-2.984558
L1 6EH,53.40603,-2.985353
L1 6EN,53.40862,-2.982645
L1 6EQ,53.40726,-2.985246
L1 6ER,53.40865,-2.983774
L1 6EY,53.40816,-2.985267
L1 6HB,53.4076,-2.986999
L1 6HD,53.40636,-2.985225
L1 6HE,53.40735,-2.985188
L1 6HF,53.40636,-2.985225
L1 6HJ,53.40634,-2.988233
L1 6HL,53.40634,-2.988233
L1 6HR,53.40815,-2.986771
L1 6HY,53.40771,-2.984775
L1 6HZ,53.40771,-2.984775
L1 6JB,53.40789,-2.985607
L1 6JD,53.40796,-2.9843
L1 6JE,53.40821,-2.983809
L1 6JF,53.40821,-2.983809
L1 6JG,53.40796,-2.9843
