PCDS,LAT,LONG
LA1 1AA,54.04816,-2.803823
LA1 1AB,54.04782,-2.804076
LA1 1AD,54.05425,-2.807103
LA1 1AE,54.04697,-2.804029
LA1 1AF,54.04725,-2.796108
LA1 1AG,54.04677,-2.796541
LA1 1AH,54.05154,-2.802987
LA1 1AJ,54.04835,-2.804163
LA1 1AL,54.04807,-2.801164
LA1 1AN,54.04531,-2.801065
LA1 1AP,54.05401,-2.808061
LA1 1AQ,54.04482,-2.800291
LA1 1AR,54.04504,-2.800448
LA1 1AS,54.05078,-2.798451
LA1 1AT,54.0462,-2.796591
LA1 1AU,54.04566,-2.797299
LA1 1AW,54.05006,-2.800896
LA1 1AY,54.05173,-2.801555
LA1 1AZ,54.04417,-2.80231
LA1 1BA,54.04523,-2.80453
LA1 1BB,54.05468,-2.793195
LA1 1BD,54.04809,-2.800079
LA1 1BE,54.04735,-2.805915
LA1 1BF,54.04244,-2.803178
LA1 1BG,54.05119,-2.801392
LA1 1BH,54.0504,-2.800307
LA1 1BJ,54.04611,-2.797674
LA1 1BL,54.05133,-2.802204
LA1 1BN,54.05104,-2.802061
LA1 1BP,54.05104,-2.801725
LA1 1BQ,54.04933,-2.797415
LA1 1BS,54.05398,-2.794785
LA1 1BT,54.04938,-2.797508
LA1 1BU,54.04945,-2.803603
LA1 1BW,54.04522,-2.800895
LA1 1BX,54.04528,-2.800407
LA1 1BY,54.04583,-2.800601
LA1 1BZ,54.05049,-2.803165
LA1 1DA,54.05313,-2.795777
LA1 1DB,54.05151,-2.797029
LA1 1DD,54.05141,-2.796875
LA1 1DE,54.05224,-2.794233
LA1 1DF,54.05187,-2.795279
LA1 1DG,54.05296,-2.795026
LA1 1DH,54.05313,-2.795777
LA1 1DJ,54.05444,-2.793984
LA1 1DL,54.05397,-2.792906
LA1 1DN,54.05304,-2.793713
LA1 1DP,54.05202,-2.793877
LA1 1DQ,54.05268,-2.795982
LA1 1DR,54.05202,-2.793022
LA1 1DS,54.05204,-2.792762
LA1 1DT,54.05157,-2.796099
LA1 1DU,54.05238,-2.793411
LA1 1DW,54.05258,-2.793567
LA1 1DX,54.05247,-2.792985
LA1 1DY,54.05256,-2.792345
LA1 1DZ,54.053,-2.792552
LA1 1EA,54.05314,-2.792539
LA1 1EB,54.05324,-2.791838
LA1 1ED,54.05127,-2.804907
LA1 1EE,54.05062,-2.802206
LA1 1EF,54.04948,-2.803344
LA1 1EG,54.04927,-2.802149
LA1 1EH,54.04886,-2.802324
LA1 1EJ,54.05352,-2.791935
LA1 1EL,54.0503,-2.800183
LA1 1EN,54.0495,-2.801817
LA1 1EP,54.0495,-2.801817
LA1 1EQ,54.05086,-2.803585
LA1 1ER,54.04943,-2.802626
LA1 1ES,54.04935,-2.802655
LA1 1ET,54.04995,-2.802727
LA1 1EU,54.05039,-2.801835
LA1 1EW,54.04941,-2.802427
LA1 1EX,54.0495,-2.80339
LA1 1EY,54.05039,-2.801835
LA1 1EZ,54.05024,-2.802152
LA1 1FA,54.04863,-2.800487
LA1 1FB,54.04363,-2.805476
LA1 1FD,54.05172,-2.794116
LA1 1FF,54.04816,-2.803823
LA1 1FG,54.04823,-2.800632
LA1 1FH,54.04863,-2.800487
LA1 1FJ,54.04863,-2.800487
LA1 1FL,54.04317,-2.806277
LA1 1FN,54.04863,-2.800487
LA1 1FP,54.04863,-2.800487
LA1 1FQ,54.04816,-2.803823
LA1 1FR,54.04863,-2.800487
LA1 1FS,54.04863,-2.800487
LA1 1FT,54.04863,-2.800487
LA1 1FU,54.04317,-2.806277
LA1 1FW,54.04317,-2.806277
LA1 1FX,54.04816,-2.803823
LA1 1FY,54.04863,-2.800487
LA1 1FZ,54.04367,-2.805462
LA1 1GA,54.05296,-2.804695
LA1 1GB,54.04816,-2.803823
LA1 1GD,54.04816,-2.803823
LA1 1GE,54.05154,-2.792524
LA1 1GF,54.04836,-2.794571
LA1 1GG,54.04609,-2.798071
LA1 1GH,54.04863,-2.800487
LA1 1GJ,54.04863,-2.800487
LA1 1GL,54.04816,-2.803823
LA1 1GN,54.04816,-2.803823
LA1 1GP,54.04863,-2.800487
LA1 1GQ,54.04816,-2.803823
LA1 1GR,54.04816,-2.803823
LA1 1GS,54.04863,-2.800487
LA1 1GT,54.04863,-2.800487
LA1 1GU,54.04863,-2.800487
LA1 1GW,54.04829,-2.804895
LA1 1GX,54.04863,-2.796119
LA1 1GY,54.04816,-2.803823
LA1 1GZ,54.04863,-2.800487
LA1 1HA,54.05054,-2.801929
LA1 1HB,54.05088,-2.80163
LA1 1HD,54.051,-2.800731
LA1 1HE,54.05086,-2.803585
LA1 1HF,54.05129,-2.800462
LA1 1HG,54.05086,-2.803585
LA1 1HH,54.05089,-2.799721
LA1 1HJ,54.05132,-2.800936
LA1 1HL,54.05254,-2.80432
LA1 1HN,54.05238,-2.804057
LA1 1HP,54.04876,-2.803468
LA1 1HQ,54.05039,-2.801835
LA1 1HR,54.04816,-2.803823
LA1 1HS,54.04883,-2.802767
LA1 1HT,54.04885,-2.800797
LA1 1HU,54.04953,-2.801405
LA1 1HW,54.05307,-2.804804
LA1 1HX,54.04885,-2.800598
LA1 1HY,54.04922,-2.801537
LA1 1HZ,54.04866,-2.80064
LA1 1JA,54.04863,-2.800487
LA1 1JB,54.04782,-2.801739
LA1 1JD,54.04771,-2.800255
LA1 1JE,54.04816,-2.801746
LA1 1JF,54.04829,-2.801015
LA1 1JG,54.04863,-2.80235
LA1 1JH,54.04864,-2.801984
LA1 1JJ,54.04811,-2.800324
LA1 1JL,54.04837,-2.802193
LA1 1JN,54.04836,-2.802712
LA1 1JP,54.04825,-2.803015
LA1 1JQ,54.04853,-2.801646
LA1 1JR,54.0468,-2.801765
LA1 1JS,54.0468,-2.801765
LA1 1JT,54.04831,-2.800817
LA1 1JU,54.04769,-2.79717
LA1 1JW,54.05086,-2.803585
LA1 1JX,54.04807,-2.801698
LA1 1JY,54.0476,-2.802224
LA1 1JZ,54.04715,-2.802536
LA1 1LA,54.047,-2.803174
LA1 1LB,54.04816,-2.803823
LA1 1LD,54.04659,-2.803884
LA1 1LE,54.04739,-2.802067
LA1 1LF,54.04849,-2.802623
LA1 1LG,54.0478,-2.802609
LA1 1LH,54.04983,-2.80103
LA1 1LJ,54.0495,-2.801817
LA1 1LL,54.04998,-2.801307
LA1 1LN,54.04816,-2.803823
LA1 1LP,54.04946,-2.800152
LA1 1LQ,54.04964,-2.800064
LA1 1LR,54.04982,-2.799975
LA1 1LS,54.04769,-2.79717
LA1 1LT,54.04978,-2.799975
LA1 1LU,54.04982,-2.799517
LA1 1LW,54.0458,-2.801318
LA1 1LX,54.04861,-2.800273
LA1 1LY,54.04911,-2.799519
LA1 1LZ,54.04916,-2.800054
LA1 1NA,54.0508,-2.79946
LA1 1NB,54.04887,-2.799163
LA1 1ND,54.04915,-2.799306
LA1 1NE,54.04919,-2.798558
LA1 1NF,54.04897,-2.798584
LA1 1NG,54.04845,-2.798177
LA1 1NH,54.04989,-2.798587
LA1 1NJ,54.04947,-2.797983
LA1 1NL,54.04974,-2.797606
LA1 1NN,54.04999,-2.797932
LA1 1NP,54.04958,-2.799237
LA1 1NQ,54.04872,-2.797801
LA1 1NR,54.04998,-2.798695
LA1 1NS,54.0506,-2.797699
LA1 1NT,54.05083,-2.797474
LA1 1NU,54.05042,-2.79878
LA1 1NW,54.05083,-2.796528
LA1 1NX,54.05014,-2.797614
LA1 1NY,54.05058,-2.798264
LA1 1NZ,54.05039,-2.799635
LA1 1PA,54.05015,-2.799493
LA1 1PB,54.0501,-2.799752
LA1 1PD,54.04988,-2.800129
LA1 1PE,54.05017,-2.799417
LA1 1PF,54.05043,-2.797253
LA1 1PG,54.05043,-2.797253
LA1 1PH,54.04773,-2.797201
LA1 1PJ,54.04709,-2.797754
LA1 1PL,54.0479,-2.798274
LA1 1PN,54.04759,-2.797199
LA1 1PP,54.04795,-2.796946
LA1 1PQ,54.04865,-2.797616
LA1 1PR,54.04803,-2.798704
LA1 1PS,54.0502,-2.80012
LA1 1PT,54.04718,-2.796625
LA1 1PU,54.04758,-2.79619
LA1 1PW,54.04845,-2.79752
LA1 1PX,54.04842,-2.796619
LA1 1PY,54.04773,-2.797201
LA1 1PZ,54.04882,-2.7971
LA1 1QA,54.04938,-2.797034
LA1 1QB,54.04932,-2.7974
LA1 1QD,54.04922,-2.797123
LA1 1QE,54.04915,-2.796709
LA1 1QF,54.04865,-2.796638
LA1 1QG,54.04864,-2.795691
LA1 1QH,54.04901,-2.7955
LA1 1QJ,54.04864,-2.795691
LA1 1QL,54.04971,-2.795819
LA1 1QN,54.05076,-2.79451
LA1 1QP,54.04138,-2.806242
LA1 1QQ,54.04869,-2.795204
LA1 1QR,54.04816,-2.803823
LA1 1QS,54.05115,-2.795174
LA1 1QT,54.05043,-2.797253
LA1 1QU,54.05145,-2.79382
LA1 1QW,54.05014,-2.796392
LA1 1QX,54.05094,-2.793826
LA1 1QY,54.05072,-2.794081
LA1 1QZ,54.05124,-2.793205
LA1 1RA,54.05485,-2.808031
LA1 1RB,54.05341,-2.805131
LA1 1RD,54.05412,-2.80652
LA1 1RE,54.04706,-2.801648
LA1 1RF,54.04512,-2.801443
LA1 1RG,54.04891,-2.79704
LA1 1RH,54.0464,-2.800688
LA1 1RJ,54.04563,-2.800307
LA1 1RL,54.04897,-2.797546
LA1 1RN,54.04651,-2.801699
LA1 1RP,54.04623,-2.800991
LA1 1RQ,54.04691,-2.800729
LA1 1RR,54.04895,-2.796827
LA1 1RS,54.0456,-2.801483
LA1 1RT,54.04538,-2.802349
LA1 1RU,54.04557,-2.802276
LA1 1RW,54.0488,-2.796611
LA1 1RX,54.04481,-2.801498
LA1 1RY,54.04445,-2.801078
LA1 1RZ,54.05338,-2.805222
LA1 1SA,54.05431,-2.807853
LA1 1SB,54.04538,-2.802456
LA1 1SD,54.04511,-2.802878
LA1 1SE,54.04533,-2.803432
LA1 1SF,54.04583,-2.803029
LA1 1SG,54.04474,-2.804123
LA1 1SH,54.04293,-2.804287
LA1 1SJ,54.04239,-2.804826
LA1 1SL,54.04271,-2.805092
LA1 1SN,54.0473,-2.797743
LA1 1SP,54.04588,-2.804802
LA1 1SQ,54.04378,-2.804227
LA1 1SR,54.04342,-2.803563
LA1 1SS,54.04308,-2.803495
LA1 1ST,54.04297,-2.803539
LA1 1SU,54.04372,-2.800728
LA1 1SW,54.04318,-2.805849
LA1 1SX,54.04346,-2.802953
LA1 1SY,54.04395,-2.803375
LA1 1SZ,54.04466,-2.80293
LA1 1TA,54.05402,-2.808305
LA1 1TB,54.05213,-2.811033
