PCDS,LAT,LONG
LD1 5AA,52.24159,-3.37855
LD1 5AB,52.25304,-3.370496
LD1 5AD,52.24669,-3.376101
LD1 5AE,52.24194,-3.365481
LD1 5AF,52.24974,-3.37076
LD1 5AG,52.25003,-3.371516
LD1 5AH,52.27172,-3.338666
LD1 5AJ,52.2496,-3.372089
LD1 5AL,52.22862,-3.383229
LD1 5AN,52.25533,-3.37168
LD1 5AP,52.24166,-3.378464
LD1 5AQ,52.24974,-3.37076
LD1 5AR,52.23851,-3.377488
LD1 5BA,52.25085,-3.372743
LD1 5BB,52.24157,-3.378564
LD1 5BD,52.2412,-3.378216
LD1 5BE,52.24444,-3.377891
LD1 5BF,52.25082,-3.37138
LD1 5BG,52.24888,-3.37608
LD1 5BH,52.24924,-3.37555
LD1 5BJ,52.2547,-3.372525
LD1 5BL,52.25265,-3.373956
LD1 5BN,52.25073,-3.374629
LD1 5BP,52.25193,-3.374505
LD1 5BQ,52.24709,-3.375981
LD1 5BS,52.25156,-3.374537
LD1 5BT,52.25131,-3.374632
LD1 5BU,52.25109,-3.374831
LD1 5BW,52.25269,-3.374396
LD1 5BX,52.25218,-3.373267
LD1 5BY,52.25079,-3.374938
LD1 5BZ,52.25191,-3.372307
LD1 5DA,52.24992,-3.375483
LD1 5DB,52.24945,-3.375761
LD1 5DD,52.26944,-3.303014
LD1 5DE,52.23974,-3.369398
LD1 5DF,52.25203,-3.369762
LD1 5DG,52.24081,-3.378848
LD1 5DH,52.24053,-3.378488
LD1 5DL,52.24093,-3.37749
LD1 5DN,52.24089,-3.377459
LD1 5DP,52.23944,-3.377795
LD1 5DR,52.24094,-3.378076
LD1 5DS,52.24031,-3.379199
LD1 5DT,52.24038,-3.37885
LD1 5DU,52.23934,-3.377294
LD1 5DW,52.24004,-3.378048
LD1 5DY,52.24006,-3.377126
LD1 5EA,52.2396,-3.378239
LD1 5EB,52.24611,-3.376654
LD1 5ED,52.23155,-3.391696
LD1 5EE,52.24096,-3.376319
LD1 5EF,52.24274,-3.373034
LD1 5EG,52.24346,-3.373306
LD1 5EH,52.24261,-3.372108
LD1 5EL,52.24165,-3.375857
LD1 5EP,52.24762,-3.374093
LD1 5EQ,52.23951,-3.378647
LD1 5ER,52.23976,-3.380309
LD1 5ES,52.23843,-3.376372
LD1 5ET,52.24074,-3.379315
LD1 5EU,52.24021,-3.379723
LD1 5EW,52.23092,-3.38207
LD1 5EX,52.23163,-3.382722
LD1 5EY,52.2391,-3.378912
LD1 5HA,52.23893,-3.374879
LD1 5HB,52.22976,-3.382269
LD1 5HD,52.23913,-3.379484
LD1 5HE,52.23872,-3.378944
LD1 5HF,52.24212,-3.377453
LD1 5HG,52.23823,-3.378431
LD1 5HH,52.23903,-3.374839
LD1 5HJ,52.23749,-3.353482
LD1 5HL,52.23825,-3.377992
LD1 5HN,52.23733,-3.379429
LD1 5HP,52.23642,-3.378507
LD1 5HR,52.23711,-3.378162
LD1 5HS,52.24143,-3.376744
LD1 5HT,52.24077,-3.373369
LD1 5HU,52.23843,-3.376856
LD1 5HW,52.23677,-3.37906
LD1 5HY,52.24284,-3.375308
LD1 5LA,52.24279,-3.376141
LD1 5LB,52.24413,-3.375904
LD1 5LD,52.23965,-3.374433
LD1 5LE,52.24168,-3.364185
LD1 5LF,52.24133,-3.368583
LD1 5LG,52.23759,-3.373125
LD1 5LH,52.24429,-3.377081
LD1 5LJ,52.24105,-3.368237
LD1 5LL,52.23741,-3.379416
LD1 5LN,52.2373,-3.381068
LD1 5LP,52.2365,-3.379754
LD1 5LQ,52.2355,-3.38132
LD1 5LR,52.23619,-3.379862
LD1 5LS,52.2359,-3.379926
LD1 5LT,52.23555,-3.380648
LD1 5LU,52.2355,-3.379723
LD1 5LW,52.23723,-3.380187
LD1 5LX,52.24267,-3.361139
LD1 5LY,52.23571,-3.378397
LD1 5NA,52.23418,-3.379082
LD1 5NB,52.23264,-3.382139
LD1 5ND,52.2281,-3.384824
LD1 5NE,52.23393,-3.379206
LD1 5NF,52.2347,-3.380782
LD1 5NG,52.23435,-3.381137
LD1 5NH,52.23392,-3.381622
LD1 5NJ,52.23009,-3.383597
LD1 5NL,52.22774,-3.383319
LD1 5NN,52.2358,-3.382925
LD1 5NP,52.24142,-3.363313
LD1 5NQ,52.23208,-3.381492
LD1 5NR,52.23594,-3.380835
LD1 5NS,52.23272,-3.381365
LD1 5NT,52.23103,-3.377286
LD1 5NU,52.23558,-3.372653
LD1 5NW,52.22907,-3.382877
LD1 5NX,52.23313,-3.380236
LD1 5NY,52.22993,-3.356298
LD1 5NZ,52.22679,-3.38408
LD1 5PA,52.21511,-3.338208
LD1 5PB,52.21824,-3.375455
LD1 5PD,52.24561,-3.351137
LD1 5PE,52.24825,-3.36736
LD1 5PF,52.24509,-3.371584
LD1 5PG,52.21074,-3.392494
LD1 5PH,52.2257,-3.387106
LD1 5PJ,52.21019,-3.392755
LD1 5PL,52.22294,-3.388748
LD1 5PN,52.22206,-3.389306
LD1 5PP,52.22162,-3.394782
LD1 5PR,52.21967,-3.38847
LD1 5PS,52.22058,-3.388337
LD1 5PT,52.21782,-3.389788
LD1 5PU,52.21083,-3.394517
LD1 5PW,52.22142,-3.390018
LD1 5PY,52.21192,-3.392839
LD1 5RA,52.2174,-3.388853
LD1 5RB,52.21636,-3.389625
LD1 5RD,52.2145,-3.390841
LD1 5RE,52.21303,-3.385145
LD1 5RF,52.20228,-3.385864
LD1 5RG,52.20146,-3.400955
LD1 5RH,52.2047,-3.36251
LD1 5RJ,52.21514,-3.392208
LD1 5RL,52.20045,-3.332675
LD1 5RN,52.20429,-3.369756
LD1 5RP,52.20807,-3.295202
LD1 5RR,52.20221,-3.270331
LD1 5RS,52.18667,-3.325125
LD1 5RT,52.18111,-3.308578
LD1 5RU,52.18612,-3.3382
LD1 5RW,52.19932,-3.309493
LD1 5RY,52.18221,-3.297611
LD1 5SA,52.1964,-3.291293
LD1 5SB,52.17136,-3.293406
LD1 5SD,52.17532,-3.269917
LD1 5SE,52.16925,-3.237268
LD1 5SF,52.16204,-3.281542
LD1 5SG,52.21192,-3.321558
LD1 5SH,52.23978,-3.364771
LD1 5SJ,52.21535,-3.391409
LD1 5SL,52.26023,-3.364226
LD1 5SN,52.27231,-3.338625
LD1 5SP,52.23801,-3.298813
LD1 5SQ,52.27268,-3.329799
LD1 5SR,52.23904,-3.31365
LD1 5SS,52.25858,-3.342535
LD1 5ST,52.27014,-3.342488
LD1 5SU,52.27006,-3.327742
LD1 5SW,52.25633,-3.309574
LD1 5SY,52.26837,-3.310237
LD1 5TA,52.27217,-3.276126
LD1 5TB,52.28123,-3.271094
LD1 5TD,52.28602,-3.249151
LD1 5TE,52.29357,-3.25822
LD1 5TF,52.29517,-3.253734
LD1 5TG,52.29499,-3.263056
LD1 5TH,52.28973,-3.243361
LD1 5TL,52.29589,-3.233621
LD1 5TN,52.30659,-3.204905
LD1 5TP,52.21113,-3.393399
LD1 5TS,52.23238,-3.380783
LD1 5TT,52.2616,-3.333394
LD1 5TU,52.27265,-3.311242
LD1 5TW,52.29781,-3.238
LD1 5TY,52.26674,-3.300429
LD1 5UA,52.26795,-3.297284
LD1 5UB,52.26472,-3.293834
LD1 5UD,52.25848,-3.271249
LD1 5UE,52.25038,-3.282034
LD1 5UF,52.25705,-3.260396
LD1 5UG,52.23778,-3.250638
LD1 5UH,52.26778,-3.25689
LD1 5UL,52.24099,-3.379513
LD1 5UN,52.31184,-3.231732
LD1 5UP,52.34058,-3.199914
LD1 5UR,52.32884,-3.189529
LD1 5US,52.26684,-3.295727
LD1 5UT,52.3438,-3.197124
LD1 5UW,52.33157,-3.217575
LD1 5WA,52.23945,-3.37245
LD1 5WB,52.24168,-3.378465
LD1 5WD,52.24168,-3.378465
LD1 5WE,52.2391,-3.363828
LD1 5WF,52.24166,-3.378464
LD1 5WG,52.24168,-3.378465
LD1 5WH,52.24168,-3.378465
LD1 5WJ,52.24166,-3.378464
LD1 5WL,52.24168,-3.378465
LD1 5WN,52.24168,-3.378465
LD1 5WP,52.24166,-3.378464
LD1 5WQ,52.24168,-3.378465
LD1 5WR,52.24168,-3.378465
LD1 5WS,52.24168,-3.378465
LD1 5WT,52.24168,-3.378465
LD1 5WU,52.24168,-3.378465
LD1 5WW,52.2391,-3.363828
LD1 5WX,52.24168,-3.378465
LD1 5WY,52.24166,-3.378464
LD1 5WZ,52.24168,-3.378465
LD1 5XY,52.24168,-3.378465
LD1 5XZ,52.34188,-3.190379
LD1 5YA,52.24574,-3.375969
LD1 5YB,52.24562,-3.375394
LD1 5YD,52.24529,-3.374666
LD1 5YE,52.24611,-3.374076
LD1 5YF,52.24693,-3.37394
LD1 5YG,52.24139,-3.379642
LD1 5ZG,52.2378,-3.373014
LD1 5ZR,52.2378,-3.373014
LD1 5ZY,52.24168,-3.378465
LD1 6AA,52.23977,-3.382682
LD1 6AB,52.23984,-3.381571
LD1 6AD,52.24451,-3.378611
LD1 6AE,52.23811,-3.385033
LD1 6AF,52.24005,-3.384448
LD1 6AG,52.24077,-3.381424
LD1 6AH,52.24181,-3.382717
LD1 6AJ,52.24066,-3.385288
LD1 6AL,52.24113,-3.382256
LD1 6AN,52.24224,-3.382964
LD1 6AP,52.24202,-3.384656
LD1 6AQ,52.24259,-3.383224
LD1 6AR,52.24054,-3.385957
LD1 6AS,52.24237,-3.386337
LD1 6AT,52.23954,-3.383744
LD1 6AU,52.2386,-3.381884
LD1 6AW,52.2436,-3.384735
LD1 6AX,52.23963,-3.385461
LD1 6AY,52.23909,-3.382031
LD1 6AZ,52.24166,-3.380603
LD1 6BA,52.24073,-3.383254
LD1 6BB,52.2485,-3.380376
LD1 6BD,52.24723,-3.38161
LD1 6BE,52.24724,-3.381025
LD1 6BF,52.24465,-3.380813
LD1 6BG,52.24243,-3.380671
LD1 6BH,52.24481,-3.37969
LD1 6BJ,52.24517,-3.382147
LD1 6BL,52.24745,-3.377384
LD1 6BN,52.24768,-3.381566
LD1 6BP,52.24897,-3.379057
LD1 6BQ,52.24549,-3.385643
LD1 6BS,52.24665,-3.378092
LD1 6BT,52.24698,-3.378263
LD1 6BU,52.24737,-3.377909
LD1 6BW,52.2486,-3.381404
LD1 6BX,52.24817,-3.377875
LD1 6BY,52.25001,-3.381331
LD1 6BZ,52.24301,-3.381641
LD1 6DA,52.24902,-3.384259
LD1 6DB,52.24896,-3.377533
LD1 6DD,52.24867,-3.37751
LD1 6DE,52.24884,-3.378042
LD1 6DF,52.25351,-3.376531
LD1 6DG,52.24883,-3.381645
LD1 6DH,52.24905,-3.380979
LD1 6DJ,52.24868,-3.379268
LD1 6DL,52.24878,-3.382537
LD1 6DN,52.24791,-3.38421
LD1 6DP,52.24631,-3.381948
LD1 6DQ,52.24789,-3.379024
LD1 6DR,52.24739,-3.382582
LD1 6DS,52.24832,-3.382406
LD1 6DT,52.25476,-3.401037
LD1 6DU,52.24673,-3.386751
LD1 6DW,52.24773,-3.383779
LD1 6DX,52.25351,-3.403078
LD1 6DY,52.25249,-3.404042
LD1 6DZ,52.24671,-3.379031
LD1 6EA,52.25741,-3.402014
LD1 6EB,52.26236,-3.395913
LD1 6ED,52.26963,-3.386938
LD1 6EE,52.26567,-3.417573
LD1 6EF,52.27433,-3.409378
LD1 6EG,52.28142,-3.386309
