PCDS,LAT,LONG
LE1 1AA,52.63212,-1.124988
LE1 1AB,52.63282,-1.125329
LE1 1AD,52.63554,-1.129028
LE1 1AE,52.63597,-1.124483
LE1 1AF,52.63395,-1.126784
LE1 1AH,52.63325,-1.126709
LE1 1AJ,52.63641,-1.1274
LE1 1AL,52.63282,-1.125329
LE1 1AN,52.63282,-1.125329
LE1 1AP,52.63387,-1.129357
LE1 1AQ,52.63412,-1.12848
LE1 1AR,52.63331,-1.127979
LE1 1AS,52.63615,-1.128765
LE1 1AT,52.63575,-1.128965
LE1 1AW,52.6316,-1.124984
LE1 1AZ,52.63325,-1.126709
LE1 1BA,52.63282,-1.125329
LE1 1BB,52.63325,-1.126709
LE1 1BD,52.63325,-1.126709
LE1 1BE,52.63282,-1.125329
LE1 1BF,52.6382,-1.127557
LE1 1BG,52.63304,-1.124763
LE1 1BH,52.63416,-1.128169
LE1 1BJ,52.63325,-1.126709
LE1 1BL,52.63325,-1.126709
LE1 1BN,52.63325,-1.126709
LE1 1BP,52.63325,-1.126709
LE1 1DA,52.63525,-1.131989
LE1 1DB,52.63509,-1.132583
LE1 1DD,52.63515,-1.131607
LE1 1DE,52.63399,-1.13064
LE1 1DF,52.6342,-1.130695
LE1 1DG,52.6342,-1.13068
LE1 1DH,52.63334,-1.129441
LE1 1DJ,52.63297,-1.128591
LE1 1DL,52.63251,-1.1273
LE1 1DN,52.63257,-1.127476
LE1 1DP,52.63328,-1.131141
LE1 1DR,52.63422,-1.124547
LE1 1DS,52.63237,-1.129682
LE1 1DU,52.63289,-1.127898
LE1 1DW,52.63236,-1.128204
LE1 1EA,52.63146,-1.128222
LE1 1EB,52.63317,-1.129119
LE1 1ES,52.6323,-1.124852
LE1 1FA,52.63559,-1.130239
LE1 1FB,52.63521,-1.12936
LE1 1FD,52.6323,-1.124852
LE1 1FE,52.63521,-1.12936
LE1 1FF,52.6323,-1.124852
LE1 1FH,52.63519,-1.130114
LE1 1FJ,52.63508,-1.131106
LE1 1FL,52.6352,-1.129389
LE1 1FN,52.63591,-1.129479
LE1 1FQ,52.63424,-1.129852
LE1 1FR,52.63622,-1.129813
LE1 1FS,52.63602,-1.129683
LE1 1FT,52.63537,-1.129327
LE1 1FU,52.63507,-1.129628
LE1 1FW,52.6323,-1.124852
LE1 1FX,52.63507,-1.129628
LE1 1FY,52.63424,-1.129852
LE1 1FZ,52.63434,-1.129791
LE1 1GA,52.6323,-1.124852
LE1 1GB,52.6323,-1.124852
LE1 1GD,52.63282,-1.125329
LE1 1GE,52.63453,-1.129196
LE1 1GF,52.63417,-1.129646
LE1 1GG,52.63598,-1.131088
LE1 1GH,52.6323,-1.124852
LE1 1GJ,52.6333,-1.126782
LE1 1GL,52.6323,-1.124852
LE1 1GN,52.63508,-1.131106
LE1 1GP,52.63508,-1.131106
LE1 1GS,52.63377,-1.129078
LE1 1HA,52.63522,-1.130098
LE1 1HB,52.63508,-1.131106
LE1 1HD,52.63508,-1.131106
LE1 1HG,52.63508,-1.131106
LE1 1HL,52.63522,-1.130098
LE1 1HN,52.63326,-1.128187
LE1 1JA,52.6345,-1.130482
LE1 1JB,52.63481,-1.130668
LE1 1JX,52.63493,-1.130222
LE1 1LA,52.63331,-1.12792
LE1 1LB,52.63399,-1.128157
LE1 1LD,52.63344,-1.128094
LE1 1LE,52.6338,-1.127762
LE1 1LF,52.6336,-1.127338
LE1 1LG,52.63356,-1.12725
LE1 1LH,52.63363,-1.127544
LE1 1LJ,52.63348,-1.128064
LE1 1LL,52.63235,-1.126727
LE1 1LP,52.63327,-1.129664
LE1 1LQ,52.63418,-1.131124
LE1 1LR,52.63277,-1.12666
LE1 1LS,52.63235,-1.126727
LE1 1LT,52.63326,-1.128187
LE1 1LW,52.63235,-1.126727
LE1 1LY,52.63399,-1.128157
LE1 1NA,52.63381,-1.127821
LE1 1NB,52.63469,-1.126089
LE1 1NW,52.63145,-1.126745
LE1 1PA,52.63292,-1.127455
LE1 1PB,52.63324,-1.125232
LE1 1PD,52.63324,-1.125232
LE1 1PE,52.63324,-1.125232
LE1 1PG,52.63261,-1.124934
LE1 1PH,52.63236,-1.128204
LE1 1PJ,52.63325,-1.126709
LE1 1PL,52.63372,-1.123154
LE1 1PQ,52.63278,-1.127576
LE1 1PS,52.63323,-1.123754
LE1 1PW,52.6323,-1.124852
LE1 1PZ,52.63234,-1.12525
LE1 1QA,52.63407,-1.127225
LE1 1QB,52.63378,-1.127482
LE1 1QD,52.63469,-1.126089
LE1 1QE,52.63374,-1.12701
LE1 1QF,52.63337,-1.126589
LE1 1QG,52.63422,-1.124547
LE1 1QH,52.63384,-1.126461
LE1 1QP,52.63506,-1.128151
LE1 1QR,52.63498,-1.124148
LE1 1QS,52.63494,-1.126602
LE1 1QT,52.63413,-1.123736
LE1 1QU,52.63494,-1.126277
LE1 1QW,52.63512,-1.126052
LE1 1QZ,52.63264,-1.126588
LE1 1RA,52.63377,-1.12995
LE1 1RB,52.63367,-1.129375
LE1 1RD,52.63459,-1.128618
LE1 1RE,52.63457,-1.127969
LE1 1RF,52.63401,-1.130004
LE1 1RG,52.63506,-1.127102
LE1 1RH,52.63505,-1.126674
LE1 1RP,52.63327,-1.129664
LE1 1RR,52.63416,-1.128169
LE1 1RS,52.63416,-1.128169
LE1 1RU,52.63536,-1.121953
LE1 1RW,52.63604,-1.122206
LE1 1RY,52.63595,-1.126656
LE1 1SA,52.63535,-1.126653
LE1 1SB,52.63613,-1.127154
LE1 1SD,52.63386,-1.126032
LE1 1SE,52.63577,-1.126777
LE1 1SF,52.63658,-1.126377
LE1 1SG,52.63612,-1.120239
LE1 1SH,52.63313,-1.125589
LE1 1SJ,52.63544,-1.124538
LE1 1SL,52.63537,-1.126224
LE1 1SN,52.63564,-1.126248
LE1 1SP,52.63413,-1.122525
LE1 1SQ,52.63614,-1.126282
LE1 1SR,52.63659,-1.124958
LE1 1SS,52.63596,-1.126123
LE1 1ST,52.63552,-1.125644
LE1 1SU,52.6356,-1.12585
LE1 1SW,52.63247,-1.125853
LE1 1SX,52.63247,-1.125853
LE1 1SY,52.63667,-1.12571
LE1 1SZ,52.6366,-1.125785
LE1 1TA,52.63604,-1.125132
LE1 1TB,52.63609,-1.124732
LE1 1TE,52.63667,-1.123893
LE1 1TF,52.63594,-1.124484
LE1 1TG,52.63607,-1.124466
LE1 1TH,52.63592,-1.125119
LE1 1TL,52.63607,-1.124363
LE1 1TP,52.63491,-1.128124
LE1 1TQ,52.63528,-1.128472
LE1 1TR,52.63482,-1.128584
LE1 1TS,52.6323,-1.124852
LE1 1TT,52.63417,-1.129646
LE1 1TU,52.63417,-1.129646
LE1 1UR,52.63525,-1.123389
LE1 1US,52.63586,-1.129391
LE1 1UT,52.63538,-1.128928
LE1 1UU,52.63592,-1.128518
LE1 1UW,52.63417,-1.129646
LE1 1UX,52.63507,-1.129628
LE1 1WA,52.63596,-1.131399
LE1 1WB,52.63643,-1.127621
LE1 1WD,52.63638,-1.128287
LE1 1WE,52.63509,-1.132583
LE1 1WF,52.63594,-1.131769
LE1 1WG,52.63638,-1.128287
LE1 1WH,52.63621,-1.128025
LE1 1WJ,52.63623,-1.128024
LE1 1WL,52.63623,-1.128024
LE1 1WN,52.6323,-1.124852
LE1 1WP,52.6323,-1.124852
LE1 1WQ,52.63596,-1.128133
LE1 1WT,52.63576,-1.132053
LE1 1WU,52.63509,-1.132583
LE1 1YR,52.6358,-1.132126
LE1 1YZ,52.6358,-1.132126
LE1 1ZB,52.61293,-1.194904
LE1 1ZD,52.6358,-1.132126
LE1 1ZE,52.63282,-1.125329
LE1 1ZF,52.63282,-1.125329
LE1 1ZG,52.63282,-1.125329
LE1 1ZH,52.6323,-1.124852
LE1 1ZJ,52.63282,-1.125329
LE1 1ZL,52.6323,-1.124852
LE1 1ZN,52.63282,-1.125329
LE1 1ZP,52.61293,-1.194904
LE1 1ZQ,52.63282,-1.125329
LE1 1ZR,52.6323,-1.124852
LE1 1ZS,52.63509,-1.132583
LE1 1ZT,52.63282,-1.125329
LE1 1ZU,52.63282,-1.125329
LE1 1ZX,52.6323,-1.124852
LE1 1ZY,52.6323,-1.124852
LE1 1ZZ,52.6323,-1.124852
LE1 2AA,52.63868,-1.127074
