PCDS,LAT,LONG
LL11 0AA,53.04891,-3.000085
LL11 0AB,53.04891,-3.000085
LL11 0AD,53.04891,-3.000085
LL11 0AE,53.04891,-3.000085
LL11 0AF,53.04891,-3.000085
LL11 0AG,53.04891,-3.000085
LL11 0AH,53.04891,-3.000085
LL11 0AJ,53.04891,-3.000085
LL11 0AL,53.04891,-3.000085
LL11 0AN,53.04891,-3.000085
LL11 0AP,53.04891,-3.000085
LL11 0AQ,53.04891,-3.000085
LL11 0AR,53.04891,-3.000085
LL11 0AS,53.04891,-3.000085
LL11 0AT,53.04891,-3.000085
LL11 0AU,53.04891,-3.000085
LL11 0AW,53.04891,-3.000085
LL11 0AX,53.04891,-3.000085
LL11 0AY,53.04891,-3.000085
LL11 0AZ,53.04891,-3.000085
LL11 0BA,53.04891,-3.000085
LL11 0BB,53.04891,-3.000085
LL11 0BD,53.04891,-3.000085
LL11 0BE,53.04891,-3.000085
LL11 0BF,53.0475,-2.993847
LL11 0BG,53.04891,-3.000085
LL11 0BH,53.04891,-3.000085
LL11 0BJ,53.04891,-3.000085
LL11 0BL,53.04891,-3.000085
LL11 0BN,53.0475,-2.993847
LL11 0BP,53.04891,-3.000085
LL11 0BQ,53.04891,-3.000085
LL11 0BR,53.04891,-3.000085
LL11 0BS,53.04891,-3.000085
LL11 0BT,53.04891,-3.000085
LL11 0BU,53.04891,-3.000085
LL11 0BW,53.04891,-3.000085
LL11 0BX,53.04891,-3.000085
LL11 0BY,53.04891,-3.000085
LL11 0BZ,53.04891,-3.000085
LL11 0DA,53.04891,-3.000085
LL11 0DB,53.04891,-3.000085
LL11 0DD,53.04891,-3.000085
LL11 0DE,53.04891,-3.000085
LL11 0DF,53.04891,-3.000085
LL11 0DG,53.04891,-3.000085
LL11 0DH,53.04891,-3.000085
LL11 0DJ,53.04891,-3.000085
LL11 0DL,53.04891,-3.000085
LL11 0DN,53.04891,-3.000085
LL11 0DP,53.04891,-3.000085
LL11 0DQ,53.04891,-3.000085
LL11 0DR,53.04891,-3.000085
LL11 0DS,53.04891,-3.000085
LL11 0DT,53.04891,-3.000085
LL11 0DU,53.04891,-3.000085
LL11 0DW,53.04891,-3.000085
LL11 0DX,53.04891,-3.000085
LL11 0DY,53.04891,-3.000085
LL11 0DZ,53.04891,-3.000085
LL11 0EA,53.04891,-3.000085
LL11 0EB,53.04891,-3.000085
LL11 0ED,53.04891,-3.000085
LL11 0EE,53.04891,-3.000085
LL11 0EF,53.04891,-3.000085
LL11 0EG,53.04891,-3.000085
LL11 0EH,53.04891,-3.000085
LL11 0EJ,53.04891,-3.000085
LL11 0EL,53.04891,-3.000085
LL11 0EN,53.04891,-3.000085
LL11 0EP,53.04891,-3.000085
LL11 0EQ,53.04891,-3.000085
LL11 0ER,53.04891,-3.000085
LL11 0ES,53.04891,-3.000085
LL11 0ET,53.04891,-3.000085
LL11 0EU,53.04891,-3.000085
LL11 0EW,53.04891,-3.000085
LL11 0EX,53.04891,-3.000085
LL11 0EY,53.04891,-3.000085
LL11 0EZ,53.04891,-3.000085
LL11 0FA,53.04891,-3.000085
LL11 0FB,53.04891,-3.000085
LL11 0FD,53.04891,-3.000085
LL11 0FE,53.04891,-3.000085
LL11 0FF,53.04891,-3.000085
LL11 0FG,53.04891,-3.000085
LL11 0FH,53.04891,-3.000085
LL11 0FJ,53.04891,-3.000085
LL11 0FL,53.04891,-3.000085
LL11 0FN,53.04891,-3.000085
LL11 0FP,53.04891,-3.000085
LL11 0FQ,53.04891,-3.000085
LL11 0FR,53.04891,-3.000085
LL11 0FS,53.04891,-3.000085
LL11 0FT,53.04891,-3.000085
LL11 0FU,53.04891,-3.000085
LL11 0FW,53.04891,-3.000085
LL11 0FX,53.04891,-3.000085
LL11 0FY,53.04891,-3.000085
LL11 0FZ,53.04891,-3.000085
LL11 0GA,53.04891,-3.000085
LL11 0GB,53.04891,-3.000085
LL11 0GD,53.04891,-3.000085
LL11 0GE,53.04891,-3.000085
LL11 0GF,53.04891,-3.000085
LL11 0GG,53.04891,-3.000085
LL11 0GH,53.04891,-3.000085
LL11 0GL,53.04891,-3.000085
LL11 0GN,53.04891,-3.000085
LL11 0GP,53.04891,-3.000085
LL11 0GQ,53.04891,-3.000085
LL11 0GR,53.04891,-3.000085
LL11 0GS,53.04891,-3.000085
LL11 0GT,53.04891,-3.000085
LL11 0GU,53.04891,-3.000085
LL11 0GW,53.04891,-3.000085
LL11 0GX,53.04891,-3.000085
LL11 0GY,53.04891,-3.000085
LL11 0GZ,53.04891,-3.000085
LL11 0HA,53.04891,-3.000085
LL11 0HB,53.04891,-3.000085
LL11 0HD,53.04891,-3.000085
LL11 0HE,53.04891,-3.000085
LL11 0HF,53.04891,-3.000085
LL11 0HG,53.04891,-3.000085
LL11 0HH,53.04891,-3.000085
LL11 0HJ,53.04891,-3.000085
LL11 0HL,53.04891,-3.000085
LL11 0HN,53.04891,-3.000085
LL11 0HP,53.04891,-3.000085
LL11 0HQ,53.04891,-3.000085
LL11 0HR,53.04891,-3.000085
LL11 0HS,53.04891,-3.000085
LL11 0HT,53.04891,-3.000085
LL11 0HU,53.04891,-3.000085
LL11 0HW,53.04891,-3.000085
LL11 0HX,53.04891,-3.000085
LL11 0HY,53.04891,-3.000085
LL11 0HZ,53.04891,-3.000085
LL11 0JA,53.04891,-3.000085
LL11 0JB,53.04891,-3.000085
LL11 0JD,53.04891,-3.000085
LL11 0JE,53.04891,-3.000085
LL11 0JF,53.04891,-3.000085
LL11 0JG,53.04891,-3.000085
LL11 0JH,53.04891,-3.000085
LL11 0JJ,53.04891,-3.000085
LL11 0JL,53.04891,-3.000085
LL11 0JN,53.04891,-3.000085
LL11 0JP,53.04891,-3.000085
LL11 0JQ,53.04891,-3.000085
LL11 0JR,53.04891,-3.000085
LL11 0JS,53.04891,-3.000085
LL11 0JT,53.04891,-3.000085
LL11 0JU,53.04891,-3.000085
LL11 0JW,53.04891,-3.000085
LL11 0JX,53.04891,-3.000085
LL11 0JZ,53.04891,-3.000085
LL11 0LA,53.04891,-3.000085
LL11 0LB,53.04891,-3.000085
LL11 0LD,53.04891,-3.000085
LL11 0LE,53.04891,-3.000085
LL11 0LF,53.04891,-3.000085
LL11 0LG,53.04891,-3.000085
LL11 0LH,53.04891,-3.000085
LL11 0LJ,53.04891,-3.000085
LL11 0LL,53.04891,-3.000085
LL11 0LN,53.04891,-3.000085
LL11 0LP,53.04891,-3.000085
LL11 0LQ,53.04891,-3.000085
LL11 0LR,53.04891,-3.000085
LL11 0LS,53.04891,-3.000085
LL11 0LT,53.04891,-3.000085
LL11 0LU,53.04891,-3.000085
LL11 0LW,53.04891,-3.000085
LL11 0LX,53.04891,-3.000085
LL11 0LY,53.04891,-3.000085
LL11 0LZ,53.04891,-3.000085
LL11 0NA,53.04891,-3.000085
LL11 0NB,53.04891,-3.000085
LL11 0ND,53.04891,-3.000085
LL11 0NE,53.04891,-3.000085
LL11 0NF,53.04891,-3.000085
LL11 0NG,53.04891,-3.000085
LL11 0NH,53.04891,-3.000085
LL11 0NJ,53.04891,-3.000085
LL11 0NL,53.04891,-3.000085
LL11 0NN,53.04891,-3.000085
LL11 0NP,53.04891,-3.000085
LL11 0NQ,53.04891,-3.000085
LL11 0NR,53.04891,-3.000085
LL11 0NS,53.04891,-3.000085
LL11 0NT,53.04891,-3.000085
LL11 0NU,53.04891,-3.000085
LL11 0NW,53.04891,-3.000085
LL11 0NX,53.04891,-3.000085
LL11 0NY,53.04891,-3.000085
LL11 0NZ,53.04891,-3.000085
LL11 0PA,53.04891,-3.000085
LL11 0PB,53.04891,-3.000085
LL11 0PD,53.04891,-3.000085
LL11 0PE,53.04891,-3.000085
