PCDS,LAT,LONG
LN1 1AA,53.22948,-0.54168
LN1 1AB,53.24566,-0.558755
LN1 1AD,53.24584,-0.556351
LN1 1AE,53.24514,-0.555985
LN1 1AF,53.24541,-0.554522
LN1 1AG,53.245,-0.554611
LN1 1AH,53.24519,-0.55381
LN1 1AJ,53.24605,-0.557438
LN1 1AL,53.24603,-0.556614
LN1 1AN,53.24659,-0.556311
LN1 1AP,53.2469,-0.556001
LN1 1AQ,53.2468,-0.556964
LN1 1AR,53.24664,-0.558258
LN1 1AS,53.24526,-0.557525
LN1 1AT,53.24552,-0.559359
LN1 1AU,53.24511,-0.558983
LN1 1AW,53.245,-0.556799
LN1 1AX,53.23341,-0.561099
LN1 1AY,53.23287,-0.560203
LN1 1AZ,53.23253,-0.559046
LN1 1BA,53.23108,-0.544832
LN1 1BB,53.2337,-0.559651
LN1 1BD,53.23228,-0.558785
LN1 1BE,53.23238,-0.560834
LN1 1BF,53.23076,-0.543824
LN1 1BG,53.23076,-0.543824
LN1 1BH,53.23322,-0.560836
LN1 1BJ,53.2341,-0.550678
LN1 1BL,53.23476,-0.554716
LN1 1BN,53.23001,-0.54758
LN1 1BP,53.23253,-0.543105
LN1 1BQ,53.23354,-0.553079
LN1 1BS,53.2304,-0.541784
LN1 1BT,53.2304,-0.541784
LN1 1BU,53.23277,-0.548146
LN1 1BW,53.23106,-0.543724
LN1 1DB,53.23101,-0.543561
LN1 1DD,53.23101,-0.543561
LN1 1DE,53.23101,-0.543561
LN1 1DF,53.23101,-0.543561
LN1 1DG,53.24147,-0.558941
LN1 1DH,53.23108,-0.544832
LN1 1DJ,53.23108,-0.544832
LN1 1DL,53.23155,-0.545625
LN1 1DN,53.23101,-0.543561
LN1 1DP,53.23847,-0.549901
LN1 1DQ,53.23076,-0.543824
LN1 1DR,53.23948,-0.553748
LN1 1DS,53.24023,-0.554202
LN1 1DT,53.24212,-0.554918
LN1 1DU,53.24035,-0.555262
LN1 1DW,53.23076,-0.543824
LN1 1DX,53.24086,-0.557013
LN1 1DY,53.24131,-0.557448
LN1 1DZ,53.24187,-0.558118
LN1 1EA,53.24237,-0.557442
LN1 1EB,53.24299,-0.554424
LN1 1ED,53.24229,-0.555107
LN1 1EE,53.24286,-0.5578
LN1 1EF,53.24342,-0.558171
LN1 1EG,53.24377,-0.559898
LN1 1EH,53.24065,-0.556945
LN1 1EJ,53.24345,-0.5582
LN1 1EL,53.23251,-0.541038
LN1 1EN,53.2319,-0.540849
LN1 1EP,53.2464,-0.560124
LN1 1EQ,53.24619,-0.560791
LN1 1ER,53.23057,-0.540969
LN1 1ES,53.23133,-0.540838
LN1 1ET,53.232,-0.540561
LN1 1EW,53.2426,-0.558438
LN1 1EX,53.23157,-0.541399
LN1 1EY,53.23155,-0.542074
LN1 1EZ,53.23238,-0.542061
LN1 1FA,53.2337,-0.550766
LN1 1FB,53.23256,-0.543763
LN1 1FD,53.23256,-0.543763
LN1 1FE,53.23256,-0.543763
LN1 1FF,53.23256,-0.543763
LN1 1FG,53.23367,-0.550678
LN1 1FH,53.23256,-0.543763
LN1 1FJ,53.22409,-0.545234
LN1 1FL,53.23256,-0.543763
LN1 1FN,53.22409,-0.545234
LN1 1FP,53.2337,-0.550766
LN1 1FQ,53.22409,-0.545234
LN1 1FR,53.22409,-0.545234
LN1 1FS,53.24405,-0.556906
LN1 1FT,53.22409,-0.545234
LN1 1FW,53.23363,-0.550619
LN1 1FX,53.2337,-0.550766
LN1 1FY,53.22409,-0.545234
LN1 1FZ,53.2337,-0.550766
LN1 1GA,53.23256,-0.543763
LN1 1GB,53.23256,-0.543763
LN1 1GD,53.23256,-0.543763
LN1 1GE,53.2337,-0.550766
LN1 1GF,53.2337,-0.550766
LN1 1GG,53.2337,-0.550766
LN1 1GH,53.22409,-0.545234
LN1 1GJ,53.22409,-0.545234
LN1 1GL,53.2337,-0.550766
LN1 1GN,53.22409,-0.545234
LN1 1GP,53.22409,-0.545234
LN1 1HA,53.22409,-0.545234
LN1 1HB,53.23355,-0.542381
LN1 1HD,53.23374,-0.542959
LN1 1HE,53.23318,-0.542079
LN1 1HF,53.23349,-0.542293
LN1 1HG,53.23417,-0.543933
LN1 1HH,53.23606,-0.545637
LN1 1HJ,53.23439,-0.550413
LN1 1HL,53.23622,-0.547475
