PCDS,LAT,LONG
LS1 1AA,53.79618,-1.552548
LS1 1AB,53.79609,-1.553642
LS1 1AD,53.79609,-1.553642
LS1 1AE,53.79609,-1.553642
LS1 1AJ,53.79656,-1.548354
LS1 1AL,53.79608,-1.549088
LS1 1AS,53.79632,-1.56413
LS1 1AW,53.79894,-1.554037
LS1 1AZ,53.79631,-1.5641
LS1 1BA,53.79707,-1.55641
LS1 1BD,53.79618,-1.552548
LS1 1BL,53.79631,-1.5641
LS1 1BN,53.79632,-1.56413
LS1 1BW,53.79618,-1.552548
LS1 1BX,53.79632,-1.56413
LS1 1DA,53.79618,-1.552548
LS1 1DD,53.79255,-1.568859
LS1 1DG,53.79618,-1.552548
LS1 1DH,53.79618,-1.552548
LS1 1DJ,53.79632,-1.56413
LS1 1DN,53.79631,-1.5641
LS1 1DP,53.79632,-1.56413
LS1 1DX,53.79609,-1.553642
LS1 1EA,53.79894,-1.554037
LS1 1EB,53.79651,-1.559847
LS1 1ED,53.79651,-1.559847
LS1 1EE,53.79651,-1.559847
LS1 1EF,53.79651,-1.559847
LS1 1EG,53.79651,-1.559847
LS1 1EH,53.79651,-1.559847
LS1 1EL,53.79651,-1.559847
LS1 1EW,53.79632,-1.56413
LS1 1FA,53.79632,-1.56413
LS1 1HA,53.79618,-1.552548
LS1 1HB,53.79431,-1.556697
LS1 1HD,53.79632,-1.56413
LS1 1HE,53.79631,-1.5641
LS1 1HF,53.79632,-1.56413
LS1 1HG,53.79789,-1.553623
LS1 1HH,53.79618,-1.552548
LS1 1HJ,53.79618,-1.552548
LS1 1HN,53.79784,-1.53996
LS1 1HP,53.79791,-1.558177
LS1 1HQ,53.79631,-1.5641
LS1 1HR,53.79787,-1.547551
LS1 1HS,53.79698,-1.550597
LS1 1HT,53.79711,-1.550671
LS1 1HW,53.79695,-1.541488
LS1 1JF,53.80218,-1.548522
LS1 1JG,53.79632,-1.56413
LS1 1JL,53.79608,-1.549088
LS1 1JP,53.78978,-1.547638
LS1 1JQ,53.82687,-1.617122
LS1 1JS,53.79875,-1.540026
LS1 1JT,53.79787,-1.547551
LS1 1JW,53.79618,-1.552548
LS1 1JY,53.79788,-1.550587
LS1 1LA,53.79632,-1.56413
LS1 1LB,53.79618,-1.552548
LS1 1LD,53.79631,-1.5641
LS1 1LE,53.79631,-1.5641
LS1 1LF,53.79785,-1.542996
LS1 1LG,53.79252,-1.559752
LS1 1LJ,53.79607,-1.546052
LS1 1LL,53.79631,-1.5641
LS1 1LN,53.79968,-1.552086
LS1 1LP,53.79156,-1.544583
