PCDS,LAT,LONG
LU1 1AA,51.87999,-0.422902
LU1 1AB,51.87971,-0.423681
LU1 1AD,51.87999,-0.422902
LU1 1AE,51.87971,-0.423681
LU1 1AF,51.88193,-0.434007
LU1 1AG,51.88193,-0.434007
LU1 1AH,51.87971,-0.423681
LU1 1AJ,51.87971,-0.423681
LU1 1AL,51.87971,-0.423681
LU1 1AP,51.87971,-0.423681
LU1 1AQ,51.87971,-0.423681
LU1 1AR,51.88065,-0.424637
LU1 1AS,51.87999,-0.422902
LU1 1AT,51.87999,-0.422902
LU1 1AU,51.87999,-0.422902
LU1 1AW,51.87999,-0.422902
LU1 1AX,51.88514,-0.45322
LU1 1AY,51.87971,-0.423681
LU1 1BA,51.87999,-0.422902
LU1 1BB,51.87976,-0.422503
LU1 1BD,51.88061,-0.42365
LU1 1BE,51.88092,-0.423697
LU1 1BF,51.87999,-0.422902
LU1 1BG,51.88165,-0.424558
LU1 1BH,51.87938,-0.422952
LU1 1BJ,51.87974,-0.422489
LU1 1BL,51.87929,-0.424553
LU1 1BN,51.88294,-0.426053
LU1 1BP,51.88019,-0.421326
LU1 1BQ,51.88189,-0.422167
LU1 1BR,51.88426,-0.427881
LU1 1BS,51.88426,-0.427881
LU1 1BT,51.88522,-0.428618
LU1 1BU,51.88213,-0.429743
LU1 1BW,51.88426,-0.427402
LU1 1BX,51.87916,-0.434379
LU1 1BY,51.8796,-0.434814
LU1 1BZ,51.87937,-0.43565
LU1 1DA,51.87999,-0.422902
LU1 1DB,51.88518,-0.429302
LU1 1DD,51.88573,-0.429283
LU1 1DE,51.88592,-0.447991
LU1 1DF,51.88285,-0.427102
LU1 1DG,51.88321,-0.428978
LU1 1DH,51.88402,-0.432336
LU1 1DJ,51.88382,-0.427751
LU1 1DL,51.88474,-0.429841
LU1 1DN,51.88491,-0.430125
LU1 1DP,51.88531,-0.430852
LU1 1DQ,51.88451,-0.429354
LU1 1DR,51.88338,-0.429365
LU1 1DS,51.88291,-0.426461
LU1 1DT,51.88384,-0.428346
LU1 1DU,51.87805,-0.423449
LU1 1DW,51.88515,-0.430538
LU1 1DX,51.88019,-0.42182
LU1 1DY,51.88063,-0.422516
LU1 1DZ,51.881,-0.422866
LU1 1EA,51.88337,-0.425558
LU1 1EB,51.88007,-0.421606
LU1 1ED,51.8815,-0.423619
LU1 1EE,51.88326,-0.425519
LU1 1EF,51.88326,-0.42549
LU1 1EG,51.88242,-0.425039
LU1 1EH,51.8844,-0.426801
LU1 1EJ,51.88426,-0.427881
LU1 1EL,51.88036,-0.420462
LU1 1EN,51.88457,-0.425517
LU1 1EP,51.88515,-0.427632
LU1 1EQ,51.88203,-0.433713
LU1 1ER,51.88548,-0.427955
LU1 1ES,51.88518,-0.429302
LU1 1ET,51.88518,-0.429302
LU1 1EU,51.88574,-0.428541
LU1 1EW,51.88563,-0.428356
LU1 1EX,51.88586,-0.428726
LU1 1EY,51.88608,-0.429271
LU1 1EZ,51.88365,-0.426043
LU1 1FA,51.88145,-0.42195
