PCDS,LAT,LONG
M1 1AA,53.48738,-2.227194
M1 1AD,53.48378,-2.244866
M1 1AE,53.48349,-2.231182
M1 1AF,53.48056,-2.237148
M1 1AG,53.4833,-2.231452
M1 1AH,53.48372,-2.233293
M1 1AJ,53.48301,-2.232264
M1 1AL,53.48318,-2.230472
M1 1AN,53.48194,-2.235152
M1 1AP,53.47673,-2.224456
M1 1AQ,53.48318,-2.230472
M1 1AR,53.48356,-2.231363
M1 1AS,53.48307,-2.233907
M1 1AT,53.47673,-2.224456
M1 1AU,53.48375,-2.233248
M1 1AW,53.48366,-2.233097
M1 1BA,53.48243,-2.235185
M1 1BB,53.48318,-2.232537
M1 1BE,53.48259,-2.232669
M1 1BX,53.48194,-2.235167
M1 1BY,53.48194,-2.235167
M1 1BZ,53.48353,-2.245829
M1 1DB,53.48262,-2.233332
M1 1DD,53.48301,-2.23353
M1 1DE,53.48283,-2.233213
M1 1DF,53.48336,-2.233848
M1 1DG,53.483,-2.235037
M1 1DH,53.48301,-2.23353
M1 1DL,53.483,-2.235037
M1 1DN,53.48288,-2.233921
M1 1DQ,53.48211,-2.235032
M1 1DR,53.48283,-2.233861
M1 1DT,53.48208,-2.233826
M1 1DU,53.48219,-2.234008
M1 1DW,53.48222,-2.233692
M1 1DX,53.48211,-2.235032
M1 1DY,53.4822,-2.234128
M1 1DZ,53.48219,-2.234008
M1 1EA,53.48203,-2.234278
M1 1EB,53.4836,-2.23162
M1 1ED,53.48215,-2.23223
M1 1EE,53.48309,-2.230954
M1 1EF,53.4834,-2.231106
M1 1EG,53.48367,-2.23156
M1 1EH,53.4837,-2.232615
M1 1EJ,53.48418,-2.23313
M1 1EL,53.4822,-2.232712
M1 1EN,53.48313,-2.231813
M1 1EP,53.48303,-2.231782
M1 1ER,53.48303,-2.231782
M1 1ES,53.48211,-2.233525
M1 1ET,53.48248,-2.232563
M1 1EU,53.4829,-2.231134
M1 1EW,53.4829,-2.231134
M1 1EX,53.48295,-2.231932
M1 1EY,53.48167,-2.233628
M1 1EZ,53.48177,-2.234638
M1 1FA,53.4812,-2.235027
M1 1FB,53.48218,-2.233269
M1 1FF,53.48211,-2.232018
M1 1FH,53.4835,-2.231167
M1 1FJ,53.48375,-2.231907
M1 1FL,53.48368,-2.232539
M1 1FN,53.48312,-2.233335
M1 1FP,53.48301,-2.23353
M1 1FR,53.48214,-2.233224
M1 1FS,53.48211,-2.233525
M1 1FT,53.48183,-2.233313
M1 1FY,53.48152,-2.234004
M1 1FZ,53.48136,-2.233883
M1 1HA,53.48142,-2.234712
M1 1HE,53.48128,-2.234108
M1 1HF,53.48109,-2.234333
M1 1HH,53.48143,-2.233883
M1 1HJ,53.4812,-2.235027
M1 1HL,53.48104,-2.234408
M1 1HN,53.48031,-2.235022
M1 1HP,53.48146,-2.234848
M1 1HR,53.48204,-2.233419
M1 1HW,53.48097,-2.234483
M1 1JA,53.48236,-2.234581
M1 1JB,53.48246,-2.234492
M1 1JD,53.48211,-2.235032
M1 1JE,53.48259,-2.234899
M1 1JF,53.48285,-2.234599
M1 1JG,53.48233,-2.236329
M1 1JH,53.48211,-2.233525
M1 1JJ,53.48301,-2.234419
M1 1JL,53.48311,-2.234495
M1 1JN,53.48262,-2.235276
M1 1JP,53.4821,-2.236539
M1 1JQ,53.48191,-2.236056
M1 1JR,53.48288,-2.235669
M1 1JS,53.4821,-2.236539
M1 1JT,53.48224,-2.235651
M1 1JU,53.48201,-2.235664
M1 1JW,53.48227,-2.235515
M1 1LA,53.4821,-2.236539
M1 1LB,53.4821,-2.236539
M1 1LD,53.4821,-2.236539
M1 1LG,53.48182,-2.236914
M1 1LN,53.48153,-2.234923
M1 1LP,53.4812,-2.238041
M1 1LQ,53.4814,-2.235736
M1 1LR,53.48149,-2.235903
M1 1LS,53.48167,-2.237064
M1 1LT,53.48168,-2.237139
M1 1LU,53.48153,-2.236415
M1 1LW,53.48249,-2.23416
M1 1LX,53.48265,-2.240158
M1 1LY,53.48182,-2.237291
M1 1LZ,53.48183,-2.237803
M1 1NA,53.4812,-2.239548
M1 1NB,53.4814,-2.235736
M1 1ND,53.4812,-2.238041
M1 1NL,53.4821,-2.239553
M1 1NN,53.48264,-2.240173
M1 1NP,53.48299,-2.241064
M1 1NQ,53.48299,-2.242571
M1 1NS,53.48264,-2.232202
M1 1NW,53.48149,-2.235903
M1 1PA,53.4821,-2.239553
M1 1PB,53.48206,-2.239899
M1 1PD,53.48223,-2.240608
M1 1PE,53.48209,-2.241059
M1 1PF,53.48299,-2.242571
M1 1PH,53.48298,-2.245585
M1 1PJ,53.48209,-2.241059
M1 1PL,53.48275,-2.242932
M1 1PN,53.48232,-2.240985
M1 1PP,53.48299,-2.242571
M1 1PS,53.48298,-2.245585
M1 1PT,53.48286,-2.24138
M1 1PU,53.48371,-2.245469
M1 1PW,53.48251,-2.242388
M1 1PX,53.48328,-2.245949
M1 1QA,53.48209,-2.242566
M1 1QB,53.48209,-2.241059
M1 1RG,53.48046,-2.236304
M1 1RN,53.48035,-2.236439
M1 1SF,53.4794,-2.236524
M1 1TE,53.4814,-2.235736
M1 1WA,53.48161,-2.238676
M1 1WB,53.4812,-2.236534
M1 1WD,53.48246,-2.234492
M1 1WL,53.4821,-2.239553
M1 1WN,53.48264,-2.240173
M1 1WR,53.48276,-2.241967
M1 1WS,53.48371,-2.245469
M1 1WT,53.48339,-2.24402
M1 1WW,53.48299,-2.241064
M1 1WZ,53.48738,-2.227194
M1 2AA,53.48121,-2.23352
M1 2AB,53.48058,-2.228816
M1 2AD,53.47511,-2.229208
M1 2AE,53.4812,-2.233475
M1 2AF,53.48108,-2.233474
M1 2AG,53.48095,-2.234604
M1 2AH,53.4762,-2.222449
M1 2AJ,53.4803,-2.236529
M1 2AL,53.48125,-2.234816
M1 2AN,53.48101,-2.233685
M1 2AP,53.48117,-2.235117
M1 2AQ,53.48101,-2.234755
M1 2AR,53.47489,-2.22877
M1 2AS,53.48101,-2.234755
M1 2AT,53.47866,-2.227585
M1 2AU,53.47891,-2.227767
M1 2AW,53.48094,-2.233971
M1 2AX,53.48029,-2.233003
M1 2AY,53.48042,-2.233471
M1 2AZ,53.48031,-2.233048
M1 2BA,53.48018,-2.233258
M1 2BB,53.47941,-2.23351
M1 2BD,53.4803,-2.236529
M1 2BE,53.4799,-2.229369
M1 2BF,53.47934,-2.229306
M1 2BG,53.47511,-2.229208
M1 2BH,53.47966,-2.223462
M1 2BJ,53.47946,-2.224124
M1 2BL,53.48069,-2.231649
M1 2BN,53.47706,-2.229972
M1 2BP,53.47689,-2.229805
M1 2BQ,53.47961,-2.223371
M1 2BR,53.48084,-2.234136
M1 2BS,53.48077,-2.234106
M1 2BT,53.48065,-2.233999
M1 2BU,53.48054,-2.233818
M1 2BW,53.47962,-2.231372
M1 2BX,53.48055,-2.233803
M1 2BY,53.48031,-2.235022
M1 2BZ,53.4805,-2.233757
M1 2DA,53.48027,-2.233485
M1 2DB,53.4798,-2.23288
M1 2DD,53.47852,-2.232978
M1 2DE,53.47994,-2.228827
M1 2DF,53.48023,-2.228618
M1 2DH,53.47511,-2.229208
M1 2DJ,53.47761,-2.233501
M1 2DL,53.4812,-2.236534
M1 2DN,53.48137,-2.22989
M1 2DP,53.47963,-2.230347
M1 2DQ,53.47965,-2.230091
M1 2DR,53.47968,-2.229881
M1 2DS,53.47977,-2.229761
M1 2DT,53.47706,-2.229972
M1 2DU,53.4808,-2.233503
M1 2DW,53.47837,-2.229135
M1 2DX,53.47761,-2.222366
M1 2DY,53.4787,-2.223637
M1 2DZ,53.4787,-2.223637
M1 2EA,53.48183,-2.232665
M1 2EB,53.48173,-2.232905
M1 2ED,53.48105,-2.230551
M1 2EE,53.48195,-2.232198
M1 2EF,53.48163,-2.23194
M1 2EG,53.48222,-2.230512
M1 2EH,53.48092,-2.231726
M1 2EJ,53.48115,-2.231456
M1 2EL,53.48125,-2.23123
M1 2EN,53.48174,-2.23176
M1 2EP,53.48121,-2.232013
M1 2EQ,53.48185,-2.231896
M1 2ER,53.48088,-2.230384
M1 2ES,53.48309,-2.230487
M1 2ET,53.48301,-2.232023
M1 2EU,53.48174,-2.23164
M1 2EW,53.47873,-2.225385
M1 2EX,53.47873,-2.225385
M1 2EY,53.4789,-2.224708
M1 2EZ,53.4787,-2.223637
M1 2FA,53.48289,-2.230094
M1 2FB,53.48289,-2.230094
