PCDS,LAT,LONG
ME1 1AA,51.3861,0.507452
ME1 1AB,51.38615,0.507469
ME1 1AD,51.38251,0.504367
ME1 1AE,51.38596,0.506036
ME1 1AF,51.38622,0.505906
ME1 1AG,51.38228,0.505375
ME1 1AH,51.40271,0.482909
ME1 1AJ,51.38615,0.507469
ME1 1AL,51.38615,0.507469
ME1 1AN,51.38615,0.507469
ME1 1AP,51.40271,0.482909
ME1 1AQ,51.38491,0.503866
ME1 1AR,51.38491,0.503866
ME1 1AS,51.3908,0.501729
ME1 1AT,51.38615,0.507469
ME1 1AU,51.385,0.503914
ME1 1AW,51.38491,0.503866
ME1 1AX,51.38015,0.491893
ME1 1AY,51.38615,0.507469
ME1 1AZ,51.38426,0.505813
ME1 1BA,51.3833,0.511467
ME1 1BB,51.38388,0.510306
ME1 1BD,51.38344,0.509045
ME1 1BE,51.38436,0.504885
ME1 1BF,51.38316,0.510683
ME1 1BG,51.38324,0.510314
ME1 1BH,51.37931,0.490654
ME1 1BJ,51.38411,0.507228
ME1 1BL,51.38326,0.509165
ME1 1BN,51.38294,0.511433
ME1 1BP,51.3832,0.512036
ME1 1BQ,51.38683,0.505221
ME1 1BS,51.38316,0.510755
ME1 1BT,51.38343,0.513428
ME1 1BU,51.38365,0.513756
ME1 1BW,51.38329,0.512443
ME1 1BX,51.38302,0.51457
ME1 1BY,51.38381,0.513693
ME1 1BZ,51.38325,0.514309
ME1 1DA,51.38338,0.515883
ME1 1DB,51.385,0.503914
ME1 1DD,51.385,0.503914
ME1 1DE,51.385,0.503914
ME1 1DF,51.385,0.503914
ME1 1DG,51.38314,0.514907
ME1 1DH,51.38332,0.514328
ME1 1DJ,51.38316,0.515655
ME1 1DL,51.38309,0.515939
ME1 1DN,51.38221,0.516293
ME1 1DP,51.38278,0.516842
ME1 1DQ,51.38475,0.503253
ME1 1DR,51.38233,0.516961
ME1 1DS,51.38257,0.514775
ME1 1DT,51.38468,0.503235
ME1 1DU,51.38231,0.512303
ME1 1DW,51.38615,0.507469
ME1 1DX,51.38282,0.512274
ME1 1DY,51.37897,0.49249
ME1 1DZ,51.38152,0.514301
ME1 1EA,51.38335,0.51683
ME1 1EB,51.3851,0.49689
ME1 1ED,51.38033,0.492204
ME1 1EE,51.38378,0.515617
ME1 1EF,51.38475,0.503253
ME1 1EG,51.38509,0.496919
ME1 1EH,51.38617,0.507312
ME1 1EJ,51.38627,0.507231
ME1 1EL,51.3866,0.50689
ME1 1EN,51.38602,0.506441
ME1 1EP,51.38752,0.505977
ME1 1EQ,51.3787,0.490305
ME1 1ER,51.38707,0.505995
ME1 1ES,51.38665,0.50557
ME1 1ET,51.3868,0.506297
ME1 1EU,51.38661,0.506014
ME1 1EW,51.38697,0.506493
ME1 1EX,51.38647,0.50661
ME1 1EY,51.38585,0.50728
ME1 1EZ,51.3861,0.506848
ME1 1FA,51.3835,0.496056
ME1 1FB,51.38321,0.496242
ME1 1FD,51.38309,0.495675
ME1 1FE,51.38295,0.496587
ME1 1FF,51.38432,0.512672
ME1 1FG,51.38487,0.512372
ME1 1FH,51.38522,0.51196
ME1 1FJ,51.39035,0.507928
ME1 1FL,51.38725,0.500012
ME1 1FN,51.38336,0.50368
ME1 1FP,51.38879,0.506722
ME1 1FQ,51.38906,0.509309
ME1 1FR,51.38855,0.506939
ME1 1FS,51.38728,0.507789
ME1 1FT,51.38702,0.508062
ME1 1FU,51.38955,0.509149
ME1 1FW,51.38927,0.509249
ME1 1FX,51.3901,0.509208
ME1 1FY,51.38981,0.509063
ME1 1FZ,51.38615,0.507469
ME1 1GA,51.38488,0.508089
ME1 1GB,51.38461,0.507687
ME1 1GD,51.38463,0.507242
ME1 1GE,51.3899,0.509901
ME1 1GF,51.39011,0.50826
ME1 1GJ,51.38864,0.508855
ME1 1GL,51.38899,0.508587
ME1 1GN,51.38931,0.508374
ME1 1GP,51.38951,0.508227
ME1 1GQ,51.38994,0.507087
ME1 1GR,51.39023,0.507059
ME1 1GS,51.38812,0.50874
ME1 1GT,51.38845,0.508471
ME1 1GU,51.38866,0.508325
ME1 1GW,51.38895,0.508139
ME1 1GX,51.38916,0.508007
ME1 1GY,51.39115,0.502725
ME1 1GZ,51.38307,0.515823
ME1 1HA,51.38615,0.507469
ME1 1HB,51.38551,0.508957
ME1 1HD,51.38509,0.507828
ME1 1HE,51.38556,0.508946
ME1 1HF,51.38537,0.509338
ME1 1HG,51.38531,0.509622
ME1 1HH,51.38414,0.513898
ME1 1HJ,51.38424,0.511518
ME1 1HL,51.38441,0.512145
ME1 1HN,51.38429,0.511564
ME1 1HP,51.38436,0.507055
ME1 1HQ,51.3848,0.510384
ME1 1HR,51.38329,0.507729
ME1 1HS,51.38385,0.511727
ME1 1HT,51.38427,0.510844
ME1 1HU,51.39186,0.502965
ME1 1HW,51.38412,0.510304
ME1 1HX,51.38495,0.510191
ME1 1HY,51.38471,0.50979
ME1 1HZ,51.38474,0.509605
ME1 1JA,51.38553,0.507981
ME1 1JB,51.38475,0.503253
ME1 1JD,51.38677,0.49931
ME1 1JE,51.38295,0.513775
ME1 1JF,51.38635,0.506359
ME1 1JG,51.38527,0.508413
ME1 1JH,51.38812,0.51002
ME1 1JJ,51.38695,0.505054
ME1 1JL,51.38752,0.504942
ME1 1JN,51.38802,0.505458
ME1 1JP,51.38695,0.505054
ME1 1JQ,51.38615,0.507469
ME1 1JR,51.38354,0.515173
ME1 1JS,51.38819,0.505266
ME1 1JT,51.38798,0.504982
ME1 1JU,51.38851,0.504651
ME1 1JW,51.38784,0.505103
ME1 1JX,51.37833,0.489523
ME1 1JY,51.38922,0.504028
ME1 1JZ,51.38938,0.503793
ME1 1LA,51.39041,0.502714
ME1 1LB,51.38952,0.503743
ME1 1LD,51.39021,0.503105
ME1 1LE,51.38971,0.50417
ME1 1LF,51.39093,0.50221
ME1 1LG,51.38615,0.507469
ME1 1LH,51.39016,0.503031
ME1 1LJ,51.39027,0.503065
ME1 1LL,51.3897,0.50233
ME1 1LN,51.39033,0.503442
ME1 1LP,51.39019,0.503564
ME1 1LQ,51.38403,0.496861
ME1 1LR,51.3861,0.507452
ME1 1LS,51.38982,0.504148
ME1 1LT,51.38476,0.510655
ME1 1LU,51.39023,0.504213
ME1 1LW,51.37963,0.492052
ME1 1LX,51.38925,0.504404
ME1 1LY,51.38877,0.503717
ME1 1LZ,51.37789,0.491066
ME1 1NA,51.3861,0.507452
ME1 1NB,51.38853,0.505659
ME1 1ND,51.38686,0.506961
ME1 1NE,51.38787,0.503668
ME1 1NF,51.38753,0.510275
ME1 1NG,51.38605,0.509016
ME1 1NH,51.38831,0.507371
ME1 1NJ,51.39049,0.505047
ME1 1NL,51.38762,0.507693
ME1 1NN,51.38726,0.507731
ME1 1NP,51.39084,0.503499
ME1 1NQ,51.38475,0.503253
ME1 1NR,51.38758,0.509803
ME1 1NS,51.385,0.503914
ME1 1NT,51.38716,0.509737
ME1 1NU,51.37894,0.4897
ME1 1NW,51.39066,0.503705
ME1 1NX,51.38433,0.503072
ME1 1NY,51.38617,0.510315
ME1 1NZ,51.38775,0.50941
ME1 1PA,51.38557,0.510484
ME1 1PB,51.39151,0.506928
ME1 1PD,51.38775,0.506636
ME1 1PE,51.38775,0.50941
ME1 1PF,51.385,0.503914
ME1 1PG,51.38468,0.503235
ME1 1PH,51.39021,0.507849
ME1 1PJ,51.39326,0.505155
ME1 1PL,51.3932,0.506833
ME1 1PN,51.39369,0.507176
ME1 1PP,51.38475,0.503253
ME1 1PQ,51.38639,0.510054
ME1 1PR,51.39179,0.503177
ME1 1PS,51.38076,0.492745
ME1 1PT,51.39069,0.502643
ME1 1PU,51.39102,0.502402
ME1 1PW,51.39147,0.503864
ME1 1PX,51.39093,0.502483
ME1 1PY,51.39091,0.503043
ME1 1PZ,51.39126,0.506928
ME1 1QA,51.38462,0.497066
ME1 1QB,51.39058,0.504017
ME1 1QD,51.39101,0.502056
ME1 1QE,51.39124,0.501839
ME1 1QF,51.38446,0.497402
ME1 1QG,51.39127,0.503637
ME1 1QH,51.38448,0.497877
ME1 1QJ,51.39063,0.501849
ME1 1QL,51.37962,0.490369
ME1 1QN,51.38906,0.499507
ME1 1QP,51.38492,0.497542
ME1 1QQ,51.39067,0.501794
ME1 1QR,51.38004,0.491743
ME1 1QS,51.38424,0.496729
ME1 1QT,51.39057,0.501961
ME1 1QU,51.38413,0.49701
ME1 1QW,51.38671,0.49866
ME1 1QX,51.38604,0.497215
ME1 1QY,51.38648,0.497699
ME1 1QZ,51.38665,0.510241
ME1 1RA,51.38412,0.498404
ME1 1RB,51.38799,0.504925
ME1 1RD,51.38303,0.516123
ME1 1RE,51.38684,0.505523
ME1 1RF,51.38711,0.505149
ME1 1RG,51.38605,0.505005
ME1 1RH,51.38535,0.503357
ME1 1RJ,51.38411,0.502974
ME1 1RL,51.38467,0.503752
ME1 1RN,51.38388,0.503392
ME1 1RP,51.38826,0.511077
ME1 1RQ,51.3866,0.504116
ME1 1RR,51.38322,0.503026
ME1 1RS,51.38281,0.495832
ME1 1RT,51.38198,0.495126
ME1 1RU,51.38163,0.494618
ME1 1RW,51.38747,0.508907
ME1 1RX,51.38343,0.500867
ME1 1RY,51.38256,0.495014
ME1 1RZ,51.3841,0.499237
ME1 1SA,51.38437,0.499769
ME1 1SB,51.38327,0.499867
ME1 1SD,51.38234,0.500607
ME1 1SE,51.38236,0.501671
ME1 1SF,51.3822,0.502281
ME1 1SG,51.37997,0.491552
ME1 1SH,51.38531,0.498656
ME1 1SJ,51.38917,0.50371
ME1 1SL,51.38941,0.503478
ME1 1SN,51.39004,0.503038
ME1 1SP,51.38881,0.502281
ME1 1SQ,51.38136,0.493482
ME1 1SR,51.38874,0.502335
ME1 1SS,51.38538,0.499823
ME1 1ST,51.38828,0.502756
ME1 1SU,51.38839,0.503796
ME1 1SW,51.38936,0.501406
ME1 1SX,51.38792,0.503253
ME1 1SY,51.37857,0.490657
ME1 1SZ,51.38913,0.502515
ME1 1TA,51.3861,0.507452
ME1 1TB,51.38379,0.496604
ME1 1TD,51.38791,0.502232
ME1 1TE,51.38875,0.500884
ME1 1TF,51.38267,0.503973
ME1 1TG,51.38766,0.503915
ME1 1TH,51.38394,0.514793
ME1 1TJ,51.38814,0.50098
ME1 1TL,51.38799,0.501633
ME1 1TN,51.38776,0.500269
ME1 1TP,51.38066,0.493861
ME1 1TQ,51.38404,0.498759
ME1 1TR,51.38763,0.501455
ME1 1TS,51.38737,0.501096
ME1 1TT,51.38681,0.501066
